##NAMES=Ramdohrite
##RRUFFID=R110001
##IDEAL CHEMISTRY=Pb_5.9_Fe_0.1_Mn_0.1_In_0.1_Cd_0.2_Ag_2.8_Sb_10.8_S_24_
##LOCALITY=Chocaya, Potosi, Bolivia
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Massive, silver metallic associated with quartz and wurtzite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110001
334.9865, 4.743276
335.4686, 4.038538
335.9507, 2.232634
336.4328, 0.8204170
336.9149, 0.1150330
337.3970, 0.6231780
337.8792, 0.7795900
338.3613, 0.5888530
338.8434, 0.1606100
339.3255, 0.6148660
339.8076, 1.858614
340.2898, 2.690117
340.7719, 3.082082
341.2540, 3.124486
341.7361, 2.765539
342.2182, 1.927632
342.7003, 1.497497
343.1825, 1.943501
343.6646, 3.112495
344.1467, 3.974617
344.6288, 4.505148
345.1109, 4.811195
345.5930, 5.062943
346.0752, 5.213902
346.5573, 4.910422
347.0394, 3.879757
347.5215, 2.503099
348.0036, 1.574873
348.4857, 1.095909
348.9679, 0.8675340
349.4500, 0.8900040
349.9321, 1.055313
350.4142, 0.9624990
350.8963, 0.4052040
351.3784, 5.9055001E-02
351.8606, 0.6161660
352.3427, 2.111067
352.8248, 3.228534
353.3069, 2.652030
353.7890, 1.461609
354.2711, 1.299005
354.7533, 2.401868
355.2354, 3.495163
355.7175, 3.363507
356.1996, 2.481444
356.6817, 1.676407
357.1638, 1.259858
357.6460, 1.078559
358.1281, 1.079414
358.6102, 1.246029
359.0923, 1.411962
359.5744, 1.589741
360.0565, 1.672724
360.5387, 1.538677
361.0208, 0.8829930
361.5029, 0.3422060
361.9850, 0.1886950
362.4671, 0.3724600
362.9492, 0.7482390
363.4314, 1.680851
363.9135, 2.490171
364.3956, 2.772115
364.8777, 2.299984
365.3598, 1.710902
365.8419, 0.9373660
366.3241, 0.1887070
366.8062, 0.2509430
367.2883, 1.5104000E-02
367.7704, 0.2372140
368.2526, 0.3422290
368.7347, 0.2835600
369.2168, 0.1359150
369.6989, 0.2883660
370.1810, 0.6842940
370.6631, 0.7955150
371.1453, 0.3945630
371.6274, 5.6586001E-02
372.1095, 3.0615000E-02
372.5916, 4.0991001E-02
373.0737, 0.4089040
373.5558, 1.863528
374.0380, 3.128593
374.5201, 3.437282
375.0022, 2.358587
375.4843, 1.749041
375.9664, 1.803667
376.4485, 2.268294
376.9307, 2.619884
377.4128, 2.824820
377.8949, 2.781804
378.3770, 2.358936
378.8591, 1.590065
379.3412, 1.112672
379.8234, 0.9441490
380.3055, 1.019976
380.7876, 1.481393
381.2697, 2.287332
381.7518, 2.591421
382.2339, 1.967520
382.7161, 0.8621050
383.1982, 0.2784010
383.6803, 0.2119100
384.1624, 0.3820070
384.6445, 0.7224410
385.1266, 1.139181
385.6088, 1.369321
386.0909, 1.330275
386.5730, 1.233586
387.0551, 1.328070
387.5372, 1.566013
388.0193, 1.813356
388.5015, 2.195956
388.9836, 2.445596
389.4657, 2.052181
389.9478, 0.9610310
390.4299, 0.1875390
390.9120, 0.6717270
391.3942, 1.795828
391.8763, 2.816655
392.3584, 3.814200
392.8405, 4.324570
393.3226, 3.872555
393.8047, 2.640851
394.2869, 1.463866
394.7690, 0.4189460
395.2511, 0.3380200
395.7332, 0.6295620
396.2154, 0.1680730
396.6975, 0.2812880
397.1796, 0.4589960
397.6617, 0.5148660
398.1438, 0.7289530
398.6259, 1.242860
399.1081, 1.817813
399.5902, 2.496024
400.0723, 3.357006
400.5544, 3.755729
401.0365, 3.393624
401.5186, 2.789660
402.0008, 2.367233
402.4829, 2.201478
402.9650, 2.068927
403.4471, 1.941148
403.9292, 1.827913
404.4113, 1.788940
404.8935, 1.870059
405.3756, 1.919736
405.8577, 1.857448
406.3398, 1.675107
