##NAMES=Shandite
##RRUFFID=R070090
##IDEAL CHEMISTRY=Pb_2_Ni_3_S_2_
##LOCALITY=Nickel Reward mine, Tasmania, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Bright silver metallic blebs in serpentinite, chonchoidal fracture
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070090
367.1895, 6.165802
367.6717, 1.924500
368.1538, 7.610016
368.6359, 11.24942
369.1180, 10.49551
369.6001, 0.3009340
370.0822, 8.587830
370.5644, 8.958588
371.0465, 4.549805
371.5286, 4.847595
372.0107, 15.71396
372.4928, 31.82355
372.9749, 35.41971
373.4571, 14.48840
373.9392, 0.5957030
374.4213, 2.347687
374.9034, 1.300629
375.3855, 10.19812
375.8676, 23.16977
376.3498, 36.48203
376.8319, 46.30624
377.3140, 52.57315
377.7961, 58.45291
378.2782, 63.07312
378.7603, 68.55820
379.2425, 78.04141
379.7246, 88.71500
380.2067, 95.14917
380.6888, 94.20465
381.1709, 89.17194
381.6530, 83.58334
382.1352, 77.55856
382.6173, 73.89923
383.0994, 74.20291
383.5815, 75.97089
384.0636, 76.62433
384.5457, 76.50009
385.0279, 74.27448
385.5100, 67.82578
385.9921, 59.51343
386.4742, 52.22293
386.9563, 46.38354
387.4384, 43.27829
387.9206, 44.93970
388.4027, 51.19705
388.8848, 53.94565
389.3669, 51.26620
389.8490, 47.43524
390.3311, 42.60388
390.8133, 38.09384
391.2954, 36.84387
391.7775, 40.11307
392.2596, 45.04556
392.7417, 45.83826
393.2238, 39.81906
393.7060, 34.72745
394.1881, 31.63486
394.6702, 28.49850
395.1523, 23.69659
395.6344, 17.58270
396.1165, 11.48621
396.5987, 5.765625
397.0808, 1.102478
397.5629, 2.719879
398.0450, 16.04889
398.5271, 25.83136
399.0092, 26.33151
399.4914, 21.85336
399.9735, 15.97089
400.4556, 9.328125
400.9377, 3.987457
401.4198, 2.374939
401.9019, 4.189148
402.3841, 7.539673
402.8662, 13.74936
403.3483, 18.53281
403.8304, 17.38733
404.3125, 11.34216
404.7946, 4.230316
405.2768, 6.836975
405.7589, 15.76266
406.2410, 14.21057
406.7231, 4.130402
407.2052, 2.436218
