##NAMES=Bismuthinite
##RRUFFID=R070617
##IDEAL CHEMISTRY=Bi^3+^_2_S^2-^_3_
##LOCALITY=Hachita, Grants County, New Mexico, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Steel-gray metallic massive lamellar, associated with quartz.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070617
254.6503, 3195.818
255.1324, 3139.896
255.6145, 3075.806
256.0966, 3004.196
256.5787, 2925.533
257.0608, 2835.303
257.5429, 2727.624
258.0251, 2642.135
258.5072, 2620.450
258.9893, 2596.571
259.4714, 2498.386
259.9535, 2322.385
260.4356, 2147.257
260.9178, 2055.689
261.3999, 2065.371
261.8820, 2032.425
262.3641, 1928.338
262.8462, 1801.886
263.3283, 1674.631
263.8105, 1549.042
264.2926, 1455.688
264.7747, 1436.172
265.2568, 1497.281
265.7389, 1515.712
266.2210, 1467.748
266.7032, 1391.570
267.1853, 1307.293
267.6674, 1218.087
268.1495, 1140.591
268.6316, 1090.749
269.1137, 1068.836
269.5959, 1046.004
270.0780, 1027.162
270.5601, 1004.393
271.0422, 964.8335
271.5243, 908.1426
272.0064, 858.2207
272.4886, 837.9116
272.9707, 843.8794
273.4528, 831.0410
273.9349, 780.9395
274.4170, 724.8569
274.8991, 688.5835
275.3813, 672.2583
275.8634, 655.4941
276.3455, 624.3506
276.8276, 579.3296
277.3097, 533.1416
277.7918, 472.9429
278.2740, 422.8511
278.7561, 407.5615
279.2382, 422.0278
279.7203, 430.4556
280.2024, 409.8052
280.6845, 365.2310
281.1667, 323.0947
281.6488, 269.3022
282.1309, 230.3359
282.6130, 235.6079
283.0951, 276.8848
283.5772, 307.4355
284.0594, 301.3677
284.5415, 267.3032
285.0236, 236.4863
285.5057, 205.7231
285.9878, 180.7095
286.4699, 166.8330
286.9521, 162.1123
287.4342, 160.4888
287.9163, 162.5981
288.3984, 162.6460
288.8805, 146.3037
289.3626, 102.7046
289.8448, 63.65771
290.3269, 47.63965
290.8090, 48.73779
291.2911, 49.55518
291.7732, 43.95752
292.2553, 33.99316
292.7375, 23.20068
293.2196, 8.872070
293.7017, 0.9018550
294.1838, 2.793945
294.6659, 13.53955
295.1480, 15.52588
295.6302, 2.279297
296.1123, 18.58350
296.5944, 34.25684
297.0765, 45.08887
297.5586, 52.45459
298.0407, 55.78516
298.5229, 56.13916
299.0050, 55.98096
299.4871, 56.57715
299.9692, 54.95703
300.4513, 45.36475
300.9334, 27.15381
301.4156, 10.24561
301.8977, 7.381836
302.3798, 20.78906
302.8619, 22.36719
303.3440, 10.18799
303.8261, 10.10986
304.3083, 38.29004
304.7904, 75.67969
305.2725, 93.92480
305.7546, 73.46631
306.2367, 40.65283
306.7188, 21.74854
307.2010, 20.06885
307.6831, 26.33936
308.1652, 35.55811
308.6473, 47.62598
309.1294, 48.34277
309.6115, 17.13086
310.0937, 11.45068
310.5758, 0.4492190
311.0579, 50.05371
311.5400, 90.64160
312.0221, 82.57959
312.5042, 28.58838
312.9864, 3.024902
313.4685, 5.381348
313.9506, 19.48145
314.4327, 18.41699
314.9148, 5.044922
315.3969, 5.238281
315.8791, 2.324707
316.3612, 11.16260
316.8433, 19.82129
317.3254, 30.33789
317.8075, 30.17627
318.2896, 1.031738
318.7718, 42.92627
319.2539, 65.48779
319.7360, 45.33252
320.2181, 1.552246
320.7002, 20.38037
321.1823, 8.264160
