##NAMES=Plancheite
##RRUFFID=R070233
##IDEAL CHEMISTRY=Cu^2+^_8_(Si_4_O_11_)_2_(OH)_4_&#183;H_2_O
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light blue radial fibrous, chatoyant crystals with drusy malachite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070233
287.8250, 0.9940190
288.3071, 7.2692998E-02
288.7892, 1.541321
289.2714, 2.327820
289.7535, 2.391174
290.2356, 2.273315
290.7177, 2.000488
291.1998, 1.724487
291.6819, 1.987366
292.1641, 3.217529
292.6462, 4.397156
293.1283, 4.089600
293.6104, 2.500916
294.0925, 1.365112
294.5746, 1.891174
295.0568, 3.251099
295.5389, 3.691833
296.0210, 2.780457
296.5031, 1.638855
296.9852, 1.268127
297.4673, 1.443848
297.9495, 1.619751
298.4316, 1.525269
298.9137, 1.265625
299.3958, 1.175964
299.8779, 1.305176
300.3600, 1.507874
300.8422, 1.959473
301.3243, 2.398315
301.8064, 2.229919
302.2885, 0.9005740
302.7706, 0.6288450
303.2527, 1.201721
303.7349, 0.7613530
304.2170, 0.1516720
304.6991, 0.2783810
305.1812, 0.5603640
305.6633, 0.9155270
306.1454, 1.530457
306.6276, 1.832458
307.1097, 0.9572750
307.5918, 1.023254
308.0739, 2.235107
308.5560, 1.764893
309.0381, 0.3497920
309.5203, 1.360107
310.0024, 3.440918
310.4845, 4.791992
310.9666, 3.941345
311.4487, 1.470154
311.9308, 0.4444580
312.4130, 2.240723
312.8951, 4.492371
313.3772, 4.729309
313.8593, 3.268799
314.3414, 2.198425
314.8235, 2.926453
315.3057, 4.791443
315.7878, 6.236816
316.2699, 7.318481
316.7520, 7.505371
317.2341, 5.469788
317.7162, 2.250061
318.1984, 0.1735230
318.6805, 0.9019170
319.1626, 2.885071
319.6447, 3.530762
320.1268, 2.547852
320.6089, 1.718994
321.0911, 1.959717
321.5732, 3.044617
322.0553, 4.994629
322.5374, 8.636353
323.0195, 11.81042
323.5016, 11.79468
323.9838, 8.633850
324.4659, 5.731323
324.9480, 4.237122
325.4301, 3.407898
325.9122, 2.473999
326.3943, 1.386414
326.8765, 0.6165770
327.3586, 0.6299440
327.8407, 1.305908
328.3228, 2.043396
328.8049, 2.888733
329.2870, 3.478088
329.7692, 3.285522
330.2513, 2.359497
330.7334, 1.606140
331.2155, 1.431519
331.6976, 1.815796
332.1797, 2.871948
332.6619, 4.876282
333.1440, 6.664490
333.6261, 7.064636
334.1082, 6.512268
334.5903, 5.928833
335.0724, 5.924072
335.5546, 5.871948
336.0367, 4.503967
336.5188, 1.622864
337.0009, 0.3670650
337.4830, 0.7099000
337.9651, 3.381775
338.4473, 4.761658
338.9294, 3.799072
339.4115, 2.673523
339.8936, 3.614624
340.3757, 6.272034
340.8578, 7.824768
341.3400, 6.786011
341.8221, 4.497803
342.3042, 3.031433
342.7863, 2.446533
343.2684, 2.183228
343.7505, 2.020142
344.2327, 1.971497
344.7148, 2.108521
345.1969, 2.470276
345.6790, 2.864319
346.1611, 2.940796
346.6432, 2.721863
347.1254, 2.861267
347.6075, 4.232971
348.0896, 5.711304
348.5717, 5.499329
349.0538, 3.374817
349.5359, 1.541321
350.0181, 1.909546
350.5002, 3.987305
350.9823, 5.292603
351.4644, 5.086304
351.9465, 4.589844
