##NAMES=Allabogdanite
##RRUFFID=R070012
##IDEAL CHEMISTRY=(Fe,Ni)_2_P
##LOCALITY=Onello meteorite, Bol'shoy Dolguchan River, Onello River Basin, Aldan, Yakutia, Russia
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Black lath embedded in epoxy, co-type sample
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070012
317.3130, 27.43994
317.7951, 20.67529
318.2772, 18.34717
318.7593, 20.59363
319.2414, 25.99231
319.7235, 39.86719
320.2057, 53.86047
320.6878, 61.35425
321.1699, 54.56421
321.6520, 47.52771
322.1341, 43.93652
322.6162, 43.49988
323.0984, 42.93250
323.5805, 44.05652
324.0626, 43.44617
324.5447, 38.79651
325.0268, 19.59619
325.5089, 7.548340
325.9911, 12.36279
326.4732, 31.43787
326.9553, 37.57031
327.4374, 11.66150
327.9195, 15.96484
328.4016, 28.01074
328.8838, 11.20935
329.3659, 4.674194
329.8480, 19.85950
330.3301, 33.48755
330.8122, 40.72803
331.2943, 39.74634
331.7765, 34.25940
332.2586, 25.40906
332.7407, 6.808350
333.2228, 3.085205
333.7049, 1.283569
334.1870, 15.37134
334.6692, 19.12109
335.1513, 5.906372
335.6334, 5.689331
336.1155, 4.314697
336.5976, 17.53137
337.0797, 31.44214
337.5619, 32.96960
338.0440, 26.79089
338.5261, 26.95984
339.0082, 35.58289
339.4903, 44.16345
339.9724, 47.74304
340.4546, 45.82520
340.9367, 42.91431
341.4188, 38.11328
341.9009, 33.76917
342.3830, 36.53381
342.8651, 47.37305
343.3473, 56.34229
343.8294, 58.12622
344.3115, 53.08423
344.7936, 44.13513
345.2757, 29.99683
345.7578, 15.37427
346.2400, 5.446777
346.7221, 0.5471190
347.2042, 3.575684
347.6863, 24.61951
348.1684, 56.04346
348.6505, 66.57227
349.1327, 51.61816
349.6148, 31.20984
350.0969, 31.37842
350.5790, 47.51062
351.0611, 61.85706
351.5432, 61.77039
352.0254, 55.90759
352.5075, 61.17529
352.9896, 79.54956
353.4717, 94.12109
353.9538, 83.61572
354.4359, 58.18066
354.9181, 38.13208
355.4002, 40.54150
355.8823, 47.23608
356.3644, 36.25159
356.8465, 7.117432
357.3286, 13.40759
357.8108, 1.869629
358.2929, 33.36682
358.7750, 55.70117
359.2571, 52.06763
359.7392, 43.11438
360.2213, 40.82043
360.7035, 44.68945
361.1856, 45.48291
361.6677, 30.35742
362.1498, 14.55127
362.6319, 11.02490
363.1140, 39.02637
363.5962, 63.88611
364.0783, 73.38184
364.5604, 69.33911
365.0425, 65.10278
365.5246, 66.12463
366.0067, 66.36890
366.4889, 62.15332
366.9710, 43.42908
367.4531, 31.43225
367.9352, 31.84644
368.4173, 41.65515
368.8994, 47.54443
369.3815, 49.62122
369.8636, 47.49768
370.3458, 40.52075
370.8279, 22.23218
371.3100, 10.25793
371.7921, 5.632202
372.2742, 6.998169
372.7563, 11.60669
373.2385, 21.66650
373.7206, 31.23987
374.2027, 37.64587
374.6848, 39.95239
375.1669, 42.99365
375.6490, 47.46631
376.1312, 51.93738
376.6133, 53.62500
377.0954, 51.70422
377.5775, 50.42493
378.0596, 52.56555
378.5417, 57.87378
379.0239, 57.66260
379.5060, 50.56726
379.9881, 42.05542
380.4702, 39.12134
380.9523, 41.59290
381.4344, 45.27515
381.9166, 50.03516
382.3987, 54.71582
382.8808, 56.00012
383.3629, 53.79822
383.8450, 49.21411
384.3271, 37.96973
384.8093, 24.30713
385.2914, 22.88611
385.7735, 45.16626
386.2556, 73.26941
386.7377, 83.10034
387.2198, 75.96887
387.7020, 64.15222
388.1841, 52.34460
388.6662, 42.90186
389.1483, 39.85828
389.6304, 48.60352
390.1125, 56.91089
390.5947, 56.36829
391.0768, 47.92334
391.5589, 35.33167
392.0410, 8.121094
392.5231, 15.22644
393.0052, 18.81152
393.4874, 8.548218
393.9695, 34.07654
394.4516, 43.88867
394.9337, 43.28760
395.4158, 42.48364
395.8979, 45.75281
396.3801, 48.11072
396.8622, 47.36572
397.3443, 41.12207
397.8264, 35.98853
398.3085, 31.12720
398.7906, 28.34082
399.2728, 30.00146
399.7549, 45.23950
400.2370, 54.65552
400.7191, 52.38452
401.2012, 37.33069
401.6833, 27.35095
402.1655, 24.73828
402.6476, 25.07483
403.1297, 24.60352
403.6118, 22.56641
404.0939, 21.76440
404.5760, 23.33606
405.0582, 26.55847
405.5403, 26.95471
406.0224, 23.70508
406.5045, 19.98682
406.9866, 17.05322
407.4688, 14.63879
407.9509, 18.06042
408.4330, 30.43542
408.9151, 45.38171
409.3972, 48.42407
409.8793, 39.50659
410.3615, 27.48511
410.8436, 12.23572
411.3257, 2.737549
411.8078, 2.135376
412.2899, 17.83240
