##NAMES=Ondrusite
##RRUFFID=R141029
##IDEAL CHEMISTRY=CaCu^2+^_4_(As^5+^O_4_)_2_(As^5+^O_3_OH)_2_&#183;10H_2_O
##LOCALITY=Svornost mine, Jáchymov, Krušné Hory Mts, Karlovy Vary, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Pale green thin bladed crystals with striations parallel to the elongated direction, associated with quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R141029
385.0484, 0.6776280
385.5305, 0.4438480
386.0126, 0.6500400
386.4947, 0.8245540
386.9768, 0.7732700
387.4590, 0.5861360
387.9411, 0.4149930
388.4232, 0.1793370
388.9053, 0.1678470
389.3874, 0.6602480
389.8695, 1.300720
390.3517, 1.697937
390.8338, 1.778473
391.3159, 1.660980
391.7980, 1.445374
392.2801, 1.117126
392.7622, 0.8009640
393.2444, 0.3255770
393.7265, 2.0737000E-02
394.2086, 0.1923680
394.6907, 0.6841740
395.1728, 1.089340
395.6549, 1.167496
396.1371, 0.9883120
396.6192, 0.8274840
397.1013, 0.6761930
397.5834, 0.5558320
398.0655, 0.4663540
398.5476, 0.4101560
399.0298, 0.4023280
399.5119, 0.4419860
399.9940, 0.4948430
400.4761, 0.5112610
400.9582, 0.4718480
401.4403, 0.4649050
401.9225, 0.5852360
402.4046, 0.6457520
402.8867, 0.4404450
403.3688, 9.5825002E-02
403.8509, 5.0384998E-02
404.3330, 0.2800140
404.8152, 0.9588930
405.2973, 1.236130
405.7794, 0.7571720
406.2615, 0.3955540
406.7436, 0.3657680
407.2257, 0.4936830
407.7079, 0.6321560
408.1900, 0.7317350
408.6721, 0.7725070
409.1542, 0.6640470
409.6363, 0.3342290
410.1184, 0.2634120
410.6006, 0.8290560
411.0827, 1.372665
411.5648, 1.536362
412.0469, 1.378815
412.5290, 1.165710
413.0111, 1.114304
413.4933, 1.139389
413.9754, 0.8596340
414.4575, 8.1238002E-02
414.9396, 0.4808960
415.4217, 0.3130490
415.9038, 0.2006530
416.3860, 0.6796420
416.8681, 1.073792
417.3502, 1.312103
417.8323, 1.211792
418.3144, 0.8190610
418.7965, 0.6494900
419.2787, 0.9781950
419.7608, 1.331345
420.2429, 1.093277
420.7250, 0.3199460
421.2071, 0.3153840
421.6892, 0.6822510
422.1714, 0.7543950
422.6535, 0.3372800
423.1356, 0.5731200
423.6177, 1.366165
424.0998, 1.549194
424.5819, 1.251892
425.0641, 1.127563
425.5462, 1.281479
426.0283, 1.471405
426.5104, 1.686218
426.9925, 1.852829
427.4746, 1.769241
427.9568, 1.343765
428.4389, 0.8385470
428.9210, 0.6564940
429.4031, 0.9597170
429.8852, 1.153809
430.3673, 1.269257
430.8495, 1.252304
431.3316, 0.9397890
431.8137, 0.4251560
432.2958, 4.7286998E-02
432.7779, 6.1370999E-02
433.2600, 0.4195860
433.7422, 0.7331850
434.2243, 1.043152
434.7064, 1.253601
435.1885, 1.279633
435.6706, 1.232056
436.1527, 1.236435
436.6349, 1.326965
437.1170, 1.434372
437.5991, 1.423752
438.0812, 1.195206
438.5633, 1.217834
439.0454, 1.791626
439.5276, 2.336884
440.0097, 2.686905
440.4918, 2.822601
440.9739, 2.732407
441.4560, 2.347977
441.9381, 1.807327
442.4203, 1.518463
442.9024, 1.560349
443.3845, 1.652527
443.8666, 1.817627
444.3487, 1.934174
444.8308, 1.841156
445.3130, 1.513336
445.7951, 1.226929
446.2772, 1.260284
446.7593, 1.550583
447.2414, 1.803741
447.7235, 2.049835
448.2057, 2.121109
448.6878, 1.672852
449.1699, 0.9434660
449.6520, 0.5272520
450.1341, 0.7918090
450.6162, 1.222717
451.0984, 1.296097
451.5805, 1.072815
452.0626, 0.9975890
452.5447, 1.290390
453.0268, 1.747742
453.5089, 1.962555
453.9911, 1.889130
454.4732, 1.862091
454.9553, 1.994720
455.4374, 2.186493
455.9195, 2.422455
456.4016, 2.663071
456.8838, 2.635269
457.3659, 2.017105
457.8480, 0.8752290
458.3301, 0.4509430
458.8122, 1.450592
459.2943, 2.233002
459.7765, 2.166046
460.2586, 1.673019
460.7407, 1.385330
461.2228, 1.500320
461.7049, 1.760010
462.1870, 1.789978
462.6692, 1.475067
463.1513, 1.262527
463.6334, 1.254181
464.1155, 1.245377
464.5976, 0.9780880
465.0797, 0.6548610
465.5619, 0.8006900
466.0440, 1.858337
466.5261, 3.319244
467.0082, 3.588821
467.4903, 2.092239
467.9724, 0.9724270
468.4546, 1.071671
468.9367, 1.532776
469.4188, 1.770248
469.9009, 1.723145
470.3830, 1.668640
470.8651, 1.884094
471.3473, 2.269638
471.8294, 2.462494
472.3115, 2.422119
472.7936, 2.207855
473.2757, 1.730972
473.7578, 1.203369
474.2400, 1.012436
