##NAMES=Cerite-(CeCa)
##RRUFFID=R130614
##IDEAL CHEMISTRY=(Ce_7_Ca_2_)[box]Mg(SiO_4_)_3_(SiO_3_OH)_4_(OH)_3_
##LOCALITY=Mont Saint-Hilaire, Rouville County, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Don Doell
##DESCRIPTION=Hexagonal platy pink crystals, associated with catapleiite and aegirine. The color is dependent upon light source.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130614
3.464790e+002, 2.745770e+005
3.469612e+002, 2.740605e+005
3.474433e+002, 2.735203e+005
3.479254e+002, 2.729899e+005
3.484075e+002, 2.724659e+005
3.488896e+002, 2.719669e+005
3.493717e+002, 2.715113e+005
3.498539e+002, 2.710738e+005
3.503360e+002, 2.706305e+005
3.508181e+002, 2.701765e+005
3.513002e+002, 2.697129e+005
3.517823e+002, 2.692274e+005
3.522644e+002, 2.686907e+005
3.527466e+002, 2.682340e+005
3.532287e+002, 2.679696e+005
3.537108e+002, 2.676977e+005
3.541929e+002, 2.672961e+005
3.546750e+002, 2.667780e+005
3.551571e+002, 2.662493e+005
3.556393e+002, 2.658107e+005
3.561214e+002, 2.654600e+005
3.566035e+002, 2.650738e+005
3.570856e+002, 2.645729e+005
3.575677e+002, 2.641399e+005
3.580498e+002, 2.638912e+005
3.585320e+002, 2.637441e+005
3.590141e+002, 2.635507e+005
3.594962e+002, 2.632218e+005
3.599783e+002, 2.628127e+005
3.604604e+002, 2.624754e+005
3.609425e+002, 2.622323e+005
3.614247e+002, 2.620068e+005
3.619068e+002, 2.617797e+005
3.623889e+002, 2.615555e+005
3.628710e+002, 2.613335e+005
3.633531e+002, 2.611125e+005
3.638352e+002, 2.609095e+005
3.643174e+002, 2.607326e+005
3.647995e+002, 2.605764e+005
3.652816e+002, 2.604984e+005
3.657637e+002, 2.606121e+005
3.662458e+002, 2.607142e+005
3.667279e+002, 2.606585e+005
3.672101e+002, 2.604583e+005
3.676922e+002, 2.602376e+005
3.681743e+002, 2.600873e+005
3.686564e+002, 2.599898e+005
3.691385e+002, 2.598541e+005
3.696206e+002, 2.596392e+005
3.701028e+002, 2.594603e+005
3.705849e+002, 2.594063e+005
3.710670e+002, 2.594305e+005
3.715491e+002, 2.594508e+005
3.720312e+002, 2.594216e+005
3.725133e+002, 2.593925e+005
3.729955e+002, 2.594581e+005
3.734776e+002, 2.596328e+005
3.739597e+002, 2.597597e+005
3.744418e+002, 2.597473e+005
3.749239e+002, 2.596631e+005
3.754060e+002, 2.595707e+005
3.758882e+002, 2.594529e+005
3.763703e+002, 2.594185e+005
3.768524e+002, 2.596093e+005
3.773345e+002, 2.599638e+005
3.778166e+002, 2.602208e+005
3.782987e+002, 2.602953e+005
3.787809e+002, 2.603044e+005
3.792630e+002, 2.603721e+005
3.797451e+002, 2.604912e+005
3.802272e+002, 2.606164e+005
3.807093e+002, 2.607328e+005
3.811914e+002, 2.608470e+005
3.816736e+002, 2.609691e+005
3.821557e+002, 2.610995e+005
3.826378e+002, 2.612311e+005
3.831199e+002, 2.613613e+005
3.836020e+002, 2.614874e+005
3.840841e+002, 2.616015e+005
3.845663e+002, 2.616799e+005
3.850484e+002, 2.617700e+005
3.855305e+002, 2.619083e+005
3.860126e+002, 2.620818e+005
3.864947e+002, 2.622462e+005
3.869768e+002, 2.623758e+005
3.874590e+002, 2.624995e+005
3.879411e+002, 2.626902e+005
3.884232e+002, 2.629772e+005
3.889053e+002, 2.632286e+005
3.893874e+002, 2.633931e+005
3.898695e+002, 2.635198e+005
3.903517e+002, 2.636681e+005
3.908338e+002, 2.638490e+005
3.913159e+002, 2.640262e+005
3.917980e+002, 2.641566e+005
3.922801e+002, 2.642298e+005
3.927622e+002, 2.643609e+005
3.932444e+002, 2.646112e+005
3.937265e+002, 2.648566e+005
3.942086e+002, 2.650334e+005
3.946907e+002, 2.651530e+005
3.951728e+002, 2.652546e+005
3.956549e+002, 2.653584e+005
3.961371e+002, 2.654663e+005
3.966192e+002, 2.655817e+005
3.971013e+002, 2.656950e+005
3.975834e+002, 2.658289e+005
3.980655e+002, 2.659869e+005
3.985476e+002, 2.661648e+005
3.990298e+002, 2.663730e+005
3.995119e+002, 2.666081e+005
3.999940e+002, 2.668327e+005
4.004761e+002, 2.669892e+005
4.009582e+002, 2.670408e+005
4.014403e+002, 2.671533e+005
4.019225e+002, 2.673606e+005
4.024046e+002, 2.675871e+005
4.028867e+002, 2.678234e+005
4.033688e+002, 2.680504e+005
4.038509e+002, 2.682301e+005
4.043330e+002, 2.683262e+005
4.048152e+002, 2.683630e+005
4.052973e+002, 2.684846e+005
4.057794e+002, 2.687682e+005
4.062615e+002, 2.690227e+005
4.067436e+002, 2.691814e+005
4.072257e+002, 2.693115e+005
4.077079e+002, 2.694873e+005
4.081900e+002, 2.697311e+005
4.086721e+002, 2.699898e+005
4.091542e+002, 2.701890e+005
4.096363e+002, 2.703209e+005
4.101184e+002, 2.704453e+005
4.106006e+002, 2.705229e+005
4.110827e+002, 2.706375e+005
4.115648e+002, 2.708555e+005
4.120469e+002, 2.711545e+005
4.125290e+002, 2.714516e+005
4.130111e+002, 2.716982e+005
4.134933e+002, 2.719029e+005
4.139754e+002, 2.720806e+005
4.144575e+002, 2.722118e+005
4.149396e+002, 2.723724e+005
4.154217e+002, 2.726020e+005
4.159038e+002, 2.728812e+005
4.163860e+002, 2.731994e+005
4.168681e+002, 2.735660e+005
4.173502e+002, 2.739355e+005
4.178323e+002, 2.742577e+005
4.183144e+002, 2.745380e+005
4.187965e+002, 2.748153e+005
4.192787e+002, 2.751019e+005
4.197608e+002, 2.753844e+005
4.202429e+002, 2.756441e+005
4.207250e+002, 2.758818e+005
4.212071e+002, 2.761243e+005
4.216892e+002, 2.763781e+005
4.221714e+002, 2.766431e+005
4.226535e+002, 2.769218e+005
4.231356e+002, 2.772139e+005
4.236177e+002, 2.775051e+005
4.240998e+002, 2.777839e+005
4.245819e+002, 2.780548e+005
4.250641e+002, 2.783328e+005
4.255462e+002, 2.785976e+005
4.260283e+002, 2.788957e+005
4.265104e+002, 2.792784e+005
4.269925e+002, 2.797057e+005
4.274746e+002, 2.800998e+005
4.279568e+002, 2.804378e+005
4.284389e+002, 2.807372e+005
4.289210e+002, 2.810256e+005
4.294031e+002, 2.813021e+005
4.298852e+002, 2.815739e+005
4.303673e+002, 2.818261e+005
4.308495e+002, 2.820890e+005
4.313316e+002, 2.824019e+005
4.318137e+002, 2.827518e+005
4.322958e+002, 2.830806e+005
4.327779e+002, 2.833419e+005
4.332600e+002, 2.835492e+005
4.337422e+002, 2.838080e+005
4.342243e+002, 2.841631e+005
4.347064e+002, 2.845164e+005
4.351885e+002, 2.848545e+005
4.356706e+002, 2.851830e+005
4.361527e+002, 2.854981e+005
4.366349e+002, 2.858016e+005
4.371170e+002, 2.861132e+005
4.375991e+002, 2.864588e+005
4.380812e+002, 2.868362e+005
4.385633e+002, 2.872527e+005
4.390454e+002, 2.878008e+005
4.395276e+002, 2.882973e+005
4.400097e+002, 2.886618e+005
4.404918e+002, 2.889140e+005
4.409739e+002, 2.891078e+005
4.414560e+002, 2.892568e+005
4.419381e+002, 2.893925e+005
4.424203e+002, 2.896216e+005
4.429024e+002, 2.899877e+005
4.433845e+002, 2.903321e+005
4.438666e+002, 2.906103e+005
4.443487e+002, 2.908472e+005
4.448308e+002, 2.910417e+005
4.453130e+002, 2.911942e+005
4.457951e+002, 2.913738e+005
4.462772e+002, 2.916668e+005
4.467593e+002, 2.920468e+005
4.472414e+002, 2.923613e+005
4.477235e+002, 2.925596e+005
4.482057e+002, 2.927607e+005
4.486878e+002, 2.930973e+005
4.491699e+002, 2.935090e+005
4.496520e+002, 2.938440e+005
4.501341e+002, 2.940089e+005
4.506162e+002, 2.941332e+005
4.510984e+002, 2.943223e+005
4.515805e+002, 2.945727e+005
4.520626e+002, 2.948754e+005
4.525447e+002, 2.952496e+005
4.530268e+002, 2.956416e+005
4.535089e+002, 2.959330e+005
4.539911e+002, 2.961036e+005
4.544732e+002, 2.962966e+005
4.549553e+002, 2.965464e+005
4.554374e+002, 2.968312e+005
4.559195e+002, 2.971435e+005
4.564016e+002, 2.974768e+005
4.568838e+002, 2.977936e+005
4.573659e+002, 2.980662e+005
4.578480e+002, 2.982952e+005
4.583301e+002, 2.984986e+005
4.588122e+002, 2.986465e+005
4.592943e+002, 2.988093e+005
4.597765e+002, 2.990321e+005
4.602586e+002, 2.992706e+005
4.607407e+002, 2.994748e+005
4.612228e+002, 2.996258e+005
4.617049e+002, 2.997248e+005
4.621870e+002, 2.997611e+005
