##NAMES=Graphite
##RRUFFID=R120025
##IDEAL CHEMISTRY=C
##LOCALITY=Saint-Sauveur Graphite occurrence, Saint-Sauveur, Les Pays-d'en-Haut RCM, Laurentides, Québec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Semi-metallic, dark gray flakes
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R120025
367.5430, 0.3465580
368.0251, 0.2967880
368.5072, 0.2737360
368.9893, 0.3015980
369.4714, 0.3632580
369.9536, 0.4001480
370.4357, 0.3561660
370.9178, 0.3511090
371.3999, 0.4523300
371.8820, 0.7659810
372.3641, 0.8834820
372.8463, 0.6810370
373.3284, 0.3630440
373.8105, 0.2634430
374.2926, 0.4907210
374.7747, 0.6906110
375.2568, 0.7681770
375.7390, 0.7209170
376.2211, 0.6222360
376.7032, 0.4357440
377.1853, 0.2642660
377.6674, 0.2457360
378.1495, 0.3962760
378.6317, 0.4935230
379.1138, 0.4853770
379.5959, 0.3941380
380.0780, 0.3100020
380.5601, 0.2387780
381.0422, 0.1888290
381.5244, 0.1753980
382.0065, 0.1889440
382.4886, 0.1938520
382.9707, 0.1867670
383.4528, 0.1701100
383.9349, 0.1407490
384.4171, 0.1014950
384.8992, 6.7321002E-02
385.3813, 2.1488000E-02
385.8634, 3.3809999E-03
386.3455, 8.4870003E-02
386.8276, 0.2940060
387.3098, 0.4837350
387.7919, 0.5130860
388.2740, 0.4425790
388.7561, 0.3811180
389.2382, 0.3791970
389.7203, 0.3899330
390.2025, 0.3508330
390.6846, 0.2705830
391.1667, 0.2301790
391.6488, 0.3624060
392.1309, 0.5046520
392.6130, 0.5011450
393.0952, 0.2451290
393.5773, 1.2836000E-02
394.0594, 8.6048000E-02
394.5415, 7.9226002E-02
395.0236, 1.8239001E-02
395.5057, 0.1748720
395.9879, 0.3379820
396.4700, 0.3949640
396.9521, 0.3257150
397.4342, 0.2489360
397.9163, 0.1497090
398.3984, 6.6809997E-02
398.8806, 3.5978001E-02
399.3627, 7.8948997E-02
399.8448, 0.1524050
400.3269, 0.2819750
400.8090, 0.4530090
401.2911, 0.5499670
401.7733, 0.5422050
402.2554, 0.4979740
402.7375, 0.4343050
403.2196, 0.2850150
403.7017, 0.3067620
404.1838, 0.6088390
404.6660, 1.000650
405.1481, 1.076077
405.6302, 0.7424290
406.1123, 0.4348380
406.5944, 0.3192660
407.0765, 0.3936300
407.5587, 0.4501950
408.0408, 0.4870210
408.5229, 0.5077000
409.0050, 0.5180940
409.4871, 0.5208330
409.9692, 0.5266200
410.4514, 0.5394630
410.9335, 0.5554000
411.4156, 0.5813640
411.8977, 0.6133330
412.3798, 0.6065500
412.8619, 0.4793640
413.3441, 0.3006740
413.8262, 0.2193800
414.3083, 0.2838410
414.7904, 0.3637850
415.2725, 0.2907850
415.7546, 0.1322360
416.2368, 2.5698001E-02
416.7189, 7.6457001E-02
417.2010, 0.1738450
417.6831, 0.2327800
418.1652, 0.2527120
418.6473, 0.2709740
419.1295, 0.3149240
419.6116, 0.3680700
420.0937, 0.4141150
420.5758, 0.4735470
421.0579, 0.4899350
421.5400, 0.4035150
422.0222, 0.2605110
422.5043, 0.1695180
422.9864, 0.1793820
423.4685, 0.2249280
423.9506, 0.2959990
424.4327, 0.4166590
424.9149, 0.4754940
425.3970, 0.4350620
425.8791, 0.3506950
426.3612, 0.2753700
426.8433, 0.2175310
427.3254, 0.1523260
427.8076, 4.7013000E-02
428.2897, 7.9162002E-02
428.7718, 5.7259001E-02
429.2539, 0.1967350
429.7360, 0.4276700
430.2181, 0.4492930
430.7003, 0.2161630
431.1824, 8.2800999E-02
431.6645, 8.3848000E-02
432.1466, 0.1552740
432.6287, 0.1948280
433.1108, 0.2017110
433.5930, 0.2048050
434.0751, 0.2166000
434.5572, 0.2328670
435.0393, 0.2353450
435.5214, 0.2236680
436.0035, 0.2160760
436.4857, 0.2288950
436.9678, 0.2585120
437.4499, 0.3024880
437.9320, 0.3747150
438.4141, 0.4318370
438.8962, 0.4006510
439.3784, 0.3104600
439.8605, 0.2474300
440.3426, 0.2957700
440.8247, 0.3667740
441.3068, 0.3784220
441.7889, 0.3186520
442.2711, 0.2637000
442.7532, 0.2625160
443.2353, 0.2809680
443.7174, 0.2840910
444.1995, 0.2463230
444.6816, 0.2133100
445.1638, 0.2146950
445.6459, 0.2369120
446.1280, 0.2177520
446.6101, 7.0504002E-02
447.0922, 5.5707000E-02
447.5743, 9.1234997E-02
448.0565, 2.0049999E-03
448.5386, 9.3050003E-02
449.0207, 0.2014310
449.5028, 0.2947930
449.9849, 0.3231450
450.4670, 0.2520400
450.9492, 0.1954190
451.4313, 0.1855430
451.9134, 0.2079920
452.3955, 0.1767540
452.8776, 7.1921997E-02
453.3597, 1.4480000E-03
453.8419, 5.8729999E-02
454.3240, 0.2469410
454.8061, 0.3511660
455.2882, 0.3371670
455.7703, 0.2757860
456.2524, 0.2761800
456.7346, 0.3294660
457.2167, 0.3770540
457.6988, 0.4055620
458.1809, 0.4073550
458.6630, 0.3460300
459.1451, 0.2271860
459.6273, 0.1319950
460.1094, 0.1519340
460.5915, 0.2227940
461.0736, 0.2609050
461.5557, 0.2396840
462.0378, 0.2016400
462.5200, 0.1615520
463.0021, 0.1296180
463.4842, 0.1128780
463.9663, 0.1540020
464.4484, 0.1948090
464.9305, 0.1917720
465.4127, 0.1382230
465.8948, 0.1319530
466.3769, 0.2478700
466.8590, 0.3852100
467.3411, 0.4710380
467.8232, 0.4809390
468.3054, 0.4678540
468.7875, 0.4324840
469.2696, 0.3746880
469.7517, 0.3004800
470.2338, 0.2032460
470.7159, 0.1095560
471.1981, 1.6762000E-02
471.6802, 7.7812999E-02
472.1623, 9.3443997E-02
472.6444, 1.6439000E-02
473.1265, 0.1017690
473.6086, 0.2353890
474.0908, 0.3824590
474.5729, 0.4478240
475.0550, 0.3972240
475.5371, 0.2874200
476.0192, 0.2532340
476.5013, 0.2865320
476.9835, 0.3046430
477.4656, 0.2310190
477.9477, 0.1234160
478.4298, 7.3611997E-02
478.9119, 8.6081997E-02
479.3940, 0.1367950
479.8762, 0.2530730
480.3583, 0.3816070
480.8404, 0.4480250
481.3225, 0.3767780
481.8046, 0.3136420
482.2867, 0.3548510
482.7689, 0.4637130
483.2510, 0.5457690
483.7331, 0.5706330
484.2152, 0.5617490
484.6973, 0.5230360
485.1794, 0.4483380
485.6616, 0.3768740
486.1437, 0.3093600
486.6258, 0.2470150
487.1079, 0.1853820
487.5900, 9.1518000E-02
488.0721, 4.6620000E-02
488.5543, 7.8817002E-02
489.0364, 0.1573160
489.5185, 0.1871220
490.0006, 0.1469200
490.4827, 0.1270580
490.9648, 0.1924420
491.4470, 0.3350830
491.9291, 0.3524140
492.4112, 0.2170650
492.8933, 8.8400997E-02
493.3754, 0.1845050
493.8575, 0.4441590
494.3397, 0.5868670
494.8218, 0.5234430
495.3039, 0.3686860
495.7860, 0.2451580
496.2681, 0.1561160
496.7502, 0.1132530
497.2324, 0.1516410
497.7145, 0.2205660
498.1966, 0.2775960
498.6787, 0.3200770
499.1608, 0.3508460
499.6429, 0.3764850
500.1251, 0.3885330
500.6072, 0.3791520
501.0893, 0.3269000
501.5714, 0.2800110
