##NAMES=Erlichmanite
##RRUFFID=R070095
##IDEAL CHEMISTRY=Os^2+^(S_2_)^2-^
##LOCALITY=placer from Philipp Massif, Kamchatka, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Silver bleb in black isoferroplatinum nugget, polished and embedded in epoxy
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070095
562.4410, 42.69498
562.9232, 47.78534
563.4053, 52.60406
563.8874, 59.35197
564.3695, 67.61890
564.8516, 63.43143
565.3337, 39.20428
565.8159, 18.34485
566.2980, 12.85696
566.7801, 15.73199
567.2622, 19.64195
567.7443, 24.10747
568.2264, 28.45584
568.7086, 32.60104
569.1907, 36.34462
569.6728, 41.60045
570.1549, 47.09073
570.6370, 44.67926
571.1191, 28.02126
571.6013, 3.639938
572.0834, 7.275146
572.5655, 1.726852
573.0476, 10.00381
573.5297, 18.19524
574.0118, 25.96327
574.4940, 33.51279
574.9761, 39.40862
575.4582, 42.05980
575.9403, 38.85812
576.4224, 34.75305
576.9045, 38.99115
577.3867, 48.41527
577.8688, 44.73013
578.3509, 19.92271
578.8330, 1.509872
579.3151, 9.721786
579.7972, 58.55710
580.2794, 79.43500
580.7615, 48.88950
581.2436, 22.73936
581.7257, 19.30382
582.2078, 26.51335
582.6899, 30.11142
583.1721, 26.69423
583.6542, 21.59081
584.1363, 21.85794
584.6184, 24.91626
585.1005, 16.78236
585.5826, 5.663284
586.0648, 19.78543
586.5469, 11.71291
587.0290, 8.553802
587.5111, 20.93910
587.9932, 24.25169
588.4753, 26.27144
588.9575, 22.12299
589.4396, 18.54440
589.9217, 26.82703
590.4038, 42.68544
590.8859, 55.45062
591.3680, 59.82153
591.8502, 56.65262
592.3323, 43.08015
592.8144, 16.80147
593.2965, 6.476364
593.7786, 23.26956
594.2607, 43.61331
594.7429, 52.41647
595.2250, 52.45923
595.7071, 49.71472
596.1892, 45.05472
596.6713, 37.40002
597.1534, 18.14517
597.6356, 1.320923
598.1177, 0.6902010
598.5998, 20.08920
599.0819, 39.30675
599.5640, 37.68690
600.0461, 20.82181
600.5283, 19.86406
601.0104, 44.73027
601.4925, 61.16275
601.9746, 48.54765
602.4567, 35.61176
602.9388, 52.07257
603.4210, 92.96439
603.9031, 114.0309
604.3852, 80.95865
604.8673, 36.99727
605.3494, 18.43721
605.8315, 18.85449
606.3137, 21.79401
606.7958, 21.94690
607.2779, 20.17178
607.7600, 17.12555
608.2421, 12.54474
608.7242, 10.25621
609.2064, 11.67989
609.6885, 13.49580
610.1706, 14.28183
610.6527, 15.21342
611.1348, 18.44060
611.6169, 24.40886
612.0991, 28.53143
612.5812, 26.17688
613.0633, 21.32506
613.5454, 19.90852
614.0275, 21.60770
614.5096, 22.67809
614.9918, 21.36328
615.4739, 18.44121
615.9560, 15.14496
616.4381, 10.38849
616.9202, 8.419296
617.4023, 11.03812
617.8845, 14.51462
618.3666, 17.80493
618.8487, 21.58438
619.3308, 25.02953
619.8129, 25.93259
620.2950, 29.86887
620.7772, 48.73097
621.2593, 71.31387
621.7414, 68.37244
622.2235, 38.36382
622.7056, 11.54964
623.1877, 7.489578
623.6699, 20.27478
624.1520, 31.47324
624.6341, 45.57613
625.1162, 49.94293
625.5983, 31.93631
626.0804, 16.83362
626.5626, 24.82103
627.0446, 46.59845
627.5267, 57.33054
628.0089, 42.71603
628.4910, 25.67171
628.9731, 31.44427
629.4552, 52.38641
629.9373, 60.19908
630.4194, 50.97879
630.9016, 40.03091
631.3837, 36.64256
631.8658, 40.87802
632.3479, 47.64615
632.8300, 69.34845
633.3121, 75.08987
633.7943, 45.87453
634.2764, 14.70518
634.7585, 4.653336
635.2406, 14.05138
635.7227, 29.23134
636.2048, 47.08340
636.6870, 62.02097
637.1691, 66.85437
637.6512, 63.01538
638.1333, 54.34906
638.6154, 41.26862
639.0975, 29.40706
639.5797, 23.88069
640.0618, 24.51851
640.5439, 28.00351
641.0260, 41.05020
641.5081, 47.76248
641.9902, 41.84372
642.4724, 32.38441
642.9545, 25.32448
643.4366, 21.27654
643.9187, 19.44972
644.4008, 26.47481
644.8829, 32.23727
645.3651, 13.84816
645.8472, 19.29369
646.3293, 26.52386
646.8114, 4.664581
647.2935, 44.63799
647.7756, 62.51682
648.2578, 58.14102
648.7399, 52.81136
649.2220, 42.32899
649.7041, 35.74496
650.1862, 38.09596
650.6683, 42.34048
651.1505, 42.10951
651.6326, 37.23367
652.1147, 32.28006
652.5968, 28.83734
653.0789, 27.11317
653.5610, 29.27435
654.0432, 33.49541
654.5253, 32.79208
655.0074, 25.00188
655.4895, 16.37956
655.9716, 14.90157
656.4537, 20.72203
656.9359, 21.02264
657.4180, 8.382385
657.9001, 2.010361
658.3822, 12.16127
658.8643, 25.82253
659.3464, 30.96500
659.8286, 27.22893
660.3107, 24.07497
660.7928, 29.23306
661.2749, 33.91055
661.7570, 24.27647
662.2391, 7.977280
662.7213, 7.799011
663.2034, 29.89818
663.6855, 53.71996
664.1676, 53.90340
664.6497, 32.31259
665.1318, 28.20023
665.6140, 53.67450
666.0961, 73.55408
666.5782, 70.11972
667.0603, 62.05836
667.5424, 68.97186
668.0245, 90.56136
668.5067, 103.3108
668.9888, 94.17993
669.4709, 79.36494
669.9530, 66.85391
670.4351, 57.55843
670.9172, 54.89337
671.3994, 58.67802
671.8815, 59.50543
672.3636, 45.17744
672.8457, 19.32262
673.3278, 8.335968
673.8099, 16.46440
674.2921, 23.62924
674.7742, 25.18869
675.2563, 21.95613
675.7384, 10.33746
676.2205, 9.231140
676.7026, 15.46289
677.1848, 6.110428
677.6669, 28.42247
678.1490, 43.67596
678.6311, 50.32193
679.1132, 44.97173
679.5953, 30.51717
680.0775, 20.22737
680.5596, 27.82680
681.0417, 46.57147
681.5238, 56.62299
682.0059, 57.75780
682.4880, 61.24751
682.9702, 72.99210
683.4523, 81.75815
683.9344, 74.22440
684.4165, 49.55362
684.8986, 27.08148
685.3807, 3.191498
685.8629, 18.93561
686.3450, 0.1887660
686.8271, 25.65866
687.3092, 25.65941
687.7913, 2.117676
688.2734, 13.69499
688.7556, 3.300583
689.2377, 31.97121
689.7198, 41.53954
690.2019, 36.69553
690.6840, 37.51590
691.1661, 49.14017
691.6483, 61.07852
692.1304, 63.63901
692.6125, 57.60144
693.0946, 50.54312
693.5767, 40.88118
694.0588, 32.99380
694.5410, 23.86166
695.0231, 19.71004
695.5052, 28.30345
695.9873, 46.19487
696.4694, 59.80147
696.9515, 62.49876
697.4337, 62.50734
697.9158, 67.22552
698.3979, 72.20087
698.8800, 68.15948
699.3621, 55.42694
699.8442, 44.24286
700.3264, 41.90349
700.8085, 46.52394
701.2906, 53.43915
701.7727, 63.20808
702.2548, 72.63577
702.7369, 83.93588
703.2191, 90.42485
703.7012, 85.58994
704.1833, 71.47009
704.6654, 53.98489
705.1475, 23.41515
705.6296, 1.845352
706.1118, 4.570526
706.5939, 0.4555050
707.0760, 18.10995
707.5581, 43.53479
708.0402, 58.10066
708.5223, 52.37927
709.0044, 38.08557
709.4865, 28.53688
709.9686, 23.34695
710.4507, 21.69896
710.9329, 23.72711
711.4150, 25.17935
711.8971, 22.95468
712.3792, 20.20349
712.8613, 23.06892
713.3434, 33.46701
713.8256, 41.57854
714.3077, 46.17256
714.7898, 49.97026
715.2719, 56.31818
715.7540, 61.59752
716.2361, 58.92747
716.7183, 46.04636
717.2004, 35.44371
717.6825, 37.00902
718.1646, 42.73859
718.6467, 40.42191
719.1288, 34.04089
719.6110, 42.21909
720.0931, 72.02524
720.5752, 97.43872
721.0573, 75.44257
721.5394, 8.788437
722.0215, 7.653091
722.5037, 46.90639
722.9858, 85.36444
723.4679, 67.70825
723.9500, 29.92426
724.4321, 17.90486
724.9142, 31.47737
725.3964, 44.23196
725.8785, 56.84686
726.3606, 64.67975
726.8427, 64.12177
727.3248, 58.92055
727.8069, 49.56491
728.2891, 38.67929
728.7712, 36.63217
729.2533, 56.84424
729.7354, 82.59268
730.2175, 84.08180
730.6996, 66.88394
731.1818, 57.72726
731.6639, 62.78029
732.1460, 68.26088
732.6281, 60.04082
733.1102, 41.69609
733.5923, 31.44089
734.0745, 36.27100
734.5566, 32.11858
735.0387, 1.849045
735.5208, 21.76428
736.0029, 13.03775
736.4850, 16.64317
736.9672, 38.08913
737.4493, 43.63116
737.9314, 44.66409
738.4135, 41.46107
738.8956, 39.51216
739.3777, 46.47659
739.8599, 59.72015
740.3420, 70.91606
740.8241, 76.09332
741.3062, 76.81494
741.7883, 74.31827
742.2704, 69.04865
742.7526, 63.27420
743.2347, 56.61050
743.7168, 49.72604
744.1989, 44.50261
744.6810, 42.33942
745.1631, 48.83095
745.6453, 68.97888
746.1274, 76.33202
746.6095, 63.69696
747.0916, 50.39635
747.5737, 38.26663
748.0558, 30.27641
748.5380, 31.26921
749.0201, 41.12434
749.5022, 50.78082
749.9843, 57.40405
750.4664, 60.86278
750.9485, 59.68994
751.4307, 55.65155
751.9128, 52.54411
752.3949, 50.78372
752.8770, 46.40363
753.3591, 34.62984
753.8412, 19.90817
754.3234, 14.98526
754.8055, 20.04657
755.2876, 32.79361
755.7697, 56.81747
756.2518, 76.52609
756.7339, 78.97945
757.2161, 67.02487
757.6982, 53.91805
758.1803, 28.02693
758.6624, 18.15767
759.1445, 42.10791
759.6266, 64.86856
760.1088, 64.78659
760.5909, 49.79883
761.0730, 36.81734
761.5551, 31.32408
762.0372, 27.76450
762.5193, 21.83510
763.0015, 18.45621
763.4836, 21.62915
763.9657, 32.16071
764.4478, 59.13467
764.9299, 104.7119
765.4120, 141.5208
765.8942, 127.8066
766.3763, 71.42978
766.8584, 39.62564
767.3405, 35.29344
767.8226, 35.47589
768.3047, 35.21260
768.7869, 31.47804
769.2690, 17.05193
769.7511, 8.870544
770.2332, 14.25203
770.7153, 28.54243
771.1974, 54.13794
771.6796, 34.05647
772.1617, 8.880463
772.6438, 13.65828
773.1259, 42.23367
773.6080, 64.32230
774.0901, 70.27379
774.5723, 64.44518
775.0544, 40.34032
775.5365, 11.62759
776.0186, 4.298599
776.5007, 6.635849
776.9828, 0.3721620
777.4650, 12.38374
777.9471, 26.71837
778.4292, 34.96205
778.9113, 37.58913
779.3934, 38.44044
779.8755, 36.66170
780.3577, 38.25330
780.8398, 45.74257
781.3219, 54.50095
781.8040, 56.50607
