##NAMES=Pyrrhotite
##RRUFFID=R061127
##IDEAL CHEMISTRY=Fe^2+^_5_Fe^3+^_2_S^2-^_8_
##LOCALITY=Morro Velho Gold mine, Nova Umha, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brass colored, prismatic crystals associated with quartz and dolomite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R061127
483.5303, 5.168215
484.0124, 7.126577
484.4945, 6.076151
484.9766, 4.912735
485.4587, 5.554514
485.9409, 7.355344
486.4230, 8.508832
486.9051, 7.986438
487.3872, 6.267235
487.8693, 4.666716
488.3514, 2.853289
488.8336, 1.803592
489.3157, 1.741963
489.7978, 2.232873
490.2799, 3.513626
490.7620, 5.230907
491.2441, 6.141479
491.7263, 4.661948
492.2084, 1.581088
492.6905, 1.150718
493.1726, 4.893049
493.6547, 7.615482
494.1368, 5.847500
494.6190, 2.621090
495.1011, 1.131527
495.5832, 2.123488
496.0653, 3.315536
496.5474, 2.644871
497.0295, 0.7957920
497.5117, 3.4125999E-02
497.9938, 0.6519810
498.4759, 1.606919
498.9580, 1.661492
499.4401, 1.074149
499.9222, 1.224941
500.4044, 2.863626
500.8865, 4.568810
501.3686, 5.961536
501.8507, 6.852749
502.3328, 6.630803
502.8149, 5.045325
503.2971, 3.113117
503.7792, 2.298031
504.2613, 2.976021
504.7434, 3.471109
505.2255, 3.677615
505.7076, 3.824422
506.1898, 4.178288
506.6719, 4.684611
507.1540, 4.532153
507.6361, 3.461195
508.1182, 2.130412
508.6003, 2.198673
509.0825, 4.536957
509.5646, 5.933426
510.0467, 5.675505
510.5288, 4.743569
511.0109, 3.159618
511.4930, 1.268118
511.9752, 3.5682999E-02
512.4573, 8.1660002E-02
512.9394, 1.013123
513.4215, 2.647438
513.9036, 5.450323
514.3857, 7.394382
514.8679, 7.054285
515.3500, 5.722304
515.8321, 5.301718
516.3142, 5.972013
516.7963, 6.228387
517.2784, 5.068547
517.7606, 3.282954
518.2427, 1.664731
518.7248, 0.3465720
519.2069, 1.2125000E-02
519.6890, 1.190336
520.1711, 3.652210
520.6533, 5.854549
521.1354, 8.757947
521.6175, 10.21417
522.0996, 8.868641
522.5817, 6.483418
523.0638, 4.737015
523.5460, 3.937983
524.0281, 3.457790
524.5102, 2.598630
524.9923, 1.402772
525.4744, 1.540315
525.9565, 5.086962
526.4387, 7.203843
526.9208, 5.434652
527.4029, 2.493301
527.8850, 1.378525
528.3671, 2.798115
528.8492, 4.904199
529.3314, 5.827824
529.8135, 5.681465
530.2956, 5.618323
530.7777, 5.857829
531.2598, 5.853315
531.7419, 5.041759
532.2241, 3.782241
532.7062, 2.537903
533.1883, 1.004060
533.6704, 3.5399999E-02
534.1525, 0.6129880
534.6346, 2.149720
535.1168, 3.325416
535.5989, 3.810232
536.0810, 3.846212
536.5631, 3.429070
537.0452, 2.525378
537.5273, 2.073158
538.0095, 2.496140
538.4916, 2.853871
538.9737, 2.748699
539.4558, 2.322249
539.9379, 1.997503
540.4200, 1.917429
540.9022, 2.266891
541.3843, 3.480492
541.8664, 5.933025
542.3485, 7.473692
542.8306, 7.306852
543.3127, 6.797672
543.7948, 6.182085
544.2769, 5.520714
544.7590, 4.781333
545.2411, 3.909433
545.7233, 3.284829
546.2054, 3.494213
546.6875, 4.492772
547.1696, 5.694296
547.6517, 7.259217
548.1339, 8.535975
548.6160, 8.671136
549.0981, 8.043603
549.5802, 7.697755
550.0623, 8.018634
550.5444, 8.466663
551.0266, 9.132670
551.5087, 9.629494
551.9908, 8.769952
552.4729, 6.141176
552.9550, 3.134946
553.4371, 1.374412
553.9193, 0.8859920
554.4014, 1.643359
554.8835, 5.248800
555.3656, 8.141972
555.8477, 8.366117
556.3298, 7.294475
556.8120, 7.266439
557.2941, 9.081894
557.7762, 11.12532
558.2583, 10.87921
558.7404, 8.050079
559.2225, 5.448311
559.7047, 2.759149
560.1868, 0.8926190
560.6689, 0.1536940
561.1510, 0.4336180
561.6331, 1.923495
562.1152, 5.406244
562.5974, 8.035175
563.0795, 5.872887
563.5616, 0.4789370
564.0437, 2.150784
564.5258, 0.4580540
565.0079, 2.342568
565.4901, 3.355084
565.9722, 2.659434
566.4543, 2.653405
566.9364, 4.390911
567.4185, 5.611046
567.9006, 5.382137
568.3828, 4.140448
568.8649, 1.904099
569.3470, 1.063095
569.8291, 3.058447
570.3112, 1.724392
570.7933, 3.243327
571.2755, 6.179310
571.7576, 5.695965
572.2397, 4.833408
572.7218, 3.932897
573.2039, 3.217257
573.6860, 3.008448
574.1682, 3.380791
574.6503, 4.055248
575.1324, 4.810396
575.6145, 5.651287
576.0966, 6.789972
576.5787, 8.484194
577.0609, 9.476648
577.5430, 8.624383
578.0251, 6.620874
578.5072, 5.211853
578.9893, 4.629171
579.4714, 4.194653
579.9536, 3.504603
580.4357, 2.898120
580.9178, 2.916337
581.3999, 3.545005
581.8820, 4.180631
582.3641, 4.331549
582.8463, 4.126945
583.3284, 4.350952
583.8105, 5.931616
584.2926, 6.563852
584.7747, 5.284981
585.2568, 3.647248
585.7390, 2.799664
586.2211, 2.783380
586.7032, 2.990833
587.1853, 2.974107
587.6674, 2.882139
588.1495, 3.129889
588.6317, 3.748608
589.1138, 4.550264
589.5959, 5.699896
590.0780, 6.793045
590.5601, 7.449512
591.0422, 7.677538
591.5244, 7.388390
592.0065, 5.802315
592.4886, 4.276387
592.9707, 4.399116
593.4528, 5.726225
593.9349, 6.684316
594.4171, 6.605473
594.8992, 5.642488
595.3813, 3.848828
595.8634, 0.2142990
596.3455, 1.170139
596.8276, 1.991703
597.3098, 4.814724
597.7919, 4.882006
598.2740, 3.234398
598.7561, 1.235535
599.2382, 0.6168250
599.7203, 1.458458
600.2025, 1.004621
600.6846, 6.615189
601.1667, 8.685990
601.6488, 4.997632
602.1309, 0.8367310
