##NAMES=Bornite
##RRUFFID=R070636
##IDEAL CHEMISTRY=Cu^1+^_5_Fe^3+^S^2-^_4_
##LOCALITY=mine 65, 180 m. level, Dzheskazgan mining district, central Kazakhstan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Iridescent blue metallic crystal associated with calcite, malachite and hematite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070636
394.8120, 19.57291
395.2942, 19.59219
395.7763, 25.00497
396.2584, 36.39536
396.7405, 46.87012
397.2226, 49.20273
397.7047, 43.34161
398.1869, 35.99863
398.6690, 24.36081
399.1511, 15.33075
399.6332, 14.02307
400.1153, 18.42621
400.5974, 22.59216
401.0796, 22.42151
401.5617, 20.11273
402.0438, 21.35294
402.5259, 27.48285
403.0080, 31.91580
403.4901, 31.29572
403.9723, 26.53860
404.4544, 17.60794
404.9365, 0.1516420
405.4186, 14.28113
405.9007, 13.75281
406.3828, 0.7009280
406.8650, 12.33316
407.3471, 22.26410
407.8292, 28.22418
408.3113, 27.89142
408.7934, 19.70749
409.2755, 13.00461
409.7577, 13.92221
410.2398, 17.77365
410.7219, 17.20743
411.2040, 10.91031
411.6861, 4.794830
412.1682, 5.386749
412.6504, 13.90402
413.1325, 18.55460
413.6146, 15.20670
414.0967, 11.93784
414.5788, 13.57104
415.0609, 19.21973
415.5431, 25.63864
416.0252, 31.01193
416.5073, 35.32440
416.9894, 38.57922
417.4715, 45.20361
417.9536, 45.98975
418.4358, 32.13574
418.9179, 15.40500
419.4000, 9.311676
419.8821, 17.63293
420.3642, 31.15359
420.8463, 36.19501
421.3285, 28.30283
421.8106, 24.55469
422.2927, 27.60361
422.7748, 32.21973
423.2569, 36.27716
423.7390, 39.58499
424.2212, 43.20651
424.7033, 48.54810
425.1854, 54.82126
425.6675, 56.30991
426.1496, 49.62906
426.6317, 43.83875
427.1139, 43.73288
427.5960, 45.92453
428.0781, 46.07675
428.5602, 42.52982
429.0423, 37.08536
429.5244, 30.44635
430.0066, 22.41284
430.4887, 19.13120
430.9708, 25.68069
431.4529, 34.69183
431.9350, 37.21567
432.4171, 32.87363
432.8993, 29.24118
433.3814, 31.94189
433.8635, 36.92694
434.3456, 36.23135
434.8277, 28.43097
435.3098, 18.75369
435.7920, 10.16812
436.2741, 2.942291
436.7562, 0.4720460
437.2383, 2.148560
437.7204, 6.626343
438.2025, 10.41153
438.6847, 14.02429
439.1668, 20.23337
439.6489, 31.47601
440.1310, 43.64407
440.6131, 47.02728
441.0952, 29.74472
441.5774, 20.45795
442.0595, 26.34802
442.5416, 37.31503
443.0237, 45.24753
443.5058, 48.28088
443.9879, 47.28207
444.4701, 39.57123
444.9522, 22.84576
445.4343, 13.87152
445.9164, 19.19507
446.3985, 25.82230
446.8806, 31.76608
447.3628, 35.65036
447.8449, 36.09720
448.3270, 31.60809
448.8091, 24.83685
449.2912, 23.06940
449.7733, 28.94620
450.2555, 32.35178
450.7375, 25.33731
451.2197, 17.84528
451.7018, 19.22556
452.1839, 29.83694
452.6660, 40.54709
453.1481, 44.41330
453.6302, 42.23599
454.1124, 36.52780
454.5945, 25.01498
455.0766, 15.55368
455.5587, 19.10605
456.0408, 30.83395
456.5229, 35.91553
457.0051, 23.97998
457.4872, 9.466705
457.9693, 5.420227
458.4514, 10.61185
458.9335, 18.22644
459.4156, 26.32623
459.8978, 33.12531
460.3799, 32.62823
460.8620, 18.51910
461.3441, 10.24759
461.8262, 17.20328
462.3083, 28.44348
462.7905, 31.59805
463.2726, 24.10361
463.7547, 13.76480
464.2368, 8.537567
464.7189, 8.544006
465.2010, 7.076996
