##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
535.8743, 362.8199
536.3564, 363.7390
536.8386, 346.1954
537.3207, 316.8779
537.8028, 304.5812
538.2849, 311.6882
538.7670, 321.6608
539.2491, 324.6041
539.7313, 321.4220
540.2134, 317.2910
540.6955, 314.4316
541.1776, 311.7194
541.6597, 304.5659
542.1418, 296.4407
542.6240, 295.3789
543.1061, 309.3361
543.5882, 322.9713
544.0703, 322.9897
544.5524, 314.0020
545.0345, 307.1295
545.5167, 310.1370
545.9988, 313.4657
546.4809, 312.3699
546.9630, 306.2021
547.4451, 299.8555
547.9272, 290.6743
548.4094, 283.8140
548.8915, 283.8594
549.3736, 298.2518
549.8557, 305.5491
550.3378, 301.5953
550.8199, 291.3595
551.3021, 286.6780
551.7842, 289.1675
552.2663, 289.4525
552.7484, 282.8815
553.2305, 271.0640
553.7126, 261.0426
554.1948, 252.7078
554.6769, 248.0570
555.1590, 252.1542
555.6411, 260.6088
556.1232, 263.9811
556.6053, 259.8831
557.0875, 253.2399
557.5696, 249.2760
558.0517, 245.6083
558.5338, 238.1799
559.0159, 217.2534
559.4980, 199.9530
559.9802, 198.2411
560.4623, 209.4879
560.9444, 213.1189
561.4265, 198.2117
561.9086, 180.3837
562.3907, 166.3208
562.8729, 154.9550
563.3550, 151.2006
563.8371, 160.5419
564.3192, 171.5386
564.8013, 169.1704
565.2834, 149.5248
565.7656, 138.1061
566.2477, 141.4178
566.7298, 153.6115
567.2119, 163.3054
567.6940, 170.3995
568.1761, 172.9008
568.6583, 165.9551
569.1404, 155.0111
569.6225, 151.8865
570.1046, 156.7484
570.5867, 157.7352
571.0688, 137.0898
571.5510, 112.1930
572.0331, 103.6359
572.5152, 126.2302
572.9973, 145.0883
573.4794, 142.9891
573.9615, 129.4895
574.4437, 120.5421
574.9258, 124.7021
575.4079, 126.7339
575.8900, 124.0245
576.3721, 116.6677
576.8542, 104.5577
577.3364, 83.06458
577.8185, 65.87317
578.3006, 62.78137
578.7827, 74.62720
579.2648, 84.21570
579.7469, 91.69775
580.2291, 95.91968
580.7112, 92.46423
581.1933, 83.90271
581.6754, 80.98291
582.1575, 89.25024
582.6396, 100.1176
583.1218, 104.7386
583.6039, 103.9850
584.0860, 100.3246
584.5681, 89.83875
585.0502, 80.92834
585.5323, 81.59436
586.0145, 92.15955
586.4966, 97.27979
586.9787, 85.50574
587.4608, 72.16626
587.9429, 67.82239
588.4250, 82.82129
588.9072, 86.21338
589.3893, 70.60364
589.8714, 49.46484
590.3535, 42.82227
590.8356, 54.03235
591.3177, 63.35596
591.7999, 66.01941
592.2820, 63.85156
592.7641, 59.80029
593.2462, 54.12085
593.7283, 52.60889
594.2104, 65.53479
594.6926, 82.38318
595.1747, 83.06445
595.6568, 66.59204
596.1389, 50.16748
596.6210, 48.08667
597.1031, 51.33960
597.5853, 50.63318
598.0674, 41.56140
598.5495, 32.68457
599.0316, 25.94043
599.5137, 21.00781
599.9958, 17.33069
600.4780, 13.52185
600.9601, 12.75256
601.4423, 15.97412
601.9244, 22.75085
602.4065, 32.40869
602.8886, 47.29175
603.3707, 57.85229
603.8528, 57.19604
604.3350, 46.42517
604.8171, 37.26160
605.2992, 29.79761
605.7813, 23.59766
606.2634, 17.20020
606.7455, 11.73694
607.2277, 9.840820
607.7098, 13.25195
608.1919, 17.62756
608.6740, 19.71289
609.1561, 20.35669
609.6382, 21.01172
610.1204, 22.78577
610.6025, 24.08276
611.0846, 25.65625
611.5667, 26.97510
612.0488, 23.57227
612.5309, 10.37280
613.0131, 1.093506
613.4952, 6.135132
613.9773, 4.714600
614.4594, 0.8115230
614.9415, 11.98755
615.4236, 23.30688
615.9058, 30.22144
616.3879, 33.63062
616.8700, 32.37329
617.3521, 23.29529
617.8342, 11.54431
618.3163, 11.53284
618.7985, 19.41553
619.2806, 24.79419
619.7627, 17.26978
620.2448, 9.620483
620.7269, 12.00635
621.2090, 23.07996
621.6912, 35.19824
622.1733, 49.01379
622.6554, 58.75525
623.1375, 61.75391
623.6196, 57.83203
624.1017, 51.78711
624.5839, 39.26672
625.0660, 28.38611
625.5481, 25.52173
626.0302, 31.04297
626.5123, 40.53503
626.9944, 57.41284
627.4766, 72.99829
627.9587, 65.76782
628.4408, 39.42834
628.9229, 27.97302
629.4050, 52.21313
629.8871, 85.25366
630.3693, 92.98840
630.8514, 81.31042
631.3335, 69.88391
631.8156, 67.53040
632.2977, 69.54102
632.7798, 75.45691
633.2620, 85.50085
633.7441, 89.87988
634.2262, 81.54895
634.7083, 70.90601
635.1904, 63.00598
635.6725, 55.04016
636.1547, 59.27954
636.6368, 83.43848
637.1189, 108.4915
637.6010, 105.6791
638.0831, 74.29993
638.5652, 56.42529
639.0474, 64.35681
639.5295, 83.25806
640.0116, 86.78186
640.4937, 79.26538
640.9758, 76.10852
641.4579, 96.31348
641.9401, 115.7019
642.4222, 106.5980
642.9043, 73.78467
643.3864, 52.36169
643.8685, 68.33911
644.3506, 89.38501
644.8328, 96.89636
645.3149, 83.11609
645.7970, 80.43726
646.2791, 98.45752
646.7612, 117.2932
647.2433, 116.7180
647.7255, 90.22217
648.2076, 82.04749
648.6897, 101.0029
649.1718, 128.3605
649.6539, 134.1763
650.1360, 122.0479
650.6182, 110.1886
651.1003, 102.5503
651.5824, 100.7660
652.0645, 112.9958
652.5466, 133.7526
653.0287, 146.3684
653.5109, 136.6049
653.9930, 122.2185
654.4751, 110.7949
654.9572, 102.8563
655.4393, 100.1144
655.9214, 111.1732
656.4036, 119.8546
656.8857, 117.6437
657.3678, 101.2966
657.8499, 88.08826
658.3320, 77.46423
658.8141, 71.41492
659.2963, 74.43201
659.7784, 85.45984
660.2605, 94.32300
660.7426, 100.2737
661.2247, 100.8829
661.7068, 86.98547
662.1890, 65.67444
662.6711, 52.45764
663.1532, 61.76135
663.6353, 73.42139
664.1174, 77.54175
664.5995, 75.20642
665.0817, 69.99023
665.5638, 60.07458
666.0459, 50.07214
666.5280, 41.78296
667.0101, 35.20618
667.4922, 26.38660
667.9744, 13.26025
668.4565, 2.664307
668.9386, 0.6440430
669.4207, 6.572754
669.9028, 7.482666
670.3849, 2.413940
670.8671, 3.523682
671.3492, 4.469116
671.8313, 2.529541
672.3134, 1.016235
672.7955, 0.5208740
673.2776, 1.982300
673.7598, 20.97388
674.2419, 43.09644
674.7240, 48.64893
675.2061, 6.364502
675.6882, 22.58643
676.1703, 17.91553
676.6525, 8.219849
677.1346, 24.02466
677.6167, 25.23865
678.0988, 26.24890
678.5809, 33.19946
679.0630, 43.79688
679.5452, 44.20898
680.0273, 34.32019
680.5094, 25.86047
680.9915, 30.42786
681.4736, 40.53015
681.9557, 43.66260
682.4379, 39.09937
682.9200, 29.85315
683.4021, 9.655396
683.8842, 9.378174
684.3663, 14.70923
684.8484, 7.136719
685.3306, 16.32361
685.8127, 5.171631
686.2948, 35.65198
686.7769, 54.60010
687.2590, 59.75037
687.7411, 58.72717
688.2233, 49.83008
688.7054, 38.62219
689.1875, 36.27319
689.6696, 42.20520
690.1517, 49.71643
690.6339, 55.01868
691.1160, 61.96704
691.5981, 80.10046
692.0802, 105.4161
692.5623, 123.8201
693.0444, 124.3864
693.5266, 119.1978
694.0087, 111.2727
694.4908, 101.3176
694.9729, 101.2812
695.4550, 120.3441
695.9371, 142.4033
696.4193, 162.5911
696.9014, 182.0372
697.3835, 189.0861
697.8656, 180.3711
698.3477, 169.3407
698.8298, 171.3440
699.3120, 182.5029
699.7941, 181.6643
700.2762, 163.9944
700.7583, 148.1221
701.2404, 155.2115
701.7225, 175.1228
702.2047, 193.1826
702.6868, 205.5161
703.1689, 214.3486
703.6510, 220.8660
704.1331, 224.3319
704.6152, 222.9377
705.0974, 209.1666
705.5795, 202.0193
706.0616, 205.5179
706.5437, 217.1586
707.0258, 231.8821
707.5079, 250.7827
707.9901, 263.0845
708.4722, 262.8672
708.9543, 253.7919
709.4364, 241.7200
709.9185, 227.4509
710.4006, 216.2990
710.8828, 210.6964
711.3649, 210.0941
711.8470, 216.8998
712.3291, 231.3820
712.8112, 240.5282
713.2933, 232.4779
713.7755, 224.3478
714.2576, 227.8440
714.7397, 249.7175
715.2218, 256.1244
715.7039, 240.1620
716.1860, 222.0298
716.6682, 225.5769
717.1503, 248.3905
717.6324, 259.9227
718.1145, 255.0596
718.5966, 244.1626
719.0787, 230.5764
719.5609, 220.7177
