##NAMES=Benjaminite
##RRUFFID=R070399
##IDEAL CHEMISTRY=Ag_3_Bi_7_S_12_
##LOCALITY=Outlaw Mine, Round Mountain District, Nye County, Nevada, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black polished crystals embedded in epoxy, co-type specimen
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070399
460.1451, 7.973640
460.6272, 13.01984
461.1093, 7.037285
461.5915, 2.477379
462.0736, 6.408295
462.5557, 7.172066
463.0378, 18.96649
463.5199, 19.68792
464.0020, 10.91804
464.4842, 5.200409
464.9663, 7.984001
465.4484, 12.40930
465.9305, 14.78543
466.4126, 12.88840
466.8947, 12.72036
467.3769, 15.79560
467.8590, 19.93349
468.3411, 21.44470
468.8232, 19.02368
469.3053, 16.50693
469.7874, 14.72563
470.2696, 13.67992
470.7517, 13.32983
471.2338, 13.61561
471.7159, 14.76892
472.1980, 17.24718
472.6801, 21.03287
473.1623, 24.78645
473.6444, 28.34657
474.1265, 31.79316
474.6086, 36.47237
475.0907, 41.80154
475.5728, 44.01403
476.0550, 38.81646
476.5371, 30.00977
477.0192, 22.89355
477.5013, 17.58009
477.9834, 15.48774
478.4655, 20.93990
478.9477, 29.28357
479.4298, 34.40282
479.9119, 34.14133
480.3940, 30.75737
480.8761, 21.96872
481.3582, 10.15836
481.8404, 3.864838
482.3225, 8.987961
482.8046, 16.56505
483.2867, 23.54403
483.7688, 30.97017
484.2509, 33.21794
484.7331, 23.61998
485.2152, 11.82687
485.6973, 6.822296
486.1794, 12.51041
486.6615, 18.77813
487.1436, 25.58064
487.6258, 32.07737
488.1079, 32.52217
488.5900, 24.17283
489.0721, 16.92533
489.5542, 18.19823
490.0363, 28.11321
490.5185, 31.20704
491.0006, 25.74378
491.4827, 17.85050
491.9648, 15.62346
492.4470, 18.18152
492.9291, 20.87559
493.4112, 22.28680
493.8933, 22.79219
494.3754, 23.99909
494.8575, 25.37540
495.3397, 23.51440
495.8218, 10.77448
496.3039, 3.812027
496.7860, 9.472122
497.2681, 2.872673
497.7502, 5.251797
498.2324, 10.69278
498.7145, 13.81661
499.1966, 15.22229
499.6787, 14.29221
500.1608, 12.42009
500.6429, 8.741688
501.1251, 3.584934
501.6072, 1.775852
502.0893, 7.920811
502.5714, 13.66784
503.0535, 14.73658
503.5356, 7.949287
504.0178, 4.307823
504.4999, 5.379704
504.9820, 8.205845
505.4641, 7.683208
505.9462, 2.781174
506.4283, 0.1981090
506.9105, 0.8648610
507.3926, 5.233490
507.8747, 11.26585
508.3568, 19.16606
508.8389, 25.22148
509.3210, 25.05973
509.8032, 21.00842
510.2853, 20.30582
510.7674, 24.78213
511.2495, 28.62973
511.7316, 24.20512
512.2137, 14.81535
512.6959, 7.265755
513.1780, 2.735516
513.6601, 2.287460
514.1422, 8.885437
514.6243, 21.37992
515.1064, 32.06387
515.5886, 40.67640
516.0707, 44.62535
516.5528, 41.58541
517.0349, 27.23423
517.5170, 14.30423
517.9991, 1.540916
518.4813, 8.124943
518.9634, 10.26104
519.4455, 0.1952670
519.9276, 8.871395
520.4097, 15.01514
520.8918, 18.15826
521.3740, 21.56763
521.8561, 25.84978
522.3382, 28.38807
522.8203, 25.50793
523.3024, 17.82369
523.7845, 17.15464
524.2667, 25.85617
524.7488, 35.04566
525.2309, 30.63539
525.7130, 16.95339
526.1951, 9.879322
526.6772, 20.01041
527.1594, 33.48580
527.6415, 31.92083
528.1236, 18.33099
528.6057, 5.872242
529.0878, 2.588181
529.5699, 3.047642
530.0521, 3.476360
530.5342, 3.312553
531.0163, 3.504410
531.4984, 4.216724
531.9805, 5.321354
532.4626, 6.594597
532.9448, 6.241043
533.4269, 8.349487
533.9090, 16.24739
534.3911, 27.25332
534.8732, 29.64270
535.3553, 17.79420
535.8375, 7.963387
536.3196, 9.136776
536.8017, 22.19487
537.2838, 26.81236
537.7659, 21.29234
538.2480, 13.05486
538.7302, 10.54736
539.2123, 12.83350
539.6944, 13.16987
540.1765, 8.955677
540.6586, 4.254707
541.1407, 6.618832
541.6229, 13.85210
542.1050, 18.10960
542.5871, 11.85861
543.0692, 2.923481
543.5513, 1.548325
544.0334, 1.162060
544.5156, 0.1465530
544.9977, 0.9949300
545.4798, 1.728283
545.9619, 0.6648940
546.4440, 4.612862
546.9261, 8.567169
547.4083, 8.687656
547.8904, 7.377880
548.3725, 9.366138
548.8546, 19.21122
549.3367, 24.64086
549.8188, 20.57619
550.3010, 8.291069
550.7831, 3.352261
551.2652, 7.312759
551.7473, 13.45786
552.2294, 17.42101
552.7115, 19.36208
553.1937, 20.73347
553.6758, 21.74173
554.1579, 21.53144
554.6400, 18.43879
555.1221, 14.11828
555.6042, 10.87507
556.0864, 8.741543
556.5685, 8.478008
557.0506, 12.60440
557.5327, 19.72700
558.0148, 24.58368
558.4969, 23.40387
558.9791, 20.07005
559.4612, 16.00521
559.9433, 10.60284
560.4254, 8.632095
560.9075, 15.53613
561.3896, 23.66489
561.8718, 26.18302
562.3539, 18.23697
562.8360, 13.31488
563.3181, 12.51630
563.8002, 14.50429
564.2823, 16.35363
564.7645, 18.17485
565.2466, 19.65767
565.7287, 20.71690
566.2108, 21.32499
566.6929, 21.40869
567.1750, 20.98225
567.6572, 19.68684
568.1393, 15.03654
568.6214, 9.674618
569.1035, 10.42840
569.5856, 20.44042
570.0677, 29.34635
570.5499, 25.29143
571.0320, 15.29941
571.5141, 9.942280
571.9962, 18.93161
572.4783, 27.47868
572.9604, 29.23114
573.4426, 25.28811
573.9247, 21.20533
574.4068, 16.82475
574.8889, 13.64267
575.3710, 12.41434
575.8531, 13.48583
576.3353, 14.32937
576.8174, 15.89338
577.2995, 17.57140
577.7816, 17.29745
578.2637, 14.86880
578.7458, 11.84662
579.2280, 7.961456
579.7101, 4.536434
580.1922, 4.502247
580.6743, 7.111885
581.1564, 9.494595
581.6385, 11.40168
582.1207, 11.90882
582.6028, 7.945370
583.0849, 0.3593710
583.5670, 4.504951
584.0491, 0.5547520
584.5313, 7.632313
585.0134, 10.10981
585.4955, 5.263115
585.9776, 1.490036
586.4597, 2.332741
586.9418, 4.751648
587.4240, 5.194721
587.9061, 0.8818740
588.3882, 1.196072
588.8703, 0.5468250
589.3524, 4.936367
589.8345, 8.644962
590.3167, 12.28301
590.7988, 14.23358
591.2809, 13.13556
591.7630, 9.667168
592.2451, 6.620964
592.7272, 3.919529
593.2094, 3.540653
593.6915, 9.602676
594.1736, 18.65778
594.6557, 24.13139
595.1378, 24.60523
595.6199, 22.55106
596.1021, 17.32944
596.5842, 11.37453
597.0663, 8.145687
597.5485, 12.16935
598.0306, 15.58346
598.5127, 14.21701
598.9948, 9.719719
599.4769, 9.464272
599.9590, 18.94290
600.4412, 26.54908
600.9233, 27.79767
601.4054, 22.04155
601.8875, 18.64418
602.3696, 18.61599
602.8517, 18.53827
603.3339, 14.30274
603.8160, 6.567963
604.2981, 3.866573
604.7802, 8.001991
605.2623, 14.04856
605.7444, 15.83561
606.2266, 14.41414
606.7087, 12.57674
607.1908, 10.81881
607.6729, 9.580944
608.1550, 7.739826
608.6371, 6.429024
609.1193, 9.268993
609.6014, 25.20931
610.0835, 39.20455
610.5656, 42.05517
611.0477, 31.22727
611.5298, 25.34367
612.0120, 29.49978
612.4941, 34.33806
612.9762, 32.83553
613.4583, 21.91057
613.9404, 16.15414
614.4225, 17.29230
614.9047, 21.76848
615.3868, 25.52100
615.8689, 28.46249
616.3510, 28.65800
616.8331, 24.02826
617.3152, 18.36240
617.7974, 19.66686
618.2795, 25.65347
618.7616, 27.53818
619.2437, 14.73440
619.7258, 0.2833370
620.2079, 5.659420
620.6901, 2.553925
621.1722, 1.594593
621.6543, 4.498905
622.1364, 7.217487
622.6185, 10.55228
623.1006, 15.64484
623.5828, 19.00082
624.0649, 20.56688
624.5470, 20.44449
625.0291, 18.61821
625.5112, 14.93862
625.9933, 9.862896
626.4755, 2.365574
626.9576, 4.908482
627.4397, 5.224430
627.9218, 0.5821610
628.4039, 6.137020
628.8860, 8.702744
629.3682, 9.000156
629.8503, 6.099461
630.3324, 0.7666850
630.8145, 1.272449
631.2966, 8.349754
631.7787, 18.97044
632.2609, 21.98130
632.7430, 13.67664
633.2251, 8.119034
633.7072, 10.41836
634.1893, 15.13230
634.6714, 18.01662
635.1536, 19.43408
635.6357, 17.83688
636.1178, 11.83007
636.5999, 4.131687
637.0820, 0.8687440
637.5641, 3.159473
638.0463, 1.630356
638.5284, 6.654320
639.0105, 16.73888
639.4926, 16.93196
639.9747, 8.938663
640.4568, 2.652561
640.9390, 5.115700
641.4211, 11.03277
641.9032, 18.16883
642.3853, 25.98141
642.8674, 28.97847
643.3495, 18.70385
643.8317, 6.991226
644.3138, 2.615940
644.7959, 14.01036
645.2780, 17.90166
645.7601, 8.880566
646.2422, 2.977882
646.7244, 4.848732
647.2065, 5.255428
647.6886, 15.14735
648.1707, 23.75883
648.6528, 29.50999
649.1349, 27.48937
649.6171, 18.73255
650.0992, 10.55313
650.5813, 5.958130
651.0634, 4.053116
651.5455, 4.346817
652.0276, 6.589371
652.5098, 9.432106
