##NAMES=Yarrowite
##RRUFFID=R060536
##IDEAL CHEMISTRY=Cu_9_S_8_
##LOCALITY=Yarrow Creek, southwestern Alberta, Canada
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black metallic massive, amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060536
301.833, 28.244
302.316, 37.829
302.798, 31.150
303.280, 20.147
303.762, 31.481
304.244, 4.349
304.726, 40.566
305.208, 65.887
305.690, 72.663
306.173, 5.366
306.655, 32.444
307.137, 59.808
307.619, 89.148
308.101, 107.132
308.583, 118.182
309.065, 129.957
309.547, 142.278
310.030, 138.996
310.512, 82.337
310.994, 12.644
311.476, 20.835
311.958, 43.903
312.440, 113.605
312.922, 130.456
313.404, 98.154
313.886, 59.839
314.369, 25.238
314.851, 0.168
315.333, 9.076
315.815, 15.112
316.297, 39.636
316.779, 52.801
317.261, 55.246
317.743, 50.449
318.225, 27.509
318.708, 4.772
319.190, 3.455
319.672, 34.509
320.154, 53.375
320.636, 15.975
321.118, 60.021
321.600, 107.354
322.082, 97.986
322.565, 63.825
323.047, 19.772
323.529, 62.562
324.011, 110.949
324.493, 90.289
324.975, 25.572
325.457, 13.111
325.939, 3.709
326.422, 29.672
326.904, 47.047
327.386, 51.365
327.868, 52.736
328.350, 43.270
328.832, 31.844
329.314, 36.832
329.796, 84.482
330.278, 120.394
330.760, 124.177
331.243, 82.532
331.725, 49.669
332.207, 27.398
332.689, 13.158
333.171, 3.610
333.653, 0.672
334.135, 0.558
334.617, 0.099
335.100, 3.822
335.582, 1.785
336.064, 26.036
336.546, 48.075
337.028, 37.511
337.510, 20.021
337.992, 63.915
338.474, 75.909
338.957, 57.704
339.439, 41.730
339.921, 25.979
340.403, 16.559
340.885, 22.148
341.367, 44.378
341.849, 65.427
342.331, 85.099
342.813, 99.980
343.296, 92.460
343.778, 59.713
344.260, 27.086
344.742, 16.918
345.224, 27.460
345.706, 40.312
346.188, 54.453
346.670, 67.664
347.152, 71.615
347.635, 67.116
348.117, 68.626
348.599, 94.226
349.081, 133.935
349.563, 157.144
350.045, 157.062
350.527, 145.818
351.009, 130.404
351.491, 114.279
351.974, 112.414
352.456, 150.808
352.938, 202.320
353.420, 223.602
353.902, 207.080
354.384, 183.189
354.866, 165.887
355.349, 161.663
355.831, 143.428
356.313, 175.021
356.795, 194.523
357.277, 202.573
357.759, 164.226
358.241, 185.017
358.723, 182.688
359.205, 179.420
359.688, 209.101
360.170, 178.051
360.652, 207.197
361.134, 212.325
361.616, 228.441
362.098, 220.644
362.580, 220.297
363.062, 243.766
363.544, 254.053
364.027, 243.599
364.509, 235.433
364.991, 233.471
365.473, 221.998
365.955, 215.341
366.437, 216.004
366.919, 222.089
367.401, 233.468
367.884, 263.003
368.366, 278.744
368.848, 267.563
369.330, 242.213
369.812, 233.725
370.294, 253.943
370.776, 277.109
371.258, 295.072
371.741, 307.373
372.223, 317.256
372.705, 325.137
373.187, 330.589
373.669, 333.791
374.151, 334.315
374.633, 327.612
375.115, 306.688
375.597, 272.144
376.079, 262.483
376.562, 281.381
377.044, 314.032
377.526, 353.025
378.008, 401.635
378.490, 429.117
378.972, 422.180
379.454, 389.041
379.936, 354.070
380.419, 318.089
380.901, 293.202
381.383, 292.082
381.865, 310.079
382.347, 324.901
382.829, 333.619
383.311, 338.057
383.793, 343.488
384.276, 348.751
384.758, 355.297
385.240, 366.758
385.722, 379.014
386.204, 384.045
386.686, 380.120
387.168, 372.479
