##NAMES=Klyuchevskite
##RRUFFID=R070659
##IDEAL CHEMISTRY=K_3_Cu^2+^_3_Fe^3+^O_2_(S^6+^O_4_)_4_
##LOCALITY=Yadevitaya fumarole, Tolbachik volcano, Kamchatka Oblast', Far-Eastern Region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Clusters of dark green radiating prismatic crystals associated with langbeinite, co-type sample
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070659
543.5763, 43.21869
544.0584, 12.03131
544.5405, 9.662903
545.0226, 24.95416
545.5048, 39.55103
545.9869, 53.45892
546.4690, 66.00903
546.9511, 80.70416
547.4332, 93.52667
547.9153, 92.18713
548.3975, 73.02155
548.8796, 53.42712
549.3617, 54.99414
549.8438, 82.66827
550.3259, 101.1938
550.8080, 110.9048
551.2902, 112.8240
551.7723, 104.0444
552.2544, 88.68951
552.7365, 70.49982
553.2186, 51.06335
553.7007, 35.65582
554.1829, 37.66400
554.6650, 61.70752
555.1471, 68.03400
555.6292, 35.86029
556.1113, 3.739929
556.5934, 2.545715
557.0756, 11.64313
557.5577, 27.97284
558.0398, 40.82556
558.5219, 51.89056
559.0040, 68.78046
559.4861, 88.00916
559.9683, 85.21503
560.4504, 44.44159
560.9325, 7.543152
561.4146, 26.15277
561.8967, 2.399536
562.3788, 28.64716
562.8610, 57.62939
563.3431, 79.39941
563.8252, 81.74426
564.3073, 71.78278
564.7894, 71.25641
565.2715, 96.94702
565.7537, 135.7767
566.2358, 156.3306
566.7179, 158.0471
567.2000, 142.4515
567.6821, 79.77747
568.1642, 24.01477
568.6464, 15.64685
569.1285, 48.53424
569.6106, 79.97272
570.0927, 86.39319
570.5748, 79.48456
571.0569, 73.16479
571.5391, 67.72589
572.0212, 68.08691
572.5033, 79.55701
572.9854, 92.57886
573.4675, 86.79059
573.9496, 50.30377
574.4318, 27.10095
574.9139, 33.71570
575.3960, 44.96954
575.8781, 39.61700
576.3602, 21.25513
576.8423, 7.927063
577.3245, 11.96155
577.8066, 27.80975
578.2887, 38.09418
578.7708, 42.85968
579.2529, 40.61407
579.7350, 19.29541
580.2172, 0.6304320
580.6993, 3.665527
581.1814, 9.514099
581.6635, 25.59741
582.1456, 39.12659
582.6277, 51.26270
583.1099, 65.04517
583.5920, 78.94672
584.0741, 83.08405
584.5562, 70.98126
585.0383, 49.58215
585.5204, 33.44769
586.0026, 22.72430
586.4847, 16.51978
586.9668, 14.07129
587.4489, 16.66492
587.9310, 30.68231
588.4131, 51.15338
588.8953, 62.60956
589.3774, 53.57318
589.8595, 33.23633
590.3416, 31.86938
590.8237, 60.26495
591.3058, 78.04663
591.7880, 63.97925
592.2701, 47.13495
592.7522, 49.46277
593.2343, 69.06812
593.7164, 85.65149
594.1985, 86.95795
594.6807, 81.87830
595.1628, 82.18732
595.6449, 87.05750
596.1270, 90.72357
596.6091, 91.78680
597.0912, 87.52008
597.5734, 70.85638
598.0555, 26.52197
598.5376, 5.991516
599.0197, 32.09204
599.5018, 61.44513
599.9839, 63.80518
600.4661, 48.18872
600.9482, 42.16040
601.4303, 62.09241
601.9124, 93.03540
602.3945, 103.7152
602.8766, 90.55719
603.3588, 80.46436
603.8409, 79.61011
604.3230, 81.05328
604.8051, 79.80261
605.2872, 76.17517
605.7693, 71.58411
606.2515, 61.82007
606.7336, 55.28534
607.2157, 66.63037
607.6978, 87.06586
608.1799, 87.39496
608.6620, 56.07623
609.1442, 18.13831
609.6263, 10.79688
610.1084, 44.25714
610.5905, 65.92767
611.0726, 66.96759
611.5547, 66.82397
612.0369, 73.32440
612.5190, 82.77008
613.0011, 89.24835
613.4832, 90.64557
613.9653, 87.55096
614.4474, 80.79718
614.9296, 71.03986
615.4117, 55.17108
615.8938, 27.58307
616.3759, 8.458496
616.8580, 19.13330
617.3401, 51.96490
617.8223, 73.19519
618.3044, 75.03003
618.7865, 71.82489
619.2686, 73.44867
619.7507, 73.57196
620.2328, 51.10529
620.7150, 5.960999
621.1971, 32.96332
621.6792, 35.26172
622.1613, 3.675903
622.6434, 15.33130
623.1255, 11.23413
623.6077, 12.08789
624.0898, 25.77350
624.5719, 46.87231
625.0540, 76.09479
625.5361, 113.0240
626.0182, 137.0975
626.5004, 125.0189
626.9825, 96.24579
627.4646, 85.70056
627.9467, 94.03027
628.4288, 98.85284
628.9109, 87.00476
629.3931, 65.29352
629.8752, 51.24512
630.3573, 49.92841
630.8394, 48.27765
631.3215, 48.97528
631.8036, 46.98987
632.2858, 35.39178
632.7679, 18.25885
633.2500, 6.395264
633.7321, 6.180115
634.2142, 13.77838
634.6964, 23.52698
635.1785, 35.92297
635.6606, 45.03833
636.1427, 50.09009
636.6248, 50.65466
637.1069, 44.47516
637.5891, 32.79089
638.0712, 21.16333
638.5533, 10.65991
639.0354, 0.9349370
639.5175, 13.56519
639.9996, 26.70898
640.4818, 25.75647
640.9639, 7.806091
641.4460, 15.83667
641.9281, 32.47620
642.4102, 41.98676
642.8923, 47.86987
643.3745, 51.39709
643.8566, 49.01965
644.3387, 30.32288
644.8208, 10.49933
645.3029, 10.13141
645.7850, 34.22888
646.2672, 55.75122
646.7493, 54.95288
647.2314, 41.47784
647.7135, 27.28595
648.1956, 14.31134
648.6777, 13.06207
649.1599, 32.50739
649.6420, 62.95624
650.1241, 76.96436
650.6062, 59.70642
651.0883, 49.24335
651.5704, 52.50110
652.0526, 58.08838
652.5347, 56.10663
653.0168, 50.82513
653.4989, 56.29248
653.9810, 84.00452
654.4631, 114.4616
654.9453, 111.6979
655.4274, 79.25433
655.9095, 63.35046
656.3916, 76.96613
656.8737, 99.16827
657.3558, 114.9325
657.8380, 123.0263
658.3201, 115.6581
658.8022, 73.13049
659.2843, 39.07599
659.7664, 30.16626
660.2485, 35.58087
660.7307, 45.28162
661.2128, 55.45044
661.6949, 62.00598
