##NAMES=Allanite-(Ce)
##RRUFFID=R080092
##IDEAL CHEMISTRY=CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Arendal, Norway
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Dark brown fragment from metamict sample R050043, after heating at T = 1000 C for 18 hours
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080092
601.1564, 72.67871
601.6385, 72.60107
602.1207, 71.63379
602.6028, 70.63428
603.0849, 70.05469
603.5670, 68.27100
604.0491, 62.56592
604.5313, 51.54053
605.0134, 45.34131
605.4955, 48.32324
605.9776, 50.37646
606.4597, 47.52148
606.9418, 42.20996
607.4240, 37.61670
607.9061, 34.79443
608.3882, 33.29492
608.8703, 33.17725
609.3524, 34.33301
609.8345, 34.77051
610.3167, 34.47168
610.7988, 33.60352
611.2809, 31.83691
611.7630, 29.75586
612.2451, 28.25391
612.7272, 27.71045
613.2094, 26.66748
613.6915, 24.03076
614.1736, 20.71875
614.6557, 17.47119
615.1378, 14.51221
615.6199, 13.19678
616.1021, 14.65332
616.5842, 17.55469
617.0663, 18.27588
617.5484, 14.72656
618.0305, 12.29395
618.5126, 10.96045
618.9948, 10.57568
619.4769, 11.81445
619.9590, 13.90967
620.4411, 15.40283
620.9232, 15.50488
621.4053, 14.61963
621.8875, 12.93164
622.3696, 10.47900
622.8517, 8.974121
623.3338, 8.823730
623.8159, 9.630859
624.2980, 12.29053
624.7802, 15.82129
625.2623, 16.74316
625.7444, 12.48291
626.2265, 8.450195
626.7086, 7.140137
627.1907, 7.528320
627.6729, 8.544434
628.1550, 9.812012
628.6371, 10.67627
629.1192, 10.46924
629.6013, 9.310059
630.0834, 8.781738
630.5656, 10.11230
631.0477, 9.888184
631.5298, 5.869629
632.0119, 1.734375
632.4940, 0.2670900
632.9761, 1.385742
633.4583, 3.098145
633.9404, 4.627441
634.4225, 5.700439
634.9046, 6.059814
635.3867, 5.662109
635.8688, 3.854248
636.3510, 0.1794430
636.8331, 4.233398
637.3152, 5.540283
637.7973, 3.818604
638.2794, 2.483643
638.7615, 1.464111
639.2437, 0.9543460
639.7258, 1.379883
640.2079, 2.290283
