##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=Bi^3+^Al_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
436.4857, 4.738953
436.9678, 6.528015
437.4499, 7.507141
437.9320, 7.058716
438.4141, 6.123962
438.8962, 5.411377
439.3784, 4.998169
439.8605, 5.127014
440.3426, 6.315796
440.8247, 7.879211
441.3068, 9.469177
441.7889, 11.09186
442.2711, 11.95148
442.7532, 10.90906
443.2353, 9.185425
443.7174, 8.049255
444.1995, 8.390930
444.6816, 8.795654
445.1638, 8.818359
445.6459, 8.552979
446.1280, 8.463623
446.6101, 9.162842
447.0922, 9.601440
447.5743, 9.219971
448.0565, 7.489441
448.5386, 6.275940
449.0207, 5.755859
449.5028, 5.649902
449.9849, 5.649963
450.4670, 5.896545
450.9492, 5.954529
451.4313, 5.715027
451.9134, 5.216125
452.3955, 4.674561
452.8776, 4.116699
453.3597, 3.491028
453.8419, 2.676453
454.3240, 1.691589
454.8061, 0.9976810
455.2882, 0.6813350
455.7703, 0.5471800
456.2524, 0.2596440
456.7346, 0.1425170
457.2167, 0.3825070
457.6988, 0.1671140
458.1809, 0.1921390
458.6630, 5.9691999E-02
459.1451, 0.8734130
459.6273, 1.317688
460.1094, 0.1771240
460.5915, 1.570129
461.0736, 2.661011
461.5557, 2.753784
462.0378, 2.324768
462.5200, 1.193176
463.0021, 0.1966550
463.4842, 0.9661870
463.9663, 2.8137000E-02
464.4484, 1.044434
464.9305, 1.106689
465.4127, 0.1093750
465.8948, 0.5982670
466.3769, 0.6243900
466.8590, 0.3213500
467.3411, 5.9631001E-02
467.8232, 0.8521730
468.3054, 1.273499
468.7875, 1.137756
469.2696, 0.6334840
469.7517, 0.1495970
470.2338, 0.6033330
470.7159, 0.7838130
471.1981, 0.2005000
471.6802, 2.432739
472.1623, 3.231567
472.6444, 2.005432
473.1265, 0.9067990
473.6086, 2.849304
474.0908, 7.750122
474.5729, 10.60718
475.0550, 10.16351
475.5371, 7.775208
476.0192, 5.268372
476.5013, 2.778931
476.9835, 1.466858
477.4656, 3.127930
477.9477, 5.950012
478.4298, 6.672424
478.9119, 5.100159
479.3940, 3.480896
479.8762, 4.057129
480.3583, 5.502869
480.8404, 6.012634
481.3225, 4.315613
481.8046, 2.628235
482.2867, 2.346191
482.7689, 2.994507
483.2510, 3.331299
483.7331, 2.677795
484.2152, 1.895203
484.6973, 1.423096
485.1794, 1.405640
485.6616, 1.157898
486.1437, 9.6923999E-02
486.6258, 0.8932500
487.1079, 1.093445
487.5900, 0.1463620
488.0721, 0.9860230
488.5543, 1.045105
489.0364, 0.6481320
489.5185, 0.8750000
490.0006, 1.894043
490.4827, 2.636902
490.9648, 2.407654
491.4470, 1.275146
491.9291, 0.9743650
492.4112, 1.571106
492.8933, 2.328613
493.3754, 2.678589
493.8575, 2.654053
494.3397, 2.324402
494.8218, 1.661011
495.3039, 0.8226930
495.7860, 0.2600710
496.2681, 1.392944
496.7502, 1.935547
497.2324, 1.266968
497.7145, 2.2644000E-02
498.1966, 1.414673
498.6787, 3.085938
499.1608, 4.376282
499.6429, 4.461609
500.1251, 4.089233
500.6072, 4.046448
501.0893, 4.717773
501.5714, 5.380554
502.0535, 5.884949
502.5356, 6.263245
503.0178, 6.614075
503.4999, 6.916687
503.9820, 7.208069
504.4641, 7.500610
504.9462, 7.807800
505.4283, 8.214417
505.9105, 8.865906
506.3926, 9.420898
506.8747, 9.491394
507.3568, 8.956177
507.8389, 9.013611
508.3210, 9.831421
508.8032, 11.01282
509.2853, 11.98944
509.7674, 12.79712
510.2495, 13.63849
510.7316, 14.63824
511.2137, 15.64331
511.6959, 16.35431
512.1780, 16.79590
512.6601, 17.22076
513.1422, 17.68610
513.6243, 18.21008
514.1064, 18.80957
514.5886, 19.48108
515.0707, 20.23163
515.5528, 21.20856
516.0349, 22.25250
