##NAMES=Kyanite
##RRUFFID=R100139
##IDEAL CHEMISTRY=Al_2_OSiO_4_
##LOCALITY=Madagascar
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Blue prismatic crystal fragment, slightly water-worn
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100139
485.9409, 9023.393
486.4230, 9023.468
486.9051, 9021.411
487.3872, 9017.269
487.8693, 9010.826
488.3514, 8999.140
488.8336, 8990.728
489.3157, 8988.964
489.7978, 8988.022
490.2799, 8983.271
490.7620, 8975.215
491.2441, 8968.250
491.7263, 8966.667
492.2084, 8969.104
492.6905, 8968.442
493.1726, 8962.987
493.6547, 8958.644
494.1368, 8959.517
494.6190, 8961.971
495.1011, 8962.441
495.5832, 8960.247
496.0653, 8956.644
496.5474, 8952.046
497.0295, 8946.756
497.5117, 8941.928
497.9938, 8937.888
498.4759, 8933.380
498.9580, 8926.771
499.4401, 8918.547
499.9222, 8911.625
500.4044, 8906.415
500.8865, 8902.203
501.3686, 8898.881
501.8507, 8896.216
502.3328, 8893.818
502.8149, 8891.593
503.2971, 8889.331
503.7792, 8887.019
504.2613, 8885.488
504.7434, 8880.503
505.2255, 8866.125
505.7076, 8854.600
506.1898, 8854.904
506.6719, 8862.256
507.1540, 8866.127
507.6361, 8860.861
508.1182, 8850.634
508.6003, 8845.458
509.0825, 8847.960
509.5646, 8848.472
510.0467, 8844.645
510.5288, 8839.783
511.0109, 8836.058
511.4930, 8832.964
511.9752, 8828.016
512.4573, 8817.655
512.9394, 8805.650
513.4215, 8801.585
513.9036, 8806.651
514.3857, 8812.103
514.8679, 8815.884
515.3500, 8817.319
515.8321, 8815.376
516.3142, 8809.685
516.7963, 8803.771
517.2784, 8798.604
517.7606, 8794.332
518.2427, 8791.765
518.7248, 8790.818
519.2069, 8789.348
519.6890, 8786.226
520.1711, 8781.306
520.6533, 8773.817
521.1354, 8761.027
521.6175, 8749.667
522.0996, 8741.256
522.5817, 8734.565
523.0638, 8728.061
523.5460, 8721.749
524.0281, 8717.309
524.5102, 8716.696
524.9923, 8719.778
