##NAMES=Joseite-A
##RRUFFID=R060963
##IDEAL CHEMISTRY=Bi_4_TeS_2_
##LOCALITY=Tanza mine, Potosi deptmartment, Bolivia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Hexagonal, metallic gray single crystal
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060963
371.7414, 17.23082
372.2235, 18.13819
372.7056, 20.09504
373.1877, 20.96758
373.6698, 20.69955
374.1519, 19.12782
374.6341, 13.46976
375.1162, 0.3293150
375.5983, 10.67211
376.0804, 10.09543
376.5625, 5.312424
377.0446, 15.36991
377.5267, 16.24308
378.0089, 11.24820
378.4910, 9.687531
378.9731, 11.88982
379.4552, 14.47447
379.9373, 15.47459
380.4194, 15.01082
380.9016, 14.49864
381.3837, 14.00957
381.8658, 13.50870
382.3479, 13.00558
382.8300, 12.45955
383.3121, 11.70763
383.7943, 9.748703
384.2764, 7.642380
384.7585, 8.384644
385.2406, 12.11373
385.7227, 16.40772
386.2048, 20.09913
386.6870, 22.53407
387.1691, 22.00856
387.6512, 14.60537
388.1333, 6.924881
388.6154, 7.131241
389.0975, 14.15543
389.5797, 21.30516
390.0618, 25.56665
390.5439, 27.16535
391.0260, 25.79881
391.5081, 19.76251
391.9902, 13.94068
392.4724, 10.82674
392.9545, 9.926758
393.4366, 10.02171
393.9187, 12.20725
394.4008, 14.09394
394.8829, 13.72945
395.3651, 9.741043
395.8472, 8.244408
396.3293, 13.85113
396.8114, 21.77103
397.2935, 26.27347
397.7756, 25.71176
398.2578, 22.37605
398.7399, 14.25174
399.2220, 0.6995620
399.7041, 5.507141
400.1862, 2.514572
400.6683, 12.76513
401.1505, 16.91827
401.6326, 10.71074
402.1147, 5.562729
402.5968, 1.520256
403.0789, 0.8119890
403.5610, 1.417084
404.0432, 10.65040
404.5253, 19.60133
405.0074, 24.74946
405.4895, 25.60942
405.9716, 24.82745
406.4537, 21.83516
406.9359, 18.22173
407.4180, 17.11858
407.9001, 18.80374
408.3822, 18.88022
408.8643, 13.86352
409.3464, 5.697861
409.8285, 5.685760
410.3106, 14.81768
410.7928, 23.47573
411.2749, 19.80824
411.7570, 7.292397
412.2391, 0.4537050
412.7212, 0.9481890
413.2033, 7.251991
413.6855, 14.24537
414.1676, 21.34675
414.6497, 25.66411
415.1318, 24.02287
415.6139, 18.95630
416.0960, 13.16438
416.5782, 5.463066
417.0603, 0.3105160
417.5424, 3.598061
418.0245, 11.78207
418.5066, 18.14175
418.9887, 19.49097
419.4709, 19.02455
419.9530, 18.55556
420.4351, 18.53994
420.9172, 16.83922
421.3993, 9.531662
421.8814, 1.861618
422.3636, 1.828987
422.8457, 3.321007
423.3278, 7.983467
423.8099, 10.52035
424.2920, 11.27305
424.7741, 11.77200
425.2563, 12.89568
425.7384, 13.03642
426.2205, 10.88309
426.7026, 3.290527
427.1847, 1.709145
427.6668, 10.04932
428.1490, 21.82239
428.6311, 26.65025
429.1132, 21.85108
429.5953, 16.92018
430.0774, 14.49700
430.5595, 14.39050
431.0417, 14.25976
431.5238, 14.07849
432.0059, 13.95667
432.4880, 14.08961
432.9701, 14.37387
433.4522, 13.75324
433.9344, 12.89310
434.4165, 12.43076
434.8986, 10.43604
435.3807, 7.233513
435.8628, 6.676025
436.3449, 15.13066
436.8271, 27.14888
437.3092, 30.31211
437.7913, 22.78648
438.2734, 13.25703
438.7555, 8.779457
439.2376, 8.130157
439.7197, 9.042633
440.2018, 10.32590
440.6840, 13.03247
441.1661, 20.31369
441.6482, 31.06321
442.1303, 37.49269
442.6124, 31.97365
443.0945, 22.79231
443.5767, 16.55818
444.0588, 16.56126
444.5409, 16.02483
445.0230, 11.23849
445.5051, 4.779877
445.9872, 2.039696
446.4694, 8.355270
446.9515, 14.23598
447.4336, 16.68134
447.9157, 15.08585
448.3978, 13.25612
448.8799, 10.26894
449.3621, 7.823524
449.8442, 7.433380
450.3263, 9.205597
450.8084, 13.14223
451.2905, 21.16754
451.7726, 30.99622
452.2548, 32.82483
452.7369, 24.57867
453.2190, 15.69564
453.7011, 11.13403
454.1832, 10.87471
454.6653, 13.33362
455.1475, 19.17255
455.6296, 25.41500
456.1117, 28.09116
456.5938, 27.58743
457.0759, 26.10789
457.5580, 23.41183
458.0402, 21.13459
458.5223, 21.48293
459.0044, 24.13062
459.4865, 25.53036
459.9686, 21.28852
460.4507, 14.91350
460.9329, 10.93134
461.4150, 11.05386
461.8971, 12.44471
462.3792, 15.00333
462.8613, 17.41853
463.3434, 17.15189
463.8256, 8.940964
464.3077, 1.438995
464.7898, 0.3988190
465.2719, 4.472206
465.7540, 7.822594
466.2361, 5.290642
466.7183, 2.057961
467.2004, 2.338783
467.6825, 12.53786
468.1646, 18.34779
468.6467, 16.49587
469.1288, 9.556793
469.6110, 6.343765
470.0930, 7.223221
470.5752, 11.14850
471.0573, 20.20660
471.5394, 36.60307
472.0215, 39.08710
472.5036, 23.44490
472.9857, 2.605980
473.4679, 7.306366
473.9500, 6.172615
474.4321, 4.590820
474.9142, 5.961075
475.3963, 7.960083
475.8784, 3.840424
476.3606, 5.910774
476.8427, 14.50374
477.3248, 15.93775
477.8069, 13.32024
478.2890, 12.06310
478.7711, 12.95296
479.2533, 14.49680
479.7354, 16.48516
480.2175, 17.95329
480.6996, 17.70804
481.1817, 12.43336
481.6638, 7.339279
482.1460, 6.143692
482.6281, 8.402687
483.1102, 9.570869
483.5923, 4.915756
484.0744, 0.8029250
484.5565, 1.666031
485.0387, 13.71593
485.5208, 21.18886
486.0029, 18.91531
486.4850, 12.56585
486.9671, 10.60970
487.4492, 16.87122
487.9314, 20.47715
488.4135, 17.53274
488.8956, 8.380257
489.3777, 7.009033
489.8598, 16.70786
490.3419, 26.70193
490.8241, 27.63996
491.3062, 18.94032
491.7883, 12.85645
492.2704, 10.96130
492.7525, 11.54731
493.2346, 12.09118
493.7168, 12.58305
494.1989, 13.15850
494.6810, 13.14602
495.1631, 13.01346
495.6452, 13.33073
496.1273, 14.11243
496.6095, 15.90238
497.0916, 20.35646
497.5737, 25.55658
498.0558, 29.21410
498.5379, 30.56951
499.0201, 30.55856
499.5022, 28.95917
499.9843, 26.40166
500.4664, 24.19451
500.9485, 23.75492
501.4306, 22.87997
501.9127, 20.30817
502.3948, 15.69553
502.8770, 12.14491
503.3591, 10.62432
503.8412, 9.758949
504.3233, 8.540298
504.8054, 5.873016
505.2875, 4.974373
505.7697, 6.341393
506.2518, 9.409943
506.7339, 13.64706
507.2160, 20.12591
507.6981, 23.32761
508.1802, 19.01088
508.6624, 8.628174
509.1445, 4.632217
509.6266, 7.584625
510.1087, 12.60497
510.5908, 15.87976
511.0729, 17.54240
511.5551, 17.99349
512.0372, 17.28333
512.5193, 15.45742
513.0014, 11.28825
513.4835, 5.919243
513.9656, 2.393372
514.4478, 3.825409
514.9299, 6.502373
515.4120, 7.296494
515.8941, 6.045563
516.3762, 6.149200
516.8583, 11.45009
517.3405, 17.22001
517.8226, 19.78710
518.3047, 14.03919
518.7868, 10.97971
519.2689, 13.95580
519.7510, 20.04174
520.2332, 23.41014
520.7153, 23.01178
521.1974, 21.40818
521.6795, 18.76814
522.1616, 15.09137
522.6437, 13.52405
523.1259, 14.91068
523.6080, 16.34553
524.0901, 14.78746
524.5722, 10.30773
525.0543, 7.983215
525.5364, 8.853256
526.0186, 10.82265
526.5007, 10.27820
526.9828, 7.863403
527.4649, 6.366074
527.9470, 7.269646
528.4291, 9.702194
528.9113, 13.42570
529.3934, 18.18504
529.8755, 21.82059
530.3576, 23.68668
530.8397, 23.41695
531.3218, 19.63362
531.8040, 10.60131
532.2861, 3.576889
532.7682, 2.377678
533.2503, 4.096931
533.7324, 5.137993
534.2145, 2.065582
534.6967, 0.5459370
535.1788, 2.444916
535.6609, 7.301735
536.1430, 10.27489
536.6251, 10.29916
537.1072, 10.11932
537.5894, 11.23995
538.0715, 13.77581
538.5536, 17.21703
539.0357, 22.28352
539.5178, 26.40841
539.9999, 24.99680
540.4821, 18.74688
540.9642, 14.10295
541.4463, 14.01907
541.9284, 15.40401
542.4105, 12.71406
542.8926, 6.672691
543.3748, 0.7418290
543.8569, 4.849442
544.3390, 8.084396
544.8211, 6.042282
545.3032, 2.149292
545.7853, 10.21602
546.2675, 16.26424
546.7495, 20.07576
547.2316, 21.43685
547.7137, 18.82605
548.1959, 15.47975
548.6780, 10.95535
549.1601, 6.000137
549.6422, 2.782600
550.1243, 2.387749
550.6064, 2.068558
551.0886, 0.1351620
551.5707, 3.589706
552.0528, 1.327377
552.5349, 9.231613
553.0170, 19.31550
553.4991, 20.09873
553.9813, 12.22526
554.4634, 5.796974
554.9455, 2.087959
555.4276, 0.4104160
555.9097, 0.1441270
556.3918, 0.5146710
556.8740, 2.701591
557.3561, 9.349586
557.8382, 15.72069
558.3203, 16.33050
558.8024, 11.97916
559.2845, 7.900803
559.7667, 6.857117
560.2488, 7.317299
560.7309, 7.511246
561.2130, 6.034325
561.6951, 6.828117
562.1772, 14.96425
562.6594, 24.04846
563.1415, 26.05768
563.6236, 13.32870
564.1057, 5.962029
564.5878, 8.826370
565.0699, 18.45571
565.5521, 22.15506
566.0342, 18.60171
566.5163, 13.89088
566.9984, 9.920456
567.4805, 6.966446
567.9626, 8.136742
568.4448, 13.83774
568.9269, 19.55476
569.4090, 20.84267
569.8911, 19.03922
570.3732, 16.82867
570.8553, 14.18513
571.3375, 12.80899
571.8196, 16.08348
572.3017, 21.59032
572.7838, 24.62331
573.2659, 21.97581
573.7480, 17.72043
574.2302, 11.85605
574.7123, 4.911163
575.1944, 2.413658
575.6765, 11.15881
576.1586, 19.60164
576.6407, 21.99346
577.1229, 15.47671
577.6050, 11.89286
578.0871, 12.66061
578.5692, 14.55176
579.0513, 13.36452
579.5334, 8.644585
580.0156, 4.981209
580.4977, 3.337479
580.9798, 3.103844
581.4619, 3.426605
581.9440, 4.199379
582.4261, 4.659050
582.9083, 3.430237
583.3904, 2.097847
583.8725, 3.668495
