##NAMES=Uchucchacuaite
##RRUFFID=R100213
##IDEAL CHEMISTRY=Ag^1+^Mn^2+^Pb^2+^_3_Sb^3+^_5_S^2-^_12_
##LOCALITY=Uchuc-Chacua, Lima, Peru
##OWNER=RRUFF
##SOURCE=Mark N. Feinglos
##DESCRIPTION=Bright silver metallic massive, associated with quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R100213
##MEASURED CHEMISTRY=Ag_0.99_(Mn_0.92_Pb_0.03_Sb_0.02_Bi_0.01_)_Σ=0.98_Pb_3.00_Sb_5.00_S_12.00_ ; (Note: bright phase is galena, PbS)
299.7919, 7.048996
300.2740, 3.968994
300.7561, 2.756500
301.2383, 7.251953
301.7204, 9.763351
302.2025, 11.00276
302.6846, 10.55080
303.1667, 9.389282
303.6488, 9.070168
304.1310, 10.00175
304.6131, 11.26334
305.0952, 12.55772
305.5773, 13.54034
306.0594, 13.28217
306.5415, 9.601952
307.0237, 5.272018
307.5058, 3.447418
307.9879, 4.698578
308.4700, 6.648590
308.9521, 8.476791
309.4343, 9.664246
309.9164, 9.366402
310.3985, 5.773849
310.8806, 1.532585
311.3627, 1.763245
311.8448, 4.074158
312.3270, 4.756920
312.8091, 2.102768
313.2912, 1.968430
313.7733, 5.188446
314.2554, 6.303757
314.7375, 6.866234
315.2197, 7.849052
315.7018, 9.322838
316.1839, 10.52722
316.6660, 11.02454
317.1481, 11.16028
317.6302, 11.20717
318.1124, 11.18428
318.5945, 11.14355
319.0766, 11.27439
319.5587, 11.44204
320.0408, 11.32466
320.5229, 9.569054
321.0051, 8.023499
321.4872, 8.093338
321.9693, 11.23663
322.4514, 13.91302
322.9335, 15.82664
323.4156, 16.76915
323.8978, 16.33615
324.3799, 12.36301
324.8620, 8.826393
325.3441, 7.272568
325.8262, 8.428001
326.3083, 9.659180
326.7905, 11.84740
327.2726, 13.73627
327.7547, 13.75854
328.2368, 8.440582
328.7189, 4.829063
329.2010, 4.762817
329.6832, 8.606232
330.1653, 11.98235
330.6474, 16.15293
331.1295, 18.94292
331.6116, 18.34291
332.0938, 10.85535
332.5759, 5.570282
333.0580, 4.297928
333.5401, 6.462852
334.0222, 8.073982
334.5043, 9.047310
334.9865, 9.240707
335.4686, 8.247833
335.9507, 5.011337
336.4328, 4.185379
336.9149, 6.875885
337.3970, 11.71842
337.8792, 15.25797
338.3613, 17.75687
338.8434, 18.38159
339.3255, 15.53299
339.8076, 8.154022
340.2898, 5.950974
340.7719, 10.26741
341.2540, 17.43417
341.7361, 22.42787
342.2182, 24.64003
342.7003, 25.95438
343.1825, 26.87890
343.6646, 27.48114
344.1467, 28.44682
344.6288, 29.99792
345.1109, 30.83074
345.5930, 28.39917
346.0752, 23.25232
346.5573, 20.99331
347.0394, 24.46066
347.5215, 30.33031
348.0036, 30.57877
348.4857, 25.31528
348.9679, 19.47520
349.4500, 16.60654
349.9321, 16.00175
350.4142, 15.63692
350.8963, 15.20307
351.3784, 14.88244
351.8606, 15.22195
352.3427, 15.98009
352.8248, 16.26260
353.3069, 15.68333
353.7890, 14.37840
354.2711, 11.75796
354.7533, 7.386238
355.2354, 3.963387
355.7175, 5.125618
356.1996, 8.642609
356.6817, 10.62432
357.1638, 7.334656
357.6460, 3.147736
358.1281, 2.563820
358.6102, 5.152824
359.0923, 7.258865
359.5744, 5.877136
360.0565, 3.470299
360.5387, 2.594719
361.0208, 4.520485
361.5029, 6.695038
361.9850, 8.479477
362.4671, 9.655823
362.9492, 9.504135
363.4314, 5.637215
363.9135, 1.929161
364.3956, 0.7163470
364.8777, 3.403313
365.3598, 5.985985
365.8419, 8.158386
366.3241, 9.606285
366.8062, 9.833229
367.2883, 7.245979
367.7704, 4.930725
368.2526, 3.610443
368.7347, 3.008049
369.2168, 3.620018
369.6989, 8.158012
370.1810, 12.26612
370.6631, 12.20431
371.1453, 2.421997
371.6274, 3.361534
372.1095, 1.811043
372.5916, 5.666901
373.0737, 9.501617
373.5558, 8.041954
374.0380, 5.444633
374.5201, 3.957054
375.0022, 3.970245
375.4843, 3.907372
375.9664, 3.850891
376.4485, 3.551819
376.9307, 1.971275
377.4128, 1.567993
377.8949, 3.387016
378.3770, 0.8663330
378.8591, 5.623619
379.3412, 8.137070
379.8234, 5.880234
380.3055, 2.372559
380.7876, 2.035477
381.2697, 4.635002
381.7518, 5.903275
382.2339, 3.990082
382.7161, 0.6022030
383.1982, 9.7571999E-02
383.6803, 1.824501
384.1624, 4.294357
384.6445, 5.823921
385.1266, 6.716103
385.6088, 7.980164
386.0909, 10.10847
386.5730, 11.55950
387.0551, 9.354744
387.5372, 4.792793
388.0193, 1.561676
388.5015, 3.037933
388.9836, 6.084137
389.4657, 7.542336
389.9478, 7.230797
390.4299, 5.776939
390.9120, 2.007805
391.3942, 2.163971
391.8763, 4.319191
392.3584, 2.819061
392.8405, 0.1201630
393.3226, 4.704933
393.8047, 10.25292
394.2869, 13.66559
394.7690, 12.36031
395.2511, 9.484245
395.7332, 6.788071
396.2154, 4.102104
396.6975, 2.547791
397.1796, 3.691216
397.6617, 5.896088
398.1438, 6.357132
398.6259, 0.6146620
399.1081, 2.928894
399.5902, 0.5696560
400.0723, 9.123505
400.5544, 14.76394
401.0365, 14.01201
