##NAMES=Brochantite
##RRUFFID=R100199
##IDEAL CHEMISTRY=Cu^2+^_4_S^6+^O_4_(OH)_6_
##LOCALITY=Milpillas mine, Municipio de Santa Cruz, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Donald K Olson
##DESCRIPTION=Loose green acicular crystals, MDO1 polytype
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100199
452.6748, 2.505386
453.1570, 1.550941
453.6391, 1.717236
454.1212, 2.722929
454.6033, 3.215904
455.0854, 2.268625
455.5675, 1.132357
456.0497, 1.078293
456.5318, 1.959225
457.0139, 2.724306
457.4960, 2.823341
457.9781, 2.484709
458.4602, 2.314707
458.9424, 2.357681
459.4245, 2.469774
459.9066, 2.637299
460.3887, 2.793549
460.8708, 2.806736
461.3529, 2.681286
461.8351, 2.623884
462.3172, 2.774548
462.7993, 3.107239
463.2814, 3.283930
463.7635, 2.268377
464.2456, 3.415564
464.7278, 3.950228
465.2099, 3.939686
465.6920, 1.671204
466.1741, 2.388798
466.6562, 1.952766
467.1383, 1.498899
467.6205, 2.724644
468.1026, 0.9429110
468.5847, 2.205866
469.0668, 2.298634
469.5489, 2.973778
470.0310, 2.485695
470.5132, 2.394716
470.9953, 3.523966
471.4774, 4.017302
471.9595, 3.508507
472.4416, 4.398329
472.9237, 3.046362
473.4059, 2.278934
473.8880, 1.433081
474.3701, 1.085094
474.8522, 1.314005
475.3343, 1.680836
475.8164, 1.893274
476.2986, 1.968628
476.7807, 1.938316
477.2628, 1.770491
477.7449, 1.691788
478.2270, 1.937674
478.7091, 2.426779
479.1913, 2.789118
479.6734, 3.032427
480.1555, 3.114370
480.6376, 2.969395
481.1197, 2.651335
481.6018, 2.212841
482.0839, 1.656610
482.5660, 1.176552
483.0482, 1.088530
483.5303, 1.588324
484.0124, 1.725073
484.4945, 1.346962
484.9766, 0.8798030
485.4587, 0.3218860
485.9409, 0.1851520
486.4230, 0.4695400
486.9051, 0.4386980
487.3872, 0.1148260
487.8693, 0.4840130
488.3514, 1.745794
488.8336, 2.545504
489.3157, 2.618004
489.7978, 2.447630
490.2799, 2.263323
490.7620, 2.140770
491.2441, 2.050570
491.7263, 1.952229
492.2084, 1.868235
492.6905, 1.924505
493.1726, 2.177740
493.6547, 2.436493
494.1368, 2.710209
494.6190, 2.903255
495.1011, 2.890848
495.5832, 2.638613
496.0653, 2.283598
496.5474, 1.789240
497.0295, 1.271627
497.5117, 1.174629
497.9938, 1.661392
498.4759, 2.152184
498.9580, 2.105745
499.4401, 1.631695
499.9222, 1.356285
500.4044, 1.475868
500.8865, 1.636618
501.3686, 0.8060970
501.8507, 1.792486
502.3328, 2.291954
502.8149, 2.331263
503.2971, 0.4973890
503.7792, 1.108969
504.2613, 0.7568230
504.7434, 0.3762950
505.2255, 1.365294
505.7076, 0.1361660
506.1898, 0.8549480
506.6719, 0.8678950
507.1540, 1.346100
507.6361, 0.8551650
508.1182, 0.6785980
508.6003, 1.495358
509.0825, 1.780174
509.5646, 1.222387
510.0467, 1.799397
510.5288, 0.3812810
511.0109, 0.7357140
511.4930, 1.861553
511.9752, 1.411226
512.4573, 2.064268
512.9394, 2.313133
513.4215, 1.291063
513.9036, 0.9150980
514.3857, 0.6844080
514.8679, 1.007792
515.3500, 1.420790
515.8321, 1.213865
516.3142, 0.2752860
516.7963, 0.3733460
517.2784, 8.5689999E-02
517.7606, 0.9152510
518.2427, 0.9575540
518.7248, 0.1521130
519.2069, 0.5838240
519.6890, 0.6001380
520.1711, 6.8356998E-02
520.6533, 0.1553570
521.1354, 0.3755490
521.6175, 0.5715640
522.0996, 5.0958999E-02
522.5817, 0.9157850
523.0638, 1.479946
523.5460, 1.638899
524.0281, 1.549295
524.5102, 1.335957
524.9923, 1.003885
525.4744, 0.6870060
525.9565, 0.2844300
526.4387, 4.5054998E-02
526.9208, 8.5319998E-03
527.4029, 0.1537510
527.8850, 0.5680070
528.3671, 1.245937
528.8492, 1.817265
529.3314, 1.716068
529.8135, 1.047865
530.2956, 0.9815370
530.7777, 1.994722
531.2598, 2.750404
531.7419, 1.967230
532.2241, 0.4719390
532.7062, 0.4007450
533.1883, 0.2304040
533.6704, 0.2338070
534.1525, 0.6497610
534.6346, 0.9616090
535.1168, 0.9598540
535.5989, 0.5679260
536.0810, 0.1668430
536.5631, 0.1247010
537.0452, 0.4615690
537.5273, 0.9552330
538.0095, 2.112459
538.4916, 2.850971
538.9737, 2.353386
539.4558, 1.326368
539.9379, 0.9527000
540.4200, 1.574614
540.9022, 2.372059
541.3843, 2.073269
541.8664, 0.3341690
542.3485, 0.5467760
542.8306, 0.1817090
543.3127, 0.9988990
543.7948, 1.567110
544.2769, 1.859842
544.7590, 1.881683
545.2411, 1.633415
545.7233, 1.217569
546.2054, 0.5627040
546.6875, 0.2791210
547.1696, 0.3892020
547.6517, 0.6782470
548.1339, 1.913586
548.6160, 2.576115
549.0981, 2.744362
549.5802, 2.526152
550.0623, 1.516613
550.5444, 0.5763260
551.0266, 0.3523060
551.5087, 0.6061780
551.9908, 0.7315670
552.4729, 0.5341510
552.9550, 0.4186080
553.4371, 0.9507680
553.9193, 2.315512
554.4014, 3.207735
554.8835, 3.541977
555.3656, 3.575403
555.8477, 3.265896
556.3298, 2.760923
556.8120, 2.217756
557.2941, 1.699705
557.7762, 1.272161
558.2583, 1.051779
558.7404, 1.068060
559.2225, 1.045717
559.7047, 0.8548370
560.1868, 0.7954160
560.6689, 1.159016
561.1510, 1.694410
561.6331, 1.942528
562.1152, 1.664804
562.5974, 1.338846
563.0795, 1.569086
563.5616, 2.130772
564.0437, 2.155554
564.5258, 1.329872
565.0079, 0.5338380
565.4901, 0.6928630
565.9722, 1.746809
566.4543, 2.250277
566.9364, 1.551847
567.4185, 1.051474
567.9006, 1.586893
568.3828, 2.526693
568.8649, 2.907063
569.3470, 2.507544
569.8291, 1.916319
570.3112, 1.853479
570.7933, 2.371004
571.2755, 2.504200
571.7576, 1.703583
572.2397, 1.126122
572.7218, 1.219721
573.2039, 1.587004
573.6860, 1.739851
574.1682, 1.561625
574.6503, 1.375502
575.1324, 1.679443
575.6145, 2.307163
576.0966, 2.587538
576.5787, 2.419622
577.0609, 2.113129
577.5430, 1.836178
578.0251, 1.627419
578.5072, 1.443380
578.9893, 1.164803
579.4714, 1.091368
579.9536, 1.552944
580.4357, 2.217976
580.9178, 2.685343
581.3999, 2.917150
581.8820, 3.137163
582.3641, 3.545036
582.8463, 4.060108
583.3284, 4.218515
583.8105, 3.962494
584.2926, 3.394167
584.7747, 1.872288
585.2568, 0.5482710
585.7390, 0.5416370
586.2211, 1.686132
586.7032, 2.809544
587.1853, 3.088789
587.6674, 2.742422
588.1495, 2.244301
588.6317, 1.521729
589.1138, 1.114986
589.5959, 1.350370
590.0780, 1.839378
590.5601, 2.129971
591.0422, 2.265768
591.5244, 2.289707
592.0065, 2.066362
592.4886, 1.820770
592.9707, 1.758999
593.4528, 1.853067
593.9349, 1.997389
594.4171, 2.154503
594.8992, 2.291872
595.3813, 2.364931
595.8634, 2.438728
596.3455, 2.232328
596.8276, 1.290190
597.3098, 0.5840490
597.7919, 0.6774670
598.2740, 1.245415
598.7561, 1.761887
599.2382, 2.034609
599.7203, 2.072567
600.2025, 1.654135
600.6846, 0.8929000
601.1667, 0.6966900
601.6488, 1.475929
602.1309, 2.184164
602.6130, 1.922495
603.0952, 1.138418
603.5773, 0.7249530
