##NAMES=Brannerite
##RRUFFID=R080091
##IDEAL CHEMISTRY=U^4+^Ti^4+^_2_O_6_
##LOCALITY=Crocker's Well, South Australia, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Light brown fragment from metamict sample R060613, after heating at T = 1000 C for 18 hours
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R080091
657.0820, 339.9828
657.5641, 330.8031
658.0462, 322.3916
658.5283, 313.2633
659.0104, 303.1993
659.4926, 293.7574
659.9747, 285.5640
660.4568, 277.7196
660.9389, 269.9528
661.4210, 262.0331
661.9031, 253.5679
662.3853, 244.3739
662.8674, 235.0173
663.3495, 226.1522
663.8316, 217.7535
664.3137, 209.9274
664.7958, 202.9170
665.2780, 196.0380
665.7601, 188.4908
666.2422, 181.1014
666.7243, 175.1099
667.2064, 170.8091
667.6885, 166.4189
668.1707, 161.1324
668.6528, 155.3206
669.1349, 149.5984
669.6170, 143.8073
670.0991, 136.8638
670.5812, 128.1887
671.0634, 119.1581
671.5455, 112.1991
672.0276, 107.9316
672.5097, 103.5925
672.9918, 99.21094
673.4739, 94.74377
673.9561, 90.16504
674.4382, 85.54285
674.9203, 80.85486
675.4024, 76.11841
675.8845, 71.60754
676.3666, 67.52539
676.8488, 63.86206
677.3309, 60.62781
677.8130, 57.82275
678.2951, 55.23267
678.7772, 52.77783
679.2593, 50.39185
679.7415, 47.95264
680.2236, 45.56189
680.7057, 42.74097
681.1878, 39.02344
681.6699, 35.35498
682.1520, 32.21924
682.6342, 29.35046
683.1163, 26.18506
683.5984, 22.56628
684.0805, 19.29712
684.5626, 17.57446
685.0447, 17.02026
685.5269, 15.34351
686.0090, 12.22131
686.4911, 9.623291
686.9732, 8.618042
687.4553, 8.429077
687.9374, 7.850464
688.4196, 6.877075
688.9017, 5.816162
689.3838, 4.907837
689.8659, 3.749634
690.3480, 1.804688
690.8301, 0.4630130
691.3123, 2.328735
691.7944, 3.543335
692.2765, 4.252319
692.7586, 4.477905
693.2407, 4.292236
693.7228, 4.664185
694.2050, 5.809937
694.6871, 6.994019
695.1692, 8.156860
695.6513, 9.100952
696.1334, 9.693726
696.6155, 9.936279
697.0977, 9.715088
697.5798, 8.240723
698.0619, 7.013672
698.5440, 7.663940
699.0261, 9.282227
699.5082, 9.842529
699.9904, 8.816895
700.4725, 7.419067
700.9546, 6.983643
701.4367, 7.430298
701.9188, 7.598267
702.4009, 7.351807
702.8831, 7.082520
703.3652, 7.188477
703.8473, 7.076904
704.3294, 6.233521
704.8115, 4.715210
705.2936, 3.008179
705.7758, 0.9011230
706.2579, 0.9217530
706.7400, 1.423340
707.2221, 1.292236
707.7042, 2.101685
708.1863, 4.203857
708.6685, 6.853638
709.1506, 9.436035
709.6327, 11.93604
710.1148, 14.26562
710.5969, 16.54675
711.0790, 18.41248
711.5612, 19.12207
712.0433, 20.03625
712.5254, 22.12537
713.0075, 25.16943
713.4896, 28.32739
