##NAMES=Tourmaline
##RRUFFID=R080010
##LOCALITY=east Africa
##OWNER=RRUFF
##SOURCE=www.multicolour.com
##DESCRIPTION=Green gemmy fragments, consistent with dravite
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080010
346.4529, 703.7695
346.9351, 683.5391
347.4172, 648.4961
347.8993, 620.3555
348.3814, 610.3047
348.8635, 619.7188
349.3456, 638.0000
349.8278, 675.5898
350.3099, 711.9883
350.7920, 736.4062
351.2741, 751.2578
351.7562, 763.6641
352.2383, 777.2930
352.7205, 790.7734
353.2026, 799.6484
353.6847, 782.9844
354.1668, 790.3711
354.6489, 851.7070
355.1310, 921.3906
355.6132, 943.0039
356.0953, 911.7070
356.5774, 888.0625
357.0595, 962.2109
357.5416, 1171.758
358.0237, 1294.242
358.5059, 1213.719
358.9880, 1152.230
359.4701, 1223.348
359.9522, 1380.348
360.4343, 1501.867
360.9164, 1501.570
361.3985, 1421.246
361.8806, 1391.895
362.3628, 1429.215
362.8449, 1477.238
363.3270, 1517.480
363.8091, 1556.703
364.2912, 1603.484
364.7733, 1661.461
365.2555, 1718.031
365.7376, 1756.625
366.2197, 1781.523
366.7018, 1823.773
367.1839, 1902.602
367.6660, 1980.738
368.1482, 2010.203
368.6303, 1995.562
369.1124, 1985.266
369.5945, 2000.707
370.0766, 2022.609
370.5587, 2026.660
371.0409, 2012.859
371.5230, 2006.598
372.0051, 2037.090
372.4872, 2091.520
372.9693, 2064.145
373.4514, 1882.184
373.9336, 1717.285
374.4157, 1631.578
374.8978, 1590.805
375.3799, 1544.719
375.8620, 1470.055
376.3441, 1380.125
376.8263, 1322.352
377.3084, 1325.977
377.7905, 1297.609
378.2726, 1204.090
378.7547, 1112.598
379.2368, 1065.676
379.7190, 1058.629
380.2011, 1060.281
380.6832, 1050.754
381.1653, 1028.309
381.6474, 975.0508
382.1295, 858.7539
382.6117, 765.2188
383.0938, 738.6289
383.5759, 741.7383
384.0580, 725.8867
384.5401, 546.0859
385.0222, 611.6523
385.5044, 646.8047
385.9865, 653.2109
386.4686, 544.6211
386.9507, 584.5859
387.4328, 565.0664
387.9149, 543.1289
388.3971, 604.1016
388.8792, 512.3789
389.3613, 572.0898
389.8434, 571.3867
390.3255, 598.3789
390.8076, 565.5117
391.2898, 613.8125
391.7719, 610.2266
392.2540, 609.6406
392.7361, 590.1016
393.2182, 527.3633
393.7003, 467.0039
394.1825, 420.9336
394.6646, 392.0234
395.1467, 389.6172
395.6288, 416.2969
396.1109, 457.1172
396.5930, 480.7617
397.0752, 477.9258
397.5573, 460.2539
398.0394, 390.7969
398.5215, 350.4336
399.0036, 408.0781
399.4857, 519.9727
399.9679, 590.0586
400.4500, 536.2109
400.9321, 395.2148
401.4142, 306.7461
401.8963, 283.5781
402.3784, 280.4453
402.8605, 301.8594
403.3427, 324.9062
403.8248, 324.5391
404.3069, 295.5195
404.7890, 264.1094
405.2711, 254.1016
405.7532, 255.5273
406.2354, 236.9648
406.7175, 186.4648
407.1996, 131.4102
407.6817, 95.23438
408.1638, 77.45312
408.6459, 77.58984
409.1281, 95.01562
409.6102, 131.0859
410.0923, 214.5234
410.5744, 322.3516
411.0565, 377.5781
411.5386, 334.6406
412.0208, 227.1445
412.5029, 150.2656
412.9850, 116.5156
413.4671, 102.0547
413.9492, 127.5469
414.4313, 156.6602
414.9135, 150.8594
415.3956, 112.2031
415.8777, 81.76172
416.3598, 106.5117
416.8419, 185.8203
417.3240, 224.6094
417.8062, 186.3164
418.2883, 158.2109
418.7704, 184.3125
419.2525, 233.6172
419.7346, 260.4570
420.2167, 244.6523
420.6989, 217.3633
421.1810, 221.6016
421.6631, 253.4805
422.1452, 260.8047
422.6273, 224.9570
423.1094, 175.3750
423.5916, 137.5664
424.0737, 112.0234
424.5558, 99.85547
425.0379, 109.5938
425.5200, 121.4414
426.0021, 106.8750
426.4843, 70.92969
426.9664, 49.02344
427.4485, 65.70703
427.9306, 110.4727
428.4127, 139.9727
428.8948, 162.3164
429.3770, 158.3711
429.8591, 95.07031
430.3412, 22.19141
430.8233, 3.542969
431.3054, 22.26953
431.7875, 48.16797
432.2697, 3.222656
432.7518, 120.1680
433.2339, 147.1719
433.7160, 19.78906
434.1981, 158.7227
434.6802, 165.4688
435.1624, 101.6289
435.6445, 64.42578
436.1266, 94.61328
436.6087, 145.4727
437.0908, 166.1016
437.5729, 157.6797
438.0551, 128.5625
438.5372, 62.36328
439.0193, 5.433594
439.5014, 38.87891
439.9835, 159.0820
440.4656, 220.3750
440.9478, 120.1094
441.4299, 1.539063
441.9120, 9.632813
442.3941, 122.5703
442.8762, 211.9688
443.3583, 198.3867
443.8404, 116.5234
444.3225, 88.89453
444.8047, 177.0898
445.2868, 242.2891
445.7689, 291.0195
446.2510, 307.8867
446.7331, 255.2852
447.2152, 144.9023
447.6974, 53.08203
448.1795, 68.87109
448.6616, 178.3008
449.1437, 195.2617
449.6258, 53.12891
450.1079, 62.86328
450.5901, 58.40234
451.0722, 5.562500
451.5543, 61.38281
452.0364, 98.77344
452.5185, 106.2422
453.0006, 43.86328
453.4828, 59.77344
453.9649, 96.58984
454.4470, 31.27344
454.9291, 48.23047
455.4112, 41.11719
455.8933, 60.30859
456.3755, 93.75391
456.8576, 20.44922
457.3397, 127.1680
457.8218, 130.2344
458.3039, 68.08984
458.7860, 25.75391
459.2682, 40.95703
459.7503, 83.59766
460.2324, 92.95312
460.7145, 53.02734
461.1966, 16.76953
461.6787, 38.12109
462.1609, 68.51562
462.6430, 35.04297
463.1251, 44.35938
463.6072, 114.9492
464.0893, 142.3633
464.5714, 142.1172
465.0536, 142.9609
465.5357, 144.5781
466.0178, 151.2930
466.4999, 171.8359
466.9820, 192.5586
467.4641, 194.1914
467.9463, 175.1641
468.4284, 154.0234
468.9105, 140.4727
469.3926, 126.6797
469.8747, 99.46094
470.3568, 60.57422
470.8390, 28.33984
471.3211, 16.21484
471.8032, 21.33203
472.2853, 26.29297
472.7674, 23.80859
473.2495, 30.18359
473.7317, 60.45312
474.2138, 91.37500
474.6959, 100.6875
475.1780, 85.50000
475.6601, 59.73828
476.1422, 34.60938
476.6244, 10.08203
477.1065, 13.40234
477.5886, 40.28906
478.0707, 56.25000
478.5528, 66.05859
479.0349, 58.48438
479.5171, 0.9453130
479.9992, 152.2539
480.4813, 265.7578
480.9634, 206.7695
481.4455, 59.11719
481.9276, 6.667969
482.4098, 89.30078
482.8918, 205.4844
483.3740, 259.8633
483.8561, 249.5898
484.3382, 244.7812
484.8203, 242.4453
485.3024, 243.9375
485.7845, 261.8281
486.2667, 280.3633
486.7488, 272.6406
487.2309, 231.2305
487.7130, 185.3594
488.1951, 177.6055
488.6772, 212.1758
489.1594, 244.9805
489.6415, 283.0781
490.1236, 307.9883
490.6057, 301.1172
491.0878, 275.1445
491.5699, 257.9961
492.0521, 248.8633
492.5342, 244.7578
493.0163, 237.5586
493.4984, 228.8672
493.9805, 233.9297
494.4626, 260.9102
494.9448, 290.3555
495.4269, 294.1172
495.9090, 264.2773
496.3911, 251.1797
496.8732, 246.0156
497.3553, 264.0000
497.8375, 351.3906
498.3196, 457.3359
498.8017, 487.5742
499.2838, 401.3516
499.7659, 262.7422
500.2480, 171.7305
500.7302, 129.0156
501.2123, 133.8867
501.6944, 237.9609
502.1765, 330.1758
502.6586, 336.4102
503.1407, 279.8789
503.6229, 225.3047
504.1050, 183.2656
504.5871, 167.1133
505.0692, 200.5078
505.5513, 268.7031
506.0334, 328.6758
506.5156, 371.5977
506.9977, 389.2383
507.4798, 359.8008
507.9619, 251.4180
508.4440, 213.5039
508.9261, 315.0977
509.4083, 415.2461
509.8904, 449.9922
510.3725, 437.5469
510.8546, 416.3438
511.3367, 399.0664
511.8188, 385.1875
512.3010, 381.7734
512.7831, 390.5273
513.2652, 377.3203
513.7473, 306.6367
514.2294, 246.3828
514.7115, 275.1406
515.1937, 354.7148
515.6758, 385.1367
516.1579, 292.6602
516.6400, 183.8008
517.1221, 143.8594
517.6042, 156.6172
518.0864, 186.9492
518.5685, 224.6719
519.0506, 263.9141
519.5327, 298.7969
520.0148, 340.0352
520.4969, 338.9414
520.9791, 248.3594
521.4612, 168.5234
521.9433, 137.6016
522.4254, 142.6680
522.9075, 169.1250
523.3896, 212.8633
523.8718, 243.8281
524.3539, 202.6719
524.8360, 92.08594
525.3181, 30.41797
525.8002, 42.44141
526.2823, 84.68750
526.7645, 141.4258
527.2466, 203.5977
527.7287, 240.8750
528.2108, 226.2305
528.6929, 209.9219
529.1750, 227.7461
529.6572, 260.8828
530.1393, 269.9375
530.6214, 245.3359
531.1035, 216.9531
531.5856, 218.8906
532.0677, 252.6602
532.5499, 297.1172
533.0320, 406.4609
533.5141, 458.5742
533.9962, 385.0273
534.4783, 257.7852
534.9604, 151.0273
535.4426, 81.62500
535.9247, 60.41406
536.4068, 136.4961
536.8889, 270.6797
537.3710, 328.3789
537.8531, 288.1172
538.3353, 227.6328
538.8174, 200.7656
539.2995, 197.3633
539.7816, 173.7500
540.2637, 114.9961
540.7458, 67.13672
541.2280, 27.78125
541.7101, 10.13281
