##NAMES=Allanite-(Ce)
##RRUFFID=R080044
##IDEAL CHEMISTRY=CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Aquarius Range, Mohave County, Arizona, USA
##OWNER=RRUFF
##SOURCE=John Weber
##DESCRIPTION=Dark brown fragment from metamict sample R060418, after heating at T = 850 C for 18 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080044
386.1768, 2868.517
386.6589, 2873.066
387.1411, 2877.556
387.6232, 2881.803
388.1053, 2886.052
388.5874, 2891.238
389.0695, 2897.926
389.5516, 2904.486
390.0338, 2911.816
390.5159, 2918.244
390.9980, 2921.519
391.4801, 2921.088
391.9622, 2919.900
392.4443, 2921.602
392.9265, 2926.437
393.4086, 2931.918
393.8907, 2938.894
394.3728, 2945.360
394.8549, 2949.871
395.3370, 2952.782
395.8192, 2955.542
396.3013, 2959.181
396.7834, 2963.386
397.2655, 2967.103
397.7476, 2970.294
398.2297, 2973.075
398.7119, 2975.756
399.1940, 2977.990
399.6761, 2978.843
400.1582, 2977.181
400.6403, 2976.070
401.1224, 2979.389
401.6046, 2986.865
402.0867, 2993.581
402.5688, 2998.249
403.0509, 3001.243
403.5330, 3002.659
404.0151, 3002.437
404.4973, 3003.043
404.9794, 3006.573
405.4615, 3011.346
405.9436, 3014.304
406.4257, 3014.948
406.9078, 3014.928
407.3900, 3015.557
407.8721, 3016.656
408.3542, 3017.256
408.8363, 3016.337
409.3184, 3015.782
409.8005, 3017.107
410.2827, 3019.895
410.7648, 3022.941
411.2469, 3026.044
411.7290, 3028.454
412.2111, 3027.903
412.6932, 3022.662
413.1754, 3019.211
413.6575, 3019.805
414.1396, 3022.089
414.6217, 3023.986
415.1038, 3025.012
415.5859, 3025.050
416.0681, 3023.812
416.5502, 3021.111
417.0323, 3019.103
417.5144, 3017.860
417.9965, 3017.087
418.4786, 3017.064
418.9608, 3017.382
419.4429, 3017.202
419.9250, 3016.060
420.4071, 3014.449
420.8892, 3013.793
421.3713, 3015.695
421.8535, 3016.104
422.3356, 3014.413
422.8177, 3011.671
423.2998, 3008.347
423.7819, 3004.698
424.2640, 3001.194
424.7462, 2998.365
425.2283, 2996.254
425.7104, 2993.999
426.1925, 2991.172
426.6746, 2988.675
427.1567, 2987.201
427.6389, 2986.117
428.1210, 2984.401
428.6031, 2981.493
429.0852, 2977.977
429.5673, 2975.024
430.0494, 2972.737
430.5316, 2970.644
431.0137, 2970.372
431.4958, 2969.051
431.9779, 2963.566
432.4600, 2954.199
432.9421, 2945.797
433.4243, 2942.921
433.9064, 2944.266
434.3885, 2944.144
434.8706, 2942.081
435.3527, 2939.031
435.8348, 2934.846
436.3170, 2930.204
436.7991, 2926.289
437.2812, 2923.844
437.7633, 2921.574
438.2454, 2918.251
438.7275, 2913.969
439.2097, 2909.329
439.6918, 2904.166
440.1739, 2899.317
440.6560, 2896.443
441.1381, 2895.684
441.6202, 2894.322
442.1024, 2891.295
442.5845, 2887.452
443.0666, 2883.501
443.5487, 2879.578
444.0308, 2876.215
444.5129, 2874.016
444.9951, 2872.794
445.4772, 2870.618
445.9593, 2867.493
446.4414, 2863.607
446.9235, 2858.593
447.4056, 2852.977
447.8878, 2847.442
448.3699, 2842.230
448.8520, 2837.315
449.3341, 2832.577
449.8162, 2827.798
450.2983, 2823.950
450.7805, 2821.636
451.2626, 2819.556
451.7447, 2817.579
452.2268, 2815.277
452.7089, 2811.621
453.1910, 2805.725
453.6732, 2798.381
454.1553, 2793.111
454.6374, 2791.575
455.1195, 2789.298
455.6016, 2784.524
456.0837, 2779.471
456.5659, 2776.636
457.0480, 2776.193
457.5301, 2775.396
458.0122, 2770.606
458.4943, 2761.920
458.9764, 2755.670
459.4586, 2753.808
459.9407, 2751.769
460.4228, 2746.906
460.9049, 2740.319
461.3870, 2734.031
461.8691, 2729.135
462.3513, 2724.192
462.8334, 2716.652
463.3155, 2706.688
463.7976, 2698.943
464.2797, 2695.839
464.7618, 2694.441
465.2440, 2691.115
465.7261, 2685.881
466.2082, 2680.097
466.6903, 2673.407
467.1724, 2666.826
467.6545, 2661.751
468.1367, 2658.248
468.6188, 2655.255
469.1009, 2652.329
469.5830, 2649.303
470.0651, 2645.247
470.5472, 2638.720
471.0294, 2633.149
471.5115, 2630.362
