##NAMES=Vlodavetsite
##RRUFFID=R070736
##IDEAL CHEMISTRY=Ca_2_Al(S^6+^O_4_)_2_F_2_Cl&#183;4H_2_O
##LOCALITY=Tolbachik volcano, Kamchatka Oblast', Far-Eastern Region, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Colorless vitreous massive, rarely in irregular plates associated with calcite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070736
355.4002, 252.4648
355.8823, 278.5898
356.3644, 290.9219
356.8465, 289.6367
357.3286, 271.0391
357.8108, 207.6836
358.2929, 133.1328
358.7750, 89.78516
359.2571, 138.2227
359.7392, 184.9453
360.2213, 162.1562
360.7035, 75.35547
361.1856, 12.83594
361.6677, 33.92578
362.1498, 86.00000
362.6319, 123.5664
363.1140, 121.1406
363.5962, 115.4219
364.0783, 118.9336
364.5604, 129.4297
365.0425, 131.8594
365.5246, 116.9297
366.0067, 96.53125
366.4889, 78.08984
366.9710, 75.97266
367.4531, 60.54688
367.9352, 9.734375
368.4173, 62.31250
368.8994, 93.09375
369.3815, 56.34375
369.8636, 0.1640630
370.3458, 59.66797
370.8279, 161.3984
371.3100, 195.6484
371.7921, 113.5352
372.2742, 25.43359
372.7563, 65.33594
373.2385, 57.17969
373.7206, 173.9180
374.2027, 207.3867
374.6848, 126.7812
375.1669, 92.91797
375.6490, 123.8906
376.1312, 182.5508
376.6133, 207.2031
377.0954, 190.6211
377.5775, 167.4219
378.0596, 145.0078
378.5417, 124.1914
379.0239, 119.6562
379.5060, 134.1172
379.9881, 157.5156
380.4702, 174.7148
380.9523, 186.5195
381.4344, 209.0000
381.9166, 257.2852
382.3987, 317.8945
382.8808, 351.3281
383.3629, 355.8125
383.8450, 348.3047
384.3271, 334.3711
384.8093, 319.1172
385.2914, 323.0820
385.7735, 374.0938
386.2556, 425.5859
386.7377, 406.7695
387.2198, 323.8203
387.7020, 221.9023
388.1841, 90.88672
388.6662, 24.96484
389.1483, 57.66406
389.6304, 56.11328
390.1125, 183.5000
390.5947, 228.4023
391.0768, 207.5664
391.5589, 169.6797
392.0410, 120.0742
392.5231, 76.01953
393.0052, 51.64453
393.4874, 56.19922
393.9695, 63.87500
394.4516, 68.52734
394.9337, 68.45703
395.4158, 60.80859
395.8979, 25.74609
396.3801, 2.511719
396.8622, 19.64062
397.3443, 39.08203
397.8264, 0.6875000
398.3085, 178.8711
398.7906, 395.0938
399.2728, 527.2617
399.7549, 533.1602
400.2370, 498.4570
400.7191, 424.1953
401.2012, 306.2773
401.6833, 216.2617
402.1655, 156.8828
402.6476, 124.9141
403.1297, 123.3516
403.6118, 170.8086
404.0939, 206.3047
404.5760, 225.3594
405.0582, 225.9102
405.5403, 178.3438
406.0224, 56.39453
406.5045, 36.91797
406.9866, 3.105469
407.4688, 165.8984
407.9509, 271.1328
408.4330, 277.5195
408.9151, 229.7617
409.3972, 224.3789
409.8793, 258.6836
410.3615, 282.5938
410.8436, 257.1367
411.3257, 196.2930
411.8078, 145.4453
412.2899, 106.6562
412.7720, 82.12891
413.2542, 76.92578
413.7363, 89.00000
414.2184, 112.0547
414.7005, 157.3008
415.1826, 204.7734
415.6647, 228.5273
416.1469, 227.2109
416.6290, 218.9023
417.1111, 202.8633
417.5932, 190.4609
418.0753, 196.7773
418.5574, 261.3320
419.0396, 313.9805
419.5217, 314.4492
420.0038, 267.9336
420.4859, 211.5195
420.9680, 126.6836
421.4501, 57.39453
421.9323, 38.71484
422.4144, 146.1680
422.8965, 212.3086
423.3786, 172.5820
423.8607, 64.42578
424.3428, 3.582031
424.8250, 46.75781
425.3071, 99.44531
425.7892, 127.7500
426.2713, 115.7617
426.7534, 117.8203
427.2355, 149.6602
427.7177, 191.2461
428.1998, 205.5430
428.6819, 172.1875
429.1640, 154.5703
429.6461, 179.2070
430.1282, 242.1875
430.6104, 255.6602
431.0925, 207.4688
431.5746, 150.2500
432.0567, 144.7734
432.5388, 192.0898
433.0209, 231.7344
433.5031, 247.5117
433.9852, 250.8164
434.4673, 287.1172
434.9494, 355.4102
435.4315, 388.4375
435.9136, 295.4570
436.3958, 131.3477
436.8779, 38.91797
437.3600, 50.16797
437.8421, 108.6875
438.3242, 172.4609
438.8063, 236.5703
439.2885, 286.3750
439.7706, 287.4258
440.2527, 290.2500
440.7348, 352.3008
441.2169, 486.6055
441.6990, 579.8281
442.1812, 539.9453
442.6633, 431.3477
443.1454, 330.5859
443.6275, 254.6172
444.1096, 195.8008
444.5917, 144.1523
445.0739, 101.3867
445.5560, 95.82031
446.0381, 176.1602
446.5202, 265.0039
447.0023, 316.6484
447.4844, 294.6406
