##NAMES=Spinel
##RRUFFID=X080014
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted blue gemstone, 7.90 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080014
464.1661, 14.96411
464.6482, 15.12500
465.1303, 13.17041
465.6125, 11.43506
466.0946, 10.78125
466.5767, 11.04272
467.0588, 10.76758
467.5409, 9.472656
468.0230, 7.966431
468.5052, 6.609863
468.9873, 5.572388
469.4694, 4.296021
469.9515, 2.664673
470.4336, 0.9433590
470.9157, 0.5601810
471.3979, 1.837769
471.8800, 2.809204
472.3621, 3.513062
472.8442, 3.865601
473.3263, 3.471069
473.8084, 2.272339
474.2906, 0.7907710
474.7727, 1.174194
475.2548, 3.250122
475.7369, 3.404419
476.2190, 1.122192
476.7011, 2.000977
477.1833, 4.839966
477.6654, 7.066406
478.1475, 7.753784
478.6296, 5.759766
479.1117, 2.564575
479.5938, 1.073608
480.0760, 4.936401
480.5581, 7.461548
481.0402, 7.363037
481.5223, 5.824097
482.0044, 3.379150
482.4865, 0.7855220
482.9687, 3.252930
483.4508, 1.022095
483.9329, 3.138428
484.4150, 5.258911
484.8971, 2.232788
485.3792, 0.3660890
485.8614, 1.120117
486.3435, 0.1678470
486.8256, 0.6777340
487.3077, 1.539795
487.7898, 2.157104
488.2719, 2.219727
488.7541, 1.261597
489.2362, 1.637085
489.7183, 4.187866
490.2004, 6.825439
490.6825, 5.557129
491.1646, 0.2131350
491.6468, 3.634766
492.1289, 1.831665
492.6110, 3.252930
493.0931, 5.851440
493.5752, 5.993896
494.0573, 5.948730
494.5395, 7.430908
495.0216, 9.839478
495.5037, 12.28442
495.9858, 14.80383
496.4679, 16.31299
496.9500, 15.04138
497.4322, 12.22327
497.9143, 9.930298
498.3964, 8.811279
498.8785, 8.623779
499.3606, 9.910400
499.8427, 12.28442
500.3249, 13.89038
500.8070, 12.79834
501.2891, 11.78577
501.7712, 12.60925
502.2533, 16.56726
502.7354, 19.13391
503.2176, 19.22864
503.6997, 18.13550
504.1818, 17.04089
504.6639, 15.57214
505.1460, 14.76392
505.6281, 15.04248
506.1103, 16.07422
506.5924, 16.39050
507.0745, 15.61389
507.5566, 14.69287
508.0387, 14.16821
508.5208, 14.01636
509.0030, 13.47791
509.4851, 12.44775
509.9672, 11.64111
510.4493, 12.57959
510.9314, 14.52954
511.4135, 14.65320
511.8957, 11.29736
512.3778, 7.575317
512.8599, 7.780396
513.3420, 10.76245
513.8242, 13.10083
514.3063, 12.19006
514.7884, 10.58704
515.2705, 10.32178
515.7526, 11.58032
516.2347, 13.00403
516.7169, 14.61169
517.1990, 15.65417
517.6811, 15.53552
518.1632, 12.61951
518.6453, 10.58777
519.1274, 9.980713
519.6096, 10.43213
520.0917, 11.24902
520.5738, 11.97961
521.0559, 13.78918
521.5380, 17.59900
522.0201, 23.19299
522.5023, 26.65088
522.9844, 27.85938
523.4665, 27.30225
523.9486, 24.43250
524.4307, 19.42737
524.9128, 16.22852
525.3950, 15.23584
525.8771, 15.92944
526.3592, 18.70178
526.8413, 22.81421
527.3234, 25.63928
527.8055, 25.69592
528.2877, 24.39221
528.7698, 23.00427
529.2519, 21.57812
529.7340, 20.25610
530.2161, 19.08179
530.6982, 18.11328
531.1804, 17.70117
531.6625, 18.19824
532.1446, 17.82263
532.6267, 14.75842
533.1088, 11.15259
533.5909, 9.029175
534.0731, 9.634644
534.5552, 10.33984
535.0373, 11.10815
535.5194, 11.89429
536.0015, 12.67542
536.4836, 13.96130
536.9658, 14.64307
537.4479, 13.99121
537.9300, 11.96594
538.4121, 10.81396
538.8942, 10.56433
539.3763, 11.01392
539.8585, 12.33057
540.3406, 14.13025
540.8227, 15.21716
541.3048, 15.71887
541.7869, 15.86938
542.2690, 15.43591
542.7512, 14.57532
543.2333, 13.85388
543.7154, 14.24329
544.1975, 14.54382
544.6796, 13.59509
545.1617, 11.56897
545.6439, 9.308350
546.1260, 5.421387
546.6081, 2.722656
547.0902, 3.575439
547.5723, 9.463989
548.0544, 13.93567
548.5366, 15.99573
549.0187, 16.09961
549.5008, 14.74548
549.9829, 11.54126
550.4650, 8.601929
550.9471, 5.599731
551.4293, 2.891113
551.9114, 1.409180
552.3935, 1.293335
552.8756, 1.859131
553.3577, 3.120728
553.8398, 4.861450
554.3220, 6.170776
554.8041, 7.054565
555.2862, 7.373047
555.7683, 6.682739
556.2504, 5.419189
556.7325, 4.346436
557.2147, 3.539307
557.6968, 3.074951
558.1789, 3.171265
558.6610, 3.615112
559.1431, 4.098511
559.6252, 4.596436
560.1074, 4.975586
560.5895, 5.140747
561.0716, 5.125732
561.5537, 5.068115
562.0358, 5.638428
562.5179, 5.537476
563.0001, 3.858398
563.4822, 0.2381590
563.9643, 1.210083
564.4464, 0.5300290
564.9285, 2.979370
565.4106, 4.325928
565.8928, 4.447632
566.3749, 4.605103
566.8570, 4.889526
567.3391, 5.165161
567.8212, 5.137817
568.3033, 4.880615
568.7855, 4.798218
569.2676, 4.990234
569.7497, 5.431030
570.2318, 6.284302
570.7139, 7.461548
571.1960, 8.445190
571.6782, 9.374390
572.1603, 9.495972
572.6424, 7.523560
573.1245, 3.160156
573.6066, 0.5563960
574.0887, 2.835205
574.5709, 6.559692
575.0530, 9.067261
575.5351, 9.816406
576.0172, 9.591064
576.4993, 7.362183
576.9814, 4.714600
577.4636, 4.488892
577.9457, 7.850098
578.4278, 10.54651
578.9099, 11.52771
579.3920, 11.08765
579.8741, 9.725464
580.3563, 7.293579
580.8384, 6.018555
581.3205, 8.176392
581.8026, 12.46460
