##NAMES=Stilpnomelane
##RRUFFID=R110195
##IDEAL CHEMISTRY=(K,Ca,Na)(Fe^2+^,Mg,Al,Fe^3+^)_8_(Si,Al)_12_(O,OH)_36_&#183;nH_2_O
##LOCALITY=Broughton talc mine, Saint-Pierre-de-Broughton, Quebec, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Aggregates of dark green plates, 180 deg twin around (-2 0 3) = [0 1 2].
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110195
296.3560, 3.606972
296.8381, 3.718452
297.3203, 4.235191
297.8024, 4.841385
298.2845, 4.676170
298.7666, 3.637848
299.2487, 2.695374
299.7308, 3.175919
300.2130, 4.595451
300.6951, 5.539635
301.1772, 5.042107
301.6593, 3.940231
302.1414, 3.384216
302.6235, 3.372490
303.1057, 3.635231
303.5878, 4.227081
304.0699, 4.923775
304.5520, 5.231544
305.0341, 4.722244
305.5162, 4.040497
305.9984, 3.943306
306.4805, 4.349705
306.9626, 4.698936
307.4447, 4.481464
307.9268, 4.023609
308.4089, 3.654240
308.8911, 3.666481
309.3732, 3.862648
309.8553, 3.906429
310.3374, 3.844498
310.8195, 3.835022
311.3016, 4.124702
311.7838, 4.425995
312.2659, 4.455032
312.7480, 4.063438
313.2301, 3.616882
313.7122, 3.317844
314.1943, 3.118168
314.6765, 2.926834
315.1586, 2.508862
315.6407, 2.215858
316.1228, 2.411922
316.6049, 3.328632
317.0870, 3.945557
317.5692, 3.502861
318.0513, 2.553562
318.5334, 1.832317
319.0155, 1.854763
319.4976, 2.039639
319.9797, 1.987804
320.4619, 1.637001
320.9440, 1.406078
321.4261, 1.346054
321.9082, 1.495487
322.3903, 1.892826
322.8724, 3.049110
323.3546, 3.945572
323.8367, 4.406151
324.3188, 4.419064
324.8009, 3.873116
325.2830, 1.736473
325.7651, 0.3346100
326.2473, 1.262138
326.7294, 0.4477770
327.2115, 1.695473
327.6936, 1.987236
328.1757, 1.510895
328.6578, 1.222717
329.1400, 1.398117
329.6221, 1.546455
330.1042, 1.451477
330.5863, 0.8987920
331.0684, 0.4555820
331.5505, 0.1559490
332.0327, 3.9726000E-02
332.5148, 0.2230220
332.9969, 0.4875110
333.4790, 0.6153260
