##NAMES=Pinakiolite
##RRUFFID=R050636
##IDEAL CHEMISTRY=(Mg,Mn^2+^)_2_(Mn^3+^,Sb^5+^)O_2_(BO_3_)
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Dark-grey crystals embedded into matrix of calcite, dolomite and tephroite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050636
262.6946, 3.356876
263.1767, 3.401215
263.6588, 3.504650
264.1409, 3.713856
264.6230, 4.153614
265.1052, 5.135056
265.5873, 5.786297
266.0694, 6.010590
266.5515, 5.987431
267.0336, 5.792797
267.5157, 5.468102
267.9979, 5.074249
268.4800, 4.642284
268.9621, 3.871883
269.4442, 3.786304
269.9263, 5.101242
270.4084, 6.393574
270.8906, 6.590378
271.3727, 5.734550
271.8548, 4.737000
272.3369, 4.849792
272.8190, 6.629894
273.3011, 7.643520
273.7833, 7.789391
274.2654, 7.463631
274.7475, 6.449478
275.2296, 4.972492
275.7117, 3.766388
276.1938, 3.627548
276.6760, 4.807060
277.1581, 5.518528
277.6402, 5.578690
278.1223, 5.463348
278.6044, 5.333740
279.0865, 5.216850
279.5686, 5.096443
280.0508, 4.950745
280.5329, 4.777084
281.0150, 4.715652
281.4971, 4.723980
281.9792, 4.846264
282.4613, 5.196236
282.9435, 5.738380
283.4256, 6.223267
283.9077, 6.523361
284.3898, 6.610607
284.8719, 6.171299
285.3540, 4.620152
285.8362, 3.449497
286.3183, 3.188793
286.8004, 3.502705
287.2825, 3.718422
287.7646, 3.456146
288.2467, 2.963482
288.7289, 3.135586
289.2110, 5.114239
289.6931, 6.306980
290.1752, 5.660728
290.6573, 4.158600
291.1394, 3.200420
291.6216, 3.337963
292.1037, 4.109009
292.5858, 4.608536
293.0679, 4.756889
293.5500, 4.780308
294.0321, 4.627144
294.5143, 4.390862
294.9964, 4.109756
295.4785, 3.795341
295.9606, 3.610561
296.4427, 3.838261
296.9248, 4.719368
297.4070, 5.270214
297.8891, 5.098942
298.3712, 4.797752
298.8533, 4.973587
299.3354, 5.690384
299.8175, 6.471165
300.2997, 6.837955
300.7818, 6.711964
301.2639, 6.544479
301.7460, 6.319832
302.2281, 6.068775
302.7102, 5.763348
303.1924, 5.426018
303.6745, 5.142303
304.1566, 4.916199
304.6387, 4.794464
305.1208, 5.207005
305.6029, 6.781654
306.0851, 8.185596
306.5672, 8.682068
307.0493, 8.457417
307.5314, 8.188770
308.0135, 8.293846
308.4956, 8.613831
308.9778, 8.436794
309.4599, 7.113995
309.9420, 6.179539
310.4241, 6.500294
310.9062, 7.522034
311.3883, 8.131134
311.8705, 7.828159
312.3526, 7.015930
312.8347, 6.570824
313.3168, 6.530941
313.7989, 6.672676
314.2810, 7.200420
314.7632, 7.801861
315.2453, 8.003162
315.7274, 7.661064
316.2095, 7.124447
316.6916, 6.833992
317.1737, 6.806187
317.6559, 7.006065
318.1380, 7.839581
318.6201, 8.617420
319.1022, 8.660511
319.5843, 7.928207
320.0664, 7.140305
320.5485, 7.047878
321.0306, 7.695816
321.5128, 7.589279
321.9949, 5.624908
322.4770, 3.852573
322.9591, 3.854538
323.4412, 5.382137
323.9233, 6.965282
324.4055, 7.653553
324.8876, 7.546761
325.3697, 7.440193
325.8518, 7.405075
326.3339, 7.328766
326.8160, 7.107544
327.2982, 6.725445
327.7803, 6.351971
328.2624, 6.067314
328.7445, 5.877522
329.2266, 5.816032
329.7087, 6.027386
330.1909, 6.089863
330.6730, 5.761234
331.1551, 5.312256
331.6372, 5.125389
332.1193, 5.230072
332.6014, 5.469475
333.0836, 5.600361
333.5657, 5.637337
334.0478, 5.470425
334.5299, 4.833237
335.0120, 4.166866
335.4941, 3.873859
335.9763, 3.977673
336.4584, 4.192673
336.9405, 4.299332
337.4226, 4.299446
337.9047, 3.992081
338.3868, 2.856819
338.8690, 1.932079
339.3511, 1.930336
339.8332, 2.629566
340.3153, 3.280743
340.7974, 3.398769
341.2795, 3.112007
341.7617, 3.129066
342.2438, 3.611740
342.7259, 4.054134
343.2080, 4.466557
343.6901, 4.751335
344.1722, 4.746189
344.6544, 4.371181
345.1365, 3.714371
345.6186, 2.960514
346.1007, 1.755047
346.5828, 1.037525
347.0649, 1.131516
347.5471, 1.536236
348.0292, 1.877415
348.5113, 2.058590
348.9934, 2.099785
349.4755, 1.966412
349.9576, 1.483894
350.4398, 1.616421
350.9219, 3.235104
351.4040, 4.597000
351.8861, 4.593555
352.3682, 3.457489
352.8503, 2.083321
353.3325, 1.095173
353.8146, 0.5026550
354.2967, 0.4408610
354.7788, 1.501209
355.2609, 2.409538
355.7430, 3.018654
356.2252, 3.281570
356.7073, 3.054405
357.1894, 2.258614
357.6715, 1.191433
358.1536, 0.5887990
358.6357, 0.7100330
359.1179, 0.9460720
359.5999, 1.557812
360.0821, 2.091042
360.5642, 2.109619
361.0463, 1.560856
361.5284, 0.7722850
362.0105, 6.9603004E-02
362.4926, 0.6842610
362.9748, 0.7867550
363.4569, 0.3815570
363.9390, 1.577049
364.4211, 2.366089
364.9032, 2.730984
365.3853, 2.764278
365.8675, 2.496971
366.3496, 1.965073
366.8317, 1.509876
367.3138, 1.112469
367.7959, 0.8386120
368.2780, 0.7007100
368.7602, 0.6793170
369.2423, 0.7874370
369.7244, 1.044052
370.2065, 1.344177
370.6886, 1.374996
371.1707, 0.9189450
371.6529, 0.8027880
372.1350, 1.591885
372.6171, 2.413685
373.0992, 2.716488
373.5813, 2.416996
374.0634, 1.772594
374.5456, 0.8342060
375.0277, 0.4390180
375.5098, 1.056709
375.9919, 0.3903240
376.4740, 0.2946090
376.9561, 0.1674350
377.4383, 0.3990250
377.9204, 0.4751970
378.4025, 0.7572060
378.8846, 2.677662
379.3667, 3.457008
379.8488, 2.671902
380.3310, 1.836121
380.8131, 1.559921
381.2952, 1.545876
381.7773, 1.567455
382.2594, 1.607567
382.7415, 1.486156
383.2237, 0.7614670
383.7058, 0.5584600
384.1879, 1.198452
384.6700, 0.4089320
385.1521, 0.7277570
385.6342, 1.230946
386.1164, 1.124157
386.5985, 0.9034310
387.0806, 0.8775370
387.5627, 0.9300270
388.0448, 0.6556400
388.5269, 0.1520120
389.0091, 0.6898080
389.4912, 3.0609000E-02
389.9733, 1.466381
390.4554, 2.418915
390.9375, 2.503227
391.4196, 2.150211
391.9018, 1.566872
392.3839, 0.7961350
392.8660, 0.2822110
393.3481, 0.3126340
393.8302, 0.6292720
394.3123, 0.7099420
394.7945, 0.4963720
395.2766, 0.2668800
395.7587, 0.1311300
396.2408, 4.9869999E-02
396.7229, 2.9816000E-02
397.2050, 0.1178360
397.6872, 0.2471620
398.1693, 0.5560570
398.6514, 1.078354
399.1335, 1.068062
399.6156, 0.1794200
400.0977, 1.428772
400.5798, 1.645462
