##NAMES=Anthoinite
##RRUFFID=R070025
##IDEAL CHEMISTRY=AlW^6+^O_3_(OH)_3_
##LOCALITY=Kyakabingu, Bumbogo, Rwanda
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White, waxy flaky crystals associated with tan colored jarosite on quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070025
321.6520, 55.48828
322.1341, 96.49609
322.6162, 185.5195
323.0984, 237.8203
323.5805, 209.4297
324.0626, 156.5938
324.5447, 117.3750
325.0268, 80.08984
325.5089, 75.40234
325.9911, 134.3672
326.4732, 246.7148
326.9553, 311.8398
327.4374, 260.7344
327.9195, 201.0977
328.4016, 194.7969
328.8838, 302.5703
329.3659, 384.3984
329.8480, 415.1602
330.3301, 404.8633
330.8122, 423.6484
331.2943, 506.4062
331.7765, 583.3750
332.2586, 610.4648
332.7407, 546.3711
333.2228, 511.8008
333.7049, 534.0430
334.1870, 592.9414
334.6692, 601.3516
335.1513, 541.2227
335.6334, 462.3945
336.1155, 383.2266
336.5976, 285.1094
337.0797, 252.7305
337.5619, 321.1562
338.0440, 444.6992
338.5261, 474.6523
339.0082, 374.6992
339.4903, 287.7148
339.9724, 320.5586
340.4546, 497.7734
340.9367, 566.7734
341.4188, 483.3711
341.9009, 325.9922
342.3830, 259.6250
342.8651, 296.5977
343.3473, 335.1055
343.8294, 323.8828
344.3115, 266.4922
344.7936, 186.2461
345.2757, 71.76953
345.7578, 32.39453
346.2400, 44.93359
346.7221, 30.02344
347.2042, 112.2070
347.6863, 165.7852
348.1684, 194.6562
348.6505, 209.8320
349.1327, 207.5312
349.6148, 203.0547
350.0969, 214.9258
350.5790, 243.4648
351.0611, 281.4609
351.5432, 332.6836
352.0254, 386.4805
352.5075, 433.4141
352.9896, 473.8555
353.4717, 489.4531
353.9538, 441.6484
354.4359, 357.9922
354.9181, 292.6875
355.4002, 296.2539
355.8823, 316.7109
356.3644, 295.8672
356.8465, 232.6953
357.3286, 173.3633
357.8108, 144.0430
358.2929, 138.5859
358.7750, 147.7227
359.2571, 212.6641
359.7392, 255.1289
360.2213, 206.0234
360.7035, 72.73438
361.1856, 31.86719
361.6677, 40.70312
362.1498, 8.042969
362.6319, 18.71094
363.1140, 14.57031
363.5962, 14.39844
364.0783, 35.48828
364.5604, 73.08594
365.0425, 94.99219
365.5246, 66.25000
366.0067, 37.00391
366.4889, 38.32812
366.9710, 116.2812
367.4531, 180.6680
367.9352, 224.6523
368.4173, 249.2578
368.8994, 258.4062
369.3815, 226.2578
369.8636, 193.8906
370.3458, 186.9258
370.8279, 247.7266
371.3100, 263.1758
371.7921, 204.8125
372.2742, 107.1133
372.7563, 55.89844
373.2385, 66.85547
373.7206, 98.00391
374.2027, 135.8047
374.6848, 181.8672
375.1669, 228.9531
375.6490, 290.7695
376.1312, 338.9336
376.6133, 307.0898
377.0954, 164.8281
377.5775, 66.70703
378.0596, 92.82422
378.5417, 237.9141
379.0239, 330.2461
379.5060, 363.6836
379.9881, 361.3555
380.4702, 338.7148
380.9523, 296.7930
381.4344, 269.7617
381.9166, 277.0938
382.3987, 305.4805
382.8808, 309.0195
383.3629, 285.1367
383.8450, 266.4219
384.3271, 296.3594
384.8093, 358.0391
385.2914, 400.5547
385.7735, 409.5703
386.2556, 390.1797
386.7377, 339.8750
387.2198, 262.1055
387.7020, 180.8477
388.1841, 86.55078
388.6662, 9.234375
389.1483, 4.960938
389.6304, 87.66406
390.1125, 196.6172
390.5947, 268.2539
391.0768, 305.6914
391.5589, 313.8203
392.0410, 265.1172
392.5231, 208.4922
393.0052, 184.7930
393.4874, 220.7617
393.9695, 240.7617
394.4516, 184.6836
394.9337, 94.75781
395.4158, 48.71875
395.8979, 109.6328
396.3801, 181.0391
396.8622, 228.8438
397.3443, 251.7070
397.8264, 240.4922
398.3085, 147.9258
398.7906, 35.09766
399.2728, 23.03125
399.7549, 19.04688
400.2370, 67.26953
400.7191, 107.9258
401.2012, 141.5117
401.6833, 167.9375
402.1655, 184.7773
402.6476, 198.5820
403.1297, 219.8516
403.6118, 266.4844
404.0939, 274.6367
404.5760, 226.1250
405.0582, 132.0352
405.5403, 52.66016
406.0224, 24.80859
406.5045, 70.04688
406.9866, 45.80469
407.4688, 53.33984
407.9509, 114.0625
408.4330, 112.9062
408.9151, 82.90234
409.3972, 98.48438
409.8793, 159.3711
410.3615, 217.9141
410.8436, 246.1836
