##NAMES=Aravaipaite
##RRUFFID=R100032
##IDEAL CHEMISTRY=Pb^2+^_3_AlF_9_&#183;H_2_O
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Transparent sheets, associated with laurelite R100011 and scotlandite R100043
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100032
308.4857, 3.943604
308.9678, 6.149780
309.4500, 7.836304
309.9321, 7.814697
310.4142, 6.488403
310.8963, 4.768433
311.3784, 3.180054
311.8605, 1.772095
312.3427, 0.9805910
312.8248, 1.311646
313.3069, 1.718994
313.7890, 1.978882
314.2711, 2.213013
314.7532, 2.697754
315.2354, 3.593750
315.7175, 4.608154
316.1996, 4.850952
316.6817, 3.755371
317.1638, 2.754028
317.6459, 1.777100
318.1281, 1.076538
318.6102, 1.094116
319.0923, 1.909302
319.5744, 2.889648
320.0565, 2.871460
320.5386, 1.112671
321.0208, 6.6161998E-02
321.5029, 0.5089110
321.9850, 1.059692
322.4671, 0.5194090
322.9492, 1.074463
323.4313, 2.397339
323.9135, 1.766113
324.3956, 1.402344
324.8777, 3.526245
325.3598, 4.612427
325.8419, 4.703125
326.3240, 2.595459
326.8062, 0.8782960
327.2883, 3.079834
327.7704, 1.637939
328.2525, 3.154175
328.7346, 5.995605
329.2167, 5.470093
329.6989, 4.436768
330.1810, 2.993774
330.6631, 1.639038
331.1452, 1.223389
331.6273, 2.344849
332.1094, 4.246704
332.5916, 4.346558
333.0737, 0.7355960
333.5558, 1.358276
334.0379, 0.2401120
334.5200, 2.136963
335.0021, 4.289917
335.4843, 5.704224
335.9664, 6.258911
336.4485, 4.961304
336.9306, 0.2021480
337.4127, 2.339111
337.8948, 0.3836670
338.3770, 3.475220
338.8591, 3.569946
339.3412, 0.6827390
339.8233, 2.226929
340.3055, 1.868042
340.7876, 1.929321
341.2697, 4.213501
341.7518, 4.102173
342.2339, 3.384888
342.7160, 2.308838
343.1982, 1.165405
343.6803, 0.4511720
344.1624, 0.4927980
344.6445, 1.244019
345.1266, 2.652588
345.6087, 5.931396
346.0909, 7.806641
346.5730, 6.183716
347.0551, 3.125122
347.5372, 1.249756
348.0193, 1.696167
348.5014, 3.448242
348.9836, 4.846436
349.4657, 6.004639
349.9478, 6.392700
350.4299, 4.569824
350.9120, 2.719849
351.3941, 2.736816
351.8763, 4.933716
352.3584, 7.592651
352.8405, 8.987549
353.3226, 9.049927
353.8047, 8.827637
354.2868, 8.318237
354.7690, 7.833008
355.2511, 7.294556
355.7332, 6.849487
356.2153, 7.106445
356.6974, 9.436890
357.1795, 12.91528
357.6617, 13.13660
358.1438, 7.817993
358.6259, 3.791382
359.1080, 6.931274
359.5901, 13.73804
360.0722, 18.49182
360.5544, 18.43274
361.0365, 16.18970
361.5186, 15.41125
362.0007, 16.27905
362.4828, 17.22766
362.9649, 17.72937
363.4471, 17.90894
363.9292, 17.87354
364.4113, 17.59656
364.8934, 17.49622
365.3755, 17.52759
365.8576, 17.73669
366.3398, 17.26868
366.8219, 15.38257
367.3040, 13.58789
367.7861, 13.59338
368.2682, 15.23499
368.7503, 16.98633
369.2325, 18.32068
369.7146, 19.36169
370.1967, 20.57080
370.6788, 22.15771
371.1609, 22.85046
371.6430, 21.10522
372.1252, 17.59668
372.6073, 14.65210
373.0894, 12.35840
373.5715, 10.90649
374.0536, 10.86060
374.5357, 12.00354
375.0179, 13.09216
375.5000, 13.71497
375.9821, 13.71436
376.4642, 12.63757
376.9463, 9.880859
377.4284, 7.595947
377.9106, 7.115723
378.3927, 7.517578
378.8748, 6.851196
379.3569, 4.473633
379.8390, 2.236938
380.3211, 2.996460
380.8033, 7.518188
381.2854, 9.963257
381.7675, 8.942261
382.2496, 6.661499
382.7317, 3.699585
383.2138, 0.5548100
383.6960, 0.7259520
384.1781, 1.860107
384.6602, 7.827271
385.1423, 11.06897
385.6244, 10.59827
386.1065, 9.505737
386.5887, 7.930786
387.0708, 6.411011
387.5529, 5.906006
388.0350, 6.869019
388.5171, 8.657959
388.9992, 9.888672
389.4814, 10.57031
389.9635, 10.56189
390.4456, 9.463379
390.9277, 7.952759
391.4098, 6.486084
391.8919, 5.310181
392.3741, 4.048096
392.8562, 2.034912
393.3383, 1.131226
393.8204, 1.880005
394.3025, 2.205566
394.7846, 5.991699
395.2668, 8.249878
395.7489, 9.076538
396.2310, 7.906860
396.7131, 4.203125
397.1952, 0.8781740
397.6773, 3.251831
398.1595, 0.8260500
398.6416, 1.590210
399.1237, 3.555786
399.6058, 4.867554
400.0879, 5.234375
400.5700, 4.680054
401.0522, 3.614258
401.5343, 2.638916
402.0164, 1.849487
402.4985, 1.300293
402.9806, 0.5892330
403.4627, 0.5260010
403.9449, 1.873169
404.4270, 4.188477
404.9091, 6.351563
405.3912, 7.636597
405.8733, 8.281982
406.3554, 8.856079
406.8376, 9.224976
407.3197, 9.796997
407.8018, 11.43896
408.2839, 13.03979
408.7660, 13.25745
409.2481, 11.61084
409.7303, 9.470703
410.2124, 8.166504
410.6945, 7.658203
411.1766, 7.233398
411.6587, 6.970703
412.1408, 6.441162
412.6230, 4.662476
413.1051, 1.932739
413.5872, 0.6179200
414.0693, 3.047119
414.5514, 7.009277
415.0335, 8.961426
415.5157, 8.611572
415.9978, 7.249878
416.4799, 4.948608
416.9620, 2.387817
417.4441, 1.569580
417.9262, 3.969116
418.4084, 6.246582
418.8905, 5.888184
419.3726, 3.917725
419.8547, 3.392334
420.3368, 5.746826
420.8189, 8.591431
421.3011, 7.394287
421.7832, 0.5169680
422.2653, 3.170532
422.7474, 0.3552250
423.2295, 5.386841
423.7116, 6.404297
424.1938, 3.462769
424.6759, 0.9353030
425.1580, 2.488770
425.6401, 7.793335
426.1222, 10.74792
426.6043, 10.26062
427.0865, 9.080322
427.5686, 7.058105
428.0507, 4.991821
428.5328, 4.068848
429.0149, 4.716675
429.4970, 6.130615
429.9792, 6.793701
430.4613, 5.671631
430.9434, 6.125732
431.4255, 10.13892
431.9076, 13.72327
432.3897, 14.29053
432.8719, 12.27795
433.3540, 9.769409
433.8361, 8.252808
434.3182, 7.706543
434.8003, 8.125122
435.2824, 10.97998
435.7646, 12.48279
436.2467, 11.12366
436.7288, 8.404785
437.2109, 5.535767
437.6930, 2.855591
438.1751, 1.121338
438.6573, 1.989014
439.1394, 5.770508
439.6215, 7.483643
440.1036, 4.760742
440.5857, 1.667969
441.0678, 0.6901860
441.5500, 1.520996
442.0321, 3.016357
442.5142, 4.868530
442.9963, 6.674561
443.4784, 7.657227
443.9605, 7.729248
444.4427, 7.662842
444.9248, 7.872559
445.4069, 8.118774
445.8890, 7.964233
446.3711, 7.215942
446.8532, 6.570557
447.3354, 6.690063
447.8175, 7.157104
448.2996, 6.720337
448.7817, 4.906738
449.2638, 3.478882
449.7459, 4.794312
450.2281, 9.066895
450.7102, 11.64673
451.1923, 11.20728
451.6744, 9.920532
452.1565, 9.028687
452.6386, 8.411499
453.1208, 7.927246
453.6029, 7.484375
454.0850, 7.196655
454.5671, 7.409180
455.0492, 9.501221
455.5313, 9.844360
456.0135, 7.623291
456.4956, 4.588989
456.9777, 1.462280
457.4598, 1.272095
457.9419, 2.667847
458.4240, 1.595459
458.9062, 1.995728
459.3883, 4.768433
459.8704, 6.125977
460.3525, 7.277832
460.8346, 8.953247
461.3167, 10.40320
461.7989, 10.32019
462.2810, 8.136841
462.7631, 5.490845
463.2452, 5.231079
463.7273, 7.900635
464.2094, 9.690796
464.6916, 9.573730
465.1737, 8.919189
465.6558, 8.238037
466.1379, 7.654907
466.6200, 7.451294
467.1021, 8.079834
467.5843, 9.050659
468.0664, 9.471802
468.5485, 9.435547
469.0306, 8.732178
469.5127, 5.951172
469.9948, 3.076416
470.4770, 3.435547
470.9591, 8.314209
471.4412, 11.96826
471.9233, 9.982300
472.4054, 5.255371
472.8875, 3.290894
473.3697, 5.151855
473.8518, 8.465820
474.3339, 11.58533
474.8160, 14.39807
475.2981, 15.57715
475.7802, 14.28528
476.2624, 12.29871
476.7445, 9.723755
477.2266, 7.106812
477.7087, 5.477173
478.1908, 5.226074
478.6729, 5.868164
479.1551, 6.588501
479.6372, 7.612549
480.1193, 7.875000
480.6014, 7.554199
481.0835, 6.976807
481.5656, 6.288818
482.0478, 5.563965
482.5299, 4.708130
483.0120, 3.523926
483.4941, 2.487305
483.9762, 3.928833
484.4583, 10.37585
484.9405, 14.07007
485.4226, 11.39282
485.9047, 7.068726
486.3868, 4.444946
486.8689, 4.044678
487.3510, 4.810791
487.8332, 6.177979
488.3153, 8.035767
488.7974, 10.00977
489.2795, 12.37622
489.7616, 14.13000
490.2437, 14.73694
490.7259, 14.29736
491.2080, 12.50525
491.6901, 8.274292
492.1722, 4.747925
492.6543, 4.782715
493.1364, 7.367798
493.6186, 9.815430
494.1007, 11.60925
494.5828, 12.38550
495.0649, 11.21521
495.5470, 7.806152
496.0291, 6.298462
496.5113, 8.795288
496.9934, 11.38953
497.4755, 11.62000
497.9576, 10.11194
498.4397, 8.687256
498.9218, 8.245239
499.4040, 8.205078
499.8861, 7.222412
500.3682, 4.469971
500.8503, 2.297974
501.3324, 0.4825440
501.8145, 0.6567380
502.2967, 0.5277100
502.7788, 0.5014650
503.2609, 1.273071
503.7430, 0.8291020
504.2251, 0.3106690
504.7072, 3.4912001E-02
505.1894, 2.193970
505.6715, 4.622314
506.1536, 8.162231
506.6357, 10.83704
507.1178, 10.34265
507.5999, 6.596313
508.0821, 2.916382
508.5642, 1.718018
509.0463, 2.479492
509.5284, 4.012207
510.0105, 6.577271
510.4926, 8.437622
510.9748, 8.037354
511.4569, 6.270508
511.9390, 5.304077
512.4211, 5.536743
512.9032, 6.054443
513.3853, 6.802612
513.8674, 7.427612
514.3495, 6.994873
514.8317, 5.293579
515.3138, 3.754150
515.7959, 4.072876
516.2780, 6.616455
516.7601, 7.635254
517.2422, 5.408936
517.7244, 3.645874
518.2065, 4.251953
518.6886, 6.050659
519.1707, 7.293945
519.6528, 7.348267
520.1349, 6.645142
520.6171, 5.760254
521.0992, 4.630737
521.5813, 3.609619
522.0634, 2.642944
522.5455, 1.866333
523.0276, 1.290161
523.5098, 0.9533690
523.9919, 1.064819
524.4740, 1.925537
524.9561, 2.665649
525.4382, 1.287231
525.9203, 2.275024
526.4025, 3.476440
526.8846, 0.2579350
527.3667, 4.657593
527.8488, 5.095215
528.3309, 2.161133
528.8130, 0.3211670
529.2952, 2.129150
529.7773, 4.727539
530.2594, 5.279175
530.7415, 4.133301
531.2236, 3.105591
531.7057, 2.961060
532.1879, 3.474976
532.6700, 4.286133
533.1521, 5.734741
533.6342, 6.678345
534.1163, 6.382446
534.5984, 6.187988
535.0806, 7.127563
535.5627, 8.982422
536.0448, 10.88538
536.5269, 12.38135
