##NAMES=Westerveldite
##RRUFFID=R060507
##IDEAL CHEMISTRY=FeAs
##LOCALITY=Kvanefjeld, Ilimaussaq, Greenland
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metallic silver massive, associated with elongated dark-green diopside.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060507
260.3780, 35.69586
260.8600, 34.32623
261.3420, 34.51959
261.8240, 38.51068
262.3060, 36.49939
262.7880, 20.75372
263.2700, 5.988831
263.7520, 3.958130
264.2350, 13.22351
264.7170, 21.62537
265.1990, 18.42535
265.6810, 0.5567020
266.1630, 5.576721
266.6450, 11.00342
267.1270, 26.51007
267.6090, 31.27032
268.0910, 27.86523
268.5740, 23.49292
269.0560, 22.87775
269.5380, 25.61523
270.0200, 28.28503
270.5020, 31.46600
270.9840, 33.71198
271.4660, 33.17383
271.9480, 32.34528
272.4310, 36.19482
272.9130, 47.70685
273.3950, 61.59998
273.8770, 61.83905
274.3590, 35.47119
274.8410, 16.51819
275.3230, 11.93329
275.8050, 14.23181
276.2880, 17.05389
276.7700, 18.32373
277.2520, 19.41235
277.7340, 23.41748
278.2160, 33.05945
278.6980, 37.31128
279.1800, 29.10278
279.6620, 19.62177
280.1440, 15.59241
280.6260, 17.72302
281.1090, 21.92834
281.5910, 24.93054
282.0730, 26.75299
282.5550, 25.79187
283.0370, 17.50348
283.5190, 11.01697
284.0010, 12.07355
284.4830, 19.37598
284.9660, 27.56982
285.4480, 35.16504
285.9300, 41.23895
286.4120, 41.10150
286.8940, 33.21625
287.3760, 21.56024
287.8580, 3.192505
288.3400, 11.82288
288.8230, 8.050415
289.3050, 19.48572
289.7870, 23.02832
290.2690, 5.159241
290.7510, 7.410095
291.2330, 3.483521
291.7150, 1.166504
292.1970, 16.95844
292.6790, 7.021851
293.1620, 10.60889
293.6440, 11.72601
294.1260, 20.61548
294.6080, 13.07092
295.0900, 10.56116
295.5720, 24.30518
296.0540, 28.03729
296.5360, 16.99237
297.0180, 7.697754
297.5010, 7.374451
297.9830, 16.54755
298.4650, 29.40540
298.9470, 33.86169
299.4290, 25.86328
299.9110, 13.16895
300.3930, 7.894714
300.8750, 11.72272
301.3580, 13.35980
301.8400, 6.192078
302.3220, 0.4136350
302.8040, 5.485840
