##NAMES=Zharchikhite
##RRUFFID=R061136
##IDEAL CHEMISTRY=Al(OH)_2_F
##LOCALITY=Zharchikha deposit, Buryatia, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=White granular massive, co-type material
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061136
431.7371, 571.1875
432.2192, 606.9844
432.7014, 667.8516
433.1835, 752.4922
433.6656, 796.8828
434.1477, 711.1250
434.6298, 554.3672
435.1119, 532.5156
435.5941, 673.4766
436.0762, 837.1562
436.5583, 873.8906
437.0404, 822.0781
437.5225, 771.6172
438.0046, 775.9297
438.4868, 785.9922
438.9689, 742.8750
439.4510, 652.5391
439.9331, 568.2109
440.4152, 514.8359
440.8973, 485.8750
441.3795, 475.9844
441.8616, 486.1094
442.3437, 514.7500
442.8258, 584.5703
443.3079, 674.5703
443.7900, 729.1016
444.2722, 693.2188
444.7543, 646.3438
445.2364, 623.0703
445.7185, 634.7266
446.2006, 635.9922
446.6827, 631.5547
447.1649, 613.3125
447.6470, 569.0547
448.1291, 464.1172
448.6112, 389.2812
449.0933, 358.7109
449.5754, 368.5312
450.0576, 406.7031
450.5397, 489.1406
451.0218, 566.2422
451.5039, 612.0938
451.9860, 628.5625
452.4681, 622.2031
452.9503, 587.3594
453.4324, 535.8984
453.9145, 487.5547
454.3966, 446.6406
454.8787, 428.1250
455.3608, 431.6641
455.8430, 457.8750
456.3251, 540.5625
456.8072, 681.3281
457.2893, 789.9844
457.7714, 736.2578
458.2535, 593.1484
458.7357, 507.3984
459.2178, 544.1250
459.6999, 605.6719
460.1820, 603.9609
460.6641, 557.1797
461.1462, 520.1016
461.6284, 536.7422
462.1105, 559.8281
462.5926, 556.5234
463.0747, 516.3984
463.5568, 470.8906
464.0389, 422.5078
464.5211, 384.5469
465.0032, 371.8359
465.4853, 424.7266
465.9674, 462.8125
466.4495, 457.1250
466.9316, 413.2578
467.4138, 393.5391
467.8959, 414.2422
468.3780, 440.9766
468.8601, 456.1641
469.3422, 451.5703
469.8243, 469.9688
470.3065, 539.2734
470.7886, 603.7578
471.2707, 580.1484
471.7528, 453.3203
472.2349, 328.2500
472.7170, 228.1484
473.1992, 157.6406
473.6813, 156.2109
474.1634, 230.1797
474.6455, 305.3516
475.1276, 291.8359
475.6097, 222.0391
476.0919, 216.1953
476.5740, 317.7656
477.0561, 442.9844
477.5382, 495.5625
478.0203, 489.2500
478.5024, 462.8750
478.9846, 415.6953
479.4667, 371.9922
479.9488, 359.2891
480.4309, 380.5625
480.9130, 395.2891
481.3951, 390.8516
481.8773, 366.6250
482.3594, 321.8828
482.8415, 224.4062
483.3236, 138.8281
483.8057, 60.08594
484.2878, 0.4218750
484.7700, 3.992188
485.2521, 186.6953
485.7342, 330.4219
486.2163, 340.7578
486.6984, 156.5625
487.1805, 82.41406
487.6627, 181.4844
488.1448, 323.9531
488.6269, 351.7344
489.1090, 223.3594
489.5911, 150.3281
490.0732, 198.2500
490.5554, 321.0312
491.0375, 352.4453
491.5196, 284.2031
492.0017, 212.2031
492.4838, 207.2422
492.9659, 250.4219
493.4481, 271.2969
493.9302, 261.9297
494.4123, 239.9688
494.8944, 231.9844
495.3765, 230.7969
495.8586, 220.6016
496.3408, 173.9141
496.8229, 127.1562
497.3050, 116.9219
497.7871, 136.6484
498.2692, 154.1016
498.7513, 173.0469
499.2335, 170.2344
499.7156, 119.9844
500.1977, 16.28125
500.6798, 112.2188
501.1619, 121.0703
501.6440, 78.33594
502.1262, 32.27344
502.6083, 22.77344
503.0904, 34.77344
503.5725, 196.2031
504.0546, 449.1094
504.5367, 549.9453
505.0189, 436.9766
505.5010, 277.3516
505.9831, 162.0156
506.4652, 90.52344
506.9473, 84.14062
507.4294, 166.1172
507.9116, 271.7734
508.3937, 303.7266
508.8758, 264.5234
509.3579, 208.7969
509.8400, 145.0938
510.3221, 84.40625
510.8043, 49.01562
511.2864, 38.47656
511.7685, 47.55469
512.2506, 91.57812
512.7327, 149.1797
513.2148, 188.8125
513.6970, 194.5234
514.1791, 181.1406
514.6612, 143.3203
515.1433, 98.96875
515.6254, 77.45312
516.1075, 108.6016
516.5897, 143.9609
517.0718, 175.9062
517.5539, 203.0938
518.0360, 202.2344
518.5181, 149.3359
519.0002, 83.82812
519.4824, 20.53906
519.9645, 70.11719
520.4466, 87.68750
520.9287, 13.69531
521.4108, 154.8594
521.8929, 185.8984
522.3751, 72.28125
522.8572, 8.984375
523.3393, 13.42188
523.8214, 108.7188
524.3035, 134.8516
524.7856, 90.42969
525.2678, 47.56250
525.7499, 92.03125
526.2320, 177.8828
526.7141, 166.1719
527.1962, 13.51562
527.6783, 123.1094
528.1605, 37.78125
528.6426, 163.7500
529.1247, 290.7422
529.6068, 191.2031
530.0889, 61.47656
530.5710, 13.89844
531.0532, 36.34375
531.5353, 55.46094
532.0174, 35.57031
532.4995, 14.07031
532.9816, 13.01562
533.4637, 56.25000
533.9459, 69.80469
534.4280, 28.76562
534.9101, 27.38281
535.3922, 51.47656
535.8743, 33.26562
536.3564, 7.742188
536.8386, 21.84375
537.3207, 53.49219
537.8028, 87.35938
538.2849, 126.2734
538.7670, 147.7734
539.2491, 118.1875
539.7313, 54.17188
540.2134, 49.23438
540.6955, 115.0469
541.1776, 179.6250
541.6597, 140.5938
542.1418, 47.10938
542.6240, 8.789063
543.1061, 106.2578
543.5882, 210.4844
544.0703, 190.9062
544.5524, 89.44531
545.0345, 30.77344
545.5167, 136.1719
545.9988, 246.1406
546.4809, 259.8906
546.9630, 147.1719
547.4451, 80.71094
547.9272, 136.5234
548.4094, 218.1172
548.8915, 251.3984
549.3736, 217.8516
549.8557, 164.8594
550.3378, 78.22656
550.8199, 15.86719
551.3021, 51.20312
