##NAMES=Aluminium
##RRUFFID=R070230
##IDEAL CHEMISTRY=Al
##LOCALITY=Mud Volcano, Bulla Apsheren penninsula, Caspian Sea, Qobustan (Gobustan; Kobustan) Rayonu, Azerbaijan
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Metallic gray blebs in matrix embedded in epoxy, no Raman activity because of crystal symmetry
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070230
413.1821, 36.77271
413.6642, 38.26270
414.1463, 43.00098
414.6284, 43.93262
415.1106, 36.18018
415.5927, 28.67700
416.0748, 29.56055
416.5569, 36.04492
417.0390, 38.72021
417.5211, 33.14746
418.0033, 27.42676
418.4854, 36.22363
418.9675, 69.95020
419.4496, 84.56665
419.9317, 62.53052
420.4138, 33.94873
420.8960, 14.66016
421.3781, 6.563232
421.8602, 10.64014
422.3423, 29.53809
422.8244, 56.96606
423.3065, 64.03369
423.7887, 30.35156
424.2708, 8.226563
424.7529, 6.875488
425.2350, 15.54492
425.7171, 29.71753
426.1992, 46.62744
426.6814, 58.73779
427.1635, 56.79419
427.6456, 41.68481
428.1277, 27.94189
428.6098, 15.60645
429.0919, 6.257080
429.5741, 0.1975100
430.0562, 3.556641
430.5383, 2.428467
431.0204, 4.677490
431.5025, 13.84155
431.9846, 23.91235
432.4668, 33.70483
432.9489, 37.98804
433.4310, 34.31372
433.9131, 28.55835
434.3952, 27.77344
434.8773, 32.57129
435.3595, 36.81494
435.8416, 41.40381
436.3237, 44.25488
436.8058, 42.88623
437.2879, 38.71899
437.7701, 35.06958
438.2522, 34.82251
438.7343, 37.00024
439.2164, 40.18335
439.6985, 52.39136
440.1806, 55.46021
440.6628, 39.99536
441.1449, 23.90186
441.6270, 18.98340
442.1091, 24.65210
442.5912, 33.40308
443.0733, 40.46265
443.5555, 45.83813
444.0376, 49.36450
444.5197, 50.35156
445.0018, 51.29297
445.4839, 54.98828
445.9660, 58.73438
446.4482, 60.76367
446.9303, 61.27417
447.4124, 56.73364
447.8945, 35.07031
448.3766, 8.692383
448.8587, 8.562012
449.3409, 41.19604
449.8230, 74.67920
450.3051, 82.28638
450.7872, 66.20337
451.2693, 54.61792
451.7514, 50.40869
452.2336, 46.89648
452.7157, 38.71606
453.1978, 31.03516
453.6799, 33.06177
454.1620, 46.18579
454.6441, 61.16772
455.1263, 65.70435
455.6084, 57.86304
456.0905, 50.52808
456.5726, 40.27246
457.0547, 34.29199
457.5368, 39.77271
458.0190, 49.83984
458.5011, 52.65039
458.9832, 42.26880
459.4653, 27.62573
459.9474, 21.80493
460.4295, 24.92847
460.9117, 27.58105
461.3938, 28.25659
461.8759, 27.68555
462.3580, 23.22998
462.8401, 16.10596
463.3222, 13.65332
463.8044, 19.08032
464.2865, 28.71753
464.7686, 42.56616
465.2507, 58.25244
465.7328, 68.23486
466.2149, 68.79028
466.6971, 63.35938
467.1792, 58.50757
467.6613, 53.92480
468.1434, 51.36060
468.6255, 51.69385
469.1076, 52.24658
469.5898, 54.24463
470.0719, 55.82251
470.5540, 51.43286
471.0361, 36.17822
471.5182, 16.66040
472.0003, 13.63647
472.4825, 35.84863
472.9646, 48.19312
473.4467, 33.41748
473.9288, 13.14185
474.4109, 1.708984
474.8930, 9.666260
475.3752, 9.873047
475.8573, 5.774414
476.3394, 26.47827
476.8215, 31.39038
477.3036, 19.90186
477.7857, 9.765869
478.2679, 10.76538
478.7500, 17.91357
479.2321, 17.84326
479.7142, 3.904541
480.1963, 0.2065430
480.6784, 23.99243
481.1606, 51.38989
481.6427, 59.42163
482.1248, 47.98584
482.6069, 30.94922
483.0890, 17.68823
483.5711, 7.825439
484.0533, 3.577393
484.5354, 6.617188
485.0175, 12.95630
485.4996, 26.51465
485.9817, 39.56323
486.4638, 44.52759
486.9460, 41.38940
487.4281, 37.60205
487.9102, 41.44556
488.3923, 49.29102
488.8744, 48.06421
489.3565, 35.80615
489.8387, 23.41992
490.3208, 14.82056
490.8029, 10.54395
491.2850, 11.66406
491.7671, 20.83496
492.2492, 27.66138
492.7314, 27.11206
493.2135, 23.20947
493.6956, 21.49023
494.1777, 21.85449
494.6598, 17.87695
495.1419, 2.879150
495.6241, 19.44556
496.1062, 24.87573
496.5883, 5.537354
497.0704, 26.58105
497.5525, 27.79297
498.0346, 22.55688
498.5168, 21.34302
498.9989, 25.54517
499.4810, 30.80151
499.9631, 32.69580
500.4452, 32.81494
500.9273, 38.70776
501.4095, 52.72095
501.8916, 62.47510
502.3737, 60.88574
502.8558, 52.70898
503.3379, 45.59375
503.8200, 39.79297
504.3022, 34.62329
504.7843, 29.93701
505.2664, 25.70361
505.7485, 21.65796
506.2306, 17.88843
506.7127, 15.06226
507.1949, 13.34546
507.6770, 13.27832
508.1591, 17.64209
508.6412, 34.14990
509.1233, 43.64453
509.6054, 38.27197
510.0876, 31.14551
510.5697, 34.28589
511.0518, 46.04419
511.5339, 53.96777
512.0161, 47.07764
512.4982, 31.24438
512.9803, 22.61011
513.4624, 22.16162
513.9445, 23.32690
514.4266, 24.07764
514.9088, 25.23828
515.3909, 29.41797
515.8730, 37.34668
516.3551, 39.38232
516.8372, 25.34741
517.3193, 9.520508
517.8015, 7.084961
518.2836, 15.68237
518.7657, 22.41943
519.2478, 20.25684
519.7299, 13.03149
520.2120, 10.04077
520.6942, 14.75317
521.1763, 17.08887
521.6584, 14.82471
522.1405, 12.54907
522.6226, 14.55151
523.1047, 18.57520
523.5869, 18.21509
524.0690, 8.856201
524.5511, 3.735596
525.0332, 10.92627
525.5153, 12.72729
525.9974, 9.514648
526.4796, 1.632324
526.9617, 12.90942
527.4438, 14.98657
527.9259, 8.982178
528.4080, 3.060059
528.8901, 6.416992
529.3723, 10.80933
529.8544, 0.8916020
530.3365, 17.01904
530.8186, 31.04321
531.3007, 37.13232
531.7828, 38.23608
532.2650, 38.28418
532.7471, 37.66357
533.2292, 32.36938
533.7113, 13.63184
534.1934, 1.404541
534.6755, 7.648438
535.1577, 21.77734
535.6398, 28.89136
536.1219, 24.30762
536.6040, 16.88745
537.0861, 14.64624
