##NAMES=Tomichite
##RRUFFID=R070708
##IDEAL CHEMISTRY=V^3+^_4_Ti^4+^_3_As^3+^O_13_(OH)
##LOCALITY=Hemlo Mines, Hemlo gold deposit, Marathon, Thunder Bay District, Ontario, Canada
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black bleb associated with titanite, sanidine and tetrahedrite; opaque under microscope
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070708
473.3598, 43.13287
473.8419, 41.91388
474.3240, 40.02655
474.8061, 36.71924
475.2882, 33.66797
475.7704, 32.04065
476.2525, 31.02051
476.7346, 29.65417
477.2167, 27.17627
477.6988, 24.93341
478.1809, 25.46478
478.6631, 29.19299
479.1452, 29.25067
479.6273, 20.76343
480.1094, 11.82849
480.5916, 8.070862
481.0737, 8.344543
481.5558, 7.975647
482.0379, 3.247864
482.5200, 2.754517
483.0021, 5.796326
483.4843, 5.875916
483.9664, 2.193909
484.4485, 7.380371
484.9306, 19.89532
485.4127, 27.97583
485.8948, 30.72186
486.3770, 31.20074
486.8591, 29.04321
487.3412, 25.66345
487.8233, 24.05829
488.3054, 24.78967
488.7875, 25.03577
489.2697, 20.66034
489.7518, 8.980652
490.2339, 8.151733
490.7160, 26.27704
491.1981, 43.42981
491.6802, 53.13281
492.1624, 56.42352
492.6445, 55.69574
493.1266, 51.94366
493.6087, 45.91992
494.0908, 38.84906
494.5729, 29.75842
495.0551, 22.45404
495.5372, 17.74481
496.0193, 14.77179
496.5014, 13.33105
496.9835, 13.30817
497.4656, 14.32520
497.9478, 17.59723
498.4299, 21.60620
498.9120, 21.39331
499.3941, 15.83276
499.8762, 10.86267
500.3583, 9.129944
500.8405, 10.63068
501.3226, 15.93713
501.8047, 30.71497
502.2868, 39.80151
502.7689, 30.08765
503.2510, 10.64514
503.7332, 1.178101
504.2153, 0.6257930
504.6974, 4.862244
505.1795, 6.039856
505.6616, 0.6759030
506.1437, 2.636108
506.6259, 22.24573
507.1080, 38.30554
507.5901, 38.07111
508.0722, 26.87482
508.5543, 15.20605
509.0364, 8.414612
509.5186, 5.749268
510.0007, 5.922241
510.4828, 10.39758
510.9649, 13.92523
511.4470, 10.64301
511.9291, 9.950195
512.4113, 23.37988
512.8934, 48.53259
513.3755, 65.25525
513.8576, 49.24652
514.3397, 14.89215
514.8218, 3.985107
515.3040, 21.27032
515.7861, 39.17841
516.2682, 42.23108
516.7503, 36.11981
517.2324, 34.59497
517.7145, 41.03687
518.1967, 46.04785
518.6788, 45.96826
519.1609, 41.55878
519.6430, 30.91638
520.1251, 14.22028
520.6072, 1.858032
521.0894, 7.201172
521.5715, 34.15295
522.0536, 46.42810
522.5357, 29.96143
523.0178, 16.75598
523.4999, 21.38452
523.9821, 35.40497
524.4642, 43.55579
524.9463, 40.12476
525.4284, 33.24957
525.9105, 41.11761
526.3926, 69.59296
526.8748, 82.23706
527.3569, 60.13385
527.8390, 35.27026
528.3211, 25.30939
528.8032, 28.43420
529.2853, 35.19434
529.7675, 45.47687
530.2496, 54.45905
530.7317, 52.53033
531.2138, 40.22601
531.6959, 30.97351
532.1780, 10.70105
532.6602, 35.88397
533.1423, 50.01770
533.6244, 53.93103
534.1065, 17.02905
534.5886, 32.85059
535.0707, 27.51587
535.5529, 21.28790
536.0350, 44.45636
536.5171, 13.45593
536.9992, 36.15900
537.4813, 37.37976
537.9634, 48.36871
538.4456, 38.07440
538.9277, 34.33508
539.4098, 51.84180
539.8919, 57.49915
540.3740, 44.37512
540.8561, 55.36951
541.3383, 22.89935
541.8204, 28.78906
542.3025, 51.42816
542.7846, 39.76843
543.2667, 51.77625
543.7488, 54.78705
544.2310, 16.87927
544.7131, 50.11127
545.1952, 52.55127
545.6773, 23.38245
546.1594, 54.14227
546.6415, 57.47968
547.1237, 70.78412
547.6058, 73.80206
548.0879, 35.99634
548.5700, 50.99182
549.0521, 44.88422
549.5342, 37.90601
550.0164, 60.32434
550.4985, 28.55939
550.9806, 50.50220
551.4627, 50.99957
551.9448, 61.30542
552.4269, 50.35004
552.9091, 45.92236
553.3912, 62.72614
553.8733, 67.73804
554.3554, 54.23694
554.8375, 65.04944
555.3196, 32.41467
555.8018, 37.92603
556.2839, 59.90027
556.7660, 47.48975
557.2481, 58.68634
557.7302, 60.82660
558.2123, 22.02362
558.6945, 54.39087
