##NAMES=Roxbyite
##RRUFFID=R070676
##IDEAL CHEMISTRY=Cu_1.78_S
##LOCALITY=Olympic Dam mine, Roxby Downs, South Australia, Australia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Microscopic black-blue metallic massive associated with hematite, co-type sample
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070676
396.0248, 63.88440
396.5069, 51.47211
396.9890, 37.59656
397.4711, 22.17328
397.9532, 8.559753
398.4354, 0.7797850
398.9175, 1.374756
399.3996, 3.072021
399.8817, 18.86230
400.3638, 48.41302
400.8459, 65.25793
401.3281, 60.22327
401.8102, 49.05865
402.2923, 44.97418
402.7744, 51.05548
403.2565, 58.94672
403.7386, 70.61798
404.2208, 84.16412
404.7029, 84.31750
405.1850, 64.94592
405.6671, 43.78735
406.1492, 32.76178
406.6313, 32.40771
407.1135, 39.15479
407.5956, 57.03162
408.0777, 77.52325
408.5598, 76.20105
409.0419, 50.45319
409.5240, 27.47876
410.0062, 24.89032
410.4883, 39.48260
410.9704, 53.06879
411.4525, 65.44135
411.9346, 74.20923
412.4167, 74.76782
412.8989, 68.35352
413.3810, 60.62537
413.8631, 54.41766
414.3452, 48.49542
414.8273, 38.89435
415.3094, 25.27753
415.7916, 15.63635
416.2737, 19.76147
416.7558, 31.47656
417.2379, 41.23413
417.7200, 47.96252
418.2021, 49.46777
418.6843, 39.18958
419.1664, 19.78503
419.6485, 7.100098
420.1306, 13.90350
420.6127, 28.01208
421.0948, 40.41351
421.5770, 53.00964
422.0591, 58.19940
422.5412, 48.76636
423.0233, 29.80963
423.5054, 15.62604
423.9875, 8.735901
424.4697, 7.190674
424.9518, 11.40747
425.4339, 26.63666
425.9160, 35.59711
426.3981, 35.62994
426.8802, 30.46442
427.3624, 24.71625
427.8445, 14.73175
428.3266, 10.14978
428.8087, 15.86481
429.2908, 32.41534
429.7729, 40.01782
430.2551, 36.01984
430.7372, 27.44843
431.2193, 19.95789
431.7014, 13.30292
432.1835, 8.974182
432.6656, 6.338440
433.1478, 5.311035
433.6299, 9.378723
434.1120, 19.94165
434.5941, 29.11566
435.0762, 29.47168
435.5583, 22.46948
436.0405, 16.96790
436.5226, 14.09619
437.0047, 12.87787
437.4868, 12.07629
437.9689, 11.82190
438.4510, 12.58423
438.9332, 15.21906
439.4153, 18.77008
439.8974, 23.40308
440.3795, 30.00110
440.8616, 31.65283
441.3438, 16.01221
441.8259, 5.719543
442.3080, 18.58398
442.7901, 10.28040
443.2722, 1.926636
443.7543, 11.18359
444.2365, 17.64001
444.7186, 22.43469
445.2007, 24.01471
445.6828, 23.16827
446.1649, 21.44672
446.6470, 20.32867
447.1292, 18.88153
447.6113, 15.63348
448.0934, 11.95026
448.5755, 11.64093
449.0576, 19.33380
449.5397, 25.13934
450.0219, 24.38239
450.5040, 13.85095
450.9861, 10.68622
451.4682, 18.38220
451.9503, 29.51025
452.4324, 34.36017
452.9146, 31.95691
453.3967, 27.49744
453.8788, 20.74915
454.3609, 13.04199
454.8430, 13.62592
455.3251, 23.72119
455.8072, 33.20770
456.2893, 31.67212
456.7715, 21.26520
457.2536, 12.63446
457.7357, 6.985107
458.2178, 4.568970
458.6999, 8.355530
459.1820, 16.76239
459.6642, 22.98413
460.1463, 18.64307
460.6284, 11.80872
461.1105, 13.64197
461.5926, 26.29779
462.0747, 39.39307
462.5569, 47.60083
463.0390, 51.45081
463.5211, 51.52972
464.0032, 47.08337
464.4853, 39.83337
464.9674, 26.68890
465.4496, 8.832031
465.9317, 0.4088750
466.4138, 11.43677
466.8959, 27.16882
467.3780, 36.19287
467.8601, 31.41895
468.3423, 27.15454
468.8244, 22.51263
469.3065, 18.69336
469.7886, 19.09039
470.2707, 25.69324
470.7528, 33.40161
471.2350, 41.24030
471.7171, 49.79034
472.1992, 53.74902
472.6813, 52.41498
473.1634, 47.56604
473.6455, 39.01227
474.1277, 26.23450
474.6098, 20.68103
475.0919, 28.75745
475.5740, 43.94543
476.0561, 47.40454
476.5382, 39.23370
477.0204, 28.13965
477.5025, 17.48273
477.9846, 9.221741
478.4667, 8.735168
478.9488, 19.07410
479.4309, 30.23975
479.9131, 30.41284
480.3952, 23.78857
480.8773, 20.01868
481.3594, 29.17474
481.8415, 38.77667
482.3236, 37.94025
482.8058, 25.59760
483.2879, 17.21674
483.7700, 22.36658
484.2521, 32.47345
484.7342, 39.94196
485.2163, 39.80072
485.6985, 40.56177
486.1806, 46.84930
486.6627, 56.24445
487.1448, 56.73169
487.6269, 39.90021
488.1090, 23.63062
488.5912, 15.69299
489.0733, 19.07648
489.5554, 20.66852
490.0375, 19.97003
490.5196, 18.12805
491.0017, 15.95636
491.4839, 12.93219
491.9660, 14.06738
492.4481, 23.32599
492.9302, 37.38538
493.4123, 41.41187
493.8944, 35.14221
494.3766, 26.79626
494.8587, 24.25848
495.3408, 24.74780
495.8229, 19.14429
496.3050, 2.521423
496.7871, 12.22247
497.2693, 10.11761
497.7514, 4.687500
498.2335, 21.66370
498.7156, 43.80359
499.1977, 60.45160
499.6798, 61.26715
500.1620, 44.70557
500.6441, 26.93274
501.1262, 9.214966
501.6083, 4.753235
502.0904, 11.42169
502.5725, 4.492859
503.0547, 3.493713
503.5368, 12.89526
504.0189, 22.46185
504.5010, 28.39563
504.9831, 25.79071
505.4652, 21.98193
505.9474, 22.15167
506.4295, 28.57465
506.9116, 31.52179
507.3937, 29.91498
507.8758, 26.45898
508.3579, 25.07416
508.8401, 26.08423
509.3222, 24.52307
509.8043, 16.95337
510.2864, 7.119751
510.7685, 7.546448
511.2506, 17.97107
511.7328, 28.49915
512.2148, 32.05206
512.6970, 30.68243
513.1791, 27.00391
513.6612, 20.05750
514.1433, 16.28296
514.6254, 27.55347
515.1075, 45.24603
515.5897, 53.77429
516.0718, 33.84161
516.5539, 14.12396
517.0360, 12.63727
517.5181, 28.80450
518.0002, 41.55487
518.4824, 42.74768
518.9645, 40.17188
519.4466, 38.75629
519.9287, 41.21460
520.4108, 41.50824
520.8929, 35.96661
521.3751, 29.47870
521.8572, 33.04443
522.3393, 53.47125
522.8214, 69.18408
523.3035, 72.30035
523.7856, 63.12787
524.2678, 54.91302
524.7499, 47.65887
525.2320, 40.74323
525.7141, 31.59058
526.1962, 21.32013
526.6783, 18.87268
527.1605, 28.16675
527.6426, 41.41345
528.1247, 49.58606
528.6068, 52.46875
529.0889, 49.87866
529.5710, 32.41272
530.0532, 14.93066
530.5353, 14.96112
531.0174, 34.35010
531.4995, 51.57727
531.9816, 53.13281
532.4637, 48.07654
532.9459, 45.00085
533.4280, 48.55206
533.9101, 51.38171
534.3922, 52.49030
534.8743, 51.88007
535.3564, 49.30420
535.8386, 39.71100
536.3207, 34.33392
536.8028, 39.95758
537.2849, 60.08185
537.7670, 64.23236
538.2491, 46.71680
538.7313, 23.39716
539.2134, 9.770691
539.6955, 6.235046
540.1776, 6.967163
540.6597, 11.23523
541.1418, 18.68744
541.6240, 32.14117
542.1061, 50.41010
542.5882, 62.18060
543.0703, 54.87903
543.5524, 39.16541
544.0345, 31.53088
544.5167, 33.51642
544.9988, 36.17340
545.4809, 31.16443
545.9630, 24.02393
546.4451, 21.17957
546.9272, 31.03772
547.4094, 38.66156
547.8915, 37.84973
548.3736, 30.60242
548.8557, 23.84845
549.3378, 14.66656
549.8199, 9.942749
550.3021, 13.70490
550.7842, 29.12445
551.2663, 38.00488
551.7484, 37.92621
552.2305, 34.34100
552.7126, 33.39056
553.1948, 36.08844
553.6769, 34.22778
554.1590, 24.53687
554.6411, 10.70935
555.1232, 3.516785
555.6053, 3.354614
556.0875, 7.425293
556.5696, 18.99658
557.0517, 32.59906
557.5338, 37.38513
558.0159, 32.58392
558.4980, 25.76776
558.9802, 21.91785
559.4623, 19.51923
559.9444, 17.07404
560.4265, 18.33990
560.9086, 15.76953
561.3907, 1.473022
561.8729, 25.57837
562.3550, 35.31049
562.8371, 12.06915
563.3192, 12.37378
563.8013, 27.71661
564.2834, 33.43170
564.7656, 35.24500
565.2477, 32.33752
565.7298, 26.52966
566.2119, 17.86066
566.6940, 4.885132
567.1761, 2.191284
567.6583, 1.053650
568.1404, 4.899109
568.6225, 10.92786
569.1046, 16.76184
569.5867, 18.96844
570.0688, 12.28735
570.5510, 2.268616
571.0331, 0.6566770
571.5152, 3.397827
571.9973, 7.491943
572.4794, 4.824829
572.9615, 0.5684200
573.4437, 0.1687620
573.9258, 5.630371
574.4079, 13.48132
574.8900, 26.81464
575.3721, 41.07373
575.8542, 47.79388
576.3364, 38.60358
576.8185, 29.47675
577.3006, 23.71759
577.7827, 21.19366
578.2648, 19.71753
578.7469, 19.74109
579.2291, 19.97559
579.7112, 18.85571
580.1933, 16.06433
580.6754, 17.52075
581.1575, 24.73724
581.6396, 32.95111
582.1218, 35.25055
582.6039, 32.58929
583.0860, 29.29211
583.5681, 25.80377
584.0502, 23.45886
584.5323, 24.72137
585.0145, 28.91913
585.4966, 32.92517
585.9787, 37.91010
586.4608, 40.08997
586.9429, 34.75586
587.4250, 18.58313
587.9072, 7.467590
588.3893, 8.163452
588.8714, 14.64197
589.3535, 20.95782
589.8356, 29.33350
590.3177, 33.57587
590.7999, 30.99634
591.2820, 24.43237
591.7641, 22.37518
592.2462, 25.40942
592.7283, 30.91315
593.2104, 41.03516
593.6926, 53.85254
594.1747, 52.52124
594.6568, 35.84009
595.1389, 17.72571
595.6210, 7.893860
596.1031, 6.796814
596.5853, 17.03125
597.0674, 45.42169
597.5495, 71.42938
598.0316, 74.18665
598.5137, 62.88428
598.9958, 54.48260
599.4780, 57.96478
599.9601, 62.82092
600.4422, 65.28949
600.9243, 65.30536
601.4064, 64.99237
601.8885, 67.01556
602.3707, 66.29028
602.8528, 58.42535
603.3349, 38.14410
603.8170, 30.88458
604.2991, 41.13977
604.7813, 56.85352
605.2634, 61.66180
605.7455, 55.78424
606.2276, 52.70972
606.7097, 56.84039
607.1918, 64.30743
607.6740, 71.86237
608.1561, 78.03357
608.6382, 76.21014
609.1203, 51.93640
609.6024, 24.49091
610.0845, 12.58325
610.5667, 17.75385
611.0488, 28.58063
611.5309, 50.21533
612.0130, 69.61102
612.4951, 76.18317
612.9772, 52.75281
613.4594, 38.63397
613.9415, 40.81580
614.4236, 50.85651
614.9057, 54.17517
615.3878, 48.83209
615.8699, 41.84796
616.3521, 33.76129
616.8342, 25.62073
617.3163, 24.19641
617.7984, 29.88708
618.2805, 34.67847
618.7626, 29.69421
619.2448, 20.30475
619.7269, 17.93359
620.2090, 24.86829
620.6911, 36.68958
621.1732, 51.90887
621.6553, 64.57983
622.1375, 69.04944
622.6196, 59.93353
623.1017, 48.37634
623.5838, 33.56030
624.0659, 18.90533
624.5480, 13.29657
625.0302, 25.55261
625.5123, 29.80646
625.9944, 39.24390
626.4765, 44.34552
626.9586, 45.34442
627.4407, 29.95001
627.9229, 35.72583
628.4050, 33.01880
628.8871, 29.94873
629.3692, 38.70673
629.8513, 25.70068
630.3334, 34.27301
630.8156, 34.23260
631.2977, 38.13348
631.7798, 33.50061
632.2619, 31.50500
632.7440, 38.04919
633.2261, 39.86615
633.7083, 34.46967
634.1904, 39.11627
634.6725, 25.95966
635.1546, 27.98077
635.6367, 36.61115
636.1188, 31.43140
636.6010, 35.75153
637.0831, 36.45996
637.5652, 20.73456
638.0473, 25.46051
638.5294, 22.13562
639.0115, 24.79822
639.4937, 35.69128
639.9758, 48.01746
640.4579, 53.03552
640.9400, 51.43170
641.4221, 46.18866
641.9042, 35.80334
642.3864, 25.30341
642.8685, 21.05157
643.3506, 21.73651
643.8327, 23.28394
644.3148, 24.67407
644.7969, 25.55438
645.2791, 26.45349
645.7612, 27.58246
646.2433, 25.31250
646.7254, 10.75531
647.2075, 0.5935670
647.6896, 1.419922
648.1718, 24.86554
648.6539, 39.61279
649.1360, 43.99298
649.6181, 41.80896
650.1002, 37.28687
650.5823, 30.49658
651.0645, 24.25555
651.5466, 19.91455
652.0287, 15.56201
652.5108, 4.910889
652.9929, 9.427734
653.4750, 17.03143
653.9572, 7.172302
654.4393, 7.326660
654.9214, 17.52502
655.4035, 22.99963
655.8856, 28.82898
656.3677, 41.30225
656.8499, 51.18805
657.3320, 51.24683
657.8141, 34.79297
658.2962, 26.09625
658.7783, 27.74200
659.2604, 33.40363
659.7426, 35.48224
660.2246, 33.69006
660.7067, 31.73401
661.1888, 30.52423
661.6710, 29.21136
662.1531, 24.69116
662.6352, 18.17999
663.1173, 14.86713
663.5994, 19.22473
664.0815, 26.64716
664.5637, 34.92957
665.0458, 43.37329
665.5279, 47.51056
666.0100, 41.99597
666.4921, 34.12213
666.9742, 27.59546
667.4564, 22.36102
667.9385, 19.92938
668.4206, 21.10284
668.9027, 24.29315
669.3848, 29.04120
669.8669, 36.27155
670.3491, 38.68494
670.8312, 34.26385
671.3133, 26.95142
671.7954, 22.67102
672.2775, 21.18567
672.7596, 21.42212
673.2418, 23.78455
673.7239, 26.87268
674.2060, 30.33783
674.6881, 33.54529
675.1702, 34.10809
675.6523, 29.25110
676.1345, 22.83032
676.6166, 16.86951
677.0987, 11.61249
677.5808, 5.208313
678.0629, 8.433044
678.5450, 16.90839
679.0272, 8.614868
679.5093, 23.10321
679.9914, 37.09888
680.4735, 27.39240
680.9556, 10.45465
681.4377, 8.710999
681.9199, 18.99823
682.4020, 26.40680
682.8841, 25.93799
683.3662, 22.78229
683.8483, 21.41534
684.3304, 21.73651
684.8126, 23.39923
685.2947, 31.11407
685.7768, 35.53125
686.2589, 27.45258
686.7410, 8.348572
687.2231, 2.937012
687.7053, 25.87848
688.1874, 46.13257
688.6695, 49.00116
689.1516, 32.59863
689.6337, 19.60913
690.1158, 10.09137
690.5980, 3.380005
691.0801, 2.846252
691.5622, 7.164917
692.0443, 1.584351
692.5264, 17.63196
693.0085, 36.37457
693.4907, 39.75751
693.9728, 34.78711
694.4549, 31.11725
694.9370, 31.67120
695.4191, 33.25433
695.9012, 37.48712
696.3834, 42.48456
696.8655, 42.21997
697.3476, 32.17255
697.8297, 23.38629
698.3118, 18.40808
698.7939, 17.11438
699.2761, 19.69830
699.7582, 26.91241
700.2403, 32.98236
700.7224, 34.50153
701.2045, 32.16119
701.6866, 25.83215
702.1688, 15.39819
702.6509, 8.322571
703.1330, 13.94244
703.6151, 24.14380
704.0972, 30.77539
704.5793, 32.24078
705.0615, 29.97546
705.5436, 19.03906
706.0257, 6.950439
706.5078, 3.300354
706.9899, 14.08594
707.4720, 21.09558
707.9542, 20.84985
708.4363, 16.82117
708.9184, 16.83942
709.4005, 20.91815
709.8826, 24.85687
710.3647, 28.47156
710.8469, 29.39984
711.3290, 21.92389
711.8111, 8.989563
712.2932, 1.130615
712.7753, 4.145813
713.2574, 2.831360
713.7396, 3.194397
714.2217, 14.51532
714.7038, 20.14459
715.1859, 8.456116
715.6680, 1.505310
716.1501, 1.489136
716.6323, 23.26123
717.1144, 36.49390
717.5965, 40.32770
718.0786, 37.87213
718.5607, 29.77020
719.0428, 17.42670
719.5250, 9.179565
720.0071, 7.028687
720.4892, 8.071533
720.9713, 11.81873
721.4534, 16.18701
