##NAMES=Chestermanite
##RRUFFID=R070351
##IDEAL CHEMISTRY=Mg_2_(Fe^3+^,Mg,Al,Sb^5+^)O_2_BO_3_
##LOCALITY=Twin Lakes region, Kaiser Peak quadrangle, Fresno County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black bladed associated with calcite, co-type sample
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070351
466.2150, 1041.780
466.6971, 1042.418
467.1792, 1056.388
467.6613, 1096.459
468.1434, 1122.712
468.6255, 1122.065
469.1077, 1119.260
469.5898, 1133.568
470.0719, 1159.618
470.5540, 1179.260
471.0361, 1181.241
471.5182, 1168.835
472.0004, 1149.278
472.4825, 1117.603
472.9646, 1092.723
473.4467, 1085.945
473.9288, 1082.233
474.4109, 1068.393
474.8931, 1045.819
475.3752, 1032.010
475.8573, 1049.021
476.3394, 1076.417
476.8215, 1075.949
477.3036, 1046.535
477.7858, 1016.081
478.2679, 999.5610
478.7500, 989.9458
479.2321, 968.3169
479.7142, 927.2314
480.1964, 894.8833
480.6785, 887.2876
481.1606, 883.5679
481.6427, 861.0815
482.1248, 821.3706
482.6069, 784.3467
483.0891, 765.2041
483.5712, 760.6143
484.0533, 752.1338
484.5354, 742.8750
485.0175, 723.7402
485.4996, 683.8760
485.9818, 641.6670
486.4639, 614.3677
486.9460, 602.2388
487.4281, 589.7441
487.9102, 559.2637
488.3923, 519.3032
488.8745, 499.2759
489.3566, 503.4155
489.8387, 503.6182
490.3208, 480.0278
490.8029, 446.7700
491.2850, 436.0278
491.7672, 460.2339
492.2493, 470.7324
492.7314, 435.4482
493.2135, 386.6982
493.6956, 363.6890
494.1777, 368.1992
494.6599, 375.1221
495.1420, 365.1245
495.6241, 341.3218
496.1062, 323.6426
496.5883, 318.0742
497.0704, 310.5464
497.5526, 300.5938
498.0347, 287.5635
498.5168, 268.8960
498.9989, 245.5986
499.4810, 224.0205
499.9631, 210.1885
500.4453, 202.1948
500.9274, 193.5522
501.4095, 184.4365
501.8916, 173.5713
502.3737, 157.4346
502.8558, 140.9678
503.3380, 132.2139
503.8201, 132.9199
504.3022, 134.7373
504.7843, 131.9229
505.2664, 130.1128
505.7485, 137.6919
506.2307, 154.4248
506.7128, 172.3643
507.1949, 186.4121
507.6770, 196.0781
508.1591, 200.4756
508.6412, 195.4663
509.1234, 191.8867
509.6055, 189.6387
510.0876, 188.9727
510.5697, 189.4980
511.0518, 191.4639
511.5339, 196.3389
512.0161, 206.1445
512.4982, 219.6475
512.9803, 232.4268
513.4624, 243.4473
513.9445, 257.6880
514.4266, 280.0088
514.9088, 303.5806
515.3909, 319.3027
515.8730, 327.3901
516.3551, 336.2017
516.8372, 347.0566
517.3193, 359.5425
517.8015, 372.3149
518.2836, 386.0293
518.7657, 405.6064
519.2478, 434.7588
519.7299, 466.0591
520.2120, 478.9663
520.6942, 453.4775
521.1763, 448.7812
521.6584, 490.2354
522.1405, 526.4219
522.6226, 519.6519
523.1047, 484.5889
523.5869, 462.8247
524.0690, 478.5991
524.5511, 512.8062
525.0332, 534.6846
525.5153, 544.3276
525.9974, 558.3979
526.4796, 587.5630
526.9617, 611.3511
527.4438, 601.1245
527.9259, 562.0225
528.4080, 531.9004
528.8901, 515.0200
529.3723, 508.5640
529.8544, 519.0586
530.3365, 536.9609
530.8186, 543.8569
531.3007, 533.7715
531.7828, 515.5557
532.2650, 502.4321
532.7471, 496.4336
533.2292, 481.6738
533.7113, 439.2554
534.1934, 408.2681
534.6755, 411.5044
535.1577, 429.4272
535.6398, 434.8413
536.1219, 419.3145
536.6040, 395.9453
537.0861, 375.4014
537.5682, 357.4189
538.0504, 338.9531
538.5325, 319.6025
539.0146, 299.4707
539.4967, 277.1821
539.9788, 254.9482
540.4609, 243.4312
540.9431, 250.5244
541.4252, 255.2563
541.9073, 248.7065
542.3894, 239.9160
542.8715, 241.2197
543.3536, 251.1768
543.8358, 255.5229
544.3179, 242.2891
544.8000, 215.1250
545.2821, 187.6831
545.7642, 153.4419
546.2463, 133.5371
546.7285, 153.1436
547.2106, 175.4375
547.6927, 170.8096
548.1748, 139.6592
548.6569, 102.9429
549.1390, 56.77393
549.6212, 20.11279
550.1033, 23.10205
550.5854, 57.32520
551.0675, 85.46533
551.5496, 92.93115
552.0317, 84.29004
552.5139, 64.30371
552.9960, 22.48584
553.4781, 5.643555
553.9602, 40.64941
554.4423, 68.10791
554.9244, 56.12549
555.4066, 23.79297
555.8887, 2.975586
556.3708, 5.378418
556.8529, 16.00977
557.3350, 18.02295
557.8171, 12.71484
558.2993, 7.736816
558.7814, 2.977539
559.2635, 1.254883
559.7456, 4.319336
560.2277, 12.04443
560.7098, 24.08691
561.1920, 49.63086
561.6741, 63.45557
562.1562, 51.14111
562.6383, 27.17480
563.1204, 3.085938
563.6025, 17.66504
564.0847, 31.27344
564.5668, 34.19043
565.0489, 29.68750
565.5310, 31.42578
566.0131, 42.97363
566.4952, 51.74707
566.9774, 55.17285
567.4595, 55.43359
567.9416, 51.54395
568.4237, 44.98584
568.9058, 41.81885
569.3879, 48.55127
569.8701, 56.27002
570.3522, 56.66797
570.8343, 50.57861
571.3164, 38.27246
571.7985, 18.93311
572.2806, 2.741699
572.7628, 3.503418
573.2449, 23.97949
573.7270, 35.48389
574.2091, 35.59570
574.6912, 30.36621
575.1733, 14.51709
575.6555, 2.371094
576.1376, 7.325684
576.6197, 1.419922
577.1018, 9.791992
577.5839, 1.095703
578.0660, 18.13818
578.5482, 23.69189
579.0303, 13.45166
579.5124, 5.693359
579.9945, 10.24365
580.4766, 20.81055
580.9587, 25.03662
581.4409, 21.59473
581.9230, 18.87158
582.4051, 17.80420
582.8872, 18.04688
583.3693, 22.13477
583.8514, 27.04834
584.3336, 25.45557
584.8157, 13.98682
585.2978, 0.8461910
585.7799, 9.130859
586.2620, 10.50000
586.7441, 8.910156
587.2263, 3.417480
587.7084, 3.100586
588.1905, 13.45996
588.6726, 22.59912
589.1547, 19.90283
589.6368, 2.125977
590.1190, 19.89697
590.6011, 21.92236
591.0832, 13.42285
591.5653, 1.904785
592.0474, 22.00293
592.5295, 42.58057
593.0117, 61.84424
593.4938, 76.35059
593.9759, 73.36816
594.4580, 41.25244
594.9401, 19.47852
595.4222, 18.08789
595.9044, 21.87744
596.3865, 28.64990
596.8686, 34.57129
597.3507, 29.83057
597.8328, 3.847168
598.3149, 20.15137
598.7971, 17.57227
599.2792, 3.017090
599.7613, 20.94189
600.2434, 32.26953
600.7255, 38.06592
601.2076, 39.17871
601.6898, 35.58521
602.1719, 26.88306
602.6540, 0.8989260
603.1361, 14.23584
603.6182, 0.9663090
604.1003, 22.10767
604.5825, 30.80908
605.0646, 28.83276
605.5467, 31.84546
606.0288, 54.78857
606.5109, 79.48950
606.9930, 72.89917
607.4752, 39.50024
607.9573, 15.20923
608.4394, 9.095947
608.9215, 13.05981
609.4036, 20.21460
609.8857, 30.59058
610.3679, 41.47632
610.8500, 53.19678
611.3321, 64.94287
611.8142, 83.29248
612.2963, 97.35010
612.7784, 90.00220
613.2606, 63.96533
613.7427, 43.81665
614.2248, 51.18384
614.7069, 75.03369
615.1890, 88.69043
615.6711, 91.82812
616.1533, 91.47144
616.6354, 87.95630
617.1175, 84.66504
617.5996, 85.74780
618.0817, 91.29810
618.5638, 96.76489
619.0460, 101.0007
619.5281, 106.2556
620.0102, 114.1958
620.4923, 123.2522
620.9744, 132.4973
621.4565, 140.7893
621.9387, 145.6113
622.4208, 144.0769
622.9029, 138.3247
623.3850, 135.1965
623.8671, 134.2725
624.3492, 135.9812
624.8314, 141.5618
625.3135, 149.1533
625.7956, 157.1165
626.2777, 165.5588
626.7598, 173.1104
627.2419, 179.5144
627.7241, 184.0671
628.2062, 186.3357
628.6883, 187.3833
629.1704, 187.2168
629.6525, 186.8142
630.1346, 190.0217
630.6168, 201.7510
631.0989, 218.9365
631.5810, 230.0762
632.0631, 236.6611
632.5452, 233.3337
633.0273, 209.6914
633.5095, 184.5857
633.9916, 180.2400
634.4737, 195.2063
634.9558, 208.0427
635.4379, 210.7271
635.9200, 215.4448
636.4022, 234.1057
636.8843, 257.2000
637.3664, 269.3284
637.8485, 267.2759
638.3306, 258.4529
638.8127, 249.5864
639.2949, 240.5051
639.7770, 228.7805
640.2591, 210.7290
640.7412, 203.6624
641.2233, 220.1055
641.7054, 242.5281
642.1876, 250.3967
642.6697, 245.2507
643.1518, 246.8801
643.6339, 271.8491
644.1160, 292.1792
644.5981, 287.8552
645.0803, 270.8188
645.5624, 258.7075
646.0445, 256.2664
646.5266, 258.6082
647.0087, 261.8040
647.4908, 264.4187
647.9730, 263.8821
648.4551, 260.8059
648.9372, 258.4043
649.4193, 257.1433
649.9014, 257.7285
650.3835, 261.4575
650.8657, 267.4111
651.3478, 270.8635
651.8299, 271.2639
652.3120, 268.8120
652.7941, 258.8352
653.2762, 247.6948
653.7584, 243.8345
654.2405, 248.6570
654.7226, 259.4800
655.2047, 276.3884
655.6868, 292.9897
656.1689, 285.6731
656.6511, 249.5767
657.1332, 233.4539
657.6153, 257.7351
658.0974, 287.8752
658.5795, 291.3740
659.0616, 273.7139
659.5438, 258.7642
660.0259, 249.2812
660.5080, 240.5483
660.9901, 233.4409
661.4722, 227.7678
661.9543, 221.3188
662.4365, 213.6660
662.9186, 205.4512
663.4007, 195.1226
663.8828, 188.7834
664.3649, 204.7534
664.8470, 243.9590
665.3292, 263.5557
665.8113, 251.5513
666.2934, 231.4241
666.7755, 220.5847
667.2576, 216.8706
667.7397, 208.7783
668.2219, 186.9927
668.7040, 175.3943
669.1861, 188.9014
669.6682, 206.0259
670.1503, 208.2991
670.6324, 198.7063
671.1146, 191.1409
671.5967, 193.0356
672.0788, 196.7205
672.5609, 188.8877
673.0430, 171.1892
673.5251, 157.2656
674.0073, 147.9536
674.4894, 145.0413
674.9715, 152.3464
675.4536, 164.8250
675.9357, 168.9075
676.4178, 159.4663
676.9000, 153.0854
677.3821, 151.5515
677.8642, 151.1040
678.3463, 152.5398
678.8284, 153.4729
679.3105, 150.0276
679.7927, 140.7759
680.2748, 128.5291
680.7569, 113.5854
681.2390, 98.52417
681.7211, 88.39624
682.2032, 83.64478
682.6854, 88.70166
683.1675, 108.1458
683.6496, 129.2688
684.1317, 131.0686
684.6138, 108.4280
685.0959, 93.75049
685.5781, 95.50830
686.0602, 94.97998
686.5423, 85.05322
687.0244, 72.13770
687.5065, 63.27612
687.9886, 59.11743
688.4708, 55.29932
688.9529, 49.77905
689.4350, 43.09766
689.9171, 34.91309
690.3992, 25.96606
690.8813, 18.26172
691.3635, 12.38843
691.8456, 8.847168
692.3277, 7.850586
692.8098, 9.618896
693.2919, 17.00391
693.7740, 34.36548
694.2562, 47.46948
694.7383, 54.04443
695.2204, 55.31689
695.7025, 48.50171
696.1846, 36.48853
696.6667, 30.08838
697.1489, 35.42969
697.6310, 41.71191
698.1131, 44.84546
698.5952, 44.74878
699.0773, 39.70386
699.5594, 30.88574
700.0416, 23.45581
700.5237, 20.66406
701.0058, 19.66235
701.4879, 11.21851
701.9700, 5.827637
702.4521, 2.873535
702.9343, 33.43555
703.4164, 61.64209
703.8985, 49.93384
704.3806, 16.17700
704.8627, 4.764160
705.3448, 25.29712
705.8270, 38.96509
706.3091, 34.15430
706.7912, 27.29370
707.2733, 30.21167
707.7554, 37.37231
708.2375, 37.97119
708.7197, 28.83569
709.2018, 16.86328
709.6839, 4.593506
710.1660, 4.450684
710.6481, 2.040283
711.1302, 22.93457
711.6124, 40.50488
712.0945, 48.89648
712.5766, 49.56592
713.0587, 43.12964
713.5408, 29.14404
714.0229, 18.42529
714.5051, 8.289795
714.9872, 5.656982
715.4693, 17.50732
715.9514, 32.32690
716.4335, 41.19824
716.9156, 44.29590
717.3978, 46.70654
717.8799, 53.72705
718.3620, 56.03540
718.8441, 41.29810
719.3262, 18.64819
719.8083, 4.1260000E-02
720.2905, 10.96558
720.7726, 5.504150
721.2547, 25.21484
721.7368, 64.38452
722.2189, 65.00830
722.7010, 17.87207
723.1832, 1.197510
723.6653, 28.15625
724.1474, 56.69385
724.6295, 51.32593
725.1116, 29.22632
725.5938, 27.28345
726.0759, 54.79053
726.5580, 71.96460
727.0401, 66.18311
727.5222, 53.70044
728.0043, 40.86499
728.4865, 29.17676
728.9686, 19.40137
729.4507, 11.94629
729.9328, 7.564697
730.4149, 7.223145
730.8970, 10.38550
731.3792, 17.25439
731.8613, 27.51367
732.3434, 36.62012
732.8255, 44.04175
733.3076, 44.89697
733.7897, 31.13184
734.2719, 5.123047
734.7540, 1.321777
735.2361, 32.23022
735.7182, 50.91748
736.2003, 32.15063
736.6824, 12.55981
737.1646, 18.84912
737.6467, 42.43530
738.1288, 57.52466
738.6109, 55.70752
739.0930, 48.36377
739.5751, 36.52124
740.0573, 26.52246
740.5394, 27.36133
741.0215, 36.56128
741.5036, 44.84229
741.9857, 47.69092
742.4678, 45.77808
742.9500, 37.58301
