##NAMES=Cleusonite
##RRUFFID=R061019
##IDEAL CHEMISTRY=Pb^2+^(U^4+^,U^6+^)Fe^2+^_2_(Ti^4+^,Fe^2+^,Fe^3+^)_18_(O,OH)_38_
##LOCALITY=Bella Tola, Alpe Roua, St-Luc, Val d'Annivers, Wallis
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Metamict black semimetallic prismatic, associated with quartz
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R061019
319.6778, 10.08276
320.1599, 31.46338
320.6420, 28.78784
321.1241, 8.082764
321.6062, 0.6499020
322.0883, 23.19019
322.5705, 55.77661
323.0526, 59.83081
323.5347, 28.30859
324.0168, 4.643066
324.4989, 9.675537
324.9810, 26.43408
325.4632, 29.26758
325.9453, 13.07837
326.4274, 2.821045
326.9095, 4.391113
327.3916, 41.17896
327.8737, 64.77930
328.3559, 69.11475
328.8380, 65.80615
329.3201, 57.11304
329.8022, 45.96313
330.2843, 39.61255
330.7664, 43.90894
331.2486, 56.56470
331.7307, 62.61816
332.2128, 58.72534
332.6949, 53.14624
333.1770, 46.35962
333.6591, 39.04614
334.1413, 31.01294
334.6234, 21.62769
335.1055, 13.29419
335.5876, 11.45020
336.0698, 20.89185
336.5519, 28.09790
337.0340, 32.99243
337.5161, 34.82080
337.9982, 30.80469
338.4803, 22.01221
338.9625, 14.42920
339.4446, 13.27979
339.9267, 18.55811
340.4088, 29.37817
340.8909, 56.52661
341.3730, 74.62061
341.8552, 66.03345
342.3373, 41.30737
342.8194, 21.96216
343.3015, 19.76416
343.7836, 27.34033
344.2657, 31.39307
344.7479, 30.91821
345.2300, 32.72681
345.7121, 42.50806
346.1942, 54.78906
346.6763, 61.11133
347.1584, 58.03003
347.6406, 55.85522
348.1227, 66.55396
348.6048, 84.43457
349.0869, 89.30640
349.5690, 73.21216
350.0511, 49.63232
350.5333, 34.84961
351.0154, 28.94702
351.4975, 27.90771
351.9796, 34.57349
352.4617, 43.35498
352.9438, 51.00317
353.4260, 56.73022
353.9081, 57.86792
354.3902, 50.96167
354.8723, 36.16724
355.3544, 29.65576
355.8365, 39.93213
356.3187, 48.22998
356.8008, 45.78174
357.2829, 38.21240
357.7650, 36.58252
358.2471, 45.92993
358.7292, 58.19897
359.2114, 54.27246
359.6935, 16.39014
360.1756, 5.558838
360.6577, 0.2658690
361.1398, 11.57129
361.6219, 16.94629
362.1041, 14.06934
362.5862, 7.660889
363.0683, 0.3244630
363.5504, 8.046631
364.0325, 7.970215
364.5146, 7.186279
364.9968, 22.48511
365.4789, 32.81543
365.9610, 39.01270
366.4431, 42.52393
366.9252, 43.81006
367.4073, 43.01270
367.8895, 38.86768
368.3716, 30.67139
368.8537, 26.12207
369.3358, 29.73364
369.8179, 37.41553
370.3000, 43.89062
370.7822, 48.70532
371.2643, 53.65381
371.7464, 62.33691
372.2285, 71.43726
372.7106, 72.24634
373.1927, 62.06885
373.6749, 49.95020
374.1570, 46.26660
374.6391, 53.00195
375.1212, 56.20728
375.6033, 49.35840
376.0854, 42.13550
376.5676, 40.04883
377.0497, 42.04663
377.5318, 47.75513
378.0139, 55.96460
378.4960, 64.95557
378.9781, 69.83716
379.4603, 70.43164
379.9424, 66.74512
380.4245, 54.92969
380.9066, 40.56714
381.3887, 25.63184
381.8708, 11.83862
382.3530, 5.707764
382.8351, 19.70215
383.3172, 60.96802
383.7993, 77.41138
384.2814, 38.68188
384.7635, 4.290283
385.2457, 2.760010
385.7278, 9.834717
386.2099, 25.11963
386.6920, 36.23804
387.1741, 42.13794
387.6563, 38.22461
388.1384, 21.58276
388.6205, 8.835449
389.1026, 7.602539
389.5847, 12.35889
390.0668, 18.26636
390.5490, 25.35059
391.0311, 30.62720
391.5132, 29.86816
391.9953, 26.13696
