##NAMES=Litidionite
##RRUFFID=R130088
##IDEAL CHEMISTRY=KNaCu^2+^Si_4_O_10_
##LOCALITY=Mt Vesuvius, Napoli, Italy
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Blue to green glassy, massive. The two larger fragments are from the 1880 eruption. The smaller fragment is from 1873.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130088
544.8710, 5.5817001E-02
545.3531, 5.9170001E-03
545.8353, 8.6868003E-02
546.3174, 0.2200930
546.7995, 0.3796200
547.2816, 0.6178670
547.7637, 0.7691840
548.2458, 0.6332890
548.7280, 0.3602220
549.2101, 0.1934430
549.6922, 0.1994900
550.1743, 0.2647090
550.6564, 0.3731650
551.1385, 0.4660490
551.6207, 0.4647180
552.1028, 0.3483160
552.5849, 0.2104950
553.0670, 0.1265030
553.5491, 9.7057000E-02
554.0313, 0.1580050
554.5134, 0.4617500
554.9955, 0.6604040
555.4776, 0.6368900
555.9597, 0.4664460
556.4418, 0.1780850
556.9240, 0.1911960
557.4061, 0.4799730
557.8882, 0.4808120
558.3703, 0.1830020
558.8524, 8.9630000E-02
559.3345, 0.3298570
559.8167, 0.5497890
560.2988, 0.7835270
560.7809, 0.9891850
561.2630, 1.130333
561.7451, 1.200783
562.2272, 1.164310
562.7094, 0.8817480
563.1915, 0.4570390
563.6736, 0.2904360
564.1557, 0.4740750
564.6378, 0.6762280
565.1199, 0.6367570
565.6021, 0.4225580
566.0842, 0.3378260
566.5663, 0.5272060
567.0484, 0.6232220
567.5305, 0.3544580
568.0126, 8.0720000E-03
568.4948, 7.2159000E-02
568.9769, 0.2003750
569.4590, 0.4965860
569.9411, 0.5105060
570.4232, 0.2628900
570.9053, 0.1528020
571.3875, 0.2424240
571.8696, 0.4026070
572.3517, 0.8136250
572.8338, 1.164539
573.3159, 1.055763
573.7980, 0.4671360
574.2802, 7.3642999E-02
574.7623, 4.0100001E-02
575.2444, 0.4381180
575.7265, 0.8480490
576.2086, 1.204823
576.6907, 1.425655
577.1729, 1.412262
577.6550, 1.264576
578.1371, 1.134907
578.6192, 1.013142
579.1013, 0.9748500
579.5834, 1.084911
580.0656, 1.271385
580.5477, 1.474266
581.0298, 1.679779
581.5119, 1.860645
581.9940, 1.994888
582.4761, 2.100468
582.9583, 2.239399
583.4404, 2.586983
583.9225, 2.686859
584.4046, 2.214684
584.8867, 1.776398
585.3688, 1.836731
585.8510, 2.304337
586.3331, 2.788628
586.8152, 3.069393
587.2973, 3.180347
587.7794, 3.149101
588.2615, 2.942650
588.7437, 2.825996
589.2258, 2.900314
589.7079, 3.047169
590.1900, 3.179989
590.6721, 3.293705
591.1542, 3.348171
591.6364, 3.321983
592.1185, 3.241226
592.6006, 3.102192
593.0827, 2.929600
593.5648, 2.759258
594.0469, 2.597233
594.5291, 2.530609
595.0112, 2.724743
595.4933, 3.317963
595.9754, 3.531872
596.4575, 3.166954
596.9396, 2.706161
597.4218, 2.201267
597.9039, 1.748371
598.3860, 1.492649
598.8681, 1.476830
599.3502, 1.529545
