##NAMES=Szaibelyite
##RRUFFID=R070498
##IDEAL CHEMISTRY=MgBO_2_(OH)
##LOCALITY=Stinson Beach, Marin County, California, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Matted aggregates of white fibrous crystals, associated with magnetite and chromite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070498
495.8332, 252.9648
496.3153, 276.9648
496.7974, 238.5879
497.2795, 187.2988
497.7616, 193.4629
498.2437, 250.7949
498.7259, 282.9160
499.2080, 198.1211
499.6901, 89.95898
500.1722, 51.38867
500.6543, 146.8164
501.1364, 226.3164
501.6186, 235.3281
502.1007, 197.7500
502.5828, 157.6816
503.0649, 118.1738
503.5470, 82.86719
504.0291, 46.32031
504.5113, 6.976563
504.9934, 6.933594
505.4755, 70.08984
505.9576, 145.2441
506.4397, 201.1035
506.9218, 239.2637
507.4040, 246.2598
507.8861, 209.3887
508.3682, 153.8301
508.8503, 129.3711
509.3324, 136.6602
509.8145, 149.6211
510.2967, 153.6523
510.7788, 154.5742
511.2609, 175.3359
511.7430, 215.6055
512.2252, 258.4473
512.7073, 301.4395
513.1894, 334.5996
513.6715, 334.9688
514.1536, 284.5625
514.6357, 233.7930
515.1179, 222.0469
515.6000, 239.9590
516.0821, 268.2598
516.5642, 301.7520
517.0463, 342.2363
517.5284, 409.7070
518.0106, 504.2480
518.4927, 543.0723
518.9748, 463.0742
519.4569, 351.3574
519.9390, 262.3691
520.4211, 184.7715
520.9033, 150.5625
521.3854, 182.1152
521.8675, 246.0449
522.3496, 281.4785
522.8317, 282.6875
523.3138, 272.4961
523.7960, 252.4531
524.2781, 226.9746
524.7602, 231.3359
525.2423, 270.9180
525.7244, 302.8105
526.2065, 279.1797
526.6887, 215.2246
527.1708, 176.9492
527.6529, 175.6758
528.1350, 191.9707
528.6171, 204.0488
529.0992, 219.4609
529.5814, 250.5605
530.0635, 329.5117
530.5456, 397.5469
531.0277, 393.4375
531.5098, 330.1230
531.9919, 294.3535
532.4741, 340.7734
532.9562, 409.6973
533.4383, 469.6660
533.9204, 523.9590
534.4025, 550.2910
534.8846, 530.5996
535.3668, 486.4297
535.8489, 445.9219
536.3310, 415.9199
536.8131, 380.1992
537.2952, 328.3965
537.7773, 268.4199
538.2595, 239.5801
538.7416, 250.0215
539.2237, 267.6191
539.7058, 273.5059
540.1879, 269.5078
540.6700, 271.1895
541.1522, 278.3477
541.6343, 293.5938
542.1164, 329.0703
542.5985, 374.9824
543.0806, 401.3906
543.5627, 388.0957
544.0449, 366.7695
544.5270, 376.0879
545.0091, 405.0488
545.4912, 421.3945
545.9733, 380.8164
546.4554, 343.2461
546.9376, 362.5469
547.4197, 450.0820
547.9018, 497.9570
548.3839, 438.1836
548.8660, 350.1699
549.3481, 296.1758
549.8303, 322.6777
550.3124, 324.7266
550.7945, 286.6230
551.2766, 228.9961
551.7587, 192.9688
552.2408, 182.8477
552.7230, 184.0547
553.2051, 197.8379
553.6872, 220.3398
554.1693, 219.6973
554.6514, 193.3750
555.1335, 163.6504
555.6157, 155.5527
556.0978, 158.6504
556.5799, 132.4082
557.0620, 62.57227
557.5441, 1.111328
558.0262, 14.51758
558.5084, 74.25977
558.9905, 125.5488
559.4726, 150.6484
559.9547, 158.0820
560.4368, 144.8418
560.9189, 115.9395
561.4011, 92.48242
561.8832, 84.07422
562.3653, 81.13281
562.8474, 81.18945
563.3295, 87.84180
563.8116, 84.33984
564.2938, 53.33008
564.7759, 26.98242
565.2580, 37.13477
565.7401, 94.86328
566.2222, 157.4766
566.7043, 226.4316
567.1865, 291.2129
567.6686, 325.3594
568.1507, 328.3633
568.6328, 321.7539
569.1149, 311.6543
569.5970, 299.4492
570.0792, 285.7305
570.5613, 270.5586
571.0434, 265.0703
571.5255, 288.5820
572.0076, 321.9199
572.4897, 342.7891
572.9719, 346.9805
573.4540, 336.8516
573.9361, 296.1875
574.4182, 246.6211
574.9003, 218.2832
575.3824, 243.8711
575.8646, 264.1855
576.3467, 259.0371
576.8288, 234.4629
577.3109, 223.8184
577.7930, 235.7285
578.2751, 250.4883
578.7573, 268.3340
579.2394, 294.3848
579.7215, 264.9336
580.2036, 165.2129
580.6857, 53.79492
581.1678, 9.357422
581.6500, 28.61719
582.1321, 39.13477
582.6142, 43.87891
583.0963, 42.03906
583.5784, 22.51758
584.0605, 8.861328
584.5427, 31.01172
585.0248, 33.26758
585.5069, 21.73047
585.9890, 12.06055
586.4711, 62.41211
586.9532, 88.42188
587.4354, 46.21680
587.9175, 4.207031
588.3996, 25.98242
588.8817, 1.173828
589.3638, 16.59570
589.8459, 28.55469
590.3281, 31.46484
590.8102, 20.19141
591.2923, 10.82422
591.7744, 36.68359
592.2565, 52.89258
592.7386, 61.79297
593.2208, 66.64844
593.7029, 67.00391
594.1850, 74.15625
594.6671, 107.8613
595.1492, 148.4688
595.6313, 135.6855
596.1135, 73.40820
596.5956, 24.37500
597.0777, 52.76172
597.5598, 111.3809
598.0419, 144.1387
598.5240, 135.9746
599.0062, 127.9141
599.4883, 146.1055
599.9704, 172.5898
600.4525, 186.2012
600.9346, 154.6289
601.4167, 142.6133
601.8989, 175.4355
602.3810, 232.1621
602.8631, 249.6680
603.3452, 203.1270
603.8273, 168.0059
604.3094, 174.4512
604.7916, 218.8809
605.2737, 255.9492
605.7558, 285.1953
606.2379, 312.6367
606.7200, 353.8496
607.2021, 398.6875
607.6843, 411.7305
608.1664, 385.3359
608.6485, 348.2422
609.1306, 329.0703
609.6127, 317.4453
610.0948, 296.2109
610.5770, 243.4297
611.0591, 197.6719
611.5412, 175.9102
612.0233, 174.3477
612.5054, 182.0391
612.9875, 210.1797
613.4697, 233.8945
613.9518, 247.8164
614.4339, 252.1055
614.9160, 234.9375
615.3981, 182.1680
615.8802, 135.1719
616.3624, 122.8320
616.8445, 145.9062
617.3266, 178.9375
617.8087, 223.1914
618.2908, 266.7070
618.7729, 309.6055
619.2551, 341.2344
619.7372, 322.8203
620.2193, 208.7188
620.7014, 94.68359
621.1835, 92.22656
621.6656, 161.5898
622.1478, 206.4805
622.6299, 157.9297
623.1120, 103.5234
623.5941, 83.10547
624.0762, 98.00391
624.5583, 117.1797
625.0405, 141.6562
625.5226, 166.2578
626.0047, 188.2266
626.4868, 205.8438
626.9689, 230.9219
627.4510, 270.4414
627.9332, 301.2461
628.4153, 283.3789
628.8974, 221.1172
