##NAMES=Fergusonite-(Ce)
##RRUFFID=R110050
##IDEAL CHEMISTRY=Ce^3+^Nb^5+^O_4_&#183;0.3H_2_O
##LOCALITY=Mount Malosa, Zomba District, Malawi
##OWNER=RRUFF
##SOURCE=Donald M Doell
##DESCRIPTION=Brown prismatic crystals on microcline, associated with zircon
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110050
274.8859, 11014.90
275.3680, 11011.38
275.8501, 10988.73
276.3322, 10970.02
276.8144, 10965.00
277.2965, 10969.78
277.7786, 10976.36
278.2607, 10981.24
278.7428, 10983.40
279.2249, 10977.52
279.7071, 10955.29
280.1892, 10936.45
280.6713, 10929.44
281.1534, 10928.76
281.6355, 10924.02
282.1176, 10910.30
282.5998, 10891.65
283.0819, 10878.93
283.5640, 10874.50
284.0461, 10870.39
284.5282, 10864.40
285.0103, 10857.99
285.4925, 10853.81
285.9746, 10852.97
286.4567, 10853.04
286.9388, 10849.30
287.4209, 10840.02
287.9030, 10833.23
288.3852, 10831.97
288.8673, 10833.17
289.3494, 10833.60
289.8315, 10832.58
290.3136, 10829.74
290.7957, 10823.79
291.2779, 10814.06
291.7600, 10806.23
292.2421, 10802.36
292.7242, 10799.71
293.2063, 10795.56
293.6884, 10789.52
294.1706, 10783.13
294.6527, 10777.48
295.1348, 10772.69
295.6169, 10769.37
296.0990, 10767.71
296.5811, 10767.43
297.0633, 10770.27
297.5454, 10775.64
298.0275, 10777.43
298.5096, 10769.70
298.9917, 10754.39
299.4738, 10744.91
299.9560, 10744.43
300.4381, 10746.78
300.9202, 10748.88
301.4023, 10750.85
301.8844, 10753.63
302.3665, 10758.25
302.8487, 10763.56
303.3308, 10766.20
303.8129, 10764.90
304.2950, 10763.28
304.7771, 10763.10
305.2592, 10763.83
305.7414, 10763.92
306.2235, 10762.44
306.7056, 10760.75
307.1877, 10762.20
307.6698, 10767.87
308.1519, 10771.89
308.6341, 10771.16
309.1162, 10767.84
309.5983, 10765.58
310.0804, 10765.38
310.5625, 10766.15
311.0446, 10766.14
311.5268, 10765.17
312.0089, 10766.17
312.4910, 10770.20
312.9731, 10776.23
313.4552, 10783.89
313.9373, 10793.19
314.4195, 10801.71
314.9016, 10807.10
315.3837, 10809.41
315.8658, 10810.99
316.3479, 10812.57
316.8300, 10813.08
317.3121, 10810.23
317.7943, 10804.39
318.2764, 10800.54
318.7585, 10802.44
319.2406, 10809.26
319.7227, 10815.47
320.2048, 10823.29
320.6870, 10828.49
321.1691, 10827.21
321.6512, 10821.03
322.1333, 10815.54
322.6154, 10813.55
323.0975, 10813.66
323.5797, 10812.02
324.0618, 10806.52
324.5439, 10803.92
325.0260, 10809.03
325.5081, 10818.32
325.9902, 10825.12
326.4724, 10827.21
326.9545, 10826.73
327.4366, 10826.44
327.9187, 10826.00
328.4008, 10827.17
328.8829, 10833.84
329.3651, 10840.61
329.8472, 10840.06
330.3293, 10830.88
330.8114, 10819.52
331.2935, 10811.80
331.7756, 10808.07
332.2578, 10806.53
332.7399, 10808.70
333.2220, 10811.77
333.7041, 10812.03
334.1862, 10810.26
334.6683, 10813.20
335.1505, 10827.59
335.6326, 10850.77
336.1147, 10863.07
336.5968, 10859.74
337.0789, 10852.22
337.5610, 10844.69
338.0432, 10836.65
338.5253, 10825.99
339.0074, 10811.05
339.4895, 10794.63
339.9716, 10784.92
340.4537, 10785.17
340.9359, 10785.17
341.4180, 10783.57
341.9001, 10780.50
342.3822, 10776.03
342.8643, 10770.21
343.3464, 10763.17
343.8286, 10754.92
344.3107, 10744.83
344.7928, 10735.29
345.2749, 10725.04
345.7570, 10716.26
346.2391, 10711.31
346.7213, 10710.03
347.2034, 10709.89
347.6855, 10708.98
348.1676, 10707.31
348.6497, 10703.83
349.1318, 10698.23
349.6140, 10691.59
350.0961, 10684.65
350.5782, 10677.14
351.0603, 10667.48
351.5424, 10654.28
352.0245, 10639.45
352.5067, 10631.29
352.9888, 10636.28
353.4709, 10639.89
353.9530, 10640.26
354.4351, 10638.36
354.9172, 10635.50
355.3994, 10632.09
355.8815, 10624.84
356.3636, 10619.27
356.8457, 10606.07
357.3278, 10593.69
357.8099, 10579.45
358.2920, 10567.77
358.7741, 10564.59
359.2563, 10568.49
359.7384, 10570.84
360.2205, 10562.64
360.7026, 10542.47
361.1847, 10525.37
361.6668, 10512.43
362.1490, 10501.23
362.6311, 10492.33
363.1132, 10484.47
363.5953, 10475.67
364.0774, 10464.62
364.5595, 10451.90
365.0417, 10440.02
365.5238, 10431.48
366.0059, 10420.19
366.4880, 10400.30
366.9701, 10380.06
367.4522, 10369.56
367.9344, 10371.45
368.4165, 10376.84
368.8986, 10371.07
369.3807, 10348.79
369.8628, 10329.88
370.3449, 10319.30
370.8271, 10308.44
371.3092, 10291.79
371.7913, 10270.08
372.2734, 10248.01
372.7555, 10230.20
373.2376, 10216.51
373.7198, 10200.61
374.2019, 10178.52
374.6840, 10159.34
375.1661, 10149.33
375.6482, 10143.28
376.1303, 10132.98
376.6125, 10113.78
377.0946, 10089.40
377.5767, 10067.23
378.0588, 10046.52
378.5409, 10030.18
379.0230, 10024.17
379.5052, 10019.54
379.9873, 10008.65
380.4694, 9990.029
380.9515, 9969.493
381.4336, 9952.940
381.9157, 9940.232
382.3979, 9927.444
382.8800, 9914.640
383.3621, 9900.787
383.8442, 9884.783
384.3263, 9867.168
384.8084, 9849.500
385.2906, 9833.199
385.7727, 9817.475
386.2548, 9799.817
386.7369, 9779.353
387.2190, 9760.310
387.7011, 9747.424
388.1833, 9736.818
388.6654, 9722.434
389.1475, 9701.036
389.6296, 9679.558
390.1117, 9665.990
390.5938, 9659.021
391.0760, 9648.263
391.5581, 9629.229
392.0402, 9606.331
392.5223, 9586.067
393.0044, 9568.812
393.4865, 9550.079
393.9687, 9525.501
394.4508, 9499.274
394.9329, 9479.329
395.4150, 9467.105
395.8971, 9455.854
396.3792, 9438.731
396.8614, 9416.458
397.3435, 9398.132
397.8256, 9388.103
398.3077, 9378.355
398.7898, 9363.797
399.2719, 9344.968
399.7540, 9323.856
400.2361, 9300.791
400.7183, 9277.093
401.2004, 9257.291
401.6825, 9243.288
402.1646, 9229.044
402.6467, 9212.553
403.1288, 9195.729
403.6110, 9181.655
404.0931, 9170.885
404.5752, 9160.218
405.0573, 9146.109
405.5394, 9128.488
406.0215, 9107.564
406.5037, 9078.907
406.9858, 9051.726
407.4679, 9029.949
407.9500, 9013.337
408.4321, 9000.973
408.9142, 8992.671
409.3964, 8986.815
409.8785, 8975.814
410.3606, 8955.192
410.8427, 8934.793
411.3248, 8913.376
411.8069, 8893.562
412.2891, 8878.777
412.7712, 8869.449
413.2533, 8861.724
413.7354, 8850.558
414.2175, 8835.185
414.6996, 8819.097
415.1818, 8802.040
415.6639, 8784.576
416.1460, 8766.732
416.6281, 8748.608
417.1102, 8730.343
417.5923, 8711.190
418.0745, 8692.574
418.5566, 8679.760
419.0387, 8675.780
419.5208, 8671.105
420.0029, 8664.001
420.4850, 8654.379
420.9672, 8641.435
421.4493, 8624.926
421.9314, 8607.325
422.4135, 8590.648
422.8956, 8574.954
423.3777, 8561.065
423.8599, 8551.022
424.3420, 8540.186
424.8241, 8523.861
425.3062, 8503.596
425.7883, 8484.832
426.2704, 8470.345
426.7526, 8458.460
427.2347, 8447.233
427.7168, 8436.661
428.1989, 8425.793
428.6810, 8413.902
429.1631, 8401.577
429.6453, 8390.243
430.1274, 8380.396
430.6095, 8370.361
431.0916, 8359.784
431.5737, 8348.379
432.0558, 8334.623
432.5380, 8317.767
433.0201, 8301.438
433.5022, 8290.314
433.9843, 8285.224
434.4664, 8278.880
434.9485, 8270.530
435.4307, 8261.208
435.9128, 8251.557
436.3949, 8241.541
436.8770, 8230.687
437.3591, 8218.575
437.8412, 8205.737
438.3234, 8194.409
438.8055, 8187.352
439.2876, 8178.295
439.7697, 8162.948
440.2518, 8147.718
440.7339, 8140.875
441.2160, 8142.971
441.6982, 8145.389
442.1803, 8137.602
442.6624, 8117.599
443.1445, 8102.185
443.6266, 8094.399
444.1087, 8088.236
444.5909, 8082.945
445.0730, 8077.921
445.5551, 8072.878
446.0372, 8067.945
446.5193, 8061.732
447.0014, 8049.837
447.4836, 8028.651
447.9657, 8012.613
448.4478, 8009.451
448.9299, 8008.523
449.4120, 8002.990
449.8941, 7992.649
450.3763, 7982.007
450.8584, 7974.951
451.3405, 7970.515
451.8226, 7964.506
452.3047, 7955.968
452.7868, 7948.054
453.2690, 7944.302
453.7511, 7941.904
454.2332, 7936.669
454.7153, 7927.075
455.1974, 7915.724
455.6795, 7902.889
456.1617, 7889.607
456.6438, 7880.879
457.1259, 7879.391
457.6080, 7880.238
458.0901, 7877.219
458.5722, 7870.538
459.0544, 7862.648
459.5365, 7851.718
460.0186, 7841.482
460.5007, 7836.386
460.9828, 7835.680
461.4649, 7834.349
461.9471, 7829.322
462.4292, 7821.319
462.9113, 7813.049
463.3934, 7804.851
463.8755, 7795.975
464.3576, 7784.587
464.8398, 7773.295
465.3219, 7764.542
465.8040, 7758.842
466.2861, 7755.874
466.7682, 7755.983
467.2503, 7759.960
467.7325, 7758.891
468.2146, 7749.805
468.6967, 7738.603
469.1788, 7724.396
469.6609, 7709.680
470.1430, 7697.744
470.6252, 7690.013
471.1073, 7685.823
471.5894, 7685.626
472.0715, 7691.678
472.5536, 7691.875
473.0357, 7678.751
473.5179, 7664.119
474.0000, 7653.734
474.4821, 7647.757
474.9642, 7644.597
475.4463, 7645.166
475.9284, 7647.344
476.4106, 7646.409
476.8927, 7642.085
477.3748, 7636.293
477.8569, 7628.568
478.3390, 7620.599
478.8211, 7615.617
479.3033, 7615.015
479.7854, 7612.671
480.2675, 7602.968
480.7496, 7590.056
481.2317, 7581.856
481.7138, 7579.851
482.1959, 7579.891
482.6780, 7578.898
483.1602, 7576.716
483.6423, 7572.383
484.1244, 7563.569
484.6065, 7555.276
485.0886, 7550.089
485.5707, 7546.650
486.0529, 7542.313
486.5350, 7536.089
487.0171, 7529.458
487.4992, 7525.033
487.9813, 7524.029
488.4634, 7521.845
488.9456, 7518.466
489.4277, 7514.177
489.9098, 7508.681
490.3919, 7502.436
490.8740, 7496.438
491.3561, 7491.410
491.8383, 7486.772
492.3204, 7480.438
492.8025, 7470.925
493.2846, 7463.921
493.7667, 7463.319
494.2488, 7463.751
494.7310, 7462.218
495.2131, 7458.358
495.6952, 7452.566
496.1773, 7442.722
496.6594, 7431.366
497.1415, 7426.757
497.6237, 7430.620
498.1058, 7433.662
498.5879, 7429.750
499.0700, 7422.072
499.5521, 7416.840
500.0342, 7414.849
500.5164, 7414.052
500.9985, 7414.301
501.4806, 7414.821
501.9627, 7414.264
502.4448, 7412.359
502.9269, 7409.457
503.4091, 7405.749
503.8912, 7401.179
504.3733, 7396.810
504.8554, 7392.044
505.3375, 7388.132
505.8196, 7387.498
506.3018, 7387.419
506.7839, 7382.281
507.2660, 7370.406
507.7481, 7358.042
508.2302, 7355.700
508.7123, 7367.370
509.1945, 7374.590
509.6766, 7374.531
510.1587, 7372.789
510.6408, 7370.459
511.1229, 7368.124
511.6050, 7366.479
512.0872, 7365.933
512.5693, 7366.071
513.0514, 7366.381
513.5335, 7366.989
514.0156, 7366.788
514.4977, 7365.083
514.9799, 7362.913
515.4620, 7361.474
515.9441, 7360.544
516.4262, 7358.641
516.9083, 7354.170
517.3904, 7348.909
517.8726, 7345.123
518.3547, 7342.759
518.8368, 7340.798
519.3189, 7338.813
519.8010, 7336.851
520.2831, 7334.945
520.7653, 7332.604
521.2474, 7331.556
521.7295, 7334.747
522.2116, 7337.485
522.6937, 7334.139
523.1758, 7325.639
523.6580, 7318.142
524.1401, 7316.158
524.6222, 7318.804
525.1043, 7321.704
525.5864, 7328.071
526.0685, 7329.785
526.5507, 7320.593
527.0328, 7310.609
527.5149, 7309.552
527.9970, 7317.458
528.4791, 7325.903
528.9612, 7327.965
529.4434, 7324.237
529.9255, 7317.682
530.4076, 7307.003
530.8897, 7296.622
531.3718, 7286.632
531.8539, 7278.858
532.3361, 7276.102
532.8182, 7279.402
533.3003, 7283.552
533.7824, 7286.040
534.2645, 7286.804
534.7466, 7284.849
535.2288, 7279.787
535.7109, 7275.724
536.1930, 7276.555
536.6751, 7281.124
537.1572, 7282.165
537.6393, 7275.803
538.1215, 7270.947
538.6036, 7271.176
539.0857, 7273.774
539.5678, 7275.158
540.0499, 7274.679
540.5320, 7274.470
541.0142, 7277.042
541.4963, 7282.521
541.9784, 7285.798
542.4604, 7286.219
542.9426, 7284.919
543.4247, 7279.917
543.9068, 7274.348
544.3889, 7272.379
544.8710, 7274.929
545.3531, 7277.959
545.8353, 7276.448
546.3174, 7270.868
546.7995, 7267.018
547.2816, 7265.525
547.7637, 7265.080
548.2458, 7265.118
548.7280, 7265.627
549.2101, 7266.765
549.6922, 7268.927
550.1743, 7270.970
550.6564, 7272.170
551.1385, 7272.775
551.6207, 7273.658
552.1028, 7275.062
552.5849, 7275.299
553.0670, 7272.621
553.5491, 7267.016
554.0313, 7261.607
554.5134, 7255.060
554.9955, 7250.328
555.4776, 7249.238
555.9597, 7249.945
556.4418, 7250.063
556.9240, 7249.042
557.4061, 7248.327
557.8882, 7250.083
558.3703, 7254.470
558.8524, 7255.926
559.3345, 7253.017
559.8167, 7248.916
560.2988, 7244.220
560.7809, 7239.213
561.2630, 7234.089
561.7451, 7228.847
562.2272, 7223.836
562.7094, 7218.898
563.1915, 7214.384
563.6736, 7211.660
564.1557, 7211.017
564.6378, 7211.530
565.1199, 7213.662
565.6021, 7216.367
566.0842, 7215.458
566.5663, 7208.132
567.0484, 7201.339
567.5305, 7198.269
568.0126, 7196.726
568.4948, 7194.201
568.9769, 7190.183
569.4590, 7184.911
569.9411, 7178.423
570.4232, 7170.850
570.9053, 7164.784
571.3875, 7161.362
571.8696, 7157.993
572.3517, 7154.298
572.8338, 7150.443
573.3159, 7146.591
573.7980, 7142.748
574.2802, 7138.850
574.7623, 7134.909
575.2444, 7130.863
575.7265, 7126.249
576.2086, 7120.787
576.6907, 7115.984
577.1729, 7113.380
577.6550, 7111.417
578.1371, 7107.207
578.6192, 7099.896
579.1013, 7093.999
579.5834, 7093.422
580.0656, 7093.848
580.5477, 7089.641
581.0298, 7081.004
581.5119, 7072.040
581.9940, 7065.068
582.4761, 7060.167
582.9583, 7057.594
583.4404, 7057.616
583.9225, 7059.708
584.4046, 7068.987
584.8867, 7075.859
585.3688, 7072.686
585.8510, 7061.148
586.3331, 7048.080
586.8152, 7037.529
587.2973, 7028.522
587.7794, 7018.817
588.2615, 7008.132
588.7437, 6998.507
589.2258, 6990.656
589.7079, 6983.765
590.1900, 6978.466
590.6721, 6974.112
591.1542, 6966.180
591.6364, 6949.545
592.1185, 6932.066
592.6006, 6921.884
593.0827, 6916.678
593.5648, 6908.741
594.0469, 6895.175
594.5291, 6879.860
595.0112, 6868.045
595.4933, 6860.242
595.9754, 6853.954
596.4575, 6853.364
596.9396, 6849.548
597.4218, 6835.892
597.9039, 6818.310
598.3860, 6805.619
598.8681, 6800.708
599.3502, 6798.559
599.8323, 6793.214
600.3145, 6784.735
600.7966, 6776.023
601.2787, 6766.745
601.7608, 6758.128
602.2429, 6753.119
602.7250, 6748.456
603.2072, 6738.269
603.6893, 6719.327
604.1714, 6702.179
604.6535, 6693.764
605.1356, 6689.585
605.6177, 6683.725
606.0999, 6675.338
606.5820, 6664.971
607.0641, 6652.729
607.5462, 6639.239
608.0283, 6627.137
608.5104, 6616.308
608.9926, 6607.353
609.4747, 6603.622
609.9568, 6599.075
610.4389, 6588.211
610.9210, 6572.396
611.4031, 6557.417
611.8853, 6547.000
612.3674, 6539.558
612.8495, 6531.969
613.3316, 6524.214
613.8137, 6516.467
614.2958, 6510.454
614.7780, 6502.163
615.2601, 6484.492
615.7422, 6459.503
616.2243, 6440.534
616.7064, 6435.898
617.1885, 6432.509
617.6707, 6421.148
618.1528, 6405.096
618.6349, 6391.349
619.1170, 6381.943
619.5991, 6373.825
620.0812, 6363.307
620.5634, 6350.087
621.0455, 6338.308
621.5276, 6331.008
622.0097, 6321.321
622.4918, 6305.922
622.9739, 6288.621
623.4561, 6273.173
623.9382, 6260.420
624.4203, 6249.142
624.9023, 6239.146
625.3845, 6229.841
625.8666, 6219.614
626.3487, 6208.368
626.8308, 6196.944
627.3129, 6185.818
627.7950, 6174.602
628.2772, 6162.240
628.7593, 6148.537
629.2414, 6135.037
629.7235, 6122.627
630.2056, 6109.826
630.6877, 6094.048
631.1699, 6077.094
631.6520, 6063.660
632.1341, 6055.974
632.6162, 6050.463
633.0983, 6041.073
633.5804, 6027.054
634.0626, 6012.812
634.5447, 5998.571
635.0268, 5984.014
635.5089, 5969.151
635.9910, 5953.912
636.4731, 5938.142
636.9553, 5921.853
637.4374, 5905.124
637.9195, 5886.408
638.4016, 5867.908
638.8837, 5854.483
639.3658, 5846.554
639.8480, 5839.148
640.3301, 5829.358
640.8122, 5817.334
641.2943, 5803.473
641.7764, 5786.133
642.2585, 5769.280
642.7407, 5752.065
643.2228, 5736.080
643.7049, 5722.896
644.1870, 5711.733
644.6691, 5700.703
645.1512, 5689.055
645.6334, 5676.327
646.1155, 5661.422
646.5976, 5644.383
647.0797, 5627.291
647.5618, 5609.950
648.0439, 5593.934
648.5261, 5582.172
649.0082, 5572.762
649.4903, 5559.912
649.9724, 5540.904
650.4545, 5521.974
650.9366, 5506.286
651.4188, 5491.631
651.9009, 5474.946
652.3830, 5456.280
652.8651, 5438.295
653.3472, 5422.912
653.8293, 5409.823
654.3115, 5398.204
654.7936, 5389.553
655.2757, 5378.720
655.7578, 5362.997
656.2399, 5346.522
656.7220, 5332.547
657.2042, 5319.727
657.6863, 5303.579
658.1684, 5280.155
