##NAMES=Pseudomalachite
##RRUFFID=R050597
##IDEAL CHEMISTRY=Cu^2+^_5_(P^5+^O_4_)_2_(OH)_4_
##LOCALITY=Cerro Negro mine, Carrizalillo, Chile
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Dark-green tabular crystals associated with chalcosiderite, R060007
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R050597
539.9515, 4.831562
540.4337, 5.419327
540.9158, 6.231117
541.3979, 6.565540
541.8800, 6.387196
542.3621, 5.781582
542.8442, 4.689667
543.3264, 3.425568
543.8085, 3.085476
544.2906, 5.437489
544.7726, 6.218281
545.2548, 3.529446
545.7369, 0.6916500
546.2190, 0.3897360
546.7011, 2.407261
547.1832, 4.770496
547.6653, 5.991219
548.1475, 6.373215
548.6296, 7.356289
549.1117, 9.764172
549.5938, 10.60273
550.0759, 6.587208
550.5580, 2.247013
551.0402, 1.598850
551.5223, 4.746113
552.0044, 7.494942
552.4865, 6.761932
552.9686, 4.296692
553.4507, 3.191692
553.9329, 3.579273
554.4150, 4.364498
554.8971, 5.150108
555.3792, 5.818684
555.8613, 5.870285
556.3434, 4.570206
556.8256, 4.566612
557.3077, 7.896809
557.7898, 11.68170
558.2719, 13.14694
558.7540, 12.35911
559.2361, 11.15943
559.7183, 10.91122
560.2004, 11.10269
560.6825, 9.339355
561.1646, 3.281246
561.6467, 0.6982730
562.1288, 1.548599
562.6110, 0.8501630
563.0931, 0.7988890
563.5752, 3.020866
564.0573, 5.088951
564.5394, 6.470772
565.0215, 7.344700
565.5037, 8.319828
565.9858, 9.452263
566.4679, 9.619572
566.9500, 7.977406
567.4321, 5.659050
567.9142, 4.002792
568.3964, 3.023689
568.8785, 2.406353
569.3606, 2.362053
569.8427, 2.415058
570.3248, 1.963688
570.8069, 1.182892
571.2891, 0.5841830
571.7712, 4.0550001E-02
572.2533, 0.2881430
572.7354, 1.221485
573.2175, 6.794449
573.6996, 9.942005
574.1818, 9.264240
574.6639, 7.448658
575.1460, 5.876575
575.6281, 4.760555
576.1102, 4.479122
576.5923, 5.376709
577.0745, 6.914162
577.5566, 7.681400
578.0387, 7.681183
578.5208, 7.083473
579.0029, 5.121140
579.4850, 3.441307
579.9672, 3.933823
580.4493, 2.714886
580.9314, 2.587827
581.4135, 2.176224
581.8956, 2.309727
582.3777, 2.044815
582.8599, 1.788723
583.3420, 4.410572
583.8241, 3.963623
584.3062, 2.978889
584.7883, 5.333618
585.2704, 12.43927
585.7526, 15.60527
586.2347, 11.16222
586.7168, 6.990479
587.1989, 7.345490
587.6810, 9.967468
588.1631, 10.89767
588.6453, 8.718155
589.1274, 5.323158
589.6095, 3.273170
590.0916, 2.647186
590.5737, 2.605343
591.0558, 2.879139
591.5380, 3.886715
592.0201, 7.281380
592.5022, 11.29414
592.9843, 12.73595
593.4664, 10.34237
593.9485, 7.298244
594.4307, 5.762428
594.9128, 5.434757
595.3949, 5.765400
595.8770, 6.693233
596.3591, 7.824287
596.8412, 9.003853
597.3234, 10.13977
597.8055, 10.51077
598.2876, 9.832180
598.7697, 8.899555
599.2518, 7.020592
599.7339, 5.525093
600.2161, 5.879269
600.6982, 7.996899
601.1803, 10.23801
601.6624, 11.31363
602.1445, 11.42647
602.6266, 11.40719
603.1088, 11.08756
603.5909, 11.07253
604.0730, 12.40940
604.5551, 13.47331
605.0372, 12.46711
605.5193, 9.629005
606.0015, 7.601574
606.4836, 8.441097
606.9657, 10.24602
607.4478, 10.67672
607.9299, 9.879753
608.4120, 8.717266
608.8942, 7.381783
609.3763, 6.413696
609.8584, 6.864697
610.3405, 9.588364
610.8226, 10.43863
611.3047, 7.378574
611.7869, 4.653957
612.2690, 4.325863
612.7511, 5.643768
613.2332, 7.602955
613.7153, 9.759083
614.1974, 11.19031
614.6796, 10.15771
615.1617, 6.480358
615.6438, 3.954967
616.1259, 2.690147
616.6080, 2.568707
617.0901, 4.628426
