##NAMES=Bario-olgite
##RRUFFID=R060614
##IDEAL CHEMISTRY=Na(Na,Sr,Ce)_2_Ba(PO_4_)_2_
##LOCALITY=Palitra pegmatite, Kedykverpakhk Mountain, Lovozero massif, Kola Peninsula, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Grayish-green grains associated with brown manaksite R060693, and purple ussingite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R060614
453.6293, 121443.1
454.1114, 120817.8
454.5935, 120309.5
455.0757, 119999.7
455.5578, 119707.7
456.0399, 119255.1
456.5220, 118683.5
457.0041, 118166.4
457.4862, 117755.2
457.9684, 117409.6
458.4505, 117120.9
458.9326, 116895.3
459.4147, 116545.7
459.8968, 115923.9
460.3789, 115249.7
460.8611, 114703.6
461.3432, 114287.2
461.8253, 113942.0
462.3074, 113644.8
462.7895, 113376.2
463.2716, 113043.8
463.7538, 112570.1
464.2359, 112139.4
464.7180, 111826.9
465.2001, 111533.8
465.6822, 111138.1
466.1643, 110625.8
466.6465, 110103.5
467.1286, 109688.9
467.6107, 109388.4
468.0928, 109100.3
468.5749, 108852.8
469.0570, 108585.4
469.5392, 108252.8
470.0213, 107897.7
470.5034, 107589.4
470.9855, 107359.1
471.4676, 107168.5
471.9497, 106953.2
472.4319, 106710.8
472.9140, 106457.0
473.3961, 106207.0
473.8782, 105935.0
474.3603, 105635.9
474.8424, 105306.0
475.3246, 104924.3
475.8067, 104407.1
476.2888, 103857.7
476.7709, 103527.4
477.2530, 103452.9
477.7351, 103377.9
478.2173, 103181.3
478.6994, 102913.7
479.1815, 102659.0
479.6636, 102423.4
480.1457, 102190.5
480.6278, 101960.9
481.1100, 101725.9
481.5920, 101454.0
482.0742, 101136.8
482.5563, 100842.5
483.0384, 100640.1
483.5205, 100528.9
484.0026, 100381.5
484.4847, 100161.5
484.9669, 99946.91
485.4490, 99785.16
485.9311, 99645.95
486.4132, 99472.74
486.8953, 99244.06
487.3774, 98988.99
487.8596, 98760.73
488.3417, 98584.81
488.8238, 98358.77
489.3059, 97982.29
489.7880, 97660.32
490.2701, 97541.07
490.7523, 97556.97
491.2344, 97544.34
491.7165, 97402.28
492.1986, 97175.46
492.6807, 96985.44
493.1628, 96845.92
493.6450, 96707.25
494.1271, 96533.26
494.6092, 96377.21
495.0913, 96310.77
495.5734, 96320.78
496.0555, 96277.25
496.5377, 96032.73
497.0198, 95671.59
497.5019, 95440.63
497.9840, 95370.02
498.4661, 95308.02
498.9482, 95165.55
499.4304, 94979.13
499.9125, 94824.21
500.3946, 94719.52
500.8767, 94608.46
501.3588, 94424.02
501.8409, 94223.87
502.3231, 94128.57
502.8052, 94164.45
503.2873, 94218.13
503.7694, 94181.46
504.2515, 94050.13
504.7336, 93930.55
505.2158, 93824.16
505.6979, 93726.70
506.1800, 93631.73
506.6621, 93545.92
507.1442, 93486.33
507.6263, 93457.54
508.1085, 93435.65
508.5906, 93377.84
509.0727, 93259.64
509.5548, 93192.69
510.0369, 93251.51
510.5190, 93286.54
511.0012, 93243.52
511.4833, 93133.87
511.9654, 92968.87
512.4475, 92734.59
512.9296, 92511.88
513.4117, 92474.34
513.8939, 92651.55
514.3760, 92789.52
514.8581, 92854.17
515.3402, 92836.76
515.8223, 92701.45
516.3044, 92469.02
516.7866, 92272.13
517.2687, 92182.35
517.7508, 92148.53
518.2329, 92104.45
518.7150, 92051.38
519.1971, 92024.36
519.6793, 92048.76
520.1614, 92098.59
520.6435, 92117.45
521.1256, 92109.92
521.6077, 92067.86
522.0898, 91975.87
522.5720, 91858.30
523.0541, 91718.06
523.5362, 91568.13
524.0183, 91445.95
524.5004, 91379.48
524.9825, 91362.97
525.4647, 91369.35
525.9468, 91457.38
526.4289, 91481.52
526.9110, 91352.57
527.3931, 91211.61
527.8752, 91192.01
528.3574, 91295.61
528.8395, 91411.09
529.3216, 91446.22
529.8037, 91409.31
530.2858, 91343.75
530.7679, 91234.38
531.2501, 91132.20
531.7322, 91069.50
532.2143, 91020.36
532.6964, 90955.29
533.1785, 90867.17
533.6606, 90782.30
534.1428, 90721.37
534.6249, 90674.79
535.1070, 90613.13
535.5891, 90529.78
536.0712, 90473.15
536.5533, 90498.92
537.0355, 90584.36
537.5176, 90590.14
537.9997, 90436.32
538.4818, 90308.27
538.9639, 90279.29
539.4460, 90294.95
539.9282, 90300.98
540.4103, 90280.30
540.8924, 90218.78
541.3745, 90093.10
541.8566, 89900.16
542.3387, 89752.37
542.8209, 89713.64
543.3029, 89645.28
543.7850, 89473.55
544.2672, 89280.48
544.7493, 89173.05
545.2314, 89175.91
545.7135, 89198.41
546.1956, 89151.55
546.6777, 89037.39
547.1599, 88871.60
547.6420, 88625.93
548.1241, 88391.67
548.6062, 88216.74
549.0883, 88093.55
549.5704, 88021.77
550.0526, 88023.36
550.5347, 88030.36
551.0168, 88021.27
551.4989, 87983.05
551.9810, 87869.32
552.4631, 87668.33
552.9453, 87468.58
553.4274, 87363.60
553.9095, 87353.41
554.3916, 87265.35
554.8737, 87041.59
555.3558, 86821.28
555.8380, 86638.32
556.3201, 86480.43
556.8022, 86334.39
557.2843, 86195.27
557.7664, 86066.35
558.2485, 85956.04
558.7307, 85866.66
559.2128, 85746.12
559.6949, 85562.53
560.1770, 85395.26
560.6591, 85305.75
561.1412, 85230.08
561.6234, 85080.52
562.1055, 84830.49
562.5876, 84562.63
563.0697, 84351.38
563.5518, 84180.64
564.0339, 83989.78
564.5161, 83763.74
564.9982, 83557.39
565.4803, 83427.15
565.9624, 83349.02
566.4445, 83214.10
566.9266, 82974.68
567.4088, 82746.82
567.8909, 82554.98
568.3730, 82403.71
568.8551, 82330.73
569.3372, 82326.16
569.8193, 82281.99
570.3015, 82087.13
570.7836, 81751.80
571.2657, 81493.73
571.7478, 81401.22
572.2299, 81266.96
572.7120, 81013.03
573.1942, 80732.77
573.6763, 80517.64
574.1584, 80377.89
574.6405, 80254.07
575.1226, 80096.84
575.6047, 79912.40
576.0869, 79733.69
576.5690, 79570.63
577.0511, 79367.75
577.5332, 79054.48
578.0153, 78713.80
578.4974, 78488.96
578.9796, 78410.30
579.4617, 78320.23
579.9438, 78165.94
580.4259, 77965.84
580.9080, 77723.61
581.3901, 77449.66
581.8723, 77185.36
582.3544, 76959.39
582.8365, 76757.62
583.3186, 76529.63
583.8007, 76241.70
584.2828, 75978.62
584.7650, 75773.98
585.2471, 75565.67
585.7292, 75295.96
586.2113, 74983.37
586.6934, 74696.47
587.1755, 74484.94
587.6577, 74313.34
588.1398, 74116.98
588.6219, 73902.21
589.1040, 73604.34
589.5861, 73126.71
590.0682, 72648.11
590.5504, 72354.93
