##NAMES=Schreibersite
##RRUFFID=R070239
##IDEAL CHEMISTRY=(Fe,Ni,Cr)_3_P
##LOCALITY=Sao Juliao de Moreira meteorite, Ponte de Lima, Viana do Castelo district, Portugal
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Silvery fragments with slightly brassy luster, co-type specimen
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070239
323.5084, 37.47400
323.9905, 46.87927
324.4726, 47.72913
324.9547, 38.14185
325.4369, 27.60095
325.9190, 26.16638
326.4011, 35.05212
326.8832, 36.65540
327.3653, 20.53186
327.8474, 6.964233
328.3296, 10.17468
328.8117, 26.00842
329.2938, 41.08496
329.7759, 47.76880
330.2580, 47.41711
330.7401, 45.82654
331.2223, 37.92407
331.7044, 34.88110
332.1865, 43.77380
332.6686, 55.91101
333.1507, 60.10571
333.6328, 53.30823
334.1150, 42.01257
334.5971, 36.02380
335.0792, 38.07849
335.5613, 38.30286
336.0434, 37.64539
336.5255, 34.60803
337.0077, 24.51306
337.4898, 10.92871
337.9719, 4.133667
338.4540, 15.21167
338.9361, 40.92029
339.4182, 50.78906
339.9004, 30.74756
340.3825, 15.31970
340.8646, 17.10303
341.3467, 27.82300
341.8288, 36.86377
342.3109, 39.95447
342.7931, 41.41626
343.2752, 50.73682
343.7573, 71.17517
344.2394, 76.86646
344.7215, 45.39197
345.2036, 8.625610
345.6858, 6.094727
346.1679, 2.190430
346.6500, 14.80444
347.1321, 21.94336
347.6142, 24.40137
348.0963, 24.15857
348.5785, 21.14026
349.0606, 16.12451
349.5427, 6.659912
350.0248, 4.718628
350.5069, 9.785278
350.9890, 2.881104
351.4712, 7.507690
351.9533, 15.96509
352.4354, 22.48706
352.9175, 25.90100
353.3996, 25.68408
353.8817, 22.64282
354.3639, 18.10950
354.8460, 9.276245
355.3281, 4.904907
355.8102, 12.47046
356.2923, 23.04492
356.7744, 23.79858
357.2566, 12.64050
357.7387, 0.9726560
358.2208, 2.909546
358.7029, 23.17542
359.1850, 30.07190
359.6671, 9.516357
360.1493, 8.403442
360.6314, 7.390747
