##NAMES=Diopside
##RRUFFID=R090046
##IDEAL CHEMISTRY=CaMgSi_2_O_6_
##LOCALITY=Merelani, Tanzania
##OWNER=RRUFF
##SOURCE=Wendell Wilson
##DESCRIPTION=Green crystals associated with graphite, R090047
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090046
271.8548, 2540324.
272.3369, 2538839.
272.8190, 2537492.
273.3011, 2536432.
273.7833, 2535727.
274.2654, 2535214.
274.7475, 2534846.
275.2296, 2534602.
275.7117, 2534474.
276.1938, 2534458.
276.6760, 2534581.
277.1581, 2534707.
277.6402, 2535009.
278.1223, 2535164.
278.6044, 2534853.
279.0865, 2534212.
279.5686, 2533683.
280.0508, 2533630.
280.5329, 2534056.
281.0150, 2534477.
281.4971, 2534445.
281.9792, 2534826.
282.4613, 2536445.
282.9435, 2538753.
283.4256, 2540453.
283.9077, 2540649.
284.3898, 2539509.
284.8719, 2538595.
285.3540, 2537945.
285.8362, 2537405.
286.3183, 2536980.
286.8004, 2536627.
287.2825, 2536291.
287.7646, 2535952.
288.2467, 2535594.
288.7289, 2535156.
289.2110, 2534549.
289.6931, 2533993.
290.1752, 2533653.
290.6573, 2533371.
291.1394, 2532919.
291.6216, 2532213.
292.1037, 2531344.
292.5858, 2530463.
293.0679, 2529580.
293.5500, 2528711.
294.0321, 2527697.
294.5143, 2526778.
294.9964, 2526302.
295.4785, 2526362.
295.9606, 2526618.
296.4427, 2526557.
296.9248, 2525950.
297.4070, 2525767.
297.8891, 2526483.
298.3712, 2527367.
298.8533, 2527854.
299.3354, 2527833.
299.8175, 2527335.
300.2997, 2526242.
300.7818, 2524388.
301.2639, 2523277.
301.7460, 2523355.
302.2281, 2523799.
302.7102, 2524167.
303.1924, 2524396.
303.6745, 2524471.
304.1566, 2524347.
304.6387, 2524032.
305.1208, 2523780.
305.6029, 2523697.
306.0851, 2523557.
306.5672, 2523063.
307.0493, 2522371.
307.5314, 2522039.
308.0135, 2522472.
308.4956, 2523434.
308.9778, 2523880.
309.4599, 2523456.
309.9420, 2523058.
310.4241, 2523145.
310.9062, 2523447.
311.3883, 2523392.
311.8705, 2522703.
312.3526, 2521671.
