##NAMES=Cohenite
##RRUFFID=R100076
##IDEAL CHEMISTRY=Fe_3_C
##LOCALITY=Asuk, Disko, West Greenland, Greenland
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Polished thick section associated with native iron
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R100076
##MEASURED CHEMISTRY=Fe_2.96_Ni_.02_C, normalized to 1 carbon
609.3266, 0.3073620
609.8087, 0.2082210
610.2908, 1.050027
610.7729, 2.084892
611.2551, 3.110089
611.7372, 3.467299
612.2193, 2.516506
612.7014, 1.441848
613.1835, 1.169503
613.6656, 1.387893
614.1478, 1.402315
614.6299, 1.042343
615.1120, 0.5855880
615.5941, 0.2844040
616.0762, 0.1386340
616.5583, 0.2141150
617.0405, 0.8927880
617.5226, 1.313420
618.0047, 1.003543
618.4868, 0.5757940
618.9689, 0.8178740
619.4510, 1.717899
619.9332, 2.362341
620.4153, 1.755201
620.8974, 0.3289940
621.3795, 0.3177370
621.8616, 7.5663000E-02
622.3438, 0.3781660
622.8259, 0.9039470
623.3080, 1.429973
623.7901, 1.987984
624.2722, 2.615071
624.7543, 2.683484
625.2365, 1.331561
625.7186, 6.1770000E-02
626.2007, 0.2301990
626.6828, 0.5256640
627.1649, 1.309622
627.6470, 1.753327
628.1292, 1.878957
628.6113, 1.651014
629.0934, 0.8725140
629.5755, 0.5657230
630.0576, 1.328769
630.5397, 1.936647
631.0219, 1.778323
631.5040, 1.349174
631.9861, 1.461829
632.4682, 2.371990
632.9503, 3.213219
633.4324, 3.030472
633.9146, 2.142297
634.3967, 1.502967
634.8788, 1.178151
635.3609, 1.250750
635.8430, 1.988598
636.3251, 3.037995
636.8073, 3.302519
637.2894, 2.416598
637.7715, 1.751440
638.2536, 1.421605
638.7357, 1.455487
639.2178, 2.395918
639.7000, 3.736260
640.1821, 3.995271
640.6642, 2.289572
641.1463, 0.2359610
641.6284, 1.175234
642.1105, 0.2004820
642.5927, 0.6303690
643.0748, 1.082176
643.5569, 1.504168
644.0390, 2.192666
644.5211, 2.809114
645.0032, 2.900792
645.4854, 2.178176
645.9675, 1.318811
646.4496, 0.6043250
646.9317, 0.1149400
647.4138, 5.2104000E-02
647.8959, 0.4382240
648.3781, 1.029896
648.8602, 1.655888
649.3423, 2.231223
649.8244, 2.505816
650.3065, 2.261735
