##NAMES=Wooldridgeite
##RRUFFID=R100005
##IDEAL CHEMISTRY=Na_2_CaCu^2+^_2_(P_2_O_7_)_2_&#183;10H_2_O
##LOCALITY=Judkins Quarry, Nuneaton, Warwickshire, England
##OWNER=RRUFF
##SOURCE=William Pinch
##DESCRIPTION=Pale green equant rhombic-dipyramidal crystals, co-type sample
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100005
276.3138, 1.488909
276.7959, 1.443453
277.2780, 2.016698
277.7601, 2.409769
278.2422, 2.264999
278.7244, 1.779009
279.2065, 1.352913
279.6886, 1.271698
280.1707, 1.501179
280.6528, 1.690763
281.1349, 1.912829
281.6171, 2.002575
282.0992, 1.780134
282.5813, 1.485751
283.0634, 1.389318
283.5455, 1.804138
284.0276, 2.608232
284.5098, 2.818972
284.9919, 1.630583
285.4740, 0.8067570
285.9561, 0.6450930
286.4382, 0.9293320
286.9203, 1.494259
287.4025, 2.264118
287.8846, 3.079116
288.3667, 3.493545
288.8488, 3.100690
289.3309, 2.858891
289.8130, 3.076214
290.2952, 3.335220
290.7773, 3.180813
291.2594, 2.483466
291.7415, 1.546613
292.2236, 0.9118950
292.7057, 0.6869630
293.1879, 0.6325530
293.6700, 0.9116270
294.1521, 1.231977
294.6342, 1.346720
295.1163, 1.223180
295.5984, 1.029864
296.0806, 0.9809580
296.5627, 1.093491
297.0448, 1.323846
297.5269, 1.731455
298.0090, 2.185571
298.4911, 2.728933
298.9733, 3.287846
299.4554, 3.617775
299.9375, 3.434288
300.4196, 2.624579
300.9017, 2.045413
301.3839, 1.655957
301.8660, 1.484428
302.3481, 1.665184
302.8302, 2.091506
303.3123, 2.512321
303.7944, 2.747402
304.2766, 2.798385
304.7587, 2.742945
305.2408, 2.480436
305.7229, 2.227530
306.2050, 1.931972
306.6871, 1.698461
307.1693, 1.748263
307.6514, 2.231060
308.1335, 3.006702
308.6156, 3.424606
309.0977, 3.275625
309.5798, 2.990897
310.0620, 2.620129
310.5441, 2.130224
311.0262, 1.321210
311.5083, 0.1186880
311.9904, 1.079660
312.4725, 1.368015
312.9547, 0.4780600
313.4368, 1.580587
313.9189, 1.595291
314.4010, 1.114106
314.8831, 0.4395780
315.3652, 0.2721430
315.8474, 0.7106880
316.3295, 0.3564560
316.8116, 1.374738
317.2937, 2.347719
317.7758, 2.108949
318.2579, 1.586226
318.7401, 1.284814
319.2222, 1.269077
319.7043, 1.384509
320.1864, 1.469886
320.6685, 1.564373
321.1506, 1.590212
321.6328, 1.363904
322.1149, 1.214212
322.5970, 1.343395
323.0791, 1.662366
323.5612, 1.925634
324.0433, 1.949614
324.5255, 1.771758
325.0076, 1.801037
325.4897, 2.224057
325.9718, 2.644013
326.4539, 3.187002
326.9360, 3.635927
327.4182, 3.615649
327.9003, 2.933750
328.3824, 1.875840
328.8645, 1.255866
329.3466, 1.662674
329.8287, 1.724639
330.3109, 0.8501700
330.7930, 9.4163001E-02
331.2751, 0.1217970
331.7572, 0.9758970
332.2393, 2.400634
332.7214, 2.854514
333.2036, 1.641695
333.6857, 1.059037
334.1678, 1.489272
334.6499, 2.125106
335.1320, 2.564381
335.6141, 2.731526
336.0963, 2.678914
336.5784, 2.421598
337.0605, 1.914405
337.5426, 1.590995
338.0247, 1.880331
338.5068, 1.916992
338.9890, 0.9336280
339.4711, 0.5289240
339.9532, 1.249781
340.4353, 0.3038950
340.9174, 1.938897
341.3995, 3.115124
341.8817, 1.766086
342.3638, 0.9154740
342.8459, 1.538497
343.3280, 2.733019
343.8101, 3.379108
344.2922, 3.000054
344.7744, 2.043392
345.2565, 1.476602
345.7386, 1.511273
346.2207, 1.544162
346.7028, 1.373868
347.1849, 1.285244
347.6671, 1.636287
348.1492, 2.416801
