##NAMES=Caryochroite
##RRUFFID=R070008
##IDEAL CHEMISTRY=(Na,Sr)_3_(Fe^3+^,Mg)_10_Ti^4+^_2_Si_12_O_37_(H_2_O,O,OH)_17_
##LOCALITY=Umbozero mine, Alluaiv Mt., Lovozero massif, Kola Peninsula, Russia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Dark brown massive, very fine grained
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070008
372.4378, 176.4385
372.9199, 174.9214
373.4020, 140.2412
373.8842, 104.3262
374.3663, 99.91943
374.8484, 138.3408
375.3305, 168.4814
375.8126, 182.1147
376.2947, 181.3286
376.7769, 169.8711
377.2590, 143.9883
377.7411, 120.4468
378.2232, 112.1899
378.7053, 118.2998
379.1874, 119.6680
379.6696, 110.8447
380.1517, 80.70312
380.6338, 103.9634
381.1159, 116.2861
381.5980, 117.6177
382.0801, 75.10352
382.5623, 88.35645
383.0444, 78.86377
383.5265, 68.32129
384.0086, 89.10791
384.4907, 52.14111
384.9728, 72.61914
385.4549, 71.24414
385.9370, 81.33447
386.4192, 68.22852
386.9013, 61.54395
387.3834, 77.07715
387.8655, 79.81494
388.3476, 62.72168
388.8297, 71.65625
389.3119, 34.30615
389.7940, 37.37012
390.2761, 57.75635
390.7582, 41.48877
391.2403, 51.02197
391.7224, 53.15576
392.2046, 12.47119
392.6867, 45.86035
393.1688, 44.50195
393.6509, 8.737793
394.1330, 13.35986
394.6151, 7.248535
395.0973, 32.63330
395.5794, 0.4257810
396.0615, 25.83301
396.5436, 29.17285
397.0257, 42.76270
397.5078, 32.77881
397.9900, 29.46680
398.4721, 48.80469
398.9542, 55.59717
399.4363, 42.68848
399.9184, 55.66309
400.4005, 22.31543
400.8827, 29.60791
401.3648, 55.78467
401.8469, 48.01953
402.3290, 64.77783
402.8111, 69.63086
403.2932, 29.86670
403.7754, 65.82227
404.2575, 68.96387
404.7396, 38.41748
405.2217, 71.74268
405.7038, 45.81836
406.1859, 41.02979
406.6681, 52.14160
407.1502, 46.65479
407.6323, 67.46094
408.1144, 64.00977
408.5965, 57.45361
409.0786, 60.45361
409.5608, 35.60449
410.0429, 64.51172
410.5250, 76.98096
411.0071, 69.60352
411.4892, 50.73438
411.9713, 38.85107
412.4535, 34.57178
412.9356, 38.02246
413.4177, 62.60742
413.8998, 94.79053
414.3819, 104.7031
414.8640, 58.30811
415.3462, 4.130859
415.8283, 8.537109
416.3104, 14.99512
416.7925, 36.78857
417.2746, 28.90186
417.7567, 11.42334
418.2388, 3.498535
418.7209, 16.55713
419.2031, 28.78662
419.6852, 18.75439
420.1673, 0.2163090
420.6494, 4.849609
421.1315, 82.05908
421.6136, 152.0918
422.0958, 174.1411
422.5779, 126.6455
423.0600, 86.93652
423.5421, 64.71484
424.0242, 54.32080
424.5063, 48.91602
424.9885, 49.84766
425.4706, 54.50732
425.9527, 69.94922
426.4348, 95.47998
426.9169, 86.89404
427.3990, 19.54834
427.8812, 48.28516
428.3633, 74.82227
428.8454, 50.27344
429.3275, 16.99463
429.8096, 27.91650
430.2917, 74.05176
430.7739, 89.38232
431.2560, 69.90967
431.7381, 45.09033
432.2202, 29.64746
432.7023, 22.45508
433.1844, 13.58496
433.6666, 1.947266
434.1487, 8.109863
434.6308, 15.14990
435.1129, 17.26660
435.5950, 4.989746
436.0771, 42.98389
436.5593, 96.49316
437.0414, 102.2212
437.5235, 63.71045
438.0056, 23.08984
438.4877, 8.390137
438.9698, 10.62451
439.4520, 19.29199
439.9341, 35.07324
440.4162, 50.88428
440.8983, 68.16406
441.3804, 82.38428
441.8625, 82.71289
442.3447, 46.03467
442.8268, 8.586914
443.3089, 8.694336
443.7910, 0.4111330
444.2731, 11.75098
444.7552, 23.53516
445.2374, 33.80127
445.7195, 39.79150
446.2016, 33.61523
446.6837, 31.86377
447.1658, 44.20068
447.6479, 67.72168
448.1301, 67.82080
448.6122, 24.00928
449.0943, 18.65820
449.5764, 31.55273
450.0585, 3.636719
450.5406, 20.98242
451.0227, 41.93945
451.5049, 57.03516
451.9870, 60.60254
452.4691, 51.26318
452.9512, 38.50635
453.4333, 21.04395
453.9154, 1.848633
454.3976, 5.306152
454.8797, 34.42773
455.3618, 66.30811
455.8439, 73.22998
456.3260, 61.72363
456.8081, 56.45264
457.2903, 72.03857
457.7724, 86.90869
458.2545, 59.94238
458.7366, 0.8950200
459.2187, 42.54248
459.7008, 32.19727
460.1830, 4.521973
460.6651, 42.92139
461.1472, 82.03906
461.6293, 111.5176
462.1114, 119.6787
462.5935, 115.3633
463.0757, 111.4033
463.5578, 123.8926
464.0399, 126.1484
464.5220, 96.38330
465.0041, 35.18555
465.4862, 1.626953
465.9684, 27.36719
466.4505, 68.47363
466.9326, 97.30371
467.4147, 107.2466
467.8968, 113.9419
468.3789, 119.3960
468.8611, 121.2891
469.3432, 111.6582
469.8253, 81.66113
470.3074, 59.91553
470.7895, 61.86328
471.2716, 88.82275
471.7538, 99.81787
472.2359, 92.34180
472.7180, 76.03320
473.2001, 55.96045
473.6822, 32.86523
474.1643, 21.84619
474.6465, 29.52344
475.1286, 44.82373
475.6107, 39.78125
476.0928, 18.19580
476.5749, 9.640137
477.0570, 57.89062
477.5392, 121.7363
478.0213, 128.5425
478.5034, 62.31885
478.9855, 2.618652
479.4676, 10.11621
479.9497, 19.42578
480.4319, 55.08008
480.9140, 100.4941
481.3961, 135.0537
481.8782, 148.1733
482.3603, 140.8477
482.8424, 122.8877
483.3245, 78.35010
483.8066, 37.30420
484.2888, 18.55273
484.7709, 40.50244
485.2530, 56.56201
485.7351, 59.85205
486.2172, 55.94336
486.6993, 53.28613
487.1815, 50.62842
487.6636, 53.51709
488.1457, 65.56641
488.6278, 85.66357
489.1099, 84.28564
489.5920, 54.06006
490.0742, 20.82861
490.5563, 4.696777
491.0384, 5.444336
491.5205, 23.00537
492.0026, 65.03174
492.4847, 108.9385
492.9669, 108.5317
493.4490, 70.61035
493.9311, 34.95801
494.4132, 11.96240
494.8953, 4.928711
495.3774, 28.41455
495.8596, 82.11230
496.3417, 129.4990
496.8238, 147.0405
497.3059, 141.7485
497.7880, 119.5767
498.2701, 60.87451
498.7523, 13.64062
499.2344, 12.37354
499.7165, 40.55566
500.1986, 54.11816
500.6807, 11.69678
501.1628, 24.08691
501.6450, 18.74561
502.1271, 47.28955
502.6092, 85.80713
503.0913, 78.38965
503.5734, 53.71484
504.0555, 35.81836
504.5377, 24.02100
505.0198, 22.01025
505.5019, 33.29688
505.9840, 53.55713
506.4661, 69.05713
506.9482, 78.78857
507.4304, 80.10254
507.9125, 67.64990
508.3946, 43.58252
508.8767, 36.44678
509.3588, 48.96191
509.8409, 63.83984
510.3231, 57.73779
510.8052, 37.87354
511.2873, 25.93018
511.7694, 33.17334
512.2515, 45.82568
512.7336, 50.57715
513.2158, 47.55518
513.6979, 39.23730
514.1800, 13.14746
514.6621, 8.254395
515.1442, 2.649902
515.6263, 40.68408
516.1085, 71.38232
516.5906, 51.00391
517.0727, 15.30859
517.5548, 6.922363
518.0369, 78.67871
518.5190, 125.8203
519.0012, 121.7090
519.4833, 78.37109
519.9654, 54.30518
520.4475, 61.35400
520.9296, 68.69775
521.4117, 57.98145
521.8939, 22.58496
522.3760, 16.18213
522.8581, 47.10400
523.3402, 85.58740
523.8223, 95.02441
524.3044, 76.68457
524.7866, 64.81250
525.2687, 74.38867
525.7508, 88.68164
526.2329, 64.60400
526.7150, 10.18994
527.1971, 23.94238
527.6793, 16.57520
528.1614, 83.72900
528.6435, 116.6484
529.1256, 106.7324
529.6077, 92.47559
530.0898, 97.41748
530.5720, 111.4038
531.0541, 122.7456
531.5362, 133.9761
532.0182, 135.8306
532.5004, 119.2749
532.9825, 89.78955
533.4646, 69.51221
533.9467, 60.86084
534.4288, 61.33105
534.9109, 74.53223
535.3931, 105.9058
535.8752, 118.2031
536.3573, 103.1748
536.8394, 80.58008
537.3215, 70.45947
537.8036, 74.74268
538.2858, 91.54150
538.7679, 127.3379
539.2500, 166.7954
539.7321, 173.5044
540.2142, 149.6162
540.6964, 117.5840
541.1785, 80.16650
541.6606, 46.01318
542.1427, 33.41895
542.6248, 42.86035
543.1069, 58.08691
543.5891, 70.07275
544.0712, 79.78125
544.5533, 87.80811
545.0354, 91.08545
545.5175, 97.98535
545.9996, 119.7671
546.4818, 147.2666
546.9639, 160.7622
547.4460, 138.3062
547.9281, 119.1211
548.4102, 115.2080
