##NAMES=Miersite
##RRUFFID=R110170
##IDEAL CHEMISTRY=Ag^1+^I^1-^
##LOCALITY=Proprietary mine, Broken Hill, Australia
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Pale yellow tetrahedra, associated with hexagonal plates of iodargyrite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R110170
349.3888, 24.47356
349.8709, 24.86449
350.3531, 25.33042
350.8352, 25.79845
351.3173, 25.99739
351.7994, 25.50752
352.2815, 24.77776
352.7636, 24.65263
353.2458, 25.13149
353.7279, 25.63300
354.2100, 25.61277
354.6921, 25.28738
355.1742, 25.04112
355.6563, 25.09369
356.1385, 25.16182
356.6206, 24.82144
357.1027, 24.18645
357.5848, 23.82936
358.0669, 24.47127
358.5490, 25.36009
359.0312, 25.71350
359.5133, 25.13065
359.9954, 24.57174
360.4775, 24.59894
360.9596, 25.05451
361.4417, 25.59992
361.9239, 26.41751
362.4060, 27.04712
362.8881, 27.14992
363.3702, 26.58605
363.8523, 26.06813
364.3344, 25.82245
364.8166, 25.74631
365.2987, 25.72243
365.7808, 25.79730
366.2629, 25.84892
366.7450, 25.82509
367.2271, 25.72590
367.7093, 25.66499
368.1914, 25.86489
368.6735, 25.97536
369.1556, 25.75938
369.6377, 24.34657
370.1198, 23.70643
370.6020, 24.33279
371.0841, 25.84420
371.5662, 26.88010
372.0483, 27.39574
372.5304, 27.47494
373.0125, 27.03254
373.4947, 25.69046
373.9768, 24.96299
374.4589, 25.11983
374.9410, 25.66693
375.4231, 25.74723
375.9052, 25.10841
376.3874, 24.72608
376.8695, 25.00671
377.3516, 25.93108
377.8337, 26.52689
378.3158, 26.83637
378.7979, 26.73892
379.2801, 25.77476
379.7622, 23.85747
380.2443, 22.87668
380.7264, 23.44573
381.2085, 24.96699
381.6906, 25.88713
382.1728, 26.19674
382.6549, 26.29108
383.1370, 26.40527
383.6191, 26.51776
384.1012, 26.51793
384.5833, 26.36864
385.0655, 26.19216
385.5476, 26.20197
386.0297, 26.33837
386.5118, 26.38441
386.9939, 26.18435
387.4760, 25.85252
387.9582, 25.48096
388.4403, 25.06797
388.9224, 24.82809
389.4045, 25.05813
389.8866, 25.53832
390.3687, 25.97494
390.8509, 26.41250
391.3330, 26.61817
391.8151, 26.20437
392.2972, 25.34414
392.7793, 24.73450
393.2614, 24.89431
393.7436, 25.32415
394.2257, 25.68647
394.7078, 25.91845
395.1899, 26.08259
395.6720, 26.21452
396.1541, 26.28993
396.6363, 26.26987
397.1184, 26.04457
397.6005, 25.81536
398.0826, 25.65357
398.5647, 25.57111
399.0468, 25.48466
399.5290, 25.33615
400.0111, 25.20899
400.4932, 25.16507
400.9753, 25.10309
401.4574, 25.27912
401.9395, 25.96237
402.4217, 26.95412
402.9038, 27.22001
403.3859, 26.19473
403.8680, 25.27372
404.3501, 25.25570
404.8322, 26.58090
405.3144, 27.21599
405.7965, 26.93405
406.2786, 26.22496
406.7607, 25.89809
407.2428, 26.03865
407.7249, 26.07990
408.2071, 25.71995
408.6892, 25.07533
409.1713, 25.05591
409.6534, 25.78189
410.1355, 26.42983
410.6176, 25.88805
411.0998, 24.44300
411.5819, 23.91282
412.0640, 24.95998
412.5461, 26.55227
413.0282, 26.84121
413.5103, 26.04592
413.9925, 25.47016
414.4746, 26.39101
414.9567, 27.84409
415.4388, 28.18848
415.9209, 27.20545
416.4030, 25.98478
416.8852, 25.15408
417.3673, 24.73861
417.8494, 24.76864
418.3315, 25.86642
418.8136, 26.90671
419.2957, 27.04400
419.7779, 26.40159
420.2600, 25.81730
420.7421, 25.74527
421.2242, 25.83356
421.7063, 25.79605
422.1884, 25.34946
422.6706, 25.21145
423.1527, 25.91530
423.6348, 27.00399
424.1169, 27.62104
424.5990, 27.34049
425.0811, 26.86699
425.5633, 26.31194
426.0454, 25.62438
426.5275, 25.24421
427.0096, 25.33920
427.4917, 25.60508
427.9738, 25.81619
428.4560, 26.03914
428.9381, 26.03879
429.4202, 25.62948
429.9023, 25.01204
430.3844, 24.93927
430.8665, 25.60923
431.3487, 26.26258
431.8308, 26.47253
432.3129, 26.21245
432.7950, 26.05403
433.2771, 26.00708
433.7592, 26.05316
434.2414, 26.21957
434.7235, 26.49167
435.2056, 26.69435
435.6877, 26.79229
436.1698, 26.77351
436.6519, 26.49932
437.1341, 25.99164
437.6162, 25.63002
438.0983, 25.74016
438.5804, 26.17057
439.0625, 26.74910
439.5446, 27.55602
440.0268, 28.13645
440.5089, 27.87400
440.9910, 27.09009
441.4731, 26.44809
441.9552, 26.27699
442.4373, 26.31363
442.9195, 26.54159
443.4016, 26.93885
443.8837, 27.01214
444.3658, 26.02851
444.8479, 24.93210
445.3300, 24.48504
445.8122, 25.45066
446.2943, 26.26110
446.7764, 26.61502
447.2585, 26.62643
447.7406, 26.58625
448.2227, 26.44818
448.7049, 26.32452
449.1870, 26.21031
449.6691, 26.06995
450.1512, 26.19792
450.6333, 26.84783
451.1154, 27.48962
451.5976, 27.52166
452.0797, 26.65775
452.5618, 26.16536
453.0439, 26.34682
453.5260, 26.96923
454.0081, 27.34358
454.4903, 27.45414
454.9724, 27.42379
455.4545, 27.31559
455.9366, 27.12653
456.4187, 26.79289
456.9008, 26.29335
457.3830, 25.76773
457.8651, 25.27813
458.3472, 24.88330
458.8293, 24.82189
459.3114, 25.33149
459.7935, 26.04276
460.2757, 26.58259
460.7578, 26.94313
461.2399, 27.10373
461.7220, 26.89476
462.2041, 26.56617
462.6862, 26.31379
463.1684, 26.13373
463.6505, 26.17840
464.1326, 26.84192
464.6147, 27.68273
465.0968, 28.13769
465.5789, 27.64780
466.0611, 27.13569
466.5432, 26.83306
467.0253, 26.74269
467.5074, 26.78351
467.9895, 27.14669
468.4716, 27.47835
468.9538, 27.60111
469.4359, 27.40305
469.9180, 27.23511
470.4001, 27.07886
470.8822, 26.96337
471.3643, 26.95956
471.8465, 27.14138
472.3286, 27.21211
472.8107, 27.05657
473.2928, 26.72437
473.7749, 26.48973
474.2570, 26.36229
474.7392, 26.28881
475.2213, 26.13494
475.7034, 25.95641
476.1855, 26.25641
476.6676, 27.22154
477.1497, 28.21364
477.6319, 28.21416
478.1140, 27.48725
478.5961, 26.89083
479.0782, 27.03623
479.5603, 27.35986
480.0424, 27.08831
480.5246, 26.30269
481.0067, 25.67287
481.4888, 25.74533
481.9709, 26.08921
482.4530, 26.33346
482.9352, 26.38980
483.4173, 26.38390
483.8994, 26.25162
484.3815, 26.11257
484.8636, 26.15008
485.3457, 26.68229
485.8279, 27.10994
486.3100, 27.21961
486.7921, 27.00735
487.2742, 26.89044
487.7563, 26.93241
488.2384, 27.00495
488.7206, 27.07540
489.2027, 27.27538
489.6848, 27.05165
490.1669, 26.12248
490.6490, 25.06605
491.1311, 24.90977
491.6133, 25.80044
492.0954, 26.57474
492.5775, 26.80976
493.0596, 26.67350
493.5417, 26.87547
494.0238, 27.42199
494.5060, 27.84910
494.9881, 27.73627
