##NAMES=Minasragrite
##RRUFFID=R130365
##IDEAL CHEMISTRY=V^4+^O(S^6+^O_4_)&#183;5H_2_O
##LOCALITY=Minas Ragra mine, Pasco, Peru
##OWNER=RRUFF
##SOURCE=Tom Loomis
##DESCRIPTION=Glassy blue crystals on patronite, associated with R130366 retgersite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130365
299.4738, 3.7292000E-02
299.9560, 0.3584940
300.4381, 0.6404000
300.9202, 0.7459580
301.4023, 0.6794460
301.8844, 0.4342670
302.3665, 0.5570060
302.8487, 0.3304680
303.3308, 0.5417970
303.8129, 0.1170280
304.2950, 6.0520999E-02
304.7771, 0.1660310
305.2592, 0.2124950
305.7414, 0.1606670
306.2235, 6.1880001E-03
306.7056, 0.1691970
307.1877, 5.0774999E-02
307.6698, 0.4245210
308.1519, 0.8183830
308.6341, 0.9844210
309.1162, 0.9789220
309.5983, 0.8594220
310.0804, 0.6179600
310.5625, 0.3639080
311.0446, 0.2694530
311.5268, 0.3393350
312.0089, 0.3633590
312.4910, 0.2350960
312.9731, 6.9668002E-02
313.4552, 3.0250000E-03
313.9373, 3.5877001E-02
314.4195, 0.1595790
314.9016, 0.4141330
315.3837, 0.7744720
315.8658, 0.9160250
316.3479, 0.6044030
316.8300, 0.2120960
317.3121, 2.9132999E-02
317.7943, 6.1661001E-02
318.2764, 0.2156290
318.7585, 0.4863280
319.2406, 0.8225610
319.7227, 1.005406
320.2048, 0.9394280
320.6870, 0.8228550
321.1691, 0.7908400
321.6512, 0.8060840
322.1333, 0.7078870
322.6154, 0.3695280
323.0975, 6.3859001E-02
323.5797, 0.1424530
324.0618, 5.8219001E-02
324.5439, 0.3157780
325.0260, 0.4802520
325.5081, 0.5363030
325.9902, 0.3979840
326.4724, 7.5280000E-03
326.9545, 0.1072250
327.4366, 0.1405600
327.9187, 1.6786000E-02
328.4008, 0.2850250
328.8829, 0.1154320
329.3651, 0.1047130
329.8472, 3.7940000E-03
330.3293, 0.1152540
330.8114, 0.2010230
331.2935, 0.4862260
331.7756, 0.7353890
332.2578, 0.8627340
332.7399, 0.7640210
333.2220, 0.6167010
333.7041, 0.5565180
334.1862, 0.5800750
334.6683, 0.5989120
335.1505, 0.5536930
335.6326, 0.4493240
336.1147, 0.3377840
336.5968, 0.1180920
337.0789, 8.9499997E-03
337.5610, 0.1877470
338.0432, 0.5294940
338.5253, 0.7386610
339.0074, 0.6667820
339.4895, 0.4235170
339.9716, 0.2998870
340.4537, 0.3140740
340.9359, 0.3933400
341.4180, 0.6329730
341.9001, 0.8903370
342.3822, 0.9326350
342.8643, 0.6928570
343.3464, 0.3880160
343.8286, 0.3373390
344.3107, 0.6946450
344.7928, 0.8536670
345.2749, 0.6724110
345.7570, 0.3880570
346.2391, 0.1253070
346.7213, 7.9650998E-02
347.2034, 8.9001998E-02
347.6855, 1.9258000E-02
348.1676, 0.3633810
348.6497, 0.4993760
349.1318, 0.1702730
349.6140, 0.1052800
350.0961, 1.6926000E-02
350.5782, 0.1130120
351.0603, 6.5557003E-02
351.5424, 0.2968200
352.0245, 0.5343820
352.5067, 0.5975560
352.9888, 0.3276820
353.4709, 8.3044000E-02
353.9530, 5.1376000E-02
354.4351, 0.1369130
354.9172, 8.5151002E-02
355.3994, 5.3404000E-02
355.8815, 0.4831190
356.3636, 0.6498240
356.8457, 0.2856620
357.3278, 0.2149010
357.8099, 0.7516040
358.2920, 1.314848
358.7741, 1.450689
359.2563, 1.165499
359.7384, 0.8107490
360.2205, 0.7027440
360.7026, 0.8275930
361.1847, 0.9458010
361.6668, 1.213579
362.1490, 1.384255
362.6311, 1.266695
363.1132, 0.9893870
363.5953, 0.8063610
364.0774, 0.8755430
364.5595, 1.126651
365.0417, 1.324721
365.5238, 1.457087
366.0059, 1.532785
366.4880, 1.565703
366.9701, 1.537826
367.4522, 1.353849
367.9344, 1.007058
368.4165, 0.7187090
368.8986, 0.9213650
369.3807, 1.959796
369.8628, 2.526390
370.3449, 2.276926
370.8271, 1.819736
371.3092, 1.354946
371.7913, 0.9627400
372.2734, 0.7128490
372.7555, 0.6804390
373.2376, 0.8602880
373.7198, 1.141072
374.2019, 1.767684
374.6840, 2.178185
375.1661, 2.041011
375.6482, 1.617814
376.1303, 1.319453
376.6125, 1.364402
377.0946, 1.596918
377.5767, 1.651331
378.0588, 1.439756
378.5409, 1.299199
379.0230, 1.455293
379.5052, 1.637322
379.9873, 1.582996
380.4694, 1.243312
380.9515, 0.8923950
381.4336, 0.8460370
381.9157, 1.116020
382.3979, 1.338399
382.8800, 1.509268
383.3621, 1.570764
383.8442, 1.489213
384.3263, 1.282812
384.8084, 0.9755750
385.2906, 0.4244600
385.7727, 3.6109000E-02
386.2548, 3.2175999E-02
386.7369, 0.3507360
387.2190, 0.9258040
387.7011, 1.224072
388.1833, 1.314683
388.6654, 1.246721
389.1475, 0.9277860
389.6296, 0.6131950
390.1117, 0.5220440
390.5938, 0.6394510
391.0760, 0.8879880
391.5581, 1.371795
392.0402, 1.812269
392.5223, 1.793435
393.0044, 1.296104
393.4865, 0.7659250
393.9687, 0.2742940
394.4508, 9.5050000E-02
394.9329, 2.4759000E-02
395.4150, 4.5106001E-02
395.8971, 0.2313860
396.3792, 0.4557500
396.8614, 0.6152210
397.3435, 0.6591030
397.8256, 0.4527820
398.3077, 0.2474030
398.7898, 0.2199210
399.2719, 0.3379960
399.7540, 0.4743480
400.2361, 0.5708090
400.7183, 0.6359770
401.2004, 0.6946630
401.6825, 0.7982450
402.1646, 0.8134050
402.6467, 0.6134600
403.1288, 0.3582130
403.6110, 0.2396310
404.0931, 0.2988800
404.5752, 0.4333650
405.0573, 0.5501360
405.5394, 0.6836210
406.0215, 0.6794110
406.5037, 0.3789320
406.9858, 0.1022160
407.4679, 3.7693001E-02
407.9500, 2.1485999E-02
408.4321, 0.1709200
408.9142, 0.5962530
409.3964, 1.137437
409.8785, 1.309379
410.3606, 0.7038850
410.8427, 0.2346580
411.3248, 6.5660002E-03
411.8069, 0.1008070
412.2891, 6.8203002E-02
412.7712, 7.5870000E-02
413.2533, 0.2490880
413.7354, 0.2775280
414.2175, 7.1342997E-02
414.6996, 7.7621996E-02
415.1818, 0.7293470
415.6639, 1.196233
416.1460, 0.9445290
416.6281, 0.2313520
417.1102, 1.1193000E-02
417.5923, 0.1019880
418.0745, 0.3895790
418.5566, 0.8316980
419.0387, 1.176816
419.5208, 1.304382
420.0029, 0.9821260
420.4850, 0.5467180
420.9672, 0.3337970
421.4493, 0.4301180
421.9314, 0.5929030
422.4135, 0.5128410
422.8956, 0.1912380
423.3777, 7.3169000E-02
423.8599, 0.4041960
424.3420, 0.7291720
424.8241, 0.6628970
425.3062, 0.2931150
425.7883, 6.0858998E-02
426.2704, 4.9757000E-02
426.7526, 0.1853580
427.2347, 0.1765800
427.7168, 1.6228000E-02
428.1989, 7.0501998E-02
428.6810, 0.1812470
429.1631, 0.4083240
429.6453, 0.4575900
430.1274, 0.2344090
430.6095, 4.6436001E-02
431.0916, 9.2014998E-02
431.5737, 0.2746530
432.0558, 0.3889730
432.5380, 0.3645430
433.0201, 0.3241860
433.5022, 0.4458000
433.9843, 0.7614740
434.4664, 0.9686870
434.9485, 1.037062
435.4307, 1.032143
435.9128, 0.9318710
436.3949, 0.7503450
436.8770, 0.6066420
437.3591, 0.5723740
437.8412, 0.6358060
438.3234, 0.7322960
438.8055, 1.087160
439.2876, 1.176246
439.7697, 0.5873220
440.2518, 6.6813000E-02
440.7339, 7.4184999E-02
441.2160, 0.6359720
441.6982, 1.447797
442.1803, 1.622585
442.6624, 1.044921
443.1445, 0.6804580
443.6266, 0.6560180
444.1087, 0.7093440
444.5909, 0.7558860
445.0730, 0.8293330
445.5551, 1.052198
446.0372, 1.508273
446.5193, 2.036848
447.0014, 2.284560
447.4836, 2.211852
447.9657, 1.974761
448.4478, 1.245705
448.9299, 0.6128190
449.4120, 0.5634430
449.8941, 1.070004
450.3763, 1.610247
450.8584, 1.801924
451.3405, 1.701194
451.8226, 1.489912
452.3047, 1.076258
452.7868, 0.7513300
453.2690, 0.7426870
453.7511, 0.9217510
454.2332, 1.138458
454.7153, 1.417122
455.1974, 1.612677
455.6795, 1.543202
456.1617, 1.270120
456.6438, 1.060245
457.1259, 0.9913380
457.6080, 1.008276
458.0901, 1.081320
458.5722, 1.214573
459.0544, 1.252049
459.5365, 1.061541
460.0186, 0.8393560
460.5007, 0.7730290
460.9828, 0.8495370
461.4649, 0.9243960
461.9471, 0.9140560
462.4292, 0.8403410
462.9113, 0.7942570
463.3934, 0.8139440
463.8755, 0.8098020
464.3576, 0.7564890
464.8398, 0.6818190
465.3219, 0.5996870
465.8040, 0.5227900
466.2861, 0.4679750
466.7682, 0.4450530
467.2503, 0.4479750
467.7325, 0.5298290
468.2146, 0.8197890
468.6967, 1.047638
469.1788, 1.096471
469.6609, 1.043944
470.1430, 1.025390
470.6252, 1.099127
471.1073, 1.214849
471.5894, 1.318882
472.0715, 1.442486
472.5536, 1.411080
473.0357, 1.016853
473.5179, 0.6172450
474.0000, 0.4260960
474.4821, 0.4167630
474.9642, 0.4243430
475.4463, 0.3257820
475.9284, 0.2257190
476.4106, 0.3888780
476.8927, 0.8776500
477.3748, 1.218662
477.8569, 1.138067
478.3390, 0.7942390
478.8211, 0.4006660
479.3033, 0.1049290
479.7854, 0.1136810
480.2675, 0.1270540
480.7496, 0.4201910
481.2317, 0.7028690
481.7138, 0.6173530
482.1959, 0.5124270
482.6780, 0.7471380
483.1602, 1.304609
483.6423, 1.537903
484.1244, 1.192984
484.6065, 0.8141680
485.0886, 0.5631520
485.5707, 0.4611210
486.0529, 0.5708490
486.5350, 0.9134370
487.0171, 1.287174
487.4992, 1.356492
487.9813, 1.000234
488.4634, 0.6596690
488.9456, 0.2232030
489.4277, 9.2657998E-02
489.9098, 9.2372999E-02
490.3919, 0.1109470
490.8740, 0.2641720
491.3561, 0.2146830
491.8383, 1.8679000E-02
492.3204, 9.0221003E-02
492.8025, 0.2389300
493.2846, 0.3907350
493.7667, 0.1173770
494.2488, 7.9755999E-02
494.7310, 7.2269000E-02
495.2131, 3.4711000E-02
495.6952, 2.9115001E-02
496.1773, 4.8985999E-02
496.6594, 7.4479999E-03
497.1415, 0.1942060
497.6237, 0.6120260
498.1058, 0.9348580
498.5879, 0.9592430
499.0700, 0.8069810
499.5521, 0.7084380
500.0342, 0.7231910
500.5164, 0.7220140
500.9985, 0.5947610
501.4806, 0.4207720
501.9627, 0.3614350
502.4448, 0.4507620
502.9269, 0.5612220
503.4091, 0.5768780
503.8912, 0.4942300
504.3733, 0.3740980
504.8554, 0.1306450
505.3375, 4.9332000E-02
505.8196, 8.0698997E-02
506.3018, 1.0170000E-02
506.7839, 0.1092070
507.2660, 0.2580180
507.7481, 0.3778760
508.2302, 0.3423290
508.7123, 4.7366999E-02
509.1945, 2.6196999E-02
509.6766, 0.4381920
510.1587, 0.8070620
510.6408, 0.7449020
511.1229, 0.4252440
511.6050, 0.2044510
512.0872, 0.2706190
512.5693, 0.4765110
513.0514, 0.5936580
513.5335, 0.6308780
514.0156, 0.6954960
514.4977, 0.8804740
514.9799, 1.024925
515.4620, 0.9838420
515.9441, 0.7781260
516.4262, 0.5721920
516.9083, 0.3345290
517.3904, 0.1295720
517.8726, 9.8099997E-03
518.3547, 2.4106000E-02
518.8368, 2.6750000E-02
519.3189, 0.1840880
519.8010, 0.4022760
520.2831, 0.5819030
520.7653, 0.7595270
521.2474, 0.8439280
521.7295, 0.7436780
522.2116, 0.6182490
522.6937, 0.6535760
523.1758, 0.8423570
523.6580, 1.062845
524.1401, 1.239926
524.6222, 1.357319
525.1043, 1.414244
525.5864, 1.380139
526.0685, 1.340630
526.5507, 1.286521
527.0328, 1.240646
527.5149, 1.220781
527.9970, 1.228893
528.4791, 1.262972
528.9612, 1.365315
529.4434, 1.501468
529.9255, 1.419745
530.4076, 0.9971210
530.8897, 0.6459290
531.3718, 0.5110560
531.8539, 0.5546080
532.3361, 0.8309220
532.8182, 1.398524
533.3003, 1.842272
533.7824, 1.749516
534.2645, 1.377509
534.7466, 1.288421
535.2288, 1.566193
535.7109, 1.884767
536.1930, 1.998405
536.6751, 1.953735
537.1572, 2.030298
537.6393, 2.499589
538.1215, 2.765876
538.6036, 2.391573
539.0857, 1.828236
539.5678, 1.704783
540.0499, 2.130207
540.5320, 2.765703
541.0142, 3.297351
541.4963, 3.732236
541.9784, 3.808489
542.4604, 3.079051
542.9426, 2.511903
543.4247, 2.365040
543.9068, 2.449380
544.3889, 2.581409
544.8710, 2.701776
545.3531, 2.782771
545.8353, 2.791574
546.3174, 2.731100
546.7995, 2.629154
547.2816, 2.478658
547.7637, 2.297747
548.2458, 2.074959
548.7280, 1.829851
549.2101, 1.604318
549.6922, 1.410666
550.1743, 1.217053
550.6564, 0.9051620
551.1385, 0.6019370
551.6207, 0.6872050
552.1028, 1.238666
552.5849, 1.755409
553.0670, 1.748203
553.5491, 1.211641
554.0313, 0.7385890
554.5134, 0.3071690
554.9955, 3.8447000E-02
555.4776, 2.3422001E-02
555.9597, 0.1920830
556.4418, 0.1271190
556.9240, 0.2363050
557.4061, 0.1592380
557.8882, 0.3334810
558.3703, 0.3583630
558.8524, 0.3934190
559.3345, 0.4561220
559.8167, 0.5113840
560.2988, 0.5293910
560.7809, 0.5270770
561.2630, 0.5314580
561.7451, 0.5536560
562.2272, 0.5328300
562.7094, 0.3202880
563.1915, 1.1223000E-02
563.6736, 2.5826000E-02
564.1557, 0.2991230
564.6378, 0.6932740
565.1199, 0.9797270
565.6021, 1.163179
566.0842, 1.300610
566.5663, 1.474500
567.0484, 1.486157
567.5305, 1.195862
568.0126, 0.7475000
568.4948, 0.2305090
568.9769, 6.1189998E-03
569.4590, 0.3148070
569.9411, 0.1925100
570.4232, 3.9462999E-02
570.9053, 0.3562920
571.3875, 0.2658680
571.8696, 0.2082570
572.3517, 0.2668320
572.8338, 0.3801690
573.3159, 0.3249620
573.7980, 0.3340950
574.2802, 0.3457910
574.7623, 0.7463090
575.2444, 0.8815770
575.7265, 7.9570003E-03
576.2086, 0.3958710
576.6907, 0.2557760
577.1729, 7.7619001E-02
577.6550, 0.5969510
578.1371, 0.2173310
578.6192, 0.2565250
579.1013, 0.1923250
579.5834, 0.3495970
580.0656, 0.5290420
580.5477, 0.5407090
581.0298, 6.3933000E-02
581.5119, 5.1624000E-02
581.9940, 4.7263999E-02
582.4761, 0.5769860
582.9583, 1.077042
583.4404, 1.603998
583.9225, 1.751107
584.4046, 1.118185
584.8867, 0.4544630
585.3688, 0.3040810
585.8510, 0.5801510
586.3331, 0.8639260
586.8152, 0.9020940
587.2973, 0.7669980
587.7794, 0.5954360
588.2615, 0.3739150
588.7437, 0.2050060
589.2258, 0.1278080
589.7079, 0.1014580
590.1900, 0.1128880
590.6721, 0.1491210
591.1542, 0.1243700
591.6364, 9.4687000E-02
592.1185, 6.0608000E-02
592.6006, 0.1088070
593.0827, 2.0814000E-02
593.5648, 0.1924180
594.0469, 0.3316220
594.5291, 0.3828130
595.0112, 0.2995040
595.4933, 6.3950000E-03
595.9754, 7.1396999E-02
596.4575, 0.2615540
596.9396, 0.5625760
597.4218, 0.6553570
597.9039, 0.6279320
598.3860, 0.5714680
598.8681, 0.5254340
599.3502, 0.5977260
599.8323, 1.102114
600.3145, 2.004508
600.7966, 2.201762
601.2787, 1.308217
601.7608, 0.4264660
602.2429, 0.2491690
602.7250, 0.4679970
603.2072, 0.6602510
603.6893, 0.7953170
604.1714, 0.8437800
604.6535, 0.6853500
605.1356, 0.4787440
605.6177, 0.5010630
606.0999, 0.7606400
606.5820, 1.006760
607.0641, 1.059841
607.5462, 0.9548110
608.0283, 0.8432070
608.5104, 0.6184760
608.9926, 0.5460280
609.4747, 0.8196490
609.9568, 1.095125
610.4389, 1.103573
610.9210, 0.8839030
611.4031, 0.6660360
611.8853, 0.6164970
612.3674, 0.6167680
612.8495, 0.3063210
613.3316, 4.1161999E-02
613.8137, 0.1699700
614.2958, 0.2017890
614.7780, 1.143902
615.2601, 1.300968
615.7422, 0.7978480
616.2243, 0.3326010
616.7064, 9.1034003E-02
617.1885, 0.1234090
617.6707, 2.2468001E-02
618.1528, 0.5185760
618.6349, 0.8463260
619.1170, 0.8396530
619.5991, 0.6549460
620.0812, 0.5369130
620.5634, 0.4885900
621.0455, 0.5005290
621.5276, 0.5986280
622.0097, 0.7333030
622.4918, 0.9899640
622.9739, 1.217367
623.4561, 1.228021
623.9382, 0.9986100
624.4203, 0.7212800
624.9023, 0.4769490
625.3845, 0.3171540
625.8666, 0.4504350
626.3487, 0.9086630
626.8308, 1.273246
627.3129, 1.358018
627.7950, 1.259526
628.2772, 1.108293
628.7593, 0.8187100
629.2414, 0.5456920
629.7235, 0.1830300
630.2056, 3.6908999E-02
630.6877, 0.1772080
631.1699, 0.6538990
631.6520, 0.9488750
632.1341, 0.9130960
632.6162, 0.7315920
633.0983, 0.7754000
633.5804, 1.117264
634.0626, 1.297870
634.5447, 1.197992
635.0268, 1.087946
635.5089, 1.164312
635.9910, 1.264495
636.4731, 1.129366
636.9553, 0.5853810
637.4374, 0.1803150
