##NAMES=Claraite
##RRUFFID=R110020
##IDEAL CHEMISTRY=(Cu^2+^,Zn^2+^)_15_(CO_3_)_4_(As^5+^O_4_)_2_(S^6+^O_4_)(OH)_14_&#183;7H_2_O
##LOCALITY=Sommerau District, Brixlegg - Rattenberg, Brixlegg - Schwaz area, Inn valley, North Tyrol, Tyrol, Austria
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Light blue massive coating with scattered isolated crystals, associated with dark blue azurite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R110020
421.8535, 5.089308
422.3356, 3.806156
422.8177, 2.305096
423.2998, 1.503359
423.7819, 1.549307
424.2640, 2.143158
424.7462, 3.121489
425.2283, 4.559391
425.7104, 5.309614
426.1925, 4.738272
426.6746, 4.121889
427.1567, 3.786171
427.6389, 3.658609
428.1210, 3.486172
428.6031, 3.088001
429.0852, 2.713732
429.5673, 2.916956
430.0494, 3.842640
430.5316, 4.818060
431.0137, 6.494274
431.4958, 7.584753
431.9779, 6.649439
432.4600, 3.822182
432.9421, 1.353851
433.4243, 1.485899
433.9064, 3.503607
434.3885, 4.234774
434.8706, 3.102001
435.3527, 1.657381
435.8348, 0.6220630
436.3170, 1.0960000E-02
436.7991, 0.1618060
437.2812, 0.3388920
437.7633, 1.120852
438.2454, 2.014572
438.7275, 2.965328
439.2097, 3.568922
439.6918, 3.681650
440.1739, 3.385757
440.6560, 2.517641
441.1381, 0.9394860
441.6202, 0.1876260
442.1024, 1.627539
442.5845, 3.602009
443.0666, 4.042421
443.5487, 2.833130
444.0308, 1.388811
444.5129, 0.6819630
444.9951, 0.6875920
445.4772, 1.028719
445.9593, 1.989140
446.4414, 2.899183
446.9235, 3.840252
447.4056, 4.521847
447.8878, 4.255678
448.3699, 2.838186
448.8520, 1.231707
449.3341, 0.9681450
449.8162, 2.706245
450.2983, 3.961845
450.7805, 4.754253
451.2626, 5.128788
451.7447, 4.893497
452.2268, 4.200502
452.7089, 3.525980
453.1910, 3.353910
453.6732, 3.498659
454.1553, 2.925617
454.6374, 0.4620700
455.1195, 0.6877590
455.6016, 0.9706780
456.0837, 3.302551
456.5659, 4.414034
457.0480, 4.014088
457.5301, 3.288298
458.0122, 3.392611
458.4943, 4.317102
458.9764, 5.662195
459.4586, 8.296844
459.9407, 9.966164
460.4228, 8.862268
460.9049, 6.217402
461.3870, 4.243185
461.8691, 3.894947
462.3513, 4.220963
462.8334, 4.094625
463.3155, 3.536966
463.7976, 3.097158
464.2797, 2.997429
464.7618, 3.207594
465.2440, 3.446075
465.7261, 3.686010
466.2082, 3.785425
466.6903, 3.475861
467.1724, 3.082094
467.6545, 3.107635
468.1367, 3.557129
468.6188, 3.838692
469.1009, 3.447935
469.5830, 2.544598
470.0651, 2.180820
470.5472, 3.084452
471.0294, 3.842041
471.5115, 3.988811
471.9936, 3.867462
472.4757, 3.842894
472.9578, 3.967434
473.4399, 4.297710
473.9221, 5.179575
474.4042, 6.908503
474.8863, 7.481939
475.3684, 5.963795
475.8505, 4.432508
476.3326, 3.552488
476.8148, 3.207056
477.2969, 3.163357
477.7790, 3.319571
478.2611, 3.550850
478.7432, 3.549793
479.2253, 3.158033
479.7075, 2.986633
480.1896, 3.226242
480.6717, 3.602438
481.1538, 3.953623
481.6359, 4.300556
482.1180, 4.793949
482.6002, 5.668688
483.0823, 6.720064
483.5644, 7.254719
484.0465, 7.049383
484.5286, 7.168560
485.0107, 8.848806
485.4929, 10.69305
485.9750, 10.81259
486.4571, 8.688511
486.9392, 6.549763
487.4213, 5.807095
487.9034, 6.011677
488.3856, 6.242277
488.8677, 6.371429
489.3498, 6.393051
489.8319, 6.267014
490.3140, 6.005222
490.7961, 5.814325
491.2783, 5.529634
491.7604, 5.486208
492.2425, 6.156282
492.7246, 7.116478
493.2067, 7.558422
493.6888, 7.198620
494.1710, 6.375799
494.6531, 5.557882
495.1352, 4.613338
495.6173, 4.168388
496.0994, 4.696148
496.5815, 5.189438
497.0637, 5.016769
497.5458, 4.435049
498.0279, 4.096111
498.5100, 4.389980
498.9921, 5.027578
499.4742, 5.297346
499.9564, 5.150192
500.4385, 4.743986
500.9206, 3.647556
501.4027, 2.656334
501.8848, 2.221006
502.3669, 2.363546
502.8491, 2.933371
503.3312, 4.168898
503.8133, 5.679052
504.2954, 6.320097
504.7775, 5.949039
505.2596, 5.343081
505.7418, 4.441010
506.2239, 3.780105
506.7060, 4.341795
507.1881, 6.601048
507.6702, 8.107922
508.1523, 6.880876
508.6345, 4.381842
509.1166, 3.186949
509.5987, 3.677457
510.0808, 4.341993
510.5629, 3.840972
511.0450, 2.340723
511.5272, 1.781971
512.0093, 3.056343
512.4914, 4.076806
512.9735, 3.910681
513.4556, 3.287136
513.9377, 3.210808
