##NAMES=Aminoffite
##RRUFFID=R100055
##IDEAL CHEMISTRY=Ca_3_(BeOH)_2_Si_3_O_10_
##LOCALITY=Langban, Filipstad, Varmland, Sweden
##OWNER=RRUFF
##SOURCE=William W Pinch
##DESCRIPTION=Colorless transparent tetragonal pyramids with basal terminations, co-type sample from Harvard
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100055
341.6750, 10.41534
342.1571, 9.627991
342.6392, 8.505432
343.1213, 6.939453
343.6034, 4.894714
344.0855, 4.516113
344.5677, 6.743042
345.0498, 10.20013
345.5319, 11.41040
346.0140, 10.32184
346.4961, 8.373169
346.9782, 6.046021
347.4604, 3.523743
347.9425, 1.765503
348.4246, 0.9199830
348.9067, 0.6922610
349.3888, 1.002563
349.8709, 1.734192
350.3531, 2.148315
350.8352, 1.331055
351.3173, 6.3842997E-02
351.7994, 0.2330320
352.2815, 2.023132
352.7636, 3.651855
353.2458, 2.524475
353.7279, 4.7791000E-02
354.2100, 1.195496
354.6921, 1.602417
355.1742, 5.343994
355.6563, 6.791443
356.1385, 6.085266
356.6206, 4.952698
357.1027, 3.986755
357.5848, 3.468872
358.0669, 3.873047
358.5490, 6.149780
359.0312, 8.119080
359.5133, 7.624390
359.9954, 5.541748
360.4775, 4.610352
360.9596, 7.864502
361.4417, 11.58246
361.9239, 13.08667
362.4060, 11.29199
362.8881, 9.239746
363.3702, 8.049561
363.8523, 7.320801
364.3344, 6.420288
364.8166, 4.662781
365.2987, 3.178345
365.7808, 2.528381
366.2629, 2.871887
366.7450, 3.111389
367.2271, 3.019226
367.7093, 2.791260
368.1914, 2.587402
368.6735, 2.925842
369.1556, 2.725098
369.6377, 1.117432
370.1198, 1.562073
370.6020, 2.372864
371.0841, 0.2855830
371.5662, 3.318970
372.0483, 5.026611
372.5304, 4.786743
373.0125, 4.404968
373.4947, 3.876953
373.9768, 3.231628
374.4589, 2.533569
374.9410, 1.739441
375.4231, 0.9970700
375.9052, 0.2787480
376.3874, 0.4810180
376.8695, 0.6008300
377.3516, 0.1423340
377.8337, 1.186035
378.3158, 1.840332
378.7979, 2.038940
379.2801, 2.396790
379.7622, 3.199219
380.2443, 4.288635
380.7264, 5.142883
381.2085, 5.773499
381.6906, 6.000427
382.1728, 5.373596
382.6549, 4.070313
383.1370, 3.110840
383.6191, 2.567200
384.1012, 2.632996
384.5833, 4.299866
385.0655, 7.274597
385.5476, 9.425842
386.0297, 8.933594
386.5118, 7.004761
386.9939, 5.821106
387.4760, 5.595642
387.9582, 5.808228
388.4403, 6.543335
388.9224, 7.337952
389.4045, 7.273621
389.8866, 5.440186
390.3687, 3.139099
390.8509, 0.6770630
391.3330, 1.908447
391.8151, 2.811279
392.2972, 0.9154050
392.7793, 5.907227
393.2614, 8.879150
393.7436, 7.910400
394.2257, 6.314453
394.7078, 4.881470
395.1899, 3.753540
395.6720, 3.116699
396.1541, 2.787598
396.6363, 3.168091
397.1184, 4.755005
397.6005, 8.312134
398.0826, 10.85498
398.5647, 11.18713
399.0468, 10.54785
399.5290, 10.42981
400.0111, 11.93750
400.4932, 12.86829
400.9753, 12.64062
401.4574, 11.25415
401.9395, 9.979736
402.4217, 8.344238
402.9038, 7.327515
403.3859, 7.665405
403.8680, 9.913208
404.3501, 12.24353
404.8322, 14.85950
405.3144, 17.29761
405.7965, 17.88025
406.2786, 15.96106
406.7607, 14.39172
407.2428, 14.48755
407.7249, 16.30225
408.2071, 18.84937
408.6892, 22.56372
409.1713, 25.78003
409.6534, 25.83618
410.1355, 22.90417
410.6176, 20.53174
411.0998, 19.89404
411.5819, 20.37402
412.0640, 20.60522
412.5461, 20.71460
413.0282, 20.71301
413.5103, 20.21094
413.9925, 19.64246
414.4746, 20.35596
414.9567, 23.20105
415.4388, 25.49817
415.9209, 23.66882
416.4030, 19.08289
416.8852, 15.13318
417.3673, 13.89563
417.8494, 13.72437
418.3315, 13.19641
418.8136, 12.22302
419.2957, 11.81433
419.7779, 10.59009
420.2600, 10.99280
420.7421, 15.47083
421.2242, 34.72754
421.7063, 47.77808
422.1884, 44.23267
422.6706, 28.22046
423.1527, 15.30981
423.6348, 10.78772
424.1169, 8.891846
424.5990, 6.980347
425.0811, 4.197021
425.5633, 2.985474
426.0454, 4.807129
426.5275, 7.652954
427.0096, 9.000732
427.4917, 7.885376
427.9738, 6.565918
428.4560, 5.304077
428.9381, 4.334473
429.4202, 4.518433
429.9023, 6.299927
430.3844, 8.313477
430.8665, 9.667480
431.3487, 10.40186
431.8308, 10.08020
432.3129, 8.342651
432.7950, 5.933105
433.2771, 4.359253
433.7592, 3.629272
434.2414, 3.187744
434.7235, 2.566895
435.2056, 2.027954
435.6877, 2.747559
436.1698, 4.778076
436.6519, 7.083984
437.1341, 8.958252
437.6162, 10.26453
438.0983, 10.66980
438.5804, 9.885376
439.0625, 8.559814
439.5446, 7.492065
440.0268, 6.676270
440.5089, 5.792847
440.9910, 3.949585
441.4731, 2.403320
441.9552, 2.806763
442.4373, 5.842651
442.9195, 7.985352
443.4016, 6.610962
443.8837, 3.584961
444.3658, 1.184448
444.8479, 0.4057620
445.3300, 2.0508001E-02
445.8122, 6.5186001E-02
446.2943, 5.7128999E-02
446.7764, 0.1883540
447.2585, 2.566162
447.7406, 4.044067
448.2227, 2.763184
448.7049, 4.275269
449.1870, 8.108154
449.6691, 7.424438
450.1512, 4.580078
450.6333, 2.142212
451.1154, 0.3291020
451.5976, 1.237183
452.0797, 0.5218510
452.5618, 4.676514
453.0439, 6.395752
453.5260, 4.702393
454.0081, 2.704834
454.4903, 3.614380
454.9724, 7.603638
455.4545, 9.551147
455.9366, 8.418701
456.4187, 5.777222
456.9008, 3.194580
457.3830, 0.9776610
457.8651, 1.385620
458.3472, 8.209961
458.8293, 17.52942
459.3114, 22.12244
459.7935, 21.90344
460.2757, 20.15833
460.7578, 18.36218
461.2399, 17.01111
461.7220, 16.90918
462.2041, 18.89685
462.6862, 21.10168
463.1684, 22.70825
463.6505, 23.63135
464.1326, 23.58411
464.6147, 19.82959
465.0968, 17.23035
465.5789, 19.39539
466.0611, 27.46765
466.5432, 32.92175
467.0253, 31.21191
467.5074, 27.64111
467.9895, 26.64832
468.4716, 31.68286
468.9538, 35.24817
469.4359, 36.54468
469.9180, 36.03772
470.4001, 35.10925
470.8822, 33.54834
471.3643, 32.02332
471.8465, 31.23364
472.3286, 31.49146
472.8107, 28.85327
473.2928, 22.36707
473.7749, 15.40210
474.2570, 11.94226
474.7392, 11.97229
475.2213, 12.55164
475.7034, 13.32507
476.1855, 13.94751
476.6676, 13.23767
477.1497, 11.39001
477.6319, 10.17407
478.1140, 11.45496
478.5961, 13.82251
479.0782, 14.96753
479.5603, 14.70068
480.0424, 13.49902
480.5246, 10.58936
481.0067, 7.303223
481.4888, 5.512817
481.9709, 6.444824
482.4530, 8.292114
482.9352, 11.07458
483.4173, 14.20032
483.8994, 15.78772
484.3815, 13.47034
484.8636, 10.84961
485.3457, 9.923950
485.8279, 11.60217
486.3100, 12.11755
486.7921, 9.745117
487.2742, 6.869751
487.7563, 5.700684
488.2384, 7.980957
488.7206, 8.873779
489.2027, 7.098145
489.6848, 3.671021
490.1669, 2.478149
490.6490, 4.273193
491.1311, 6.009888
491.6133, 5.972656
492.0954, 4.218384
492.5775, 3.303833
493.0596, 3.336304
493.5417, 3.752808
494.0238, 4.341309
494.5060, 4.939697
494.9881, 4.367432
495.4702, 1.523193
495.9523, 1.423706
496.4344, 0.9761960
496.9165, 2.173462
497.3987, 5.434937
497.8808, 7.836792
498.3629, 9.469482
498.8450, 10.43506
499.3271, 10.76001
499.8092, 10.23340
500.2914, 8.012329
500.7735, 5.243164
501.2556, 2.994263
501.7377, 0.6582030
502.2198, 0.1031490
502.7019, 1.808228
503.1841, 5.603271
503.6662, 9.172607
504.1483, 13.66748
504.6304, 16.60962
505.1125, 17.08215
505.5946, 15.08521
506.0768, 11.70142
506.5589, 5.863525
507.0410, 0.4111330
507.5231, 1.904419
508.0052, 0.5958250
508.4873, 0.6204830
508.9695, 1.521729
509.4516, 1.708374
509.9337, 0.3465580
510.4158, 4.513672
510.8979, 6.956055
511.3800, 4.855347
511.8622, 0.2639160
512.3443, 2.044922
512.8264, 2.154053
513.3085, 2.293091
513.7906, 4.697998
514.2728, 7.904785
514.7549, 10.07056
515.2370, 10.84204
515.7191, 10.57617
516.2012, 8.607666
516.6833, 5.971436
517.1655, 4.231689
517.6476, 5.040894
518.1297, 5.696289
518.6118, 5.039551
519.0939, 3.200562
519.5760, 1.828247
520.0582, 1.331665
520.5403, 1.197388
521.0224, 1.206421
521.5045, 1.404907
521.9866, 1.546021
522.4688, 1.415283
522.9509, 1.454834
523.4330, 2.317627
523.9151, 4.156738
524.3972, 5.869263
524.8793, 7.197998
525.3615, 8.194458
525.8436, 8.887573
526.3257, 9.314087
526.8078, 10.08533
527.2899, 12.07666
527.7720, 14.61877
528.2542, 16.03918
528.7363, 16.24133
529.2184, 16.13879
529.7005, 16.08215
530.1826, 16.28821
530.6647, 17.17468
531.1469, 19.51233
531.6290, 21.41748
532.1111, 21.33130
532.5932, 20.07092
533.0753, 19.25769
533.5574, 20.46570
534.0396, 21.10986
534.5217, 19.92126
535.0038, 16.70325
535.4859, 14.36548
535.9680, 13.16772
536.4501, 12.64819
536.9323, 12.68420
537.4144, 13.83826
537.8965, 13.92590
538.3786, 12.60828
538.8607, 10.65552
539.3428, 9.202515
539.8250, 8.316772
540.3071, 7.232300
540.7892, 5.288208
541.2713, 3.398438
541.7534, 4.392578
542.2355, 7.983765
542.7177, 11.20544
543.1998, 12.46997
543.6819, 12.15967
544.1640, 10.32031
544.6461, 6.864868
545.1282, 3.800415
545.6104, 2.695679
546.0925, 2.703003
546.5746, 2.862915
