##NAMES=Lavinskyite
##RRUFFID=R141115
##IDEAL CHEMISTRY=K(LiCu^2+^)Cu^2+^_6_(Si_4_O_11_)_2_(OH)_4_
##LOCALITY=Wessels mine, South Africa
##OWNER=RRUFF
##SOURCE=Jaco and Tania Janse van Nieuwenhuizen
##DESCRIPTION=Greenish blue or light blue platy crystals, associated with dark blue scottyite (R141116) and blue wesselsite (with cleavage)
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R141115
##MEASURED CHEMISTRY=(K_0.98_Sr_0.01_)_Σ=0.99_(Li_1.25_Cu_0.71_Na_0.08_)_Σ=2.04_Cu_6_(Si_4.03_O_11_)_2_(OH)_4_; (Lavinskyite is the dark grey material in the image, associated with light grey R141116 scottyite)
206.7857, 37.20830
207.2679, 37.58248
207.7500, 38.07585
208.2321, 39.31918
208.7142, 40.09690
209.1963, 39.67393
209.6784, 38.37960
210.1606, 37.11303
210.6427, 36.68009
211.1248, 37.17797
211.6069, 37.56808
212.0890, 38.08260
212.5711, 38.30165
213.0533, 37.83973
213.5354, 36.87118
214.0175, 35.96901
214.4996, 35.72833
214.9817, 36.34226
215.4638, 36.31126
215.9460, 34.90970
216.4281, 33.63181
216.9102, 33.48164
217.3923, 34.28529
217.8744, 34.97219
218.3565, 34.50608
218.8387, 32.69391
219.3208, 31.34727
219.8029, 30.41730
220.2850, 29.91375
220.7671, 30.15824
221.2492, 31.02973
221.7314, 31.73887
222.2135, 31.53584
222.6956, 30.33007
223.1777, 29.39709
223.6598, 28.77865
224.1419, 28.41700
224.6240, 28.26049
225.1062, 28.29997
225.5883, 28.67425
226.0704, 29.74343
226.5525, 31.16455
227.0346, 31.34842
227.5167, 28.91686
227.9989, 26.20499
228.4810, 25.52400
228.9631, 26.99483
229.4452, 28.80536
229.9273, 29.71706
230.4094, 29.91914
230.8916, 30.00113
231.3737, 30.17403
231.8558, 30.08394
232.3379, 29.09649
232.8200, 27.11852
233.3021, 25.69991
233.7843, 26.83151
234.2664, 28.96321
234.7485, 29.55213
235.2306, 26.84575
235.7127, 23.28376
236.1948, 22.53620
236.6770, 25.30004
237.1591, 27.95920
237.6412, 28.65451
238.1233, 28.19103
238.6054, 27.18635
239.0875, 25.52346
239.5697, 23.83230
240.0518, 23.32406
240.5339, 24.45809
241.0160, 25.39069
241.4981, 25.04736
241.9802, 24.25063
242.4624, 23.78572
242.9445, 23.94356
243.4266, 24.48477
243.9087, 25.10565
244.3908, 26.00981
244.8729, 26.38352
245.3550, 25.73350
245.8372, 24.61417
246.3193, 23.42426
246.8014, 22.29786
247.2835, 21.32508
247.7656, 20.61506
248.2477, 20.15487
248.7299, 20.00647
249.2120, 21.00187
249.6941, 21.81307
250.1762, 21.03259
250.6583, 18.30128
251.1404, 15.03657
251.6226, 13.74700
252.1047, 15.62096
252.5868, 16.76161
253.0689, 16.32666
253.5510, 15.49613
254.0331, 15.08662
254.5153, 15.31261
254.9974, 15.84513
255.4795, 16.30449
255.9616, 17.11323
256.4437, 16.75289
256.9258, 13.95230
257.4080, 11.11697
257.8901, 9.960258
258.3722, 10.71159
258.8543, 12.26761
259.3364, 13.19005
259.8185, 13.32371
260.3007, 13.17348
260.7828, 12.75673
261.2649, 12.09222
261.7470, 10.80389
262.2291, 9.088585
262.7112, 7.873617
263.1934, 8.388813
263.6755, 11.47506
264.1576, 13.22759
264.6397, 13.10406
265.1218, 12.38898
265.6039, 11.68334
266.0861, 11.06533
266.5682, 10.31887
267.0503, 9.154876
267.5324, 7.387701
268.0145, 6.483478
268.4966, 7.116619
268.9788, 7.813358
269.4609, 7.742286
269.9430, 7.031136
270.4251, 6.422478
270.9072, 6.617928
271.3893, 7.682728
271.8715, 7.584451
272.3536, 4.964337
272.8357, 2.769265
273.3178, 2.577749
273.7999, 3.909463
274.2820, 5.303099
274.7642, 5.803144
275.2463, 5.475384
275.7284, 5.161088
276.2105, 4.742458
276.6926, 4.456949
