##NAMES=Opal
##RRUFFID=X080017
##IDEAL CHEMISTRY=SiO_2_&#183;<i>n</i>H_2_O
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Polished Gilson cabachon, 1.58 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080017
289.5227, 12.00781
290.0048, 11.70703
290.4869, 12.88721
290.9691, 14.38110
291.4512, 13.69092
291.9333, 9.645996
292.4154, 7.290283
292.8975, 10.42505
293.3796, 14.33130
293.8618, 14.89624
294.3439, 11.08789
294.8260, 6.229980
295.3081, 4.604492
295.7902, 6.733154
296.2723, 9.640625
296.7545, 15.28906
297.2366, 19.82153
297.7187, 20.08740
298.2008, 16.19702
298.6829, 11.59229
299.1650, 9.739258
299.6472, 10.81274
300.1293, 12.73047
300.6114, 18.29980
301.0935, 21.95435
301.5756, 19.62378
302.0577, 12.74805
302.5399, 6.306885
303.0220, 4.375732
303.5041, 6.794922
303.9862, 9.996094
304.4683, 16.73145
304.9504, 20.88794
305.4326, 18.72607
305.9147, 12.72266
306.3968, 7.481934
306.8789, 5.993896
307.3610, 7.318359
307.8431, 7.280518
308.3253, 4.206055
308.8074, 2.516113
309.2895, 4.605957
309.7716, 8.150391
310.2537, 10.32300
310.7358, 9.803223
311.2180, 7.632324
311.7001, 6.057617
312.1822, 5.090576
312.6643, 4.607666
313.1464, 4.900635
313.6285, 5.358887
314.1107, 5.241699
314.5928, 4.381592
315.0749, 3.653320
315.5570, 4.757080
316.0391, 8.653564
316.5212, 10.79663
317.0034, 8.794678
317.4855, 6.392334
317.9676, 5.779053
318.4497, 7.021484
318.9318, 8.619873
319.4139, 9.106201
319.8961, 8.400391
320.3782, 7.562988
320.8603, 7.089111
321.3424, 6.007080
321.8245, 3.141602
322.3066, 0.6967770
322.7888, 3.667236
323.2709, 4.365234
323.7530, 2.994141
324.2351, 0.7524410
324.7172, 4.146729
325.1993, 7.289307
325.6815, 6.260986
326.1636, 3.113037
326.6457, 0.6750490
327.1278, 0.3957520
327.6099, 1.465088
328.0920, 1.985352
328.5742, 1.923584
329.0563, 1.287842
329.5384, 0.8923340
330.0205, 3.059814
330.5026, 3.618896
330.9847, 2.135742
331.4669, 7.4951001E-02
331.9490, 1.353271
332.4311, 1.714111
332.9132, 1.109375
333.3953, 1.502441
333.8774, 4.345703
334.3596, 6.870361
334.8417, 8.832275
335.3238, 9.632324
335.8059, 8.003906
336.2880, 3.888672
336.7701, 1.353516
337.2523, 2.018311
337.7344, 2.586182
338.2165, 0.8286130
338.6986, 2.221436
339.1807, 3.984863
339.6628, 2.265869
340.1450, 1.799072
340.6271, 3.885254
341.1092, 3.230469
341.5913, 1.996826
342.0735, 1.096191
342.5556, 0.1564940
343.0377, 1.510986
343.5198, 4.424561
344.0019, 7.363770
344.4840, 7.965088
344.9662, 5.498291
345.4483, 3.862549
345.9304, 5.527588
346.4125, 7.715332
346.8946, 8.392090
347.3767, 7.229004
347.8589, 5.635498
348.3410, 4.868408
348.8231, 4.803955
349.3052, 4.690186
349.7873, 4.334473
350.2694, 4.064697
350.7516, 4.086914
351.2337, 4.359131
351.7158, 4.778076
352.1979, 5.376953
352.6800, 6.059570
353.1621, 6.605469
353.6443, 7.160889
354.1264, 7.213135
354.6085, 5.991699
355.0906, 4.180908
355.5727, 2.889893
356.0548, 2.605713
356.5370, 2.868164
357.0191, 2.994385
357.5012, 2.948730
357.9833, 3.429443
358.4654, 5.548096
358.9475, 7.872070
359.4297, 8.559326
359.9118, 7.173828
360.3939, 5.468994
360.8760, 4.461182
361.3581, 4.161133
361.8402, 4.630127
362.3224, 6.151855
362.8045, 8.043457
363.2866, 9.857178
363.7687, 11.55151
364.2508, 12.45972
364.7329, 11.37769
365.2151, 9.612549
365.6972, 9.780273
366.1793, 12.44214
366.6614, 14.85864
367.1435, 14.79614
367.6256, 12.81152
368.1078, 10.64502
368.5899, 6.979004
369.0720, 4.470215
369.5541, 6.575928
370.0362, 12.51514
370.5183, 16.89258
371.0005, 16.70703
371.4826, 13.83252
371.9647, 12.65894
372.4468, 13.85547
372.9289, 14.89282
373.4110, 14.50488
373.8932, 13.34497
374.3753, 12.74268
374.8574, 13.09521
375.3395, 13.67725
375.8216, 13.63867
376.3037, 12.93921
376.7859, 11.80249
377.2680, 8.905762
377.7501, 6.463623
378.2322, 7.287598
378.7143, 11.05444
379.1964, 13.89502
379.6786, 12.43384
380.1607, 7.218018
380.6428, 5.116455
381.1249, 9.295898
381.6070, 12.96533
382.0891, 13.27954
382.5713, 11.42383
383.0534, 9.817139
383.5355, 9.537842
384.0176, 9.839600
384.4997, 8.999023
384.9818, 5.385254
385.4640, 3.386963
385.9461, 3.890137
386.4282, 5.543457
386.9103, 7.871094
387.3924, 10.38257
387.8745, 11.81543
388.3567, 10.69165
388.8388, 6.554443
389.3209, 4.157471
389.8030, 3.822021
390.2851, 4.401855
390.7672, 6.348877
391.2494, 8.699219
391.7315, 9.793945
392.2136, 8.623779
392.6957, 5.826172
393.1778, 3.872070
393.6599, 3.636230
394.1421, 3.491699
394.6242, 2.671143
395.1063, 1.883545
395.5884, 2.234619
396.0706, 3.987549
396.5527, 6.078613
397.0348, 6.546875
397.5169, 4.415527
397.9990, 4.371582
398.4811, 10.63086
398.9633, 15.42017
399.4454, 14.43677
399.9275, 9.228760
400.4096, 4.158691
400.8917, 2.203613
401.3738, 2.739746
401.8560, 3.340088
402.3381, 4.187256
402.8202, 4.764648
403.3023, 5.378418
403.7844, 5.487549
404.2665, 4.121826
404.7487, 0.8913570
405.2308, 2.425537
405.7129, 3.545410
406.1950, 2.391602
406.6771, 0.7834470
407.1592, 1.281006
407.6414, 3.442383
408.1235, 6.053711
408.6056, 8.787354
409.0877, 10.00684
409.5698, 7.425537
410.0519, 2.856934
410.5341, 0.5847170
411.0162, 1.001953
411.4983, 2.647705
411.9804, 6.296631
412.4625, 10.18188
412.9446, 10.96533
413.4268, 6.513184
413.9089, 1.540039
414.3910, 0.1813960
414.8731, 0.8776860
415.3552, 2.609131
415.8373, 4.611328
416.3195, 6.582031
416.8016, 8.063232
417.2837, 9.073975
417.7658, 9.889160
418.2479, 10.72583
418.7300, 11.33130
419.2122, 11.06421
419.6943, 9.929443
420.1764, 9.179199
420.6585, 9.775391
421.1406, 11.69482
421.6227, 14.15356
422.1049, 18.47729
422.5870, 21.83179
423.0691, 22.90430
423.5512, 22.27222
424.0333, 20.58960
424.5154, 18.06274
424.9976, 15.63208
425.4797, 15.21069
425.9618, 18.53662
426.4439, 20.45923
426.9260, 20.60571
427.4081, 19.73413
427.8903, 17.76978
428.3724, 15.13721
428.8545, 13.06030
429.3366, 12.59082
429.8187, 13.65747
430.3008, 14.72168
430.7830, 15.05713
431.2651, 16.27222
431.7472, 19.93848
432.2293, 24.12085
432.7114, 26.25903
433.1935, 25.44629
433.6757, 23.30225
434.1578, 22.45630
434.6399, 23.18359
435.1220, 24.15942
435.6041, 25.57349
436.0862, 26.92749
436.5684, 27.88550
437.0505, 28.52710
437.5326, 29.24048
438.0147, 30.62329
438.4968, 32.18213
438.9789, 31.74609
439.4611, 28.05981
439.9432, 25.57935
440.4253, 28.17090
440.9074, 32.00122
441.3895, 32.70264
441.8716, 28.96191
442.3538, 24.53369
442.8359, 22.50806
443.3180, 22.66040
443.8001, 24.09131
444.2822, 27.27319
444.7643, 30.53125
445.2465, 32.20361
445.7286, 32.55566
446.2107, 32.46143
446.6928, 31.58228
447.1749, 30.74805
447.6570, 30.92773
448.1392, 32.05737
448.6213, 33.41064
449.1034, 34.76172
449.5855, 35.95435
450.0677, 36.56421
450.5498, 36.64209
451.0319, 36.18066
451.5140, 34.64868
451.9961, 32.80542
452.4782, 31.61108
452.9604, 31.23315
453.4425, 31.29370
453.9246, 31.48071
454.4067, 31.85742
454.8888, 31.55054
455.3709, 30.12134
455.8531, 28.62622
456.3352, 26.76318
456.8173, 25.27344
457.2994, 25.58936
457.7815, 28.40845
458.2636, 32.37158
458.7458, 34.54053
459.2279, 33.99927
459.7100, 33.43237
460.1921, 32.47095
460.6742, 31.91016
461.1563, 32.77930
461.6385, 34.61133
462.1206, 35.60303
462.6027, 33.63599
463.0848, 29.76392
463.5669, 30.41895
464.0490, 38.96167
464.5312, 45.57251
465.0133, 45.36963
465.4954, 42.30078
465.9775, 40.19287
466.4596, 39.91699
466.9417, 40.22192
467.4239, 39.78003
467.9060, 38.77246
468.3881, 38.65698
468.8702, 40.26147
469.3523, 41.56494
469.8344, 40.42065
470.3166, 37.58374
470.7987, 35.14795
471.2808, 33.64233
471.7629, 32.77881
472.2450, 32.37378
472.7271, 32.44458
473.2093, 33.11450
473.6914, 34.64185
474.1735, 36.46167
474.6556, 37.41553
475.1377, 37.41870
475.6198, 37.02441
476.1020, 36.10864
476.5841, 34.95288
477.0662, 33.46606
477.5483, 31.86646
478.0304, 31.01685
478.5125, 31.57373
478.9947, 33.29932
479.4768, 34.75903
479.9589, 34.56323
480.4410, 35.55322
480.9231, 39.58911
481.4052, 44.48682
481.8874, 47.87622
482.3695, 49.17334
482.8516, 49.43042
483.3337, 49.77393
483.8158, 50.13574
484.2979, 51.75610
484.7801, 57.29443
485.2622, 61.23926
485.7443, 59.93579
486.2264, 56.08130
486.7085, 54.00024
487.1906, 55.65063
487.6728, 59.20923
488.1549, 62.50171
488.6370, 65.64551
489.1191, 67.11572
489.6012, 65.51123
490.0833, 63.31226
490.5655, 63.48657
491.0476, 65.50098
491.5297, 65.68555
492.0118, 60.82959
492.4939, 54.31128
492.9760, 50.16382
493.4582, 48.62915
493.9403, 48.58057
494.4224, 49.79175
494.9045, 51.77466
495.3866, 53.36206
495.8687, 54.66602
496.3509, 55.40723
496.8330, 55.17969
497.3151, 54.54150
497.7972, 54.41211
498.2793, 54.72046
498.7614, 54.12134
499.2436, 51.24780
499.7257, 46.32959
500.2078, 43.12036
500.6899, 43.55859
501.1720, 43.34058
501.6541, 41.03271
502.1363, 38.07349
502.6184, 35.99072
503.1005, 35.21045
503.5826, 35.14893
504.0647, 35.40356
504.5468, 36.14062
505.0290, 35.56958
505.5111, 32.69287
505.9932, 29.71851
506.4753, 27.30811
506.9575, 25.43555
507.4396, 24.09375
507.9217, 23.38477
508.4038, 22.93896
508.8859, 22.69019
509.3680, 22.55591
509.8502, 21.01172
510.3323, 16.87329
510.8144, 12.53906
511.2965, 10.19141
511.7786, 9.642090
512.2607, 10.22876
512.7429, 13.33472
513.2250, 16.27881
513.7071, 16.66455
514.1892, 14.80127
514.6713, 11.80762
515.1534, 7.775879
515.6356, 4.026855
516.1177, 3.367432
516.5998, 7.986084
517.0819, 10.78735
517.5640, 10.70142
518.0461, 9.509277
518.5283, 8.154785
519.0104, 6.768066
519.4925, 5.261230
519.9746, 3.550781
520.4567, 1.751465
520.9388, 0.2177730
521.4210, 1.364258
521.9031, 2.074463
522.3852, 1.259033
522.8673, 0.1130370
523.3494, 0.5131840
523.8315, 0.6037600
524.3137, 0.6757810
524.7958, 1.113770
525.2779, 1.818359
525.7600, 2.647705
526.2421, 3.762695
526.7242, 4.485107
527.2064, 4.279053
527.6885, 3.604248
528.1706, 3.016357
528.6527, 2.573975
529.1348, 2.212646
529.6169, 1.955078
530.0991, 1.736328
530.5812, 1.328857
531.0633, 0.7224120
531.5454, 0.3857420
532.0275, 0.7058110
532.5096, 1.593506
532.9918, 2.466309
533.4739, 4.198364
533.9560, 4.806519
534.4381, 3.276245
534.9202, 0.7756350
535.4023, 1.908936
535.8845, 4.373901
536.3666, 5.771606
536.8487, 4.897217
537.3308, 1.763672
537.8129, 0.4468990
538.2950, 3.023560
538.7772, 4.701294
539.2593, 3.999023
539.7414, 2.133423
540.2235, 6.9579999E-03
540.7056, 2.122192
541.1877, 3.327393
541.6699, 1.794922
542.1520, 1.856445
542.6341, 2.953491
543.1162, 0.1265870
543.5983, 2.717896
544.0804, 2.343506
544.5626, 0.3732910
545.0447, 9.5210001E-03
545.5268, 2.560181
546.0089, 4.970825
546.4910, 5.217651
546.9731, 4.052734
547.4553, 3.001343
547.9374, 2.374023
548.4195, 1.472534
548.9016, 0.7408450
549.3837, 4.361206
549.8658, 5.125366
550.3480, 0.1832280
550.8301, 3.678345
551.3122, 3.679199
551.7943, 2.007568
552.2764, 1.368774
552.7585, 2.462891
553.2407, 4.168335
553.7228, 5.269775
554.2049, 5.765747
554.6870, 5.714966
555.1691, 4.325317
555.6512, 3.501831
556.1334, 4.691162
556.6155, 6.496582
557.0976, 6.876465
557.5797, 5.120239
558.0618, 3.209961
558.5439, 2.766968
559.0261, 3.636719
559.5082, 5.567017
559.9903, 8.866577
560.4724, 11.70276
560.9545, 12.51050
561.4366, 11.57532
561.9188, 10.78381
562.4009, 10.58569
562.8830, 10.02417
563.3651, 7.730469
563.8472, 5.275146
564.3293, 5.262451
564.8115, 8.038452
565.2936, 11.33850
565.7757, 12.97852
566.2578, 12.95435
566.7399, 12.25281
567.2220, 9.310913
567.7042, 7.617188
568.1863, 8.589111
568.6684, 10.60693
569.1505, 12.02454
569.6326, 12.51892
570.1147, 12.99255
570.5969, 14.52222
571.0790, 16.87207
571.5611, 18.65991
572.0432, 19.88501
572.5253, 20.43445
573.0074, 19.81946
573.4896, 18.67505
573.9717, 18.07117
574.4538, 18.43787
574.9359, 18.22241
575.4180, 15.62756
575.9001, 12.51208
576.3823, 11.85291
576.8644, 13.78845
577.3465, 15.91321
577.8286, 16.46887
578.3107, 15.84607
578.7928, 15.98474
579.2750, 17.41443
579.7571, 18.83313
580.2392, 21.17285
580.7213, 22.93298
581.2034, 21.96814
581.6855, 18.88245
582.1677, 16.84424
582.6498, 18.75488
583.1319, 23.00977
583.6140, 23.55640
584.0961, 18.95569
584.5782, 15.56250
585.0604, 15.88672
585.5425, 17.50659
586.0246, 18.49219
586.5067, 18.81750
586.9889, 19.17249
587.4710, 20.03503
587.9531, 20.98401
588.4352, 21.45007
588.9174, 21.51721
589.3995, 21.53870
589.8816, 21.55591
590.3637, 22.05859
590.8458, 24.15588
591.3279, 29.39563
591.8101, 31.58533
592.2922, 27.71057
592.7743, 23.72913
593.2564, 22.87024
593.7385, 24.12634
594.2206, 25.50354
594.7028, 26.21545
595.1849, 26.16541
595.6670, 24.25391
596.1491, 19.69031
596.6312, 17.15894
597.1133, 17.79272
597.5955, 19.89819
598.0776, 23.71631
598.5597, 27.92944
599.0418, 29.96008
599.5239, 28.57751
600.0060, 25.93616
600.4882, 23.20020
600.9703, 21.02722
601.4524, 20.76660
601.9345, 22.71033
602.4166, 24.36108
602.8987, 23.25757
603.3809, 19.78613
603.8630, 18.59521
604.3451, 21.07483
604.8272, 23.60767
605.3093, 26.47375
605.7914, 28.49695
606.2736, 27.89929
606.7557, 24.82861
607.2378, 21.62573
607.7199, 20.83923
608.2020, 22.06689
608.6841, 20.95129
609.1663, 16.03711
609.6484, 12.60938
610.1305, 13.59583
610.6126, 15.84717
611.0947, 16.44617
611.5768, 15.38538
612.0590, 15.03870
612.5411, 17.65808
613.0232, 20.64111
613.5053, 20.82532
613.9874, 18.63867
614.4695, 16.20312
614.9517, 14.28955
615.4338, 12.82812
615.9159, 11.69971
616.3980, 10.95972
616.8801, 10.50708
617.3622, 9.941406
617.8444, 10.05103
618.3265, 11.92151
618.8086, 14.39282
619.2907, 15.72437
619.7728, 15.27783
620.2549, 13.72791
620.7371, 11.44299
621.2192, 8.485718
621.7013, 6.867798
622.1834, 7.074707
622.6655, 7.831909
623.1476, 8.814575
623.6298, 9.870483
624.1119, 10.79297
624.5940, 11.63208
625.0761, 12.09644
625.5582, 12.10107
626.0403, 11.67944
626.5225, 10.43604
627.0046, 8.591431
627.4867, 7.580444
627.9688, 8.426758
628.4509, 10.48779
628.9330, 11.71191
629.4152, 12.36560
629.8973, 11.65137
630.3794, 7.703247
630.8615, 4.429688
631.3436, 4.507080
631.8257, 6.758667
632.3079, 8.276978
632.7900, 7.612793
633.2721, 6.263672
633.7542, 6.133667
634.2363, 7.150146
634.7184, 8.700684
635.2006, 10.85889
635.6827, 12.85291
636.1648, 14.38684
636.6469, 15.42554
637.1290, 15.71057
637.6111, 13.84644
638.0933, 12.56470
638.5754, 13.16870
639.0575, 14.67505
639.5396, 16.14771
640.0217, 17.33008
640.5038, 18.19214
640.9860, 18.69141
641.4681, 18.85339
641.9502, 18.69543
642.4323, 17.43640
642.9144, 17.56372
643.3965, 21.77612
643.8787, 25.82727
644.3608, 26.79114
644.8429, 24.92334
645.3250, 22.16821
645.8071, 17.98926
646.2892, 14.47461
646.7714, 14.59314
647.2535, 17.25708
647.7356, 18.87341
648.2177, 18.40027
648.6998, 16.99707
649.1819, 15.82898
649.6641, 14.89136
650.1462, 14.49341
650.6283, 15.12097
651.1104, 15.66235
651.5925, 16.38281
652.0746, 16.63977
652.5568, 15.35303
653.0389, 12.65735
653.5210, 10.25757
654.0031, 9.543335
654.4852, 10.11377
654.9673, 11.12781
655.4495, 12.68481
655.9316, 13.60596
656.4137, 13.28784
656.8958, 12.36377
657.3779, 11.30188
657.8600, 10.08655
658.3422, 10.01135
658.8243, 13.06384
659.3064, 15.43152
659.7885, 14.07117
660.2706, 10.93054
660.7527, 9.543823
661.2349, 10.80933
661.7170, 12.35571
662.1991, 11.17188
662.6812, 7.451172
663.1633, 6.222534
663.6454, 9.010498
664.1276, 11.26782
664.6097, 11.07434
665.0918, 9.983154
665.5739, 9.095215
666.0560, 8.517090
666.5381, 8.442139
667.0203, 9.442993
667.5024, 10.58630
667.9845, 11.00610
668.4666, 10.72595
668.9487, 9.695679
669.4308, 7.844482
669.9130, 5.953003
670.3951, 5.072144
670.8772, 5.325928
671.3593, 5.645264
671.8414, 6.188843
672.3235, 6.619141
672.8057, 6.957764
673.2878, 7.124634
673.7699, 7.160034
674.2520, 7.026978
674.7341, 6.355591
675.2162, 4.185669
675.6984, 1.522095
676.1805, 0.5485840
676.6626, 1.217651
677.1447, 2.467773
677.6268, 4.254517
678.1089, 5.551025
678.5911, 4.512939
679.0732, 0.3188480
679.5553, 1.377686
680.0374, 1.665405
680.5195, 4.562134
681.0016, 5.142212
681.4838, 4.692627
681.9659, 5.067261
682.4480, 6.586548
682.9301, 7.946777
683.4122, 7.855347
683.8943, 6.619629
684.3765, 5.225708
684.8586, 3.528320
685.3407, 2.711304
685.8228, 3.816528
686.3049, 5.268677
686.7870, 5.020508
687.2692, 3.153198
687.7513, 0.9060060
688.2334, 3.021606
688.7155, 5.732544
689.1976, 4.884399
689.6797, 2.061523
690.1619, 0.6888430
690.6440, 2.649902
691.1261, 3.363525
691.6082, 2.007080
692.0903, 0.9162600
692.5724, 2.003906
693.0546, 0.3906250
693.5367, 0.6381840
694.0188, 0.7884520
694.5009, 2.287842
694.9830, 1.151611
695.4651, 2.201782
695.9473, 4.314941
696.4294, 3.092773
696.9116, 1.442261
697.3937, 1.673218
697.8758, 2.803589
698.3579, 2.572510
698.8400, 0.6458740
699.3221, 0.8067630
699.8043, 0.4331050
700.2864, 3.920532
700.7685, 6.249146
701.2506, 7.139893
701.7327, 7.425781
702.2148, 6.619019
702.6970, 5.756836
703.1791, 5.874878
703.6612, 6.690552
