##NAMES=Gadolinite-(Y)
##RRUFFID=R080129
##IDEAL CHEMISTRY=Fe^2+^Be_2_Y^3+^_2_(SiO_4_)_2_O_2_
##LOCALITY=Ytterøya mine, Røvika, Ytterøya (island), Levanger, Nord-Trøndelag, Norway
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Reddish-brown fragment from metamict sample R070340, after heating at T = 1000 C for 23 hours
##STATUS=The identification of this mineral has been confirmed only by X-ray diffraction
##URL=rruff.info/R080129
493.9403, 374.8746
494.4224, 370.9326
494.9045, 366.1641
495.3866, 361.2382
495.8687, 356.4480
496.3509, 350.9277
496.8330, 343.6097
497.3151, 335.8755
497.7972, 329.5789
498.2793, 324.8293
498.7614, 320.1329
499.2436, 314.2385
499.7257, 307.1433
500.2078, 299.2363
500.6899, 289.7727
501.1720, 280.4495
501.6541, 271.4365
502.1363, 262.7426
502.6184, 254.3965
503.1005, 246.3774
503.5826, 238.4143
504.0647, 230.1964
504.5468, 221.6692
505.0290, 213.5295
505.5111, 206.0793
505.9932, 198.6204
506.4753, 190.9457
506.9575, 183.1067
507.4396, 175.1138
507.9217, 166.8822
508.4038, 158.8248
508.8859, 151.6376
509.3680, 145.2545
509.8502, 138.8130
510.3323, 132.1145
510.8144, 125.2828
511.2965, 118.1575
511.7786, 110.8855
512.2607, 104.1281
512.7429, 98.29041
513.2250, 92.85889
513.7071, 87.34766
514.1892, 81.80579
514.6713, 76.35645
515.1534, 70.98035
515.6356, 65.86121
516.1177, 61.41797
516.5998, 58.10815
517.0819, 54.35217
517.5640, 49.78967
518.0461, 45.04297
518.5283, 40.20508
519.0104, 35.52209
519.4925, 31.68909
519.9746, 29.24890
520.4567, 27.73450
520.9388, 25.30396
521.4210, 20.94385
521.9031, 17.57324
522.3852, 15.99744
522.8673, 15.01392
523.3494, 13.94775
523.8315, 12.67114
524.3137, 11.21582
524.7958, 9.581665
525.2779, 7.798828
525.7600, 5.945435
526.2421, 3.909058
526.7242, 2.221924
527.2064, 0.9987790
527.6885, 0.3688960
528.1706, 0.7192380
528.6527, 2.335205
529.1348, 3.521606
529.6169, 2.894897
530.0991, 1.470093
530.5812, 1.010376
531.0633, 1.721436
531.5454, 2.548828
532.0275, 2.673828
532.5096, 2.246948
532.9918, 2.340942
533.4739, 3.388794
533.9560, 4.318604
534.4381, 4.558228
534.9202, 4.755737
535.4023, 5.720093
535.8845, 7.537354
536.3666, 9.592285
536.8487, 11.28528
537.3308, 12.61804
537.8129, 13.81641
538.2950, 14.61267
538.7772, 15.62561
539.2593, 17.24023
539.7414, 19.00073
540.2235, 20.29590
540.7056, 20.99084
541.1877, 21.76123
541.6699, 23.39160
542.1520, 25.75427
542.6341, 28.04517
543.1162, 30.32410
543.5983, 32.23254
544.0804, 33.15295
544.5626, 33.61157
545.0447, 34.61914
545.5268, 36.53418
546.0089, 38.58447
546.4910, 40.69336
546.9731, 42.55017
547.4553, 43.25696
547.9374, 42.61035
548.4195, 41.99353
548.9016, 42.80835
549.3837, 45.08997
549.8658, 46.99109
550.3480, 48.59082
550.8301, 49.79944
551.3122, 50.24219
551.7943, 50.43640
552.2764, 51.04260
552.7585, 52.21741
553.2407, 53.57263
553.7228, 54.57446
554.2049, 55.17090
554.6870, 56.39282
555.1691, 59.17358
555.6512, 61.22095
556.1334, 60.92371
556.6155, 59.82129
557.0976, 60.04187
557.5797, 62.27307
558.0618, 64.87366
558.5439, 66.34363
559.0261, 66.95178
559.5082, 67.70398
559.9903, 68.75122
560.4724, 69.74426
560.9545, 70.37170
561.4366, 70.71887
561.9188, 71.24426
562.4009, 72.12122
562.8830, 73.07397
563.3651, 74.05054
563.8472, 75.00476
564.3293, 75.61646
564.8115, 75.83276
565.2936, 76.40967
565.7757, 78.35278
566.2578, 81.71191
566.7399, 84.04663
567.2220, 83.95276
567.7042, 84.19507
568.1863, 85.57385
568.6684, 87.36340
569.1505, 88.95459
569.6326, 90.22534
570.1147, 91.24731
570.5969, 91.84033
571.0790, 92.13086
571.5611, 93.09412
572.0432, 95.00769
572.5253, 96.67285
573.0074, 97.26501
573.4896, 97.28845
573.9717, 97.46362
574.4538, 97.88196
574.9359, 98.43396
575.4180, 99.15247
575.9001, 100.0040
576.3823, 101.0094
576.8644, 102.1034
577.3465, 102.8666
577.8286, 102.9148
578.3107, 102.4591
578.7928, 102.2603
579.2750, 102.8076
579.7571, 102.9924
580.2392, 102.5249
580.7213, 101.8408
581.2034, 101.1639
581.6855, 100.5868
582.1677, 100.2139
582.6498, 100.2623
583.1319, 100.4445
583.6140, 99.68604
584.0961, 97.63611
584.5782, 95.78296
585.0604, 94.30090
585.5425, 93.37610
586.0246, 93.49158
586.5067, 94.52930
586.9889, 95.13867
587.4710, 94.73865
587.9531, 93.61432
588.4352, 91.72656
588.9174, 89.28534
589.3995, 87.41675
589.8816, 86.71765
590.3637, 86.53009
590.8458, 85.65503
591.3279, 83.68036
591.8101, 82.18304
592.2922, 81.47028
592.7743, 80.90686
593.2564, 80.25378
593.7385, 79.48212
594.2206, 78.66864
594.7028, 77.85950
595.1849, 76.83173
595.6670, 75.04504
596.1491, 72.30774
596.6312, 70.27637
597.1133, 69.45941
597.5955, 68.81750
598.0776, 67.75372
598.5597, 66.45807
599.0418, 65.34937
599.5239, 64.73175
600.0060, 63.86810
600.4882, 61.90656
600.9703, 59.28595
601.4524, 57.00732
601.9345, 55.27148
602.4166, 53.87366
602.8987, 52.78265
603.3809, 51.93341
603.8630, 50.57391
604.3451, 48.24725
604.8272, 46.03833
605.3093, 44.25116
605.7914, 42.60468
606.2736, 40.82678
606.7557, 38.87054
607.2378, 36.78351
607.7199, 34.55396
608.2020, 32.22620
608.6841, 30.10840
609.1663, 28.34570
609.6484, 26.38403
610.1305, 23.62360
610.6126, 20.91058
611.0947, 19.15186
611.5768, 18.31934
612.0590, 17.28046
612.5411, 15.29108
613.0232, 13.00983
613.5053, 11.18365
613.9874, 9.758118
614.4695, 8.287048
614.9517, 6.551392
615.4338, 4.754395
615.9159, 3.139709
616.3980, 1.592468
616.8801, 0.7165530
617.3622, 0.9979860
617.8444, 1.319458
618.3265, 1.377747
618.8086, 1.095093
619.2907, 0.3517460
619.7728, 0.9016720
620.2549, 2.337280
620.7371, 3.726257
