##NAMES=Katoite
##RRUFFID=R070646
##IDEAL CHEMISTRY=Ca_3_Al_2_(OH)_12_
##LOCALITY=Synthetic
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=White to colorless powder mixed with small trapezohedral crystals, sample from Lager et al (2002) study.
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070646
332.3625, 446.8901
332.8447, 442.6281
333.3268, 437.0037
333.8089, 429.3243
334.2910, 421.8861
334.7731, 414.9711
335.2552, 408.3376
335.7374, 400.9614
336.2195, 392.4669
336.7016, 383.7228
337.1837, 375.0942
337.6658, 366.6882
338.1479, 358.2154
338.6301, 349.6818
339.1122, 341.1242
339.5943, 332.7177
340.0764, 324.5999
340.5585, 316.3516
341.0406, 307.9299
341.5228, 299.2034
342.0049, 290.5049
342.4870, 281.7400
342.9691, 273.0519
343.4512, 264.8116
343.9333, 256.9819
344.4155, 249.2026
344.8976, 241.3638
345.3797, 233.4675
345.8618, 226.2564
346.3439, 219.8021
346.8260, 213.2213
347.3082, 205.0737
347.7903, 195.7014
348.2724, 187.1904
348.7545, 180.0966
349.2366, 174.1339
349.7188, 169.2512
350.2009, 165.3217
350.6830, 160.9893
351.1651, 154.5839
351.6472, 147.0331
352.1293, 140.7025
352.6115, 136.2428
353.0936, 132.5709
353.5757, 128.6840
354.0578, 124.5861
354.5399, 120.2473
355.0220, 115.5285
355.5042, 110.6012
355.9863, 105.4904
356.4684, 100.1285
356.9505, 95.42657
357.4326, 92.36322
357.9147, 90.39880
358.3969, 88.66754
358.8790, 87.47522
359.3611, 85.86713
359.8432, 82.59949
360.3253, 77.75995
360.8074, 73.80518
361.2896, 72.52222
361.7717, 72.42450
362.2538, 72.17249
362.7359, 71.97528
363.2180, 70.93103
363.7001, 68.01904
364.1823, 63.80823
364.6644, 60.43726
365.1465, 59.02612
365.6286, 58.25031
366.1107, 57.41614
366.5928, 56.29083
367.0750, 55.54254
367.5571, 55.21594
368.0392, 55.23492
368.5213, 55.55841
369.0034, 55.85150
369.4855, 56.68182
369.9677, 58.60474
370.4498, 62.10730
370.9319, 64.26971
371.4140, 63.96600
371.8961, 62.93835
372.3782, 62.94305
372.8604, 64.70929
373.3425, 66.19312
373.8246, 66.80768
374.3067, 66.73242
374.7888, 67.72040
375.2709, 70.34937
375.7531, 73.08948
376.2352, 75.06628
376.7173, 76.21436
377.1994, 77.29193
377.6815, 78.09436
378.1636, 78.87091
378.6458, 80.67938
379.1279, 83.89325
379.6100, 86.43311
380.0921, 86.75684
380.5742, 84.99567
381.0563, 84.88458
381.5385, 86.56140
382.0206, 89.21820
382.5027, 92.35132
382.9848, 95.83734
383.4669, 98.35126
383.9490, 99.16974
384.4312, 98.89008
384.9133, 98.82629
385.3954, 98.97864
385.8775, 99.21252
386.3596, 99.58704
386.8417, 99.97321
387.3239, 99.99817
387.8060, 99.39984
388.2881, 98.75104
388.7702, 98.98260
389.2523, 99.76965
389.7344, 100.0596
390.2166, 98.91998
390.6987, 97.18915
391.1808, 95.65247
391.6629, 94.38922
392.1450, 93.21045
392.6271, 92.12738
393.1093, 91.03101
393.5914, 89.78412
394.0735, 88.53046
394.5556, 86.94434
395.0377, 84.28534
395.5198, 80.76752
396.0020, 78.56207
396.4841, 80.44043
396.9662, 82.58905
397.4483, 82.43854
397.9304, 77.73749
398.4125, 73.23584
398.8947, 69.18079
399.3768, 65.77826
399.8589, 63.54498
400.3410, 63.80005
400.8231, 64.00250
401.3052, 63.21405
401.7874, 60.92487
402.2695, 59.64917
402.7516, 60.23718
403.2337, 61.19830
403.7158, 60.88727
404.1979, 59.01843
404.6800, 56.38544
405.1621, 52.59576
405.6443, 48.00427
406.1264, 45.63007
406.6085, 46.25665
407.0906, 47.02332
407.5727, 45.57800
408.0548, 41.65271
408.5370, 39.08716
409.0191, 38.63580
409.5012, 38.99646
409.9833, 37.54260
410.4654, 34.29089
410.9475, 31.47620
411.4297, 30.69440
411.9118, 31.22992
412.3939, 30.35443
412.8760, 27.97131
413.3581, 25.55286
413.8402, 24.95020
414.3224, 25.44763
414.8045, 25.21600
415.2866, 23.47363
415.7687, 21.08533
416.2508, 18.96399
416.7329, 17.05292
417.2151, 15.05597
417.6972, 12.37939
418.1793, 9.748352
418.6614, 7.760742
419.1435, 6.483826
419.6256, 6.027527
420.1078, 7.126892
420.5899, 8.941040
421.0720, 10.27850
421.5541, 11.04486
422.0362, 10.93457
422.5183, 9.544189
423.0005, 6.900879
423.4826, 4.247986
423.9647, 1.445313
424.4468, 1.002686
424.9289, 2.720032
425.4110, 3.311218
425.8932, 3.643127
426.3753, 3.483337
426.8574, 3.114746
427.3395, 3.225586
427.8216, 4.251709
428.3037, 5.199219
428.7859, 5.727173
429.2680, 5.779724
429.7501, 5.858582
430.2322, 6.004883
430.7143, 6.133484
431.1964, 6.131348
431.6786, 5.963623
432.1607, 5.777039
432.6428, 5.392761
433.1249, 5.110046
433.6070, 6.250427
434.0891, 8.953308
434.5713, 11.39441
435.0534, 12.12317
435.5355, 11.49133
436.0176, 11.20569
436.4997, 11.43042
436.9818, 11.81323
437.4640, 12.03802
437.9461, 12.08087
438.4282, 11.87311
438.9103, 11.32617
439.3924, 10.55530
