##NAMES=Zincolibethenite
##RRUFFID=R060763
##IDEAL CHEMISTRY=Cu^2+^Zn^2+^P^5+^O_4_(OH)
##LOCALITY=Kabwe mine, Kabwe, Zambia
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale greenish-blue botryoidal groups of radiating crystals, associated with colorless tarbuttite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R060763
301.2805, 4.531845
301.7627, 2.917160
302.2448, 2.635910
302.7269, 3.956894
303.2090, 6.286377
303.6911, 7.813446
304.1732, 8.370972
304.6554, 8.524902
305.1375, 8.398010
305.6196, 8.057953
306.1017, 7.756302
306.5838, 7.705200
307.0659, 7.506195
307.5481, 6.060913
308.0302, 2.819122
308.5123, 0.6153410
308.9944, 1.109314
309.4765, 3.070526
309.9586, 4.487106
310.4408, 4.854553
310.9229, 4.526886
311.4050, 3.631287
311.8871, 2.087860
312.3692, 1.291336
312.8513, 2.259750
313.3335, 3.775040
313.8156, 4.412750
314.2977, 3.960770
314.7798, 2.977844
315.2619, 1.662155
315.7440, 0.1029970
316.2262, 0.5870510
316.7083, 0.5515590
317.1904, 1.985657
317.6725, 2.408676
318.1546, 1.823624
318.6367, 1.050232
319.1188, 0.6564480
319.6010, 0.5069430
320.0831, 4.5837000E-02
320.5652, 1.656082
321.0473, 3.021378
321.5294, 3.355743
322.0115, 2.824753
322.4937, 1.982498
322.9758, 1.004211
323.4579, 4.0587999E-02
323.9400, 1.084564
324.4221, 2.197388
324.9042, 2.952927
325.3864, 3.127609
325.8685, 2.895767
326.3506, 2.554108
326.8327, 2.222397
327.3148, 1.765427
327.7969, 0.6307830
328.2791, 1.561600
328.7612, 2.265060
329.2433, 0.5987700
329.7254, 4.449936
330.2075, 5.844452
330.6896, 4.185684
331.1718, 2.290039
331.6539, 3.295563
332.1360, 7.492142
332.6181, 9.979263
333.1002, 9.483673
333.5823, 8.071625
334.0645, 6.846970
334.5466, 5.983673
335.0287, 5.822815
335.5108, 6.756165
335.9929, 8.633545
336.4750, 10.16724
336.9572, 11.06487
337.4393, 11.97089
337.9214, 13.53731
338.4035, 15.38971
338.8856, 16.43092
339.3677, 15.98111
339.8499, 14.59406
340.3320, 13.69217
340.8141, 13.06546
341.2962, 13.20636
341.7783, 14.91121
342.2604, 17.16547
342.7426, 18.50948
343.2247, 18.52521
343.7068, 18.32263
344.1889, 19.56030
344.6710, 23.28065
345.1531, 25.02951
345.6353, 22.74113
346.1174, 19.89845
346.5995, 19.56732
347.0816, 21.74774
347.5637, 23.98338
348.0458, 23.98619
348.5280, 21.68408
349.0101, 20.31868
349.4922, 20.22401
349.9743, 20.35643
350.4564, 20.44888
350.9385, 20.51045
351.4207, 20.34825
351.9028, 19.62128
352.3849, 18.53368
352.8670, 17.95293
353.3491, 18.17006
353.8312, 18.56819
354.3134, 19.43935
354.7955, 20.29797
355.2776, 20.53535
355.7597, 19.95041
356.2418, 18.89261
356.7239, 17.95346
357.2061, 17.37204
357.6882, 16.38730
358.1703, 14.75665
358.6524, 12.92838
359.1345, 10.82350
359.6166, 8.681076
360.0987, 7.364471
360.5808, 7.883286
361.0630, 10.53415
361.5451, 12.19652
362.0272, 12.32487
362.5093, 12.08162
362.9914, 11.84958
363.4735, 11.53047
363.9557, 10.88171
364.4378, 9.753143
364.9199, 8.188477
365.4020, 6.285431
365.8841, 2.831024
366.3662, 0.8124390
366.8484, 1.061371
367.3305, 2.589401
367.8126, 4.959030
368.2947, 7.874283
368.7768, 10.29552
369.2589, 10.17274
369.7411, 5.859390
370.2232, 3.508514
370.7053, 4.705109
371.1874, 6.626221
371.6695, 8.244034
372.1516, 9.275177
372.6338, 9.558655
373.1159, 8.717346
373.5980, 6.800110
374.0801, 5.428192
374.5622, 5.132309
375.0443, 4.817947
375.5265, 3.968628
376.0086, 2.901154
376.4907, 2.068649
376.9728, 1.653870
377.4549, 1.653687
377.9370, 2.196594
378.4192, 3.580978
378.9013, 4.499954
379.3834, 4.804733
379.8655, 4.477127
380.3476, 3.085785
380.8297, 0.5744020
381.3119, 1.792419
381.7940, 2.635498
382.2761, 1.986221
382.7582, 1.252975
383.2403, 0.7986910
383.7224, 3.7932999E-02
384.2046, 1.948624
384.6867, 4.676498
385.1688, 6.440414
385.6509, 5.626328
386.1330, 3.271866
386.6151, 1.840576
387.0973, 1.600204
387.5794, 1.763672
388.0615, 2.313095
388.5436, 2.874847
389.0257, 2.828934
389.5078, 1.760452
389.9900, 0.6514430
390.4721, 0.3310550
390.9542, 0.7335210
391.4363, 1.474640
391.9184, 2.782425
392.4005, 3.915665
392.8827, 3.684814
393.3648, 1.998199
393.8469, 0.5328220
394.3290, 0.1461180
394.8111, 0.3236690
395.2932, 0.1237950
395.7754, 0.6506200
396.2575, 1.106140
396.7396, 0.1130070
397.2217, 2.124924
397.7038, 3.217133
398.1859, 2.059723
398.6681, 0.6157680
399.1501, 0.2387540
399.6323, 0.6963960
400.1144, 1.002533
400.5965, 0.6076200
401.0786, 0.1660460
401.5607, 0.3427280
402.0428, 0.4143220
402.5250, 1.068970
403.0071, 1.436325
403.4892, 1.610992
403.9713, 1.756180
404.4534, 1.893600
404.9355, 1.767975
405.4177, 0.9391940
405.8998, 0.9519500
406.3819, 1.581268
406.8640, 0.5952300
407.3461, 2.405945
407.8282, 1.496231
408.3104, 1.114700
408.7925, 2.512848
409.2746, 0.7265010
409.7567, 3.311996
410.2388, 5.285614
410.7209, 2.834747
411.2031, 1.286377
411.6852, 1.736847
412.1673, 2.906067
412.6494, 3.636093
413.1315, 3.598953
413.6136, 3.113190
414.0958, 2.523529
414.5779, 1.732513
415.0600, 1.219757
415.5421, 0.9832920
416.0242, 1.044708
416.5063, 1.743393
416.9885, 2.767609
417.4706, 3.354645
417.9527, 2.843430
418.4348, 1.704636
418.9169, 1.681015
419.3990, 3.417404
419.8812, 4.841431
420.3633, 5.012543
420.8454, 4.761856
421.3275, 4.952988
421.8096, 5.811462
422.2917, 6.542999
422.7739, 6.035995
423.2560, 4.380768
423.7381, 3.588699
424.2202, 4.667007
424.7023, 5.740845
425.1844, 5.131332
425.6666, 3.326370
426.1487, 2.011566
426.6308, 1.961441
427.1129, 2.798889
427.5950, 4.320511
428.0771, 6.540665
428.5593, 7.666199
429.0414, 5.975815
429.5235, 2.903625
430.0056, 1.680176
430.4877, 2.869675
430.9698, 4.645065
431.4520, 6.955811
431.9341, 9.083893
432.4162, 9.134949
432.8983, 6.403503
433.3804, 3.274078
433.8625, 2.781784
434.3447, 5.424713
434.8268, 6.637527
435.3089, 4.707642
435.7910, 2.628525
436.2731, 2.466644
436.7552, 3.931351
437.2374, 5.702515
437.7195, 7.064194
438.2016, 8.045609
438.6837, 8.743729
439.1658, 9.024887
439.6479, 9.023209
440.1301, 8.806396
440.6122, 8.408569
441.0943, 7.727661
441.5764, 6.822525
442.0585, 5.950439
442.5406, 5.320343
443.0227, 4.833740
443.5049, 5.192505
443.9870, 7.459320
444.4691, 9.469833
444.9512, 10.64578
445.4333, 11.09735
445.9154, 11.05061
446.3976, 10.58932
446.8797, 9.819305
447.3618, 8.772903
447.8439, 6.988907
448.3260, 6.320587
448.8081, 8.212540
449.2903, 10.53680
449.7724, 12.07787
450.2545, 12.73596
450.7366, 12.99046
451.2187, 13.13507
451.7008, 13.15260
452.1830, 13.07918
452.6651, 13.12437
453.1472, 12.62111
453.6293, 9.807709
454.1114, 6.506226
454.5935, 5.780167
455.0757, 9.358841
