##NAMES=Tenorite
##RRUFFID=R060978
##IDEAL CHEMISTRY=Cu^2+^O
##LOCALITY=Algomah, Michigan, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black massive with some prismatic faces, associated with malachite and chrysocolla. Sample is a pseudomorph.
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R060978
544.8207, 125.4531
545.3028, 115.0801
545.7849, 104.0352
546.2670, 88.27344
546.7491, 83.55469
547.2313, 112.2383
547.7134, 152.9531
548.1955, 168.7051
548.6776, 119.5977
549.1597, 80.89258
549.6418, 77.60547
550.1240, 107.1172
550.6061, 123.0020
551.0882, 124.0000
551.5703, 113.5039
552.0524, 87.89648
552.5345, 43.42578
553.0167, 19.88086
553.4988, 23.41797
553.9809, 37.08594
554.4630, 39.52148
554.9451, 30.31250
555.4272, 10.11328
555.9094, 28.17969
556.3915, 62.18359
556.8736, 53.24805
557.3557, 9.119141
557.8378, 31.63672
558.3199, 44.91016
558.8021, 45.22070
559.2842, 41.50977
559.7663, 32.83398
560.2484, 33.18164
560.7305, 53.27539
561.2126, 82.84766
561.6948, 110.5234
562.1769, 149.0762
562.6590, 169.6309
563.1411, 153.7852
563.6232, 118.0820
564.1053, 110.6562
564.5875, 150.6465
565.0696, 182.0020
565.5517, 184.1328
566.0338, 157.2324
566.5159, 117.8477
566.9980, 58.48633
567.4802, 16.94336
567.9623, 44.71875
568.4444, 125.0352
568.9265, 171.1426
569.4086, 166.4648
569.8907, 136.6445
570.3729, 99.98828
570.8550, 61.91211
571.3371, 35.18164
571.8192, 18.77930
572.3013, 21.08008
572.7834, 68.82031
573.2656, 151.4121
573.7477, 196.7656
574.2298, 137.4434
574.7119, 64.58203
575.1940, 32.00000
575.6761, 62.50391
576.1583, 87.14258
576.6404, 112.2031
577.1225, 125.3965
577.6046, 105.2090
578.0867, 25.04688
578.5688, 6.476563
579.0510, 46.63672
579.5331, 144.9160
580.0152, 174.3223
580.4973, 130.7949
580.9794, 99.21484
581.4615, 149.4648
581.9437, 240.4414
582.4258, 253.1738
582.9079, 186.8027
583.3900, 111.8926
583.8721, 74.28906
584.3542, 64.85938
584.8364, 76.59180
585.3185, 118.7598
585.8006, 153.9062
586.2827, 158.3145
586.7648, 144.2305
587.2469, 130.5645
587.7291, 111.3477
588.2112, 104.3574
588.6933, 120.9043
589.1754, 156.2402
589.6575, 181.5254
590.1396, 191.0605
590.6218, 199.8535
591.1039, 212.8398
591.5860, 229.4609
592.0681, 260.9160
592.5502, 311.9707
593.0323, 361.7383
593.5145, 395.0566
593.9966, 410.3789
594.4787, 393.0859
594.9608, 331.2363
595.4429, 260.3516
595.9250, 214.3320
596.4072, 191.0938
596.8893, 187.0469
597.3714, 217.9512
597.8535, 253.1543
598.3356, 276.7383
598.8177, 288.0820
599.2999, 285.5762
599.7820, 245.4258
