##NAMES=Apachite
##RRUFFID=R060694
##IDEAL CHEMISTRY=Cu^2+^_9_Si_10_O_29_&#183;11H_2_O
##LOCALITY=Christmas mine, Gila County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Spherical aggregates of pale blue fibers, associated with yellowish-orange andradite and colorless calcite
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060694
655.7130, 145.4863
656.1951, 154.8447
656.6772, 158.4722
657.1593, 155.3906
657.6414, 153.1284
658.1235, 154.6997
658.6057, 160.2666
659.0878, 171.2671
659.5699, 193.7354
660.0520, 205.4014
660.5341, 200.8408
661.0162, 191.5312
661.4984, 173.9722
661.9805, 158.2979
662.4626, 163.2925
662.9447, 194.3828
663.4268, 225.6309
663.9089, 232.6099
664.3911, 222.0903
664.8732, 206.6104
665.3553, 187.2271
665.8374, 177.0161
666.3195, 184.0010
666.8016, 197.8213
667.2838, 199.1826
667.7659, 180.2622
668.2480, 176.9277
668.7301, 203.0737
669.2122, 227.5425
669.6943, 240.4136
670.1765, 245.3936
670.6586, 249.1221
671.1407, 252.9697
671.6228, 250.6045
672.1049, 232.6196
672.5870, 208.1309
673.0692, 189.7583
673.5513, 178.8682
674.0334, 174.1401
674.5155, 175.7100
674.9976, 179.5288
675.4797, 181.0552
675.9619, 181.4839
676.4440, 168.8574
676.9261, 127.5908
677.4082, 94.92920
677.8903, 80.22363
678.3724, 78.37012
678.8546, 88.72754
679.3367, 110.0415
679.8188, 126.3340
680.3009, 127.3770
680.7830, 122.1318
681.2651, 119.7153
681.7473, 117.6401
682.2294, 110.0503
682.7115, 94.58154
683.1936, 74.71826
683.6757, 50.05322
684.1578, 21.42627
684.6400, 20.98633
685.1221, 67.28516
685.6042, 94.90771
686.0863, 66.60400
686.5684, 30.06299
687.0505, 36.21533
687.5327, 79.60498
688.0148, 104.4644
688.4969, 84.03857
688.9790, 59.36475
689.4611, 50.50293
689.9432, 52.25635
690.4254, 58.79297
690.9075, 66.95850
691.3896, 69.35986
691.8717, 58.00049
692.3538, 39.87646
692.8359, 38.77246
693.3181, 56.63184
693.8002, 63.33936
694.2823, 47.85205
694.7644, 30.81982
695.2465, 31.39746
695.7286, 46.94678
696.2108, 56.01221
696.6929, 49.50879
697.1750, 49.03223
697.6571, 65.95703
698.1392, 84.02686
698.6213, 90.32373
699.1035, 85.89062
699.5856, 77.59766
700.0677, 68.15967
700.5498, 59.00195
701.0319, 52.75977
701.5140, 48.38916
701.9962, 39.50586
702.4783, 25.08350
702.9604, 19.08105
703.4425, 32.35400
703.9246, 57.23828
704.4067, 72.70703
704.8889, 75.84717
705.3710, 75.68311
705.8531, 73.95361
706.3352, 67.15723
706.8173, 44.01611
707.2994, 18.24072
707.7816, 15.42139
708.2637, 44.85986
708.7458, 70.43359
709.2279, 68.90479
709.7100, 53.38770
