##NAMES=Mackinawite
##RRUFFID=R070302
##IDEAL CHEMISTRY=(Fe,Ni)_1-1.07_S
##LOCALITY=Wannaway Prospect, near Kalgoorlie, Western Australia, Australia
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Bronze metallic massive, drill core
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070302
586.7441, 1.561947
587.2263, 2.937141
587.7084, 3.290199
588.1905, 0.5355800
588.6726, 5.993828
589.1547, 8.651825
589.6368, 6.889225
590.1190, 5.092808
590.6011, 5.836582
591.0832, 7.482697
591.5653, 7.835701
592.0474, 6.858875
592.5295, 5.885170
593.0117, 5.816311
593.4938, 6.306816
593.9759, 6.142738
594.4580, 4.536911
594.9401, 4.133511
595.4222, 7.390316
595.9044, 9.840202
596.3865, 8.150955
596.8686, 3.880272
597.3507, 1.066502
597.8328, 1.252686
598.3149, 3.266682
598.7971, 7.590473
599.2792, 12.79325
599.7613, 14.64106
600.2434, 12.31441
600.7255, 9.431610
601.2076, 9.246197
601.6898, 11.22843
602.1719, 11.02345
602.6540, 5.899696
603.1361, 2.296543
603.6182, 1.398933
604.1003, 1.608761
604.5825, 2.040344
605.0646, 2.481911
605.5467, 2.787006
606.0288, 2.770065
606.5109, 2.727814
606.9930, 3.127464
607.4752, 3.919361
607.9573, 4.538490
608.4394, 4.750656
608.9215, 5.176044
609.4036, 6.661026
609.8857, 9.210388
610.3679, 10.53705
610.8500, 10.59796
611.3321, 9.624668
611.8142, 6.629433
612.2963, 3.272793
612.7784, 1.031872
613.2606, 0.1685980
613.7427, 0.3824350
614.2248, 1.660099
614.7069, 3.678585
615.1890, 5.960709
615.6711, 8.565178
616.1533, 10.02142
616.6354, 9.671326
617.1175, 8.417831
617.5996, 6.905239
618.0817, 5.124733
618.5638, 4.480919
619.0460, 6.716743
619.5281, 8.146923
620.0102, 6.263660
620.4923, 3.312401
620.9744, 2.385334
621.4565, 3.878620
621.9387, 5.562618
622.4208, 5.283077
622.9029, 3.753754
623.3850, 3.501610
623.8671, 4.792194
624.3492, 5.762295
624.8314, 5.731552
625.3135, 5.278107
625.7956, 5.276531
626.2777, 5.690651
626.7598, 5.208996
627.2419, 2.376648
627.7241, 1.2447000E-02
628.2062, 0.1918220
628.6883, 0.8314250
629.1704, 1.553177
629.6525, 1.630817
630.1346, 1.723286
630.6168, 2.592842
631.0989, 4.012245
631.5810, 4.596832
632.0631, 4.072491
632.5452, 3.851772
633.0273, 4.928211
633.5095, 5.790760
633.9916, 4.370914
634.4737, 1.087383
634.9558, 0.4338720
635.4379, 1.729839
635.9200, 4.520737
636.4022, 7.013123
636.8843, 8.717033
637.3664, 8.451210
637.8485, 6.211346
638.3306, 4.089870
638.8127, 4.526619
639.2949, 6.836472
639.7770, 6.225517
640.2591, 1.249264
640.7412, 1.361225
641.2233, 2.252213
641.7054, 7.163036
642.1876, 7.480904
642.6697, 3.603306
643.1518, 1.872536
643.6339, 6.169632
644.1160, 10.38606
644.5981, 10.44972
645.0803, 8.341690
645.5624, 7.604317
646.0445, 9.072098
646.5266, 10.29217
647.0087, 8.992985
647.4908, 5.810993
647.9730, 3.661259
648.4551, 2.596962
648.9372, 2.477833
649.4193, 3.808578
649.9014, 5.500046
650.3835, 6.897697
650.8657, 7.899475
651.3478, 7.631714
651.8299, 4.455482
652.3120, 1.676514
652.7941, 0.5958140
653.2762, 0.9481390
653.7584, 2.976151
654.2405, 6.304642
654.7226, 9.188477
655.2047, 10.14067
655.6868, 9.676064
656.1689, 9.493214
656.6511, 9.702423
657.1332, 9.432659
657.6153, 8.157204
658.0974, 6.856693
658.5795, 6.776764
659.0616, 7.534351
659.5438, 7.363441
660.0259, 4.523941
660.5080, 2.700180
660.9901, 4.206860
661.4722, 6.668137
661.9543, 7.837162
662.4365, 7.411957
662.9186, 5.670280
663.4007, 2.389908
663.8828, 0.9222220
664.3649, 0.2602230
664.8470, 4.553818
665.3292, 7.206821
665.8113, 5.884186
666.2934, 4.365929
666.7755, 6.167675
667.2576, 10.09873
