##NAMES=Wurtzite
##RRUFFID=R130069
##IDEAL CHEMISTRY=Zn^2+^S^2+^
##LOCALITY=Merelani Hills (Mererani), Lelatema Mountains, Arusha Region, Tanzania
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Reddish brown blocky crystals, polytype wurtzite-4H
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130069
573.4068, 46585.01
573.8889, 46651.13
574.3710, 46665.70
574.8531, 46693.09
575.3353, 46764.54
575.8174, 46876.72
576.2995, 46972.83
576.7816, 47038.05
577.2637, 47102.18
577.7458, 47178.21
578.2280, 47266.71
578.7101, 47367.10
579.1922, 47489.15
579.6743, 47601.36
580.1564, 47660.31
580.6385, 47669.19
581.1207, 47692.29
581.6028, 47741.43
582.0849, 47806.97
582.5670, 47881.76
583.0491, 47961.32
583.5313, 48035.22
584.0134, 48078.41
584.4955, 48127.01
584.9776, 48216.00
585.4597, 48341.43
585.9418, 48479.98
586.4240, 48651.02
586.9061, 48807.68
587.3882, 48921.46
587.8703, 48978.04
588.3524, 49031.11
588.8345, 49086.15
589.3167, 49140.43
589.7988, 49191.67
590.2809, 49238.75
590.7630, 49284.55
591.2451, 49326.08
591.7272, 49370.23
592.2094, 49430.44
592.6915, 49506.70
593.1736, 49594.80
593.6557, 49704.08
594.1378, 49817.30
594.6199, 49873.87
595.1021, 49882.92
595.5842, 49922.31
596.0663, 50098.95
596.5484, 50303.91
597.0305, 50386.49
597.5126, 50329.72
597.9948, 50306.96
598.4769, 50466.06
598.9590, 50672.99
599.4411, 50812.25
599.9232, 50818.83
600.4053, 50828.41
600.8875, 50844.67
601.3696, 50880.63
601.8517, 50961.16
602.3338, 51125.24
602.8159, 51254.68
603.2980, 51319.29
603.7802, 51337.01
604.2623, 51373.16
604.7444, 51428.33
605.2265, 51492.10
605.7086, 51558.11
606.1907, 51627.77
606.6729, 51708.94
607.1550, 51800.63
607.6371, 51897.11
608.1192, 52000.70
608.6013, 52102.17
