##NAMES=Parisite-(Ce)
##RRUFFID=R120061
##IDEAL CHEMISTRY=CaCe_2_(CO_3_)_3_F_2_
##LOCALITY=Snowbird mine, Fish Creek, Alberton, Mineral County, Montana, USA
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Brown hexagonal prismatic crystals, associated with white quartz
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R120061
327.3586, 9605.273
327.8407, 9849.539
328.3228, 9878.508
328.8049, 9500.297
329.2870, 9042.422
329.7692, 8847.773
330.2513, 8895.469
330.7334, 8984.055
331.2155, 9054.398
331.6976, 9092.844
332.1797, 9045.594
332.6619, 8872.359
333.1440, 8710.859
333.6261, 8721.633
334.1082, 8835.961
334.5903, 8888.367
335.0724, 8737.180
335.5546, 8543.578
336.0367, 8544.453
336.5188, 8759.156
337.0009, 8976.461
337.4830, 9086.359
337.9651, 9113.555
338.4473, 9106.758
338.9294, 9064.273
339.4115, 8999.727
339.8936, 8923.312
340.3757, 8834.430
340.8578, 8724.000
341.3400, 8558.328
341.8221, 8401.938
342.3042, 8358.195
342.7863, 8445.188
343.2684, 8531.523
343.7505, 8528.023
344.2327, 8477.000
344.7148, 8490.531
345.1969, 8608.227
345.6790, 8751.070
346.1611, 8824.594
346.6432, 8840.023
347.1254, 8851.539
347.6075, 8907.945
348.0896, 8951.164
348.5717, 8883.062
349.0538, 8690.445
349.5359, 8511.180
350.0181, 8450.945
350.5002, 8492.797
350.9823, 8535.609
351.4644, 8558.164
351.9465, 8594.367
352.4286, 8709.023
352.9108, 8874.156
353.3929, 8941.148
353.8750, 8803.594
354.3571, 8556.852
354.8392, 8440.086
355.3214, 8482.703
355.8035, 8563.492
356.2856, 8681.742
356.7677, 8802.258
357.2498, 8853.805
357.7319, 8810.703
358.2141, 8724.516
358.6962, 8654.719
359.1783, 8598.203
359.6604, 8577.469
360.1425, 8634.312
360.6246, 8703.938
361.1068, 8718.875
361.5889, 8675.375
362.0710, 8630.109
362.5531, 8640.750
363.0352, 8703.094
363.5173, 8687.141
363.9995, 8510.078
364.4816, 8343.609
364.9637, 8280.445
365.4458, 8294.375
365.9279, 8312.453
366.4100, 8296.891
366.8922, 8258.664
367.3743, 8232.680
367.8564, 8127.727
368.3385, 8159.281
368.8206, 8499.766
369.3027, 8929.469
369.7849, 9197.703
370.2670, 9233.758
370.7491, 9125.898
371.2312, 8989.289
371.7133, 8822.219
372.1954, 8627.984
372.6776, 8340.266
373.1597, 8083.469
373.6418, 7933.969
374.1239, 7888.961
374.6060, 7906.227
375.0881, 7959.852
375.5703, 8048.023
376.0524, 8089.336
376.5345, 8068.141
377.0166, 8018.641
377.4987, 7902.672
377.9808, 7774.156
378.4630, 7721.414
378.9451, 7785.828
379.4272, 7908.727
379.9093, 7946.406
380.3914, 7818.844
380.8735, 7736.344
381.3557, 7757.102
381.8378, 7785.492
382.3199, 7739.766
382.8020, 7617.289
383.2841, 7482.695
383.7662, 7405.500
384.2484, 7388.781
384.7305, 7379.086
385.2126, 7418.961
385.6947, 7422.000
386.1768, 7329.297
386.6589, 7182.852
387.1411, 7066.414
387.6232, 7033.484
388.1053, 7059.242
388.5874, 7059.984
389.0695, 7035.898
389.5516, 6983.938
390.0338, 6890.336
390.5159, 6779.945
390.9980, 6663.414
391.4801, 6543.852
391.9622, 6455.453
392.4443, 6464.156
392.9265, 6582.156
393.4086, 6623.047
393.8907, 6460.695
394.3728, 6321.406
394.8549, 6397.211
395.3370, 6633.047
395.8192, 6800.578
396.3013, 6730.312
396.7834, 6479.102
397.2655, 6217.945
397.7476, 5916.141
398.2297, 5689.156
398.7119, 5660.453
399.1940, 5719.992
399.6761, 5734.312
400.1582, 5666.375
400.6403, 5555.211
401.1224, 5417.336
401.6046, 5251.812
402.0867, 5135.078
402.5688, 5111.094
403.0509, 5118.656
403.5330, 5081.719
404.0151, 5002.195
404.4973, 4930.555
404.9794, 4913.125
405.4615, 4912.477
405.9436, 4851.867
406.4257, 4716.109
406.9078, 4571.352
407.3900, 4483.398
407.8721, 4435.016
408.3542, 4338.148
408.8363, 4141.164
409.3184, 3947.227
409.8005, 3845.602
410.2827, 3808.555
410.7648, 3733.367
411.2469, 3558.945
411.7290, 3349.633
412.2111, 3270.938
412.6932, 3391.422
413.1754, 3452.227
413.6575, 3371.383
414.1396, 3231.242
414.6217, 3117.273
415.1038, 3041.945
415.5859, 2958.359
416.0681, 2816.547
416.5502, 2609.445
417.0323, 2442.297
417.5144, 2346.320
417.9965, 2250.477
418.4786, 2095.594
418.9608, 1922.281
419.4429, 1816.586
419.9250, 1826.859
420.4071, 1911.078
420.8892, 1950.805
421.3713, 1924.406
421.8535, 1884.766
422.3356, 1837.188
422.8177, 1770.883
423.2998, 1670.023
423.7819, 1538.992
424.2640, 1409.281
424.7462, 1316.391
425.2283, 1262.117
425.7104, 1184.609
426.1925, 1042.461
426.6746, 924.9062
427.1567, 859.2109
427.6389, 832.9609
428.1210, 837.0391
428.6031, 873.5938
429.0852, 912.8594
429.5673, 883.9922
430.0494, 759.9844
430.5316, 661.5703
431.0137, 696.1250
431.4958, 712.9297
431.9779, 582.3594
432.4600, 309.1172
432.9421, 50.90625
433.4243, 67.67969
433.9064, 70.10156
434.3885, 57.42969
434.8706, 29.83594
435.3527, 1.187500
435.8348, 29.36719
436.3170, 55.01562
436.7991, 76.74219
437.2812, 96.95312
437.7633, 110.3750
438.2454, 119.3125
438.7275, 119.8438
439.2097, 85.92969
439.6918, 2.687500
440.1739, 111.6719
440.6560, 197.2188
441.1381, 265.3125
441.6202, 292.2188
442.1024, 230.4141
442.5845, 145.6719
443.0666, 112.4453
443.5487, 136.8828
444.0308, 183.4141
444.5129, 229.2266
444.9951, 273.4062
445.4772, 318.0547
445.9593, 360.2500
446.4414, 404.5781
446.9235, 453.6797
447.4056, 505.3203
447.8878, 558.5156
448.3699, 612.7344
448.8520, 664.4531
449.3341, 714.9297
449.8162, 788.5156
450.2983, 782.1172
450.7805, 626.6641
451.2626, 467.0938
451.7447, 368.2109
452.2268, 329.8203
452.7089, 333.5938
453.1910, 371.2500
453.6732, 431.8359
454.1553, 466.3203
454.6374, 458.7188
455.1195, 451.5547
455.6016, 463.3047
456.0837, 471.1094
456.5659, 446.4453
457.0480, 388.6875
457.5301, 331.0703
458.0122, 318.7734
458.4943, 350.9531
458.9764, 347.9297
459.4586, 298.1094
459.9407, 224.1172
460.4228, 113.1719
460.9049, 7.203125
461.3870, 85.56250
461.8691, 95.68750
462.3513, 70.46094
462.8334, 36.51562
463.3155, 4.765625
463.7976, 17.86719
464.2797, 6.796875
464.7618, 68.30469
465.2440, 187.6172
465.7261, 368.1172
466.2082, 487.9062
466.6903, 463.3984
467.1724, 379.0547
467.6545, 326.8594
468.1367, 315.8750
468.6188, 337.4297
469.1009, 392.7109
469.5830, 475.6016
470.0651, 552.2969
470.5472, 627.1328
471.0294, 691.6719
471.5115, 717.6484
471.9936, 742.7969
472.4757, 830.3594
472.9578, 991.5938
473.4399, 1159.297
473.9221, 1250.594
474.4042, 1250.367
474.8863, 1258.578
475.3684, 1262.742
475.8505, 1285.742
476.3326, 1362.352
476.8148, 1458.570
477.2969, 1516.543
477.7790, 1508.098
478.2611, 1457.910
478.7432, 1409.863
479.2253, 1345.320
479.7075, 1339.516
480.1896, 1452.504
480.6717, 1584.902
481.1538, 1679.621
481.6359, 1742.305
482.1180, 1817.402
482.6002, 1949.250
483.0823, 2111.082
483.5644, 2219.484
484.0465, 2258.875
484.5286, 2302.605
485.0107, 2400.008
485.4929, 2510.008
485.9750, 2574.684
486.4571, 2577.141
486.9392, 2593.789
487.4213, 2684.293
487.9034, 2820.438
488.3856, 2935.867
488.8677, 3017.039
489.3498, 3102.191
489.8319, 3228.312
490.3140, 3392.418
490.7961, 3539.605
491.2783, 3667.844
491.7604, 3781.125
492.2425, 3874.359
492.7246, 3955.559
493.2067, 4034.938
493.6888, 4116.059
494.1710, 4207.281
494.6531, 4324.164
495.1352, 4479.980
495.6173, 4620.168
496.0994, 4738.254
496.5815, 4849.340
497.0637, 4950.645
497.5458, 5051.090
498.0279, 5167.500
498.5100, 5311.211
498.9921, 5466.121
499.4742, 5590.992
499.9564, 5680.164
500.4385, 5770.414
500.9206, 5835.078
501.4027, 5918.770
501.8848, 6072.648
502.3669, 6282.809
502.8491, 6469.367
503.3312, 6565.637
503.8133, 6601.098
504.2954, 6651.770
504.7775, 6717.508
505.2596, 6799.305
505.7418, 6906.414
506.2239, 7026.426
506.7060, 7147.238
507.1881, 7275.344
507.6702, 7373.184
508.1523, 7395.305
508.6345, 7399.215
509.1166, 7472.590
509.5987, 7625.191
510.0808, 7801.410
510.5629, 7965.203
511.0450, 8111.566
511.5272, 8218.660
512.0093, 8299.250
512.4914, 8336.660
