##NAMES=Kosmochlor
##RRUFFID=R120015
##IDEAL CHEMISTRY=NaCr^3+^Si_2_O_6_
##LOCALITY=Synthetic
##OWNER=RRUFF
##SOURCE=George Harlow
##DESCRIPTION=Green fragments. Sample was synthesized by Harlow (1997) and used in the Origlieri et al (2003) study
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R120015
##MEASURED CHEMISTRY=Na_1.00_(Cr_0.99_Fe^3+^_0.01_)Si_2.00_O_6_ ;after normalization to four total cations, using data of Harlow (1997).
504.7775, 1266284.
505.2596, 1265826.
505.7418, 1264745.
506.2239, 1263501.
506.7060, 1262765.
507.1881, 1262673.
507.6702, 1262690.
508.1523, 1262696.
508.6345, 1262594.
509.1166, 1262144.
509.5987, 1261305.
510.0808, 1260465.
510.5629, 1259960.
511.0450, 1259751.
511.5272, 1259356.
512.0093, 1258763.
512.4914, 1258017.
512.9735, 1256845.
513.4556, 1255637.
513.9377, 1255022.
514.4199, 1255123.
514.9020, 1255343.
515.3841, 1254916.
515.8662, 1253738.
516.3483, 1252661.
516.8304, 1251677.
517.3126, 1250823.
517.7947, 1250250.
518.2768, 1249781.
518.7589, 1249110.
519.2410, 1248101.
519.7231, 1247064.
520.2053, 1246498.
520.6874, 1246442.
521.1695, 1246283.
521.6516, 1246000.
522.1337, 1245505.
522.6158, 1244671.
523.0980, 1243591.
523.5801, 1242531.
524.0622, 1241532.
524.5443, 1240648.
525.0264, 1239894.
525.5085, 1239290.
525.9907, 1239092.
526.4728, 1239569.
526.9549, 1240094.
527.4370, 1239610.
527.9191, 1237919.
528.4012, 1236578.
528.8834, 1235904.
529.3655, 1235493.
529.8476, 1235174.
530.3297, 1234883.
530.8118, 1234522.
531.2939, 1234034.
531.7761, 1233453.
532.2582, 1232879.
532.7403, 1232333.
533.2224, 1231716.
533.7045, 1230900.
534.1866, 1230108.
534.6688, 1229490.
535.1509, 1229009.
535.6330, 1228522.
536.1151, 1227918.
536.5972, 1227266.
537.0793, 1226805.
537.5615, 1226659.
538.0436, 1226224.
538.5257, 1224981.
539.0078, 1223671.
539.4899, 1223010.
539.9720, 1222994.
540.4542, 1222977.
540.9363, 1222719.
541.4184, 1222255.
541.9005, 1221597.
542.3826, 1220756.
542.8647, 1219824.
543.3469, 1218787.
543.8290, 1217745.
544.3111, 1216960.
544.7932, 1216464.
545.2753, 1216088.
545.7574, 1216007.
546.2396, 1215882.
546.7217, 1215300.
547.2038, 1214344.
547.6859, 1213489.
548.1680, 1213075.
548.6501, 1213005.
549.1323, 1212857.
549.6144, 1212601.
550.0965, 1212320.
550.5786, 1212024.
551.0607, 1211713.
551.5428, 1211397.
552.0250, 1211073.
552.5071, 1210726.
552.9892, 1210365.
553.4713, 1209966.
553.9534, 1209457.
554.4355, 1208841.
554.9177, 1208077.
555.3998, 1206908.
555.8819, 1205765.
556.3640, 1205310.
556.8461, 1205658.
557.3282, 1205801.
557.8104, 1205206.
558.2925, 1204280.
558.7746, 1203505.
559.2567, 1202890.
559.7388, 1202194.
560.2209, 1201220.
560.7031, 1200138.
561.1852, 1199500.
561.6673, 1199951.
562.1494, 1199931.
562.6315, 1199037.
563.1136, 1197966.
563.5958, 1197155.
564.0779, 1196641.
564.5600, 1196334.
565.0421, 1196200.
565.5242, 1196165.
566.0063, 1195973.
566.4885, 1195581.
566.9706, 1195148.
567.4527, 1194709.
567.9348, 1194235.
568.4169, 1193710.
568.8990, 1193134.
569.3812, 1192500.
569.8633, 1191864.
570.3454, 1191147.
570.8275, 1190161.
571.3096, 1188932.
571.7917, 1187821.
572.2739, 1187014.
572.7560, 1186336.
573.2381, 1185397.
573.7202, 1184007.
574.2023, 1183112.
574.6844, 1183272.
575.1666, 1183547.
575.6487, 1183232.
576.1308, 1182487.
576.6129, 1181911.
577.0950, 1181827.
577.5771, 1181890.
578.0593, 1181254.
578.5414, 1179493.
579.0235, 1178179.
579.5056, 1177558.
579.9877, 1177235.
580.4698, 1177271.
580.9520, 1177455.
581.4341, 1177363.
581.9162, 1176768.
582.3983, 1175884.
582.8804, 1174849.
583.3625, 1173701.
583.8447, 1172936.
584.3268, 1172739.
584.8089, 1172813.
585.2910, 1173087.
585.7731, 1173490.
586.2552, 1173217.
586.7374, 1171438.
587.2195, 1169770.
587.7016, 1169219.
588.1837, 1169312.
588.6658, 1169195.
589.1479, 1168612.
589.6301, 1167895.
590.1122, 1167448.
590.5943, 1167299.
591.0764, 1167126.
591.5585, 1167075.
592.0406, 1166803.
592.5228, 1166085.
593.0049, 1165166.
593.4870, 1164274.
593.9691, 1163470.
594.4512, 1162860.
594.9333, 1162733.
595.4155, 1162913.
595.8976, 1162536.
596.3797, 1161422.
596.8618, 1160384.
597.3439, 1160059.
597.8260, 1160079.
598.3082, 1159546.
