##NAMES=Ktenasite
##RRUFFID=R090002
##IDEAL CHEMISTRY=Zn^2+^Cu^2+^_4_(S^6+^O_4_)_2_(OH)_6_&#183;6H_2_O
##LOCALITY=Oh mine, Gila County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Radial aggregates of bluish green tabular crystals associated with serpierite, R060475
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090002
611.5768, 15.99712
612.0590, 16.63347
612.5411, 16.44946
613.0232, 15.80167
613.5053, 15.16447
613.9874, 14.45918
614.4695, 13.07427
614.9517, 10.60623
615.4338, 7.943008
615.9159, 6.466393
616.3980, 6.283173
616.8801, 7.084106
617.3622, 10.61382
617.8444, 13.17416
618.3265, 12.65495
618.8086, 10.30216
619.2907, 7.903137
619.7728, 6.129372
620.2549, 5.126541
620.7371, 5.445496
621.2192, 7.016388
621.7013, 7.744255
622.1834, 7.376968
622.6655, 6.733818
623.1476, 5.808876
623.6298, 5.020683
624.1119, 5.344978
624.5940, 7.491974
625.0761, 8.816269
625.5582, 7.272285
626.0403, 4.707436
626.5225, 3.547615
627.0046, 3.924240
627.4867, 4.659126
627.9688, 5.072906
628.4509, 5.110146
628.9330, 4.529907
629.4152, 2.591919
629.8973, 1.405624
630.3794, 1.376808
630.8615, 1.743584
631.3436, 2.225044
631.8257, 2.600037
632.3079, 2.800598
632.7900, 2.912560
633.2721, 2.848686
633.7542, 2.363380
634.2363, 1.518822
634.7184, 0.8808210
635.2006, 0.5440600
635.6827, 0.4687880
636.1648, 0.5948940
636.6469, 0.9296490
637.1290, 1.577759
637.6111, 2.661530
638.0933, 3.734253
638.5754, 5.025871
639.0575, 6.017097
639.5396, 5.823448
640.0217, 4.527092
640.5038, 3.293388
640.9860, 3.119301
641.4681, 3.751450
641.9502, 3.754677
642.4323, 2.383438
642.9144, 2.262306
643.3965, 5.934334
643.8787, 9.463982
644.3608, 9.843071
644.8429, 7.505669
645.3250, 5.199020
645.8071, 3.735252
646.2892, 3.093987
646.7714, 4.041161
647.2535, 5.865295
647.7356, 5.766777
648.2177, 2.789833
648.6998, 0.2744750
649.1819, 4.4945002E-02
649.6641, 3.715500
650.1462, 5.829391
650.6283, 5.113129
651.1104, 4.410591
651.5925, 4.334824
652.0746, 4.326874
652.5568, 3.706192
653.0389, 2.498413
653.5210, 1.623367
654.0031, 2.017204
654.4852, 3.187538
654.9673, 3.803436
655.4495, 3.833107
655.9316, 3.678047
656.4137, 3.535561
656.8958, 3.177505
657.3779, 1.905876
657.8600, 0.2613980
658.3422, 1.258835
658.8243, 0.1977920
659.3064, 1.473068
659.7885, 3.445168
660.2706, 5.327980
660.7527, 6.566879
661.2349, 7.001198
661.7170, 6.896584
662.1991, 6.450294
662.6812, 5.687691
663.1633, 5.283974
663.6454, 5.590797
664.1276, 5.552917
664.6097, 4.146347
665.0918, 2.690224
665.5739, 2.520615
666.0560, 3.671028
666.5381, 4.767204
667.0203, 5.393318
667.5024, 5.511200
667.9845, 4.868767
668.4666, 3.658363
668.9487, 2.296974
669.4308, 0.8864060
669.9130, 0.1488420
670.3951, 1.269753
670.8772, 4.650482
671.3593, 6.617012
671.8414, 6.162987
672.3235, 5.431969
672.8057, 4.549675
673.2878, 3.806526
673.7699, 3.523972
674.2520, 3.718391
674.7341, 4.016037
675.2162, 4.138306
675.6984, 4.164345
676.1805, 4.466919
676.6626, 5.010559
677.1447, 4.637230
677.6268, 2.587006
678.1089, 0.2107700
678.5911, 0.5243450
679.0732, 0.7721180
679.5553, 1.568138
680.0374, 1.295334
