##NAMES=Jimkrieghite
##RRUFFID=R220012
##IDEAL CHEMISTRY=Ca(C_2_H_3_O_3_)^1-^_2_
##LOCALITY=Western end of Pusch Ridge in the Santa Catalina Mountains, north of Tucson, Pima County, Arizona, USA
##OWNER=RRUFF
##SOURCE=Warren Lazar
##DESCRIPTION=Colorless short prismatic or pseudo-cubic crystals, associated with blue lazaraskeite.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R220012
430.3671, 1.027008
430.8492, 0.6005940
431.3313, 0.2554930
431.8134, 0.9031910
432.2956, 0.4455570
432.7777, 1.159248
433.2598, 2.137428
433.7419, 2.168938
434.2241, 1.900002
434.7062, 1.472794
435.1883, 1.018562
435.6704, 0.7873310
436.1525, 0.9287490
436.6346, 1.288368
437.1168, 1.682709
437.5989, 2.127419
438.0810, 2.448685
438.5631, 2.650787
439.0452, 2.626823
439.5273, 2.151840
440.0095, 1.163445
440.4916, 0.4076310
440.9737, 0.3736110
441.4558, 0.8334810
441.9379, 1.470779
442.4200, 2.328407
442.9022, 2.802010
443.3843, 2.071091
443.8664, 0.4203190
444.3485, 0.3815160
444.8306, 0.6450350
445.3127, 1.682617
445.7949, 1.458305
446.2770, 0.4098660
446.7591, 0.2569270
447.2412, 2.3262000E-02
447.7233, 0.7004390
448.2054, 1.139389
448.6876, 1.095360
449.1697, 1.223351
449.6518, 1.788963
450.1339, 2.360466
450.6160, 2.571007
451.0981, 2.430984
451.5803, 2.215355
452.0624, 2.172455
452.5445, 2.276009
453.0266, 2.215828
453.5087, 1.748497
453.9908, 1.377762
454.4730, 1.277351
454.9551, 1.279594
455.4372, 1.178757
455.9193, 0.9162900
456.4014, 0.6144490
456.8835, 0.4513780
457.3657, 0.4561610
457.8478, 0.4482270
458.3299, 0.2285160
458.8120, 0.1566310
459.2941, 0.6414260
459.7762, 1.443703
460.2584, 1.937294
460.7405, 1.650810
461.2226, 0.9796070
461.7047, 0.7854310
462.1868, 1.136230
462.6689, 1.511963
463.1511, 2.013947
463.6332, 2.355400
464.1153, 2.152725
464.5974, 1.342087
465.0795, 0.4937060
465.5616, 0.1517940
466.0438, 0.6133500
466.5259, 0.7744140
467.0080, 0.5205380
467.4901, 0.2017360
467.9722, 0.1324160
468.4543, 0.2326740
468.9365, 0.1067810
469.4186, 0.5597080
469.9007, 1.152931
470.3828, 1.354248
470.8649, 1.244423
471.3470, 0.9594730
471.8292, 0.5350040
472.3113, 5.9135001E-02
472.7934, 0.3473360
473.2755, 0.6905820
473.7576, 0.9209670
474.2397, 1.134613
474.7219, 1.147049
475.2040, 0.6660770
475.6861, 0.1280520
476.1682, 0.7660980
476.6503, 0.9455030
477.1324, 0.7186360
477.6146, 0.3069530
478.0967, 0.6449130
478.5788, 1.107384
479.0609, 0.6898800
479.5430, 1.4473000E-02
480.0251, 0.5091250
480.5073, 0.7906340
480.9894, 0.8895260
481.4715, 0.7834930
481.9536, 0.4983900
482.4357, 0.4254300
482.9178, 0.7367710
483.4000, 0.9618000
483.8821, 0.6528400
484.3642, 0.2259980
484.8463, 0.3025970
485.3284, 1.164742
485.8105, 2.153572
486.2927, 2.699562
486.7748, 2.853294
487.2569, 2.635368
487.7390, 1.846573
488.2211, 1.093430
488.7032, 1.226906
489.1854, 2.038063
489.6675, 2.507820
490.1496, 2.183685
490.6317, 1.806587
491.1138, 1.973602
491.5959, 2.549713
492.0781, 2.925125
492.5602, 2.761406
493.0423, 2.369621
493.5244, 2.437645
494.0065, 3.173859
494.4886, 4.018051
494.9708, 5.054649
495.4529, 6.110031
495.9350, 7.171516
496.4171, 8.155182
496.8992, 8.830284
497.3813, 8.987419
497.8635, 8.715187
